timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:04:50.696, 10 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:51.698, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:52.699, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:53.700, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:54.702, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:55.703, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:56.704, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:57.705, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:58.706, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:04:59.708, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:00.709, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:01.710, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:02.712, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:03.714, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:04.716, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:05.718, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:06.720, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:07.722, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:08.724, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:09.727, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:10.729, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:11.731, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:12.733, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:13.735, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:14.737, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:15.739, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:16.741, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:17.743, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:18.745, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:19.747, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:20.750, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:21.751, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:22.753, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:23.755, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:24.757, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:25.759, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:26.761, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:27.763, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:28.765, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:29.767, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:05:30.769, 0 %, 0 %, 15360 MiB, 14770 MiB, 139 MiB
2023/01/02 17:05:31.770, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:32.772, 1 %, 1 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:33.773, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:34.774, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:35.775, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:36.777, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:37.778, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:38.779, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:39.780, 0 %, 0 %, 15360 MiB, 1048 MiB, 13861 MiB
2023/01/02 17:05:40.781, 1 %, 0 %, 15360 MiB, 950 MiB, 13959 MiB
2023/01/02 17:05:41.782, 1 %, 0 %, 15360 MiB, 838 MiB, 14071 MiB
