"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-30000-lsfs-client1.dstat.csv",,,,"Date:","08 Oct 2022 12:43:34 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 12:43:34,3.267,1.152,94.098,1.482,0,14505.616,176676.448,1474441216,14007336960,28037120,830824448,0,0,
08-10 12:43:35,14.026,4.785,79.208,1.980,0,102400,49152,1497645056,13929066496,28037120,883847168,0,0,
08-10 12:43:36,11.746,5.220,81.240,1.794,0,0,163840,1497849856,13928701952,28045312,883851264,0,0,
08-10 12:43:37,7.794,2.156,71.476,18.574,0,40960,50122752,1498066944,13928337408,28045312,883892224,0,0,
08-10 12:43:38,20.525,1.314,47.619,30.542,0,1261568,2256896,1500233728,14108876800,1896448,735842304,0,0,
08-10 12:43:39,38.498,0.313,29.734,31.455,0,2539520,131072,1499959296,14106214400,3276800,737431552,0,0,
08-10 12:43:40,5.921,2.303,64.803,26.974,0,11550720,28672,1502715904,14092263424,4059136,747827200,0,0,
08-10 12:43:41,13.123,4.485,79.900,2.492,0,1318912,49152,1500884992,14092292096,4390912,749035520,0,0,
08-10 12:43:42,12.951,4.426,78.689,3.934,0,204800,118784,1500327936,14092500992,4603904,749039616,0,0,
08-10 12:43:43,13.816,5.099,76.645,4.441,0,749568,69632,1500491776,14090928128,5353472,749039616,0,0,
08-10 12:43:44,14.120,6.478,69.269,10.133,0,1462272,40960,1499074560,14090813440,5779456,750030848,0,0,
08-10 12:43:45,9.715,5.695,81.910,2.680,0,135168,77824,1499062272,14090608640,5910528,749957120,0,0,
08-10 12:43:46,11.367,5.272,82.208,1.153,0,1081344,0,1498595328,14089695232,6991872,750026752,0,0,
08-10 12:43:47,12.171,5.099,79.276,3.454,0,24576,131072,1498443776,14089580544,7016448,750104576,0,0,
08-10 12:43:48,11.851,5.357,81.656,1.136,0,2277376,0,1499471872,14085980160,7032832,752365568,0,0,
08-10 12:43:49,14.404,4.967,77.152,3.477,0,0,114688,1498902528,14086397952,7041024,752369664,0,0,
08-10 12:43:50,12.131,4.590,83.115,0.164,0,8192,0,1499643904,14085427200,7049216,752369664,0,0,
08-10 12:43:51,12.418,5.392,79.248,2.941,0,0,77824,1499607040,14085279744,7049216,752369664,0,0,
08-10 12:43:52,11.475,5.410,81.967,1.148,0,0,73728,1499389952,14085373952,7057408,752369664,0,0,
08-10 12:43:53,12.521,4.674,76.628,6.177,0,106496,114688,1499291648,14085267456,7102464,752328704,0,0,
08-10 12:43:54,12.664,6.250,80.428,0.658,0,151552,12288,1496965120,14087102464,7102464,752599040,0,0,
08-10 12:43:55,12.356,4.448,81.878,1.318,0,0,61440,1496883200,14087028736,7102464,752599040,0,0,
08-10 12:43:56,11.419,5.383,83.197,0,0,0,0,1496846336,14086832128,7102464,752599040,0,0,
08-10 12:43:57,13.957,4.762,78.161,3.120,0,0,135168,1496793088,14086651904,7110656,752603136,0,0,
08-10 12:43:58,10.984,4.918,84.098,0,0,0,0,1496760320,14086545408,7110656,752603136,0,0,
08-10 12:43:59,12.040,6.522,76.087,5.351,0,851968,135168,1499115520,14083108864,7122944,753459200,0,0,
08-10 12:44:00,12.272,4.312,83.416,0,0,0,0,1499697152,14082355200,7122944,753455104,0,0,
08-10 12:44:01,14.773,4.708,77.110,3.409,0,0,126976,1499660288,14082224128,7131136,753459200,0,0,
08-10 12:44:02,9.820,5.074,83.142,1.964,0,421888,28672,1499451392,14081843200,7553024,753459200,0,0,
08-10 12:44:03,13.022,5.342,78.297,3.339,0,0,131072,1499492352,14081630208,7561216,753451008,0,0,
08-10 12:44:04,12.458,5.316,81.561,0.664,0,368640,12288,1500418048,14080143360,7565312,753823744,0,0,
08-10 12:44:05,11.601,6.046,80.392,1.961,0,65536,77824,1500971008,14079328256,7565312,753893376,0,0,
08-10 12:44:06,10.299,4.817,84.884,0,0,0,0,1500741632,14079381504,7565312,753893376,0,0,
08-10 12:44:07,12.541,4.950,80.033,2.475,0,0,131072,1500377088,14079582208,7573504,753897472,0,0,
08-10 12:44:08,10.248,4.959,84.793,0,0,0,0,1500340224,14079475712,7573504,753897472,0,0,
08-10 12:44:09,12.542,5.853,75.418,6.187,0,0,843776,1499480064,14080102400,7581696,753901568,0,0,
08-10 12:44:10,12.582,4.739,82.190,0.490,0,8192,0,1499746304,14079688704,7585792,753905664,0,0,
08-10 12:44:11,12.706,4.950,79.703,2.640,0,0,139264,1499516928,14079750144,7593984,753897472,0,0,
08-10 12:44:12,10.333,4.667,84.500,0.500,0,0,20480,1499410432,14079676416,7593984,753909760,0,0,
08-10 12:44:13,11.467,5.228,79.595,3.710,0,0,114688,1499394048,14079553536,7602176,753901568,0,0,
08-10 12:44:14,13.079,6.126,79.801,0.993,0,327680,16384,1498238976,14080172032,7602176,754241536,0,0,
08-10 12:44:15,11.093,5.464,82.285,1.159,0,0,57344,1498722304,14079492096,7602176,754241536,0,0,
08-10 12:44:16,11.940,5.804,81.260,0.995,0,0,94208,1498914816,14079111168,7610368,754253824,0,0,
08-10 12:44:17,12.623,4.590,80.820,1.967,0,0,77824,1499164672,14078746624,7610368,754253824,0,0,
08-10 12:44:18,11.166,4.433,83.251,1.149,0,61440,32768,1499324416,14078324736,7651328,754266112,0,0,
08-10 12:44:19,12.438,5.804,77.944,3.814,0,0,106496,1500946432,14076530688,7659520,754278400,0,0,
08-10 12:44:20,14.667,6,75.333,4,0,892928,32768,1501114368,14075416576,8335360,754290688,0,0,
08-10 12:44:21,16.033,3.802,79.174,0.992,0,0,81920,1500872704,14075285504,8343552,754487296,0,0,
08-10 12:44:22,12.825,4.383,81.331,1.461,0,0,49152,1500844032,14075121664,8343552,754499584,0,0,
08-10 12:44:23,12.604,5.307,79.768,2.322,0,0,102400,1501319168,14074466304,8351744,754491392,0,0,
08-10 12:44:24,12.020,5.843,80.301,1.836,0,0,57344,1500491776,14075117568,8351744,754503680,0,0,
08-10 12:44:25,11.443,4.312,83.250,0.995,0,0,28672,1500971008,14074486784,8351744,754503680,0,0,
08-10 12:44:26,11.462,5.150,81.561,1.827,0,4096,102400,1500925952,14074322944,8364032,754503680,0,0,
08-10 12:44:27,10.673,5.747,82.594,0.985,0,0,28672,1500893184,14074175488,8364032,754507776,0,0,
08-10 12:44:28,10.067,4.698,83.221,2.013,0,0,77824,1500839936,14074101760,8372224,754511872,0,0,
