"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-peer1.dstat.csv",,,,"Date:","08 Oct 2022 09:55:27 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 09:55:27,0.814,0.278,98.499,0.410,0,99673.128,513718.395,725020672,13604270080,983851008,976334848,0,0,
08-10 09:55:28,0.333,0.166,99.501,0,0,0,0,724967424,13603991552,983851008,976330752,0,0,
08-10 09:55:29,0,0,100,0,0,0,0,724967424,13603991552,983851008,976330752,0,0,
08-10 09:55:30,2.649,0.828,96.192,0.331,0,0,81920,726499328,13602443264,983859200,976338944,0,0,
08-10 09:55:31,8.293,0.488,91.220,0,0,0,0,727044096,13601652736,983859200,976551936,0,0,
08-10 09:55:32,6.721,0.328,92.787,0.164,0,0,0,726740992,13601636352,983859200,976855040,0,0,
08-10 09:55:33,5.351,0.334,94.314,0,0,0,28672,727212032,13600813056,983863296,977166336,0,0,
08-10 09:55:34,7.249,1.153,91.598,0,0,0,0,726327296,13601345536,983863296,977485824,0,0,
08-10 09:55:35,8.387,0.806,90.323,0.484,0,0,32768,726683648,13600571392,983871488,977887232,0,0,
08-10 09:55:36,7.830,0.979,91.191,0,0,0,327680,726806528,13599571968,983871488,978739200,0,0,
08-10 09:55:37,4.508,0.501,94.992,0,0,0,0,726925312,13599039488,983871488,979128320,0,0,
08-10 09:55:38,5.272,0.494,94.069,0.165,0,0,16384,727031808,13598523392,983871488,979529728,0,0,
08-10 09:55:39,4,0.667,95.333,0,0,0,0,727937024,13597233152,983871488,979898368,0,0,
08-10 09:55:40,4.348,0.502,95.151,0,0,0,0,728793088,13595942912,983871488,980324352,0,0,
08-10 09:55:41,5.921,0.164,93.092,0.822,0,0,4194304,729587712,13594603520,983887872,980688896,0,0,
08-10 09:55:42,5.446,0.660,93.894,0,0,0,0,729419776,13594345472,983887872,981106688,0,0,
08-10 09:55:43,5.921,0.329,93.750,0,0,0,0,729591808,13593829376,983887872,981442560,0,0,
08-10 09:55:44,7.178,0.816,92.007,0,0,0,0,727060480,13595893760,983887872,981901312,0,0,
08-10 09:55:45,5.351,0.502,94.147,0,0,0,0,729534464,13593055232,983887872,982261760,0,0,
08-10 09:55:46,5.289,0.496,94.050,0.165,0,0,36864,729853952,13592281088,983891968,982700032,0,0,
08-10 09:55:47,5.289,0.661,94.050,0,0,0,16384,729493504,13592281088,983891968,983056384,0,0,
08-10 09:55:48,4.667,0.333,95,0,0,0,0,729292800,13592023040,983891968,983502848,0,0,
08-10 09:55:49,4.992,0.333,94.176,0.499,0,0,40960,729456640,13591506944,983900160,983838720,0,0,
08-10 09:55:50,5.941,0.660,93.399,0,0,0,0,729534464,13590990848,983900160,984272896,0,0,
08-10 09:55:51,4.667,0.500,93.667,1.167,0,0,4472832,730624000,13589442560,983904256,984612864,0,0,
08-10 09:55:52,6.086,0.329,93.586,0,0,0,0,730185728,13589442560,983904256,985051136,0,0,
