"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-60000-lsfs-peer1.dstat.csv",,,,"Date:","08 Oct 2022 08:45:28 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 08:45:28,0.812,0.278,98.500,0.410,0,99738.166,512086.780,722722816,13634154496,960208896,974659584,0,0,
08-10 08:45:29,0.500,0.167,98.833,0.500,0,0,73728,724840448,13631692800,960217088,974655488,0,0,
08-10 08:45:30,0.334,0,99.666,0,0,0,0,724492288,13632040960,960217088,974655488,0,0,
08-10 08:45:31,0.832,0.333,98.835,0,0,0,4096,724484096,13632040960,960217088,974663680,0,0,
08-10 08:45:32,4.620,0.660,94.719,0,0,0,0,724705280,13631234048,960217088,975208448,0,0,
08-10 08:45:33,4.448,0.659,94.893,0,0,0,0,725139456,13629911040,960217088,976048128,0,0,
08-10 08:45:34,3.333,1.333,94.667,0.667,0,0,65536,727744512,13626449920,960229376,976834560,0,0,
08-10 08:45:35,3.295,0.659,96.046,0,0,0,0,727257088,13626023936,960229376,977723392,0,0,
08-10 08:45:36,2.824,0.664,96.179,0.332,0,0,4452352,726773760,13625163776,960233472,979038208,0,0,
08-10 08:45:37,2.653,0.663,96.683,0,0,0,0,726269952,13624991744,960233472,979599360,0,0,
08-10 08:45:38,4.426,0.492,95.082,0,0,0,0,725884928,13624217600,960233472,980733952,0,0,
08-10 08:45:39,2.843,0.334,96.823,0,0,0,0,728203264,13621055488,960233472,981561344,0,0,
08-10 08:45:40,3.156,0.166,96.678,0,0,0,0,727846912,13620604928,960233472,982351872,0,0,
08-10 08:45:41,2.829,0.666,96.339,0.166,0,0,4165632,728096768,13619314688,960237568,983269376,0,0,
08-10 08:45:42,3.005,0.334,96.661,0,0,0,0,727523328,13619056640,960237568,984092672,0,0,
08-10 08:45:43,3.140,0.661,96.198,0,0,0,0,726982656,13618540544,960237568,985128960,0,0,
08-10 08:45:44,3.506,1.169,94.825,0.501,0,0,36864,728809472,13615583232,960245760,986234880,0,0,
08-10 08:45:45,3.460,0.988,95.387,0.165,0,0,4157440,729366528,13614170112,960258048,987013120,0,0,
08-10 08:45:46,2.667,0.333,96.833,0.167,0,0,212992,728367104,13614137344,960258048,988000256,0,0,
08-10 08:45:47,2.990,0.498,96.512,0,0,0,0,728186880,13613363200,960258048,988946432,0,0,
08-10 08:45:48,3.151,0.498,96.352,0,0,0,16384,728141824,13612589056,960258048,989749248,0,0,
08-10 08:45:49,4.441,0.658,94.408,0.493,0,0,4214784,729022464,13610496000,960270336,990904320,0,0,
08-10 08:45:50,2.671,0.501,96.828,0,0,0,0,728924160,13609734144,960270336,991846400,0,0,
08-10 08:45:51,3.460,0.659,95.881,0,0,0,0,728272896,13609492480,960270336,992739328,0,0,
08-10 08:45:52,3.151,0.663,96.186,0,0,0,0,727785472,13609234432,960270336,993476608,0,0,
08-10 08:45:53,2.329,0.832,96.839,0,0,0,0,727236608,13608718336,960270336,994516992,0,0,
08-10 08:45:54,4.132,1.653,93.884,0.331,0,0,4145152,729632768,13605163008,960282624,995532800,0,0,
08-10 08:45:55,3.465,0.660,95.545,0.330,0,0,36864,730075136,13603831808,960290816,996397056,0,0,
08-10 08:45:56,3.300,0.825,95.875,0,0,0,0,729526272,13603315712,960290816,997441536,0,0,
08-10 08:45:57,2.833,0.333,96.833,0,0,0,4096,729042944,13602799616,960290816,998420480,0,0,
08-10 08:45:58,4.478,0.829,93.035,1.658,0,0,44892160,729673728,13604265984,960364544,996093952,0,0,
08-10 08:45:59,3.010,0.334,96.656,0,0,0,0,729518080,13603364864,960364544,997134336,0,0,
08-10 08:46:00,4.112,0.329,95.559,0,0,0,0,728477696,13603475456,960364544,998064128,0,0,
08-10 08:46:01,2.980,0.662,96.358,0,0,0,0,728059904,13602959360,960364544,998998016,0,0,
08-10 08:46:02,3.156,0.664,95.515,0.664,0,0,4157440,728719360,13601058816,960372736,1000214528,0,0,
08-10 08:46:03,3.151,0.332,96.517,0,0,0,0,727797760,13601153024,960372736,1000931328,0,0,
08-10 08:46:04,4.007,0.835,95.159,0,0,0,0,729153536,13598683136,960372736,1002033152,0,0,
08-10 08:46:05,3.477,0.331,96.192,0,0,0,0,728793088,13598089216,960372736,1002975232,0,0,
08-10 08:46:06,2.980,0.828,96.026,0.166,0,0,4091904,729120768,13596782592,960376832,1003892736,0,0,
08-10 08:46:07,2.995,0.333,96.672,0,0,0,0,728764416,13596274688,960376832,1004752896,0,0,
08-10 08:46:08,4.590,0.820,94.590,0,0,0,8192,728162304,13595492352,960376832,1006120960,0,0,
08-10 08:46:09,4.312,0.663,94.693,0.332,0,0,36864,730206208,13592293376,960385024,1007255552,0,0,
08-10 08:46:10,3.465,0.660,95.545,0.330,0,0,4104192,728850432,13592395776,960393216,1008463872,0,0,
08-10 08:46:11,4.105,0.657,95.238,0,0,0,0,728592384,13591621632,960393216,1009487872,0,0,
08-10 08:46:12,3.465,0.990,95.545,0,0,0,0,728154112,13591113728,960393216,1010421760,0,0,
08-10 08:46:13,3.947,0.493,95.559,0,0,0,0,727674880,13590589440,960393216,1011417088,0,0,
08-10 08:46:14,4.508,1.503,92.321,1.669,0,0,33751040,730116096,13589176320,960442368,1010167808,0,0,
08-10 08:46:15,2.975,0.992,96.033,0,0,0,0,729481216,13588725760,960442368,1011253248,0,0,
08-10 08:46:16,3.630,0.660,95.710,0,0,0,0,729276416,13587943424,960442368,1012224000,0,0,
08-10 08:46:17,2.843,0.167,96.990,0,0,0,45056,728612864,13587685376,960442368,1013145600,0,0,
08-10 08:46:18,2.995,0.499,96.173,0.333,0,0,4145152,728928256,13586395136,960454656,1014108160,0,0,
08-10 08:46:19,4.448,0.494,94.563,0.494,0,0,40960,730513408,13583540224,960462848,1015349248,0,0,
08-10 08:46:20,3.161,0.499,96.339,0,0,0,0,730103808,13583040512,960462848,1016250368,0,0,
08-10 08:46:21,3.783,0.822,95.395,0,0,0,0,729669632,13582524416,960462848,1017180160,0,0,
08-10 08:46:22,3.618,1.316,94.901,0.164,0,0,4173824,729030656,13581881344,960466944,1018404864,0,0,
08-10 08:46:23,2.833,0.333,96.833,0,0,0,0,729276416,13580718080,960466944,1019305984,0,0,
08-10 08:46:24,4.153,1.163,94.352,0.332,0,0,69632,731758592,13577351168,960475136,1020170240,0,0,
08-10 08:46:25,3.618,0.987,95.395,0,0,0,0,731152384,13576847360,960475136,1021267968,0,0,
08-10 08:46:26,3.477,0.331,95.861,0.331,0,0,4145152,731783168,13575041024,960475136,1022423040,0,0,
08-10 08:46:27,2.833,0.500,96.667,0,0,0,0,731013120,13574782976,960475136,1023422464,0,0,
08-10 08:46:28,3.156,0.498,96.346,0,0,0,0,730042368,13574524928,960475136,1024626688,0,0,
08-10 08:46:29,3.814,0.498,95.688,0,0,0,65536,730566656,13573160960,960475136,1025441792,0,0,
08-10 08:46:30,6.036,1.631,89.070,3.263,0,0,73392128,729853952,13575749632,960618496,1023488000,0,0,
08-10 08:46:31,2.508,0.167,97.324,0,0,0,0,729300992,13575233536,960618496,1024446464,0,0,
08-10 08:46:32,3.654,0.498,95.847,0,0,0,0,729178112,13574459392,960618496,1025339392,0,0,
08-10 08:46:33,3.311,0.497,96.192,0,0,0,0,728469504,13573943296,960618496,1026531328,0,0,
08-10 08:46:34,3.859,1.007,94.966,0.168,0,0,4169728,732000256,13569445888,960626688,1027420160,0,0,
08-10 08:46:35,3.471,0.496,96.033,0,0,0,4096,731099136,13569040384,960626688,1028702208,0,0,
08-10 08:46:36,3.156,0.498,96.346,0,0,0,0,730304512,13568782336,960626688,1029734400,0,0,
08-10 08:46:37,2.667,0.667,96.667,0,0,0,0,729939968,13568274432,960626688,1030590464,0,0,
08-10 08:46:38,4.269,0.493,94.910,0.328,0,0,4182016,730357760,13566717952,960638976,1031675904,0,0,
08-10 08:46:39,3.483,0.995,95.191,0.332,0,0,36864,730660864,13565231104,960647168,1032830976,0,0,
08-10 08:46:40,3.808,0.166,96.026,0,0,0,0,731099136,13563879424,960647168,1033723904,0,0,
08-10 08:46:41,3.317,0.498,96.186,0,0,0,0,729993216,13563879424,960647168,1034813440,0,0,
08-10 08:46:42,3.808,0.497,95.364,0.331,0,0,4177920,730996736,13561806848,960651264,1035825152,0,0,
08-10 08:46:43,2.819,0.995,96.186,0,0,0,0,730853376,13560782848,960651264,1036972032,0,0,
08-10 08:46:44,4.174,1.002,94.658,0.167,0,0,57344,732119040,13558362112,960659456,1038094336,0,0,
08-10 08:46:45,3.630,0.495,95.875,0,0,0,0,731291648,13558235136,960659456,1039024128,0,0,
08-10 08:46:46,4.470,1.490,91.722,2.318,0,0,59240448,728911872,13562863616,960741376,1036701696,0,0,
08-10 08:46:47,3.618,0.987,95.395,0,0,0,0,728588288,13562089472,960741376,1037799424,0,0,
08-10 08:46:48,3.947,0.822,95.230,0,0,0,0,728109056,13561573376,960741376,1038794752,0,0,
08-10 08:46:49,7.305,1.136,90.909,0.649,0,0,4227072,729743360,13557145600,960753664,1041498112,0,0,
08-10 08:46:50,6.634,1.456,91.909,0,0,0,12288,729673728,13554847744,960753664,1043849216,0,0,
08-10 08:46:51,6.667,1.138,92.033,0.163,0,0,4182016,729092096,13552508928,960757760,1046646784,0,0,
08-10 08:46:52,4.448,0.659,94.893,0,0,0,0,729219072,13551218688,960757760,1047793664,0,0,
08-10 08:46:53,3.960,0.495,95.215,0.330,0,0,4194304,729329664,13549871104,960761856,1048928256,0,0,
