"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-dynamic-4k-lsfs-client1.dstat.csv",,,,"Date:","08 Oct 2022 05:19:17 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 05:19:17,3.240,1.144,94.137,1.480,0,14061.289,176686.121,1432895488,14049529856,29794304,827817984,0,0,
08-10 05:19:18,5.500,3.167,78.833,12.500,0,188416,44331008,1448579072,13987766272,29818880,872472576,0,0,
08-10 05:19:19,33.816,0.966,27.214,38.003,0,1777664,155648,1449844736,14173233152,2416640,721649664,0,0,
08-10 05:19:20,37.893,0.629,23.742,37.736,0,11370496,0,1451511808,14160699392,4083712,731009024,0,0,
08-10 05:19:21,4.493,1.830,85.358,8.319,0,1683456,135168,1451839488,14158516224,4444160,732504064,0,0,
08-10 05:19:22,12.521,2.965,82.867,1.647,0,143360,12288,1451905024,14158143488,4587520,732647424,0,0,
08-10 05:19:23,15.815,3.624,74.465,6.096,0,524288,122880,1454329856,14155096064,5238784,732610560,0,0,
08-10 05:19:24,14.286,4.545,76.623,4.545,0,1003520,4096,1449218048,14159118336,5365760,733462528,0,0,
08-10 05:19:25,15.858,2.751,79.773,1.618,0,0,61440,1449521152,14158843904,5365760,733409280,0,0,
08-10 05:19:26,16.134,5.751,70.447,7.668,0,1863680,90112,1449291776,14157144064,7233536,733016064,0,0,
08-10 05:19:27,15.066,2.649,80.795,1.490,0,0,86016,1448755200,14157103104,7233536,733417472,0,0,
08-10 05:19:28,13.629,3.284,82.759,0.328,0,0,4096,1448792064,14157037568,7233536,733417472,0,0,
08-10 05:19:29,11.330,2.956,81.117,4.598,0,491520,106496,1449508864,14155649024,7258112,733970432,0,0,
08-10 05:19:30,16.693,3.852,75.441,4.013,0,2023424,32768,1449549824,14153486336,7266304,735825920,0,0,
08-10 05:19:31,8.113,1.490,88.411,1.987,0,90112,94208,1450287104,14152531968,7274496,735907840,0,0,
08-10 05:19:32,7.967,2.114,88.455,1.463,0,0,40960,1450184704,14152531968,7274496,736006144,0,0,
08-10 05:19:33,9.493,2.619,86.088,1.800,0,204800,53248,1450430464,14152134656,7274496,736075776,0,0,
08-10 05:19:34,16.129,3.065,77.903,2.903,0,0,94208,1450201088,14152200192,7282688,736215040,0,0,
08-10 05:19:35,15.696,3.074,79.450,1.780,0,8192,53248,1450192896,14152200192,7286784,736219136,0,0,
08-10 05:19:36,15.968,3.065,79.677,1.290,0,0,57344,1450184704,14152175616,7294976,736219136,0,0,
08-10 05:19:37,15.359,4.248,77.124,3.268,0,106496,61440,1450602496,14151667712,7331840,736260096,0,0,
08-10 05:19:38,14.078,4.369,80.259,1.294,0,4096,28672,1450569728,14151667712,7335936,736288768,0,0,
08-10 05:19:39,16.234,4.708,71.104,7.955,0,2580480,106496,1452548096,14147248128,7815168,738246656,0,0,
08-10 05:19:40,17.069,2.415,79.388,1.127,0,12288,32768,1452597248,14147031040,7819264,738414592,0,0,
08-10 05:19:41,16.614,3.956,77.690,1.741,0,4096,102400,1452847104,14146732032,7831552,738410496,0,0,
08-10 05:19:42,14.778,3.284,80.460,1.478,0,24576,40960,1453068288,14146457600,7839744,738435072,0,0,
08-10 05:19:43,15.435,3.777,78.818,1.970,0,131072,53248,1452703744,14146822144,7839744,738430976,0,0,
08-10 05:19:44,15.840,3.040,79.520,1.600,0,0,73728,1452658688,14146715648,7847936,738570240,0,0,
08-10 05:19:45,14.446,4.173,80.096,1.284,0,0,53248,1452658688,14146715648,7847936,738570240,0,0,
08-10 05:19:46,15.334,3.263,79.282,2.121,0,0,73728,1452642304,14146723840,7856128,738570240,0,0,
08-10 05:19:47,14.967,3.618,79.441,1.974,0,0,81920,1452679168,14146682880,7856128,738574336,0,0,
08-10 05:19:48,14.839,3.548,80.806,0.806,0,65536,28672,1452568576,14146715648,7856128,738639872,0,0,
08-10 05:19:49,17.292,3.426,77.325,1.958,0,20480,249856,1453322240,14145961984,7884800,738607104,0,0,
08-10 05:19:50,7.856,1.800,87.725,2.619,0,0,53248,1453318144,14145933312,7884800,738643968,0,0,
08-10 05:19:51,9.226,1.153,87.644,1.977,0,0,110592,1453305856,14145933312,7892992,738648064,0,0,
08-10 05:19:52,7.426,1.650,87.789,3.135,0,0,114688,1453273088,14145949696,7901184,738656256,0,0,
08-10 05:19:53,7.576,1.347,87.542,3.535,0,471040,90112,1451692032,14147231744,8056832,738795520,0,0,
08-10 05:19:54,15.484,3.387,80.645,0.484,0,0,28672,1451491328,14147248128,8056832,738983936,0,0,
08-10 05:19:55,13.703,3.100,80.261,2.936,0,0,94208,1451499520,14147231744,8065024,738983936,0,0,
08-10 05:19:56,16.746,4.147,77.671,1.435,0,0,57344,1451511808,14147215360,8065024,738988032,0,0,
08-10 05:19:57,15.296,3.618,77.961,3.125,0,0,98304,1450950656,14147747840,8073216,738992128,0,0,
08-10 05:19:58,15.909,3.571,79.870,0.649,0,0,32768,1450942464,14147756032,8073216,738992128,0,0,
08-10 05:19:59,15.789,2.632,80.428,1.151,0,0,49152,1451819008,14146879488,8073216,738992128,0,0,
08-10 05:20:00,16.234,2.597,79.221,1.948,0,0,110592,1451982848,14146715648,8081408,738983936,0,0,
08-10 05:20:01,15.509,3.231,78.352,2.908,0,421888,49152,1452191744,14146207744,8503296,738856960,0,0,
08-10 05:20:02,15.073,3.404,79.579,1.945,0,0,61440,1452052480,14146199552,8511488,738996224,0,0,
08-10 05:20:03,16.530,3.437,77.741,2.291,0,102400,53248,1450340352,14147899392,8544256,738975744,0,0,
08-10 05:20:04,13.861,2.970,82.508,0.660,0,0,28672,1450147840,14147997696,8544256,739069952,0,0,
08-10 05:20:05,18.182,2.922,76.948,1.948,0,0,98304,1450127360,14148005888,8552448,739074048,0,0,
08-10 05:20:06,16.207,3.241,79.254,1.297,0,0,53248,1450127360,14148005888,8552448,739074048,0,0,
08-10 05:20:07,8.775,2.152,85.762,3.311,0,0,102400,1450127360,14148005888,8560640,739065856,0,0,
08-10 05:20:08,7.096,1.485,90.264,1.155,0,8192,28672,1450123264,14147997696,8564736,739074048,0,0,
08-10 05:20:09,9.983,2.829,85.857,1.331,0,0,49152,1452728320,14145380352,8564736,739090432,0,0,
08-10 05:20:10,14.952,3.859,79.260,1.929,0,0,114688,1452953600,14145159168,8572928,739074048,0,0,
08-10 05:20:11,10.049,2.142,86.161,1.647,0,0,53248,1452908544,14145110016,8572928,739086336,0,0,
08-10 05:20:12,7.084,2.306,89.621,0.988,0,0,36864,1452900352,14145110016,8581120,739086336,0,0,
08-10 05:20:13,17.915,3.909,75.244,2.932,0,143360,77824,1453764608,14144155648,8581120,739176448,0,0,
08-10 05:20:14,14.701,2.746,82.553,0,0,0,0,1453780992,14144077824,8581120,739233792,0,0,
08-10 05:20:15,15.806,2.742,78.871,2.581,0,0,122880,1453789184,14144069632,8589312,739225600,0,0,
08-10 05:20:16,15.470,3.828,79.585,1.116,0,0,28672,1453776896,14144069632,8589312,739237888,0,0,
08-10 05:20:17,15.472,4.397,76.547,3.583,0,0,106496,1454321664,14143520768,8597504,739233792,0,0,
08-10 05:20:18,15.088,2.889,80.899,1.124,0,20480,24576,1454243840,14143561728,8617984,739237888,0,0,
08-10 05:20:19,16.557,3.115,78.361,1.967,0,0,77824,1455673344,14142128128,8617984,739241984,0,0,
08-10 05:20:20,14.542,3.922,79.902,1.634,0,4096,159744,1455857664,14141722624,8626176,739241984,0,0,
08-10 05:20:21,12.460,2.104,83.172,2.265,0,0,81920,1455988736,14141542400,8626176,739250176,0,0,
08-10 05:20:22,12.808,2.791,83.908,0.493,0,0,12288,1455980544,14141550592,8626176,739250176,0,0,
08-10 05:20:23,17.398,4.065,75.935,2.602,0,196608,86016,1456238592,14141091840,8634368,739442688,0,0,
08-10 05:20:24,14.032,3.548,82.097,0.323,0,0,20480,1456029696,14141292544,8634368,739450880,0,0,
08-10 05:20:25,16.957,3.011,78.447,1.585,0,0,98304,1456545792,14140776448,8642560,739442688,0,0,
08-10 05:20:26,14.887,2.751,81.230,1.133,0,0,28672,1456533504,14140776448,8642560,739454976,0,0,
08-10 05:20:27,15.712,4.419,77.905,1.964,0,0,106496,1456762880,14140534784,8650752,739459072,0,0,
08-10 05:20:28,17.742,3.065,78.387,0.806,0,0,28672,1457840128,14139453440,8650752,739459072,0,0,
08-10 05:20:29,7.426,1.650,89.109,1.815,0,36864,57344,1459347456,14137905152,8687616,739459072,0,0,
08-10 05:20:30,6.612,1.983,88.595,2.810,0,0,94208,1459335168,14137905152,8695808,739463168,0,0,
08-10 05:20:31,8.567,1.318,87.644,2.471,0,16384,57344,1459335168,14137905152,8712192,739446784,0,0,
08-10 05:20:32,5.714,1.513,91.597,1.176,0,73728,32768,1460277248,14136872960,8712192,739536896,0,0,
08-10 05:20:33,7.047,1.510,89.430,2.013,0,0,81920,1459982336,14137159680,8720384,739536896,0,0,
