"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_off-lsfs-peer1.dstat.csv",,,,"Date:","08 Oct 2022 14:24:09 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 14:24:09,0.821,0.278,98.491,0.410,0,99424.149,516384.221,726347776,13528698880,1042780160,983195648,0,0,
08-10 14:24:10,0.333,0.167,99.500,0,0,0,0,726167552,13528567808,1042780160,983195648,0,0,
08-10 14:24:11,0,0,100,0,0,0,0,726167552,13528567808,1042780160,983195648,0,0,
08-10 14:24:12,2.645,0.165,97.190,0,0,0,0,726474752,13528244224,1042780160,983203840,0,0,
08-10 14:24:13,4.605,0.658,94.737,0,0,0,0,726556672,13528051712,1042780160,983306240,0,0,
08-10 14:24:14,6.302,0.995,92.371,0.332,0,0,77824,727363584,13527031808,1042788352,983494656,0,0,
08-10 14:24:15,4.858,0.503,94.472,0.168,0,0,32768,727605248,13526503424,1042788352,983760896,0,0,
08-10 14:24:16,6.766,0.165,93.069,0,0,0,0,728059904,13525729280,1042788352,984055808,0,0,
08-10 14:24:17,7.830,0.489,91.680,0,0,0,0,728948736,13524422656,1042788352,984440832,0,0,
08-10 14:24:18,0.167,0,99.833,0,0,0,0,728932352,13524422656,1042788352,984457216,0,0,
08-10 14:24:19,0.832,0.333,98.336,0.499,0,0,1605632,728727552,13524623360,1042796544,984453120,0,0,
08-10 14:24:20,0.500,0,99.333,0.167,0,0,32768,728666112,13524680704,1042796544,984457216,0,0,
08-10 14:24:21,0.167,0.167,99.666,0,0,0,0,728924160,13524422656,1042796544,984457216,0,0,
08-10 14:24:22,4.290,0.825,94.884,0,0,0,0,728748032,13524406272,1042796544,984633344,0,0,
08-10 14:24:23,5.970,0.166,93.864,0,0,0,0,729006080,13523873792,1042796544,984887296,0,0,
08-10 14:24:24,6.856,0.669,92.140,0.334,0,0,45056,730091520,13522444288,1042804736,985214976,0,0,
08-10 14:24:25,8.306,0.651,91.042,0,0,0,0,730226688,13521809408,1042804736,985702400,0,0,
08-10 14:24:26,8.157,0.326,91.517,0,0,0,0,730894336,13520777216,1042804736,986058752,0,0,
08-10 14:24:27,7.767,0.485,91.586,0.162,0,0,12288,730910720,13520261120,1042804736,986546176,0,0,
08-10 14:24:28,6.743,0,93.257,0,0,0,0,730345472,13520519168,1042804736,986845184,0,0,
08-10 14:24:29,7.856,0.655,91.162,0.327,0,0,40960,731181056,13519306752,1042812928,987209728,0,0,
08-10 14:24:30,7.566,0.658,91.447,0.329,0,0,4194304,732377088,13517647872,1042812928,987525120,0,0,
08-10 14:24:31,7.882,0.328,91.790,0,0,0,0,732446720,13517131776,1042812928,987967488,0,0,
08-10 14:24:32,7.084,0.329,92.586,0,0,0,0,732557312,13516615680,1042812928,988360704,0,0,
08-10 14:24:33,5.824,0.333,93.844,0,0,0,0,732008448,13516873728,1042812928,988647424,0,0,
