"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","08 Oct 2022 11:56:45 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 11:56:45,3.264,1.152,94.102,1.482,0,14433.295,176681.505,1434243072,14040481792,29921280,835325952,0,0,
08-10 11:56:46,11.960,4.817,80.399,2.824,0,81920,28672,1457836032,13962522624,29921280,888061952,0,0,
08-10 11:56:47,11.538,5.518,80.268,2.676,0,0,196608,1457483776,13962772480,29929472,888053760,0,0,
08-10 11:56:48,7.297,2.322,66.667,23.715,0,40960,52060160,1457737728,13962235904,29941760,888107008,0,0,
08-10 11:56:49,8.543,2.680,59.129,29.648,0,0,888832,1459126272,13960822784,29986816,888086528,0,0,
08-10 11:56:50,33.333,1.449,38.325,26.892,0,1974272,114688,1460158464,14149070848,2453504,734539776,0,0,
08-10 11:56:51,16.721,2.131,67.377,13.770,0,2916352,204800,1462407168,14143979520,3108864,736718848,0,0,
08-10 11:56:52,10.544,4.119,84.185,1.153,0,135168,40960,1462161408,14144102400,3244032,736706560,0,0,
08-10 11:56:53,13.345,6.081,73.986,6.588,0,229376,86016,1460760576,14145073152,3612672,736571392,0,0,
08-10 11:56:54,14.890,7.445,67.174,10.491,0,10407936,32768,1457659904,14137888768,4476928,745840640,0,0,
08-10 11:56:55,5.491,1.830,91.181,1.498,0,0,49152,1458069504,14136868864,4476928,746258432,0,0,
08-10 11:56:56,10.588,6.050,78.992,4.370,0,3526656,77824,1458475008,14132994048,5840896,748093440,0,0,
08-10 11:56:57,13.245,5.795,78.477,2.483,0,147456,73728,1458401280,14132420608,5984256,748433408,0,0,
08-10 11:56:58,15.436,6.208,76.007,2.349,0,90112,86016,1459474432,14131142656,5992448,748449792,0,0,
08-10 11:56:59,14.790,6.218,77.311,1.681,0,1040384,53248,1460121600,14129233920,6045696,749346816,0,0,
08-10 11:57:00,11.371,5.184,82.274,1.171,0,151552,28672,1459769344,14128951296,6180864,749535232,0,0,
08-10 11:57:01,15.686,7.680,74.673,1.961,0,0,106496,1459814400,14128713728,6189056,749535232,0,0,
08-10 11:57:02,17.413,4.643,76.119,1.824,0,425984,28672,1458225152,14129704960,6615040,749539328,0,0,
08-10 11:57:03,12.228,5.695,79.732,2.345,0,81920,86016,1461362688,14126239744,6623232,749535232,0,0,
08-10 11:57:04,15.677,5.446,78.548,0.330,0,368640,8192,1456902144,14129995776,6623232,749993984,0,0,
08-10 11:57:05,5.324,2.163,90.349,2.163,0,32768,53248,1456525312,14129934336,6651904,749989888,0,0,
08-10 11:57:06,15.296,5.263,78.947,0.493,0,94208,0,1456394240,14129721344,6737920,750002176,0,0,
08-10 11:57:07,12.040,6.020,76.923,5.017,0,36864,151552,1456308224,14129565696,6778880,750010368,0,0,
08-10 11:57:08,14.784,5.980,77.907,1.329,0,0,53248,1456259072,14129426432,6778880,750018560,0,0,
08-10 11:57:09,14.478,6.397,63.300,15.825,0,2736128,131072,1456865280,14126469120,7409664,751570944,0,0,
08-10 11:57:10,14.122,5.583,80.296,0,0,0,0,1456267264,14126268416,7409664,752136192,0,0,
08-10 11:57:11,13.953,4.983,77.907,3.156,0,0,122880,1456476160,14125846528,7417856,752136192,0,0,
08-10 11:57:12,16.473,5.657,76.206,1.664,0,36864,20480,1456656384,14125424640,7442432,752156672,0,0,
