"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_off-lsfs-peer1.dstat.csv",,,,"Date:","08 Oct 2022 22:17:52 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 22:17:52,0.836,0.279,98.475,0.409,0,98987.487,519658.434,725118976,13432344576,1123266560,991121408,0,0,
08-10 22:17:53,1.169,0.167,98.664,0,0,0,0,725258240,13432184832,1123266560,991121408,0,0,
08-10 22:17:54,0,0.669,86.789,12.542,0,0,81920,726548480,13430886400,1123274752,991121408,0,0,
08-10 22:17:55,2.649,0.331,97.020,0,0,0,4096,727158784,13430276096,1123274752,991121408,0,0,
08-10 22:17:56,5.237,0.982,93.781,0,0,0,0,727019520,13430276096,1123274752,991248384,0,0,
08-10 22:17:57,6.076,0.657,93.268,0,0,0,225280,726908928,13430259712,1123274752,991358976,0,0,
08-10 22:17:58,7.166,0.489,92.182,0.163,0,0,40960,727347200,13429460992,1123274752,991686656,0,0,
08-10 22:17:59,8.483,0.489,90.701,0.326,0,0,45056,726990848,13429530624,1123282944,991956992,0,0,
08-10 22:18:00,6.260,0.659,92.916,0.165,0,0,299008,726679552,13429452800,1123282944,992317440,0,0,
08-10 22:18:01,5.263,0.987,93.750,0,0,0,0,727031808,13428678656,1123282944,992735232,0,0,
08-10 22:18:02,3.518,0.670,95.812,0,0,0,0,726806528,13428420608,1123282944,993202176,0,0,
08-10 22:18:03,5.611,0.990,93.234,0.165,0,0,16384,725606400,13429313536,1123287040,993492992,0,0,
08-10 22:18:04,4.992,0.666,94.010,0.333,0,0,36864,727486464,13426855936,1123295232,994033664,0,0,
08-10 22:18:05,5.281,0.495,94.224,0,0,0,0,728506368,13425532928,1123295232,994332672,0,0,
08-10 22:18:06,5.747,0.493,93.760,0,0,0,0,728616960,13425008640,1123295232,994713600,0,0,
08-10 22:18:07,4.817,0.664,94.352,0.166,0,0,4153344,728825856,13424132096,1123295232,995344384,0,0,
08-10 22:18:08,5.921,0.329,93.750,0,0,0,0,728535040,13423951872,1123295232,995704832,0,0,
08-10 22:18:09,6.436,0.825,92.739,0,0,0,0,730591232,13421699072,1123295232,995897344,0,0,
08-10 22:18:10,5.902,0.492,93.607,0,0,0,0,730116096,13421678592,1123295232,996384768,0,0,
08-10 22:18:11,5.776,0.495,93.729,0,0,0,0,729825280,13421670400,1123295232,996671488,0,0,
08-10 22:18:12,5.620,0.496,93.554,0.331,0,0,40960,729280512,13421654016,1123295232,997224448,0,0,
08-10 22:18:13,6.116,0.826,93.058,0,0,0,0,728592384,13422034944,1123295232,997527552,0,0,
08-10 22:18:14,7.341,1.142,79.282,12.235,0,0,40960,731504640,13418557440,1123303424,998068224,0,0,
08-10 22:18:15,3.859,0.503,95.638,0,0,0,4096,731250688,13418565632,1123303424,998309888,0,0,
08-10 22:18:16,6.874,0.327,92.799,0,0,0,0,730808320,13418565632,1123303424,998744064,0,0,
08-10 22:18:17,6.393,0.492,92.787,0.328,0,0,4169728,730943488,13417697280,1123307520,999464960,0,0,
08-10 22:18:18,4.983,0.332,94.684,0,0,0,0,730628096,13417750528,1123307520,999645184,0,0,
08-10 22:18:19,6,0.333,93.333,0.333,0,0,32768,730537984,13417627648,1123315712,999845888,0,0,
08-10 22:18:20,4.983,0.498,94.518,0,0,0,4096,730411008,13417234432,1123315712,1000361984,0,0,
08-10 22:18:21,6.066,0.820,93.115,0,0,0,0,730189824,13416984576,1123315712,1000816640,0,0,
08-10 22:18:22,6.240,0.657,92.939,0.164,0,0,32768,729047040,13417742336,1123315712,1001193472,0,0,
08-10 22:18:23,5.042,0.336,94.622,0,0,0,0,727330816,13419057152,1123315712,1001586688,0,0,
08-10 22:18:24,5.950,0.826,92.893,0.331,0,0,45056,727773184,13418184704,1123323904,1002004480,0,0,
08-10 22:18:25,5.298,0.497,94.205,0,0,0,0,728006656,13417484288,1123323904,1002459136,0,0,
08-10 22:18:26,6.240,0.657,93.103,0,0,0,0,728154112,13416960000,1123323904,1002827776,0,0,
08-10 22:18:27,5.132,0.497,94.205,0.166,0,0,36864,728076288,13416718336,1123323904,1003143168,0,0,
08-10 22:18:28,5.931,0.494,93.410,0.165,0,0,4153344,729137152,13415084032,1123328000,1003708416,0,0,
08-10 22:18:29,6.250,0.987,92.763,0,0,0,0,728711168,13415170048,1123328000,1004007424,0,0,
08-10 22:18:30,5.941,0.165,93.564,0.330,0,0,45056,728494080,13414912000,1123336192,1004474368,0,0,
08-10 22:18:31,5.464,0.497,94.040,0,0,0,0,728612864,13414387712,1123336192,1004871680,0,0,
08-10 22:18:32,4.690,0,95.310,0,0,0,0,728510464,13414146048,1123336192,1005203456,0,0,
08-10 22:18:33,7.225,0.493,92.282,0,0,0,53248,728457216,13413720064,1123336192,1005674496,0,0,
08-10 22:18:34,5.034,0.336,94.631,0,0,0,0,729374720,13412265984,1123336192,1006194688,0,0,
08-10 22:18:35,4.858,0.168,94.975,0,0,0,0,729501696,13411815424,1123336192,1006514176,0,0,
08-10 22:18:36,6.732,0.328,91.790,1.149,0,0,61440,729874432,13411041280,1123336192,1006907392,0,0,
08-10 22:18:37,5.307,0.498,94.196,0,0,0,0,729473024,13411041280,1123336192,1007300608,0,0,
08-10 22:18:38,5.620,0.496,93.554,0.331,0,0,4161536,730525696,13409492992,1123348480,1007677440,0,0,
08-10 22:18:39,6.281,0.496,93.223,0,0,0,0,730386432,13409234944,1123348480,1008070656,0,0,
08-10 22:18:40,6.230,0.492,93.279,0,0,0,0,730243072,13408976896,1123348480,1008463872,0,0,
08-10 22:18:41,5.307,0.498,94.196,0,0,0,4096,729751552,13408960512,1123348480,1008951296,0,0,
08-10 22:18:42,5.132,0.828,94.040,0,0,0,0,730116096,13408169984,1123348480,1009369088,0,0,
08-10 22:18:43,7.401,0.493,91.776,0.329,0,0,32768,728977408,13409001472,1123352576,1009664000,0,0,
08-10 22:18:44,6.601,0.495,92.574,0.330,0,0,36864,730918912,13406486528,1123356672,1010225152,0,0,
08-10 22:18:45,6.404,0.328,93.268,0,0,0,0,731201536,13405863936,1123356672,1010561024,0,0,
08-10 22:18:46,6.260,0.329,93.410,0,0,0,0,730804224,13405855744,1123356672,1010962432,0,0,
08-10 22:18:47,5.776,0.495,93.729,0,0,0,0,730357760,13405855744,1123356672,1011400704,0,0,
08-10 22:18:48,6.086,0.493,93.092,0.329,0,0,4141056,730988544,13404831744,1123360768,1011683328,0,0,
08-10 22:18:49,6.436,0.990,92.244,0.330,0,0,32768,731320320,13403918336,1123364864,1012260864,0,0,
08-10 22:18:50,6.852,0.489,92.659,0,0,0,0,730857472,13404057600,1123364864,1012580352,0,0,
08-10 22:18:51,7.015,0.653,92.333,0,0,0,12288,730886144,13403541504,1123364864,1013059584,0,0,
08-10 22:18:52,6.393,0.656,92.951,0,0,0,0,730763264,13403299840,1123364864,1013420032,0,0,
08-10 22:18:53,6.788,0.497,92.550,0.166,0,0,32768,729546752,13404049408,1123364864,1013882880,0,0,
08-10 22:18:54,6.126,0.662,92.881,0.331,0,0,40960,731459584,13401735168,1123368960,1014276096,0,0,
08-10 22:18:55,6.393,0.492,93.115,0,0,0,0,731803648,13400969216,1123368960,1014689792,0,0,
08-10 22:18:56,6.106,0.495,93.399,0,0,0,8192,731332608,13400969216,1123368960,1015160832,0,0,
08-10 22:18:57,6.404,0.328,93.268,0,0,0,0,731226112,13400702976,1123368960,1015525376,0,0,
08-10 22:18:58,5.491,0.998,92.013,1.498,0,0,44875776,730509312,13381017600,1123405824,1035366400,0,0,
08-10 22:18:59,6.230,0.820,92.951,0,0,0,0,730566656,13380476928,1123405824,1035845632,0,0,
08-10 22:19:00,4.801,0.497,94.205,0.497,0,0,49152,730304512,13380227072,1123405824,1036349440,0,0,
08-10 22:19:01,5.090,1.149,93.760,0,0,0,8192,730218496,13379977216,1123405824,1036685312,0,0,
08-10 22:19:02,4.651,0.498,94.850,0,0,0,0,729661440,13379977216,1123405824,1037225984,0,0,
08-10 22:19:03,6.291,0.497,93.212,0,0,0,53248,729219072,13380153344,1123405824,1037492224,0,0,
08-10 22:19:04,5.124,1.157,93.719,0,0,0,0,730337280,13378514944,1123405824,1037996032,0,0,
08-10 22:19:05,4.809,0.498,94.693,0,0,0,0,730177536,13378170880,1123405824,1038495744,0,0,
08-10 22:19:06,5.289,0.496,93.719,0.496,0,0,110592,730230784,13377638400,1123409920,1038962688,0,0,
08-10 22:19:07,6.219,0.655,92.962,0.164,0,0,4116480,731865088,13398704128,1123414016,1016655872,0,0,
08-10 22:19:08,5.263,0.658,94.079,0,0,0,0,731668480,13398540288,1123414016,1017073664,0,0,
08-10 22:19:09,6.291,0.331,93.377,0,0,0,0,732336128,13397499904,1123414016,1017442304,0,0,
08-10 22:19:10,5.437,0.329,94.234,0,0,0,0,731570176,13397733376,1123414016,1017978880,0,0,
08-10 22:19:11,4.659,0.333,95.008,0,0,0,0,731131904,13397733376,1123414016,1018417152,0,0,
08-10 22:19:12,5.289,0.331,94.050,0.331,0,0,49152,730894336,13397467136,1123414016,1018920960,0,0,
08-10 22:19:13,5.785,0.992,93.223,0,0,0,0,730595328,13397344256,1123414016,1019342848,0,0,
08-10 22:19:14,5.931,0.824,92.916,0.329,0,0,40960,731856896,13395689472,1123422208,1019715584,0,0,
08-10 22:19:15,4.341,0.334,95.326,0,0,0,0,731619328,13395410944,1123422208,1020227584,0,0,
08-10 22:19:16,5.464,0.662,93.709,0.166,0,0,4083712,732184576,13394362368,1123430400,1020645376,0,0,
08-10 22:19:17,6.796,0.809,92.395,0,0,0,0,732635136,13393596416,1123430400,1020960768,0,0,
08-10 22:19:18,4.659,0.499,94.842,0,0,0,0,732266496,13393313792,1123430400,1021603840,0,0,
08-10 22:19:19,5.158,0.832,93.677,0.333,0,0,40960,732704768,13392572416,1123438592,1021894656,0,0,
08-10 22:19:20,5.747,0.493,93.760,0,0,0,0,732303360,13392314368,1123438592,1022550016,0,0,
08-10 22:19:21,5.757,0.329,93.750,0.164,0,0,40960,732291072,13392056320,1123438592,1022816256,0,0,
08-10 22:19:22,5.611,0.165,94.224,0,0,0,0,731758592,13392064512,1123438592,1023332352,0,0,
08-10 22:19:23,6.146,0.332,93.522,0,0,0,0,730185728,13393313792,1123438592,1023655936,0,0,
08-10 22:19:24,4.833,1,94,0.167,0,0,40960,732151808,13390757888,1123446784,1024217088,0,0,
08-10 22:19:25,5.437,0.494,93.740,0.329,0,0,4096000,732372992,13389983744,1123450880,1024655360,0,0,
08-10 22:19:26,4.825,0.499,94.676,0,0,0,0,732446720,13389475840,1123450880,1025089536,0,0,
08-10 22:19:27,5.565,0.982,93.453,0,0,0,0,732254208,13389217792,1123450880,1025527808,0,0,
08-10 22:19:28,5.289,0.661,94.050,0,0,0,0,731680768,13389201408,1123450880,1026117632,0,0,
08-10 22:19:29,6.699,0.817,92.484,0,0,0,0,732250112,13388341248,1123450880,1026404352,0,0,
08-10 22:19:30,4.515,0.167,94.816,0.502,0,0,77824,731410432,13388443648,1123459072,1027129344,0,0,
08-10 22:19:31,5.298,0.331,94.371,0,0,0,0,731299840,13388177408,1123459072,1027502080,0,0,
08-10 22:19:32,4.809,0.498,94.693,0,0,0,4096,730980352,13388193792,1123459072,1027796992,0,0,
08-10 22:19:33,6.568,0.821,92.611,0,0,0,0,730038272,13388578816,1123459072,1028349952,0,0,
08-10 22:19:34,6.590,1.318,90.774,1.318,0,0,33705984,731410432,13388804096,1123528704,1026580480,0,0,
08-10 22:19:35,6.352,0.651,92.997,0,0,0,0,730845184,13388894208,1123528704,1027055616,0,0,
08-10 22:19:36,5.132,0.662,93.709,0.497,0,0,40960,730877952,13388361728,1123536896,1027547136,0,0,
08-10 22:19:37,5.289,0.331,94.380,0,0,0,0,730398720,13388386304,1123536896,1028001792,0,0,
08-10 22:19:38,3.541,0.169,96.290,0,0,0,0,729985024,13388386304,1123536896,1028415488,0,0,
08-10 22:19:39,5.941,0.495,93.399,0.165,0,0,86016,730808320,13387096064,1123540992,1028878336,0,0,
08-10 22:19:40,6.219,0.655,93.126,0,0,0,0,731082752,13386313728,1123540992,1029378048,0,0,
08-10 22:19:41,5.446,0.330,94.224,0,0,0,0,730968064,13386047488,1123540992,1029754880,0,0,
08-10 22:19:42,6.383,0.655,92.308,0.655,0,0,4186112,731348992,13384966144,1123549184,1030443008,0,0,
08-10 22:19:43,5.785,0.992,93.223,0,0,0,0,729796608,13386280960,1123549184,1030664192,0,0,
08-10 22:19:44,6.557,0.820,92.623,0,0,0,0,732196864,13383282688,1123549184,1031258112,0,0,
08-10 22:19:45,5.766,0.329,93.904,0,0,0,0,731803648,13383225344,1123549184,1031700480,0,0,
08-10 22:19:46,4.326,0.998,94.676,0,0,0,0,731860992,13382717440,1123549184,1032142848,0,0,
08-10 22:19:47,6.981,0.487,92.370,0.162,0,0,61440,731418624,13382701056,1123549184,1032593408,0,0,
08-10 22:19:48,5.902,0.492,93.279,0.328,0,0,32768,731590656,13382184960,1123557376,1032921088,0,0,
08-10 22:19:49,5.931,0.824,93.245,0,0,0,8192,731500544,13381660672,1123557376,1033531392,0,0,
08-10 22:19:50,5.931,0.329,93.740,0,0,0,0,731164672,13381419008,1123557376,1034100736,0,0,
08-10 22:19:51,5.620,0.331,93.719,0.331,0,0,4132864,731623424,13380644864,1123561472,1034379264,0,0,
08-10 22:19:52,5.289,0.496,94.215,0,0,0,0,731430912,13380386816,1123561472,1034825728,0,0,
08-10 22:19:53,7.225,0.328,92.447,0,0,0,0,729632768,13381660672,1123561472,1035345920,0,0,
08-10 22:19:54,6.086,0.987,92.599,0.329,0,0,36864,731275264,13379416064,1123569664,1035931648,0,0,
08-10 22:19:55,4.975,0.498,94.527,0,0,0,0,730902528,13379346432,1123569664,1036361728,0,0,
08-10 22:19:56,6.557,0.328,92.951,0.164,0,0,36864,730722304,13379088384,1123569664,1036795904,0,0,
08-10 22:19:57,4.034,0.168,95.798,0,0,0,0,730636288,13378822144,1123569664,1037144064,0,0,
08-10 22:19:58,5.902,0.492,93.607,0,0,0,16384,730255360,13378572288,1123569664,1037762560,0,0,
08-10 22:19:59,6.590,0.329,92.751,0.329,0,0,32768,731631616,13376765952,1123577856,1038172160,0,0,
08-10 22:20:00,5.150,0.332,94.352,0.166,0,0,4153344,732409856,13375467520,1123577856,1038643200,0,0,
