"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","08 Oct 2022 17:43:09 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 17:43:09,3.284,1.158,94.074,1.484,0,14801.774,176644.153,1425080320,14044192768,30068736,840019968,0,0,
08-10 17:43:10,10.016,2.627,83.251,4.105,0,139264,225280,1449279488,13965443072,30081024,892825600,0,0,
08-10 17:43:11,11.551,5.116,82.013,1.320,0,0,49152,1449201664,13965246464,30081024,892825600,0,0,
08-10 17:43:12,10.235,4.530,82.886,2.349,0,0,147456,1449410560,13964783616,30089216,892829696,0,0,
08-10 17:43:13,14.908,5.863,78.559,0.670,0,0,24576,1448599552,13965172736,30089216,892829696,0,0,
08-10 17:43:14,14.020,5.236,77.872,2.872,0,0,159744,1448284160,13965225984,30105600,892833792,0,0,
08-10 17:43:15,14.594,5.141,79.270,0.995,0,0,36864,1448722432,13964603392,30105600,892833792,0,0,
08-10 17:43:16,14.141,5.219,78.451,2.189,0,0,77824,1449713664,13963317248,30105600,892833792,0,0,
08-10 17:43:17,16.033,5.620,76.364,1.983,0,0,53248,1449652224,13963177984,30113792,892837888,0,0,
08-10 17:43:18,13.554,4.959,79.339,2.149,0,0,81920,1449615360,13963014144,30113792,892837888,0,0,
08-10 17:43:19,16.129,5.772,76.570,1.528,0,0,45056,1451450368,13960945664,30121984,892841984,0,0,
08-10 17:43:20,15.091,6.468,75.290,3.151,0,0,102400,1451626496,13960572928,30121984,892841984,0,0,
08-10 17:43:21,14.380,4.628,79.504,1.488,0,0,98304,1451581440,13960392704,30130176,892833792,0,0,
08-10 17:43:22,14.716,4.849,73.913,6.522,0,0,462848,1451487232,13960220672,30162944,892846080,0,0,
08-10 17:43:23,17.957,5.272,75.618,1.153,0,0,49152,1451454464,13960048640,30162944,892850176,0,0,
08-10 17:43:24,9.322,4.068,84.576,2.034,0,0,90112,1452244992,13959028736,30171136,892841984,0,0,
08-10 17:43:25,11.774,4.809,80.763,2.653,0,0,65536,1451855872,13959049216,30171136,892854272,0,0,
08-10 17:43:26,14.618,6.478,78.405,0.498,0,0,57344,1452081152,13958602752,30171136,892854272,0,0,
08-10 17:43:27,14.075,5.401,77.741,2.782,0,0,110592,1452007424,13958397952,30179328,892858368,0,0,
08-10 17:43:28,15.192,5.676,77.629,1.503,0,0,53248,1451974656,13958193152,30179328,892858368,0,0,
08-10 17:43:29,14.476,5.158,78.369,1.997,0,0,73728,1451843584,13958139904,30187520,892854272,0,0,
08-10 17:43:30,17.219,5.629,76.490,0.662,0,0,28672,1452138496,13957599232,30187520,892862464,0,0,
08-10 17:43:31,17.077,5.255,76.190,1.478,0,0,61440,1452109824,13957500928,30187520,892862464,0,0,
08-10 17:43:32,13.644,4.493,79.700,2.163,0,0,106496,1452068864,13957312512,30195712,892866560,0,0,
08-10 17:43:33,17.957,6.590,74.135,1.318,0,0,57344,1452023808,13957156864,30195712,892866560,0,0,
08-10 17:43:34,14.746,4.746,79.492,1.017,0,0,24576,1452265472,13956677632,30195712,892866560,0,0,
08-10 17:43:35,6.788,1.821,88.742,2.649,0,0,118784,1452138496,13956341760,30203904,892870656,0,0,
08-10 17:43:36,5.620,1.322,92.397,0.661,0,0,24576,1452027904,13955874816,30203904,892870656,0,0,
08-10 17:43:37,7.743,1.812,88.138,2.306,0,0,102400,1452179456,13955149824,30212096,892874752,0,0,
08-10 17:43:38,6.312,1.993,90.033,1.661,0,0,53248,1452068864,13954715648,30212096,892874752,0,0,
08-10 17:43:39,6.020,1.505,89.967,2.508,0,0,73728,1453576192,13952704512,30220288,892870656,0,0,
08-10 17:43:40,7.566,1.645,89.474,1.316,0,0,57344,1454190592,13951492096,30220288,892878848,0,0,
08-10 17:43:41,15.333,5.167,78.500,1,0,0,53248,1454120960,13951221760,30220288,892878848,0,0,
08-10 17:43:42,11.716,6.271,70.957,11.056,0,0,51494912,1454075904,13951074304,30228480,892882944,0,0,
08-10 17:43:43,17.057,5.518,75.418,2.007,0,0,77824,1454034944,13950877696,30228480,892882944,0,0,
08-10 17:43:44,19.476,5.892,73.977,0.655,0,0,24576,1455083520,13949591552,30228480,892882944,0,0,
08-10 17:43:45,13.399,4.412,78.431,3.758,0,0,180224,1454968832,13949485056,30236672,892887040,0,0,
