"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs-peer1.dstat.csv",,,,"Date:","08 Oct 2022 17:43:07 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 17:43:07,0.829,0.279,98.482,0.410,0,99240.313,516375.367,724402176,13501194240,1069572096,983162880,0,0,
08-10 17:43:08,0.997,0.332,98.671,0,0,0,0,724393984,13501149184,1069572096,983162880,0,0,
08-10 17:43:09,0.335,0.335,99.330,0,0,0,0,726450176,13499092992,1069572096,983162880,0,0,
08-10 17:43:10,7.431,0.646,91.922,0,0,0,0,727650304,13496954880,1069572096,984055808,0,0,
08-10 17:43:11,3.483,0.663,95.854,0,0,0,0,728965120,13494882304,1069572096,984772608,0,0,
08-10 17:43:12,6.613,1.129,91.774,0.484,0,0,2310144,729284608,13492011008,1069580288,987254784,0,0,
08-10 17:43:13,4.433,0.657,94.745,0.164,0,0,4161536,730304512,13490229248,1069580288,987881472,0,0,
08-10 17:43:14,4.478,1.493,94.030,0,0,0,0,731107328,13488340992,1069580288,988950528,0,0,
08-10 17:43:15,2.833,0.333,96.833,0,0,0,0,730976256,13487407104,1069580288,989974528,0,0,
08-10 17:43:16,4.455,0.660,94.884,0,0,0,0,730644480,13486891008,1069580288,990801920,0,0,
08-10 17:43:17,4.298,0.496,94.876,0.331,0,0,4464640,730931200,13485318144,1069584384,992018432,0,0,
08-10 17:43:18,2.676,0.502,96.823,0,0,0,0,730451968,13484793856,1069584384,993005568,0,0,
08-10 17:43:19,4.139,0.662,94.868,0.331,0,0,32768,730992640,13483245568,1069592576,993984512,0,0,
08-10 17:43:20,4.605,1.151,94.243,0,0,0,0,731086848,13481971712,1069592576,995143680,0,0,
08-10 17:43:21,4.283,0.494,94.893,0.329,0,0,4157440,732127232,13480173568,1069596672,995852288,0,0,
08-10 17:43:22,3.465,0.825,95.710,0,0,0,0,731385856,13479907328,1069596672,996843520,0,0,
