"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-4k-dynamic-4k-lsfs-client1.dstat.csv",,,,"Date:","29 Oct 2022 09:34:01 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 09:34:01,3.495,1.254,93.707,1.543,0,16280.956,155968.673,1407123456,13732728832,135520256,1055748096,0,0,
29-10 09:34:02,8.486,4.326,72.546,14.642,0,180224,44380160,1432174592,13661376512,135548928,1100550144,0,0,
29-10 09:34:03,20.264,1.318,61.120,17.298,0,1040384,217088,1436430336,14088339456,1720320,819515392,0,0,
29-10 09:34:04,14.845,1.468,69.984,13.703,0,10698752,94208,1439223808,14075170816,3014656,828596224,0,0,
29-10 09:34:05,11,3.500,80.333,5.167,0,1495040,28672,1436868608,14075604992,3690496,829771776,0,0,
29-10 09:34:06,12.833,5.667,74.833,6.667,0,1957888,73728,1436368896,14073802752,5656576,829788160,0,0,
29-10 09:34:07,13.355,4.072,81.270,1.303,0,491520,28672,1436078080,14073626624,6135808,829775872,0,0,
29-10 09:34:08,11.706,3.512,81.438,3.344,0,8192,110592,1436057600,14073626624,6152192,829779968,0,0,
29-10 09:34:09,6.547,1.637,89.689,2.128,0,913408,24576,1435656192,14073028608,6619136,830210048,0,0,
29-10 09:34:10,9.046,2.303,80.428,8.224,0,2703360,172032,1433432064,14072496128,6680576,832880640,0,0,
29-10 09:34:11,7.566,1.809,88.816,1.809,0,266240,57344,1433620480,14071906304,6692864,833179648,0,0,
29-10 09:34:12,11.639,3.279,80.492,4.590,0,274432,94208,1433341952,14071832576,6971392,833142784,0,0,
29-10 09:34:13,11.774,3.483,83.582,1.161,0,69632,24576,1433333760,14071799808,7041024,833073152,0,0,
29-10 09:34:14,11.774,4.194,80.161,3.871,0,1376256,102400,1434542080,14069395456,7053312,834256896,0,0,
29-10 09:34:15,7.026,1.797,90.196,0.980,0,0,24576,1434193920,14069477376,7053312,834519040,0,0,
29-10 09:34:16,13.149,3.247,80.357,3.247,0,2273280,65536,1433686016,14067613696,7065600,836780032,0,0,
