"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Oct 2022 12:29:01 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 12:29:01,3.503,1.256,93.697,1.544,0,16420.440,155956.221,1429913600,13882122240,31043584,993767424,0,0,
29-10 12:29:02,11.330,4.762,81.117,2.791,0,172032,196608,1446604800,13810900992,31055872,1046601728,0,0,
29-10 12:29:03,8.224,3.289,86.513,1.974,0,0,73728,1447682048,13809582080,31055872,1046601728,0,0,
29-10 12:29:04,16.920,5.245,76.988,0.846,0,0,24576,1447133184,13809786880,31055872,1046601728,0,0,
29-10 12:29:05,12.438,4.975,80.100,2.488,0,0,131072,1447878656,13808816128,31064064,1046605824,0,0,
29-10 12:29:06,10.407,3.577,84.878,1.138,0,0,40960,1447723008,13808586752,31064064,1046605824,0,0,
29-10 12:29:07,17.190,6.446,74.380,1.983,0,0,143360,1447686144,13808406528,31080448,1046609920,0,0,
29-10 12:29:08,16.972,5.491,76.872,0.666,0,0,32768,1447624704,13808267264,31080448,1046609920,0,0,
29-10 12:29:09,15.308,5.158,76.539,2.995,0,0,118784,1448558592,13807190016,31088640,1046597632,0,0,
29-10 12:29:10,15.182,5.281,78.713,0.825,0,0,28672,1448570880,13806907392,31088640,1046614016,0,0,
29-10 12:29:11,18.914,5.592,74.013,1.480,0,0,61440,1448271872,13806977024,31088640,1046614016,0,0,
29-10 12:29:12,13.889,5.065,80.065,0.980,0,0,90112,1448235008,13806837760,31096832,1046605824,0,0,
29-10 12:29:13,15.397,6.457,76.656,1.490,0,0,57344,1448742912,13806116864,31096832,1046618112,0,0,
29-10 12:29:14,18.718,6.239,74.199,0.843,0,0,24576,1446514688,13808136192,31096832,1046618112,0,0,
29-10 12:29:15,14.309,4.659,78.369,2.662,0,0,122880,1446809600,13807603712,31105024,1046622208,0,0,
29-10 12:29:16,14.943,5.090,78.489,1.478,0,0,36864,1446780928,13807390720,31105024,1046622208,0,0,
29-10 12:29:17,15.512,4.455,78.053,1.980,0,0,81920,1446993920,13807017984,31113216,1046618112,0,0,
29-10 12:29:18,15.372,6.446,77.025,1.157,0,0,57344,1446944768,13806862336,31113216,1046626304,0,0,
29-10 12:29:19,13.605,4.762,79.082,2.551,0,0,307200,1447264256,13806284800,31121408,1046630400,0,0,
29-10 12:29:20,16.887,4.470,77.980,0.662,0,0,24576,1447616512,13805752320,31121408,1046630400,0,0,
29-10 12:29:21,17.162,6.271,73.927,2.640,0,0,102400,1447383040,13805748224,31129600,1046622208,0,0,
29-10 12:29:22,13.201,3.795,82.343,0.660,0,0,28672,1447272448,13805649920,31129600,1046634496,0,0,
29-10 12:29:23,14.883,6.020,77.425,1.672,0,0,53248,1447219200,13805453312,31129600,1046634496,0,0,
29-10 12:29:24,16.863,6.914,75.379,0.843,0,0,32768,1447256064,13805240320,31129600,1046634496,0,0,
29-10 12:29:25,15,5.806,77.742,1.452,0,0,90112,1447178240,13805076480,31137792,1046626304,0,0,
29-10 12:29:26,16.230,5.082,76.885,1.803,0,0,36864,1447415808,13804646400,31137792,1046638592,0,0,
29-10 12:29:27,15.025,5.509,77.462,2.003,0,0,77824,1447124992,13804716032,31145984,1046630400,0,0,
29-10 12:29:28,15.397,5.835,77.634,1.135,0,0,49152,1447575552,13804068864,31145984,1046642688,0,0,
29-10 12:29:29,15.589,5.638,76.783,1.990,0,0,339968,1447747584,13803663360,31154176,1046646784,0,0,
29-10 12:29:30,16.860,5.620,76.198,1.322,0,0,49152,1447743488,13803491328,31154176,1046646784,0,0,
29-10 12:29:31,14.992,4.942,78.418,1.647,0,0,73728,1447673856,13803294720,31154176,1046646784,0,0,
29-10 12:29:32,13.977,5.158,78.203,2.662,0,0,77824,1447624704,13803114496,31162368,1046650880,0,0,
29-10 12:29:33,18.770,6.311,74.110,0.809,0,0,24576,1447903232,13802692608,31162368,1046650880,0,0,
29-10 12:29:34,15.745,6.700,68.007,9.548,0,4096,51720192,1447849984,13802496000,31166464,1046659072,0,0,
29-10 12:29:35,13.735,4.355,80.067,1.843,0,0,122880,1448001536,13802082304,31174656,1046663168,0,0,
29-10 12:29:36,16.415,6.198,75.879,1.508,0,0,57344,1448026112,13801844736,31174656,1046663168,0,0,
29-10 12:29:37,14.495,4.560,80.293,0.651,0,0,24576,1448177664,13801529344,31174656,1046663168,0,0,
29-10 12:29:38,11.853,4.341,79.967,3.840,0,0,122880,1448144896,13801291776,31182848,1046667264,0,0,
29-10 12:29:39,17.667,6.500,74.667,1.167,0,0,28672,1450455040,13798723584,31182848,1046667264,0,0,
29-10 12:29:40,16.890,5.518,75.251,2.341,0,0,114688,1450459136,13798567936,31191040,1046667264,0,0,
29-10 12:29:41,6.931,2.145,89.274,1.650,0,0,53248,1450315776,13798404096,31191040,1046671360,0,0,
29-10 12:29:42,9.866,3.177,84.615,2.341,0,0,81920,1450192896,13798019072,31199232,1046667264,0,0,
29-10 12:29:43,10.927,3.311,84.934,0.828,0,0,24576,1450414080,13797507072,31199232,1046675456,0,0,
29-10 12:29:44,17.420,6.198,74.372,2.010,0,0,110592,1449402368,13798211584,31207424,1046671360,0,0,
29-10 12:29:45,12.706,4.290,82.178,0.825,0,0,24576,1449533440,13797847040,31207424,1046679552,0,0,
29-10 12:29:46,16.167,6,76.333,1.500,0,0,57344,1449484288,13797699584,31207424,1046679552,0,0,
29-10 12:29:47,15.567,4.907,78.849,0.677,0,0,28672,1449508864,13797437440,31207424,1046679552,0,0,
