"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-dynamic-4k-lsfs-client1.dstat.csv",,,,"Date:","09 Oct 2022 05:06:09 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 05:06:09,3.323,1.170,94.019,1.488,0,15334.418,176582.048,1455026176,14001176576,30527488,851636224,0,0,
09-10 05:06:10,8.911,3.960,75.248,11.881,0,49152,4296704,1479278592,13931020288,30527488,896004096,0,0,
09-10 05:06:11,4.500,1.333,66.667,27.500,0,0,40443904,1479135232,13930962944,30580736,896110592,0,0,
09-10 05:06:12,30.819,1.445,48.957,18.780,0,2449408,94208,1481576448,14119792640,2170880,741740544,0,0,
09-10 05:06:13,2.703,0.845,93.243,3.209,0,446464,45056,1482350592,14119018496,2748416,741163008,0,0,
09-10 05:06:14,16.612,4.934,66.776,11.678,0,10637312,98304,1484451840,14105776128,3780608,751259648,0,0,
09-10 05:06:15,14.566,3.764,79.705,1.964,0,0,69632,1483214848,14107041792,3780608,751226880,0,0,
09-10 05:06:16,16.559,4.662,77.010,1.768,0,1228800,53248,1482235904,14107131904,5017600,750878720,0,0,
09-10 05:06:17,16.396,3.409,77.273,2.922,0,266240,65536,1481572352,14107131904,5029888,751529984,0,0,
09-10 05:06:18,15.772,2.764,80.813,0.650,0,0,24576,1481613312,14106935296,5029888,751484928,0,0,
09-10 05:06:19,16.150,4.241,77.488,2.121,0,1040384,77824,1481531392,14105796608,5091328,752459776,0,0,
09-10 05:06:20,15.702,4.463,70.579,9.256,0,1941504,49152,1481539584,14103355392,6795264,752672768,0,0,
09-10 05:06:21,13.719,2.975,81.322,1.983,0,8192,102400,1481392128,14103306240,6811648,752705536,0,0,
09-10 05:06:22,5.882,1.008,88.739,4.370,0,2273280,53248,1481482240,14101209088,6823936,754675712,0,0,
09-10 05:06:23,6.050,2.353,89.580,2.017,0,262144,57344,1480822784,14101266432,6823936,755277824,0,0,
09-10 05:06:24,13.399,4.412,80.392,1.797,0,0,69632,1480617984,14101499904,6832128,755240960,0,0,
09-10 05:06:25,15.635,3.257,78.990,2.117,0,0,81920,1480630272,14101483520,6832128,755245056,0,0,
09-10 05:06:26,14.869,3.922,79.085,2.124,0,106496,49152,1480491008,14101442560,6877184,755314688,0,0,
09-10 05:06:27,14.925,3.648,79.436,1.990,0,0,77824,1480990720,14100885504,6877184,755318784,0,0,
09-10 05:06:28,15.523,3.105,80.065,1.307,0,4096,28672,1481265152,14100611072,6881280,755314688,0,0,
09-10 05:06:29,14.992,4.119,76.277,4.613,0,348160,73728,1481428992,14100094976,6889472,755613696,0,0,
09-10 05:06:30,9.500,2.333,87.333,0.833,0,4096,32768,1481109504,14100336640,6893568,755666944,0,0,
09-10 05:06:31,7.297,1.327,89.055,2.322,0,0,102400,1481101312,14100303872,6901760,755662848,0,0,
09-10 05:06:32,6,1.333,91.333,1.333,0,0,53248,1481084928,14100246528,6901760,755675136,0,0,
09-10 05:06:33,8.059,1.809,86.678,3.454,0,262144,77824,1479913472,14101118976,6909952,755965952,0,0,
09-10 05:06:34,15.285,3.740,80.488,0.488,0,0,24576,1480011776,14101045248,6914048,755937280,0,0,
09-10 05:06:35,14.662,3.789,79.572,1.977,0,8192,81920,1480019968,14101028864,6914048,755945472,0,0,
09-10 05:06:36,14.542,4.085,79.085,2.288,0,147456,73728,1480278016,14100762624,7069696,755798016,0,0,
09-10 05:06:37,13.844,3.420,81.107,1.629,0,0,61440,1478160384,14102728704,7069696,755949568,0,0,
09-10 05:06:38,14.959,3.577,80.976,0.488,0,0,24576,1478053888,14102835200,7069696,755949568,0,0,
09-10 05:06:39,15.686,4.575,74.510,5.229,0,2711552,94208,1479380992,14099222528,7680000,757624832,0,0,
09-10 05:06:40,16.856,4.214,77.472,1.459,0,86016,28672,1478926336,14099222528,7700480,758059008,0,0,
09-10 05:06:41,13.810,3.661,75.208,7.321,0,53248,258048,1478844416,14099222528,7737344,758104064,0,0,
09-10 05:06:42,6.645,1.163,86.877,5.316,0,0,270336,1478791168,14099222528,7737344,758157312,0,0,
09-10 05:06:43,7.987,0.998,88.020,2.995,0,0,94208,1478144000,14099869696,7745536,758149120,0,0,
09-10 05:06:44,5.676,1.169,92.154,1.002,0,0,24576,1478004736,14099996672,7745536,758161408,0,0,
09-10 05:06:45,6.425,1.977,89.292,2.306,0,0,106496,1477992448,14099996672,7753728,758165504,0,0,
09-10 05:06:46,6.908,1.809,90.789,0.493,0,0,24576,1477984256,14100004864,7753728,758165504,0,0,
09-10 05:06:47,7.237,1.809,88.980,1.974,0,0,69632,1478250496,14099738624,7753728,758165504,0,0,
09-10 05:06:48,7.261,1.155,90.429,1.155,0,12288,24576,1478250496,14099730432,7757824,758169600,0,0,
09-10 05:06:49,9.933,2.357,85.522,2.189,0,0,106496,1479684096,14098288640,7766016,758169600,0,0,
09-10 05:06:50,16.176,3.595,79.739,0.490,0,0,28672,1479516160,14098448384,7766016,758177792,0,0,
09-10 05:06:51,16.283,2.632,78.454,2.632,0,0,98304,1480024064,14097932288,7774208,758169600,0,0,
09-10 05:06:52,13.509,3.954,81.384,1.153,0,0,53248,1480019968,14097924096,7774208,758181888,0,0,
09-10 05:06:53,18.182,4.058,75.162,2.597,0,12288,90112,1485131776,14092812288,7929856,758026240,0,0,
09-10 05:06:54,16.938,4.560,60.586,17.915,0,4276224,49152,1491288064,14082093056,10133504,759910400,0,0,
09-10 05:06:55,16.748,5.203,65.691,12.358,0,7553024,53248,1496215552,14069006336,10895360,766906368,0,0,
09-10 05:06:56,15.097,5.032,65.260,14.610,0,14209024,245760,1500569600,14049914880,12189696,779980800,0,0,
09-10 05:06:57,12.893,2.479,73.223,11.405,0,39514112,45056,1486114816,14024556544,12603392,819019776,0,0,
09-10 05:06:58,8.027,1.505,86.957,3.512,0,851968,57344,1486258176,14023733248,12607488,819793920,0,0,
09-10 05:06:59,11.457,2.782,83.142,2.619,0,16384,208896,1486196736,14023774208,12632064,819789824,0,0,
09-10 05:07:00,16.452,4.032,78.387,1.129,0,0,53248,1486196736,14023766016,12632064,819798016,0,0,
09-10 05:07:01,8.746,2.475,84.818,3.960,0,8192,73728,1482997760,14026936320,12648448,819793920,0,0,
09-10 05:07:02,5.228,1.180,91.568,2.024,0,0,65536,1483014144,14026911744,12648448,819802112,0,0,
09-10 05:07:03,6.645,1.993,88.704,2.658,0,106496,45056,1479753728,14030168064,12685312,819769344,0,0,
09-10 05:07:04,6.040,1.342,89.597,3.020,0,0,98304,1479557120,14030258176,12693504,819867648,0,0,
09-10 05:07:05,5.500,1.833,91.500,1.167,0,0,49152,1479540736,14030266368,12693504,819875840,0,0,
09-10 05:07:06,6.667,1.667,86.833,4.833,0,28672,94208,1480073216,14029717504,12722176,819859456,0,0,
09-10 05:07:07,5.396,1.518,91.568,1.518,0,20480,45056,1479991296,14029758464,12742656,819875840,0,0,
09-10 05:07:08,10.948,2.288,86.111,0.654,0,0,53248,1479987200,14029750272,12750848,819879936,0,0,
09-10 05:07:09,15.271,4.105,77.997,2.627,0,0,49152,1480970240,14028759040,12750848,819888128,0,0,
09-10 05:07:10,15.137,4.026,80.193,0.644,0,16384,32768,1480773632,14028951552,12767232,819875840,0,0,
