"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer2",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-dynamic-4k-lsfs-peer2.dstat.csv",,,,"Date:","09 Oct 2022 02:39:11 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 02:39:11,0.847,0.281,98.462,0.410,0,98748.825,532515.196,745426944,13304123392,1217904640,995782656,0,0,
09-10 02:39:12,0.167,0.167,99.666,0,0,0,0,745750528,13303586816,1217904640,995778560,0,0,
09-10 02:39:13,1.167,0.833,98,0,0,0,0,745414656,13303922688,1217904640,995778560,0,0,
09-10 02:39:14,0.670,0.503,98.492,0.335,0,0,102400,747032576,13302288384,1217912832,995778560,0,0,
09-10 02:39:15,0.334,0,99.666,0,0,0,0,746500096,13302820864,1217912832,995778560,0,0,
09-10 02:39:16,0.499,0,99.334,0.166,0,0,32768,746500096,13302820864,1217912832,995778560,0,0,
09-10 02:39:17,0.167,0,99.833,0,0,0,0,746500096,13302820864,1217912832,995778560,0,0,
09-10 02:39:18,5.792,1.874,91.652,0.681,0,0,8634368,755699712,13281914880,1217912832,1006759936,0,0,
09-10 02:39:19,4.866,1.510,92.785,0.839,0,0,8695808,756363264,13274771456,1217916928,1012953088,0,0,
09-10 02:39:20,7.873,2.680,88.777,0.670,0,0,8613888,754614272,13260898304,1217916928,1028198400,0,0,
09-10 02:39:21,9.333,3.167,84,3.500,0,0,51970048,754384896,13246349312,1217941504,1042636800,0,0,
09-10 02:39:22,9.596,3.199,85.859,1.347,0,0,23744512,754221056,13227479040,1217949696,1061146624,0,0,
09-10 02:39:23,10.961,3.710,80.270,5.059,0,0,93208576,754659328,13188075520,1217982464,1098686464,0,0,
09-10 02:39:24,11.736,4.298,82.149,1.818,0,0,28131328,753733632,13186543616,1217986560,1101398016,0,0,
09-10 02:39:25,10.282,3.980,82.753,2.985,0,0,52035584,755109888,13172011008,1217990656,1113993216,0,0,
09-10 02:39:26,3.384,1.015,95.431,0.169,0,0,4325376,754737152,13166333952,1217994752,1119842304,0,0,
09-10 02:39:27,4.341,1.836,92.487,1.336,0,0,21573632,755621888,13159350272,1217998848,1125773312,0,0,
09-10 02:39:28,9.259,3.872,84.343,2.525,0,0,51929088,755724288,13140705280,1218011136,1143840768,0,0,
09-10 02:39:29,11.558,2.848,83.752,1.843,0,0,30142464,755449856,13121560576,1218023424,1162690560,0,0,
09-10 02:39:30,9.768,5.464,81.457,3.311,0,0,68857856,754806784,13102997504,1218043904,1181196288,0,0,
09-10 02:39:31,11.616,2.525,84.680,1.178,0,0,27250688,753336320,13079900160,1218052096,1205321728,0,0,
09-10 02:39:32,10.526,4.441,81.743,3.289,0,0,60657664,754458624,13064818688,1218097152,1218658304,0,0,
09-10 02:39:33,12.007,4.112,82.072,1.809,0,0,28086272,755404800,13046337536,1218121728,1235709952,0,0,
09-10 02:39:34,11.223,5.193,79.564,4.020,0,0,64323584,754139136,13025996800,1218183168,1256517632,0,0,
09-10 02:39:35,10.649,4.659,83.028,1.664,0,0,27963392,753897472,13005262848,1218207744,1276923904,0,0,
09-10 02:39:36,12.191,4.119,79.572,4.119,0,0,68366336,755118080,12984610816,1218236416,1295831040,0,0,
09-10 02:39:37,10.201,3.512,84.783,1.505,0,0,23576576,755449856,12965081088,1218236416,1314549760,0,0,
09-10 02:39:38,8.733,3.082,84.247,3.938,0,0,63496192,754925568,12947726336,1218265088,1331970048,0,0,
09-10 02:39:39,10.588,3.697,84.202,1.513,0,0,27758592,753934336,12923047936,1218273280,1357029376,0,0,
09-10 02:39:40,13.058,3.967,79.008,3.967,0,0,67985408,754216960,12903313408,1218330624,1375555584,0,0,
09-10 02:39:41,10.221,2.726,83.816,3.237,0,0,23539712,754581504,12886323200,1218334720,1391898624,0,0,
09-10 02:39:42,11.678,3.947,80.592,3.783,0,0,62910464,754458624,12868243456,1218375680,1409519616,0,0,
09-10 02:39:43,11.494,4.105,83.580,0.821,0,0,17342464,754937856,12847915008,1218379776,1429012480,0,0,
09-10 02:39:44,10.403,4.195,83.221,2.181,0,0,43565056,753844224,12810186752,1218396160,1467076608,0,0,
09-10 02:39:45,9.060,4.195,82.550,4.195,0,0,58224640,754466816,12814348288,1218437120,1461850112,0,0,
09-10 02:39:46,5.667,2.833,90.333,1.167,0,0,8818688,754757632,12803137536,1218449408,1472430080,0,0,
09-10 02:39:47,9.532,2.843,86.288,1.338,0,0,17571840,754544640,12786089984,1218461696,1489321984,0,0,
09-10 02:39:48,9.548,3.685,85.092,1.675,0,0,21954560,755216384,12766212096,1218478080,1508003840,0,0,
09-10 02:39:49,8.020,2.048,88.908,1.024,0,0,13213696,753561600,12752093184,1218482176,1523331072,0,0,
09-10 02:39:50,11.551,4.125,82.673,1.650,0,0,22093824,753963008,12730757120,1218486272,1543737344,0,0,
09-10 02:39:51,10.702,4.013,83.110,2.174,0,0,22020096,753782784,12708933632,1218514944,1565011968,0,0,
09-10 02:39:52,11.784,4.583,82.160,1.473,0,0,21991424,754221056,12687929344,1218531328,1585143808,0,0,
09-10 02:39:53,10.403,4.530,83.389,1.678,0,0,21925888,753844224,12664004608,1218547712,1608839168,0,0,
09-10 02:39:54,10.379,4.119,84.020,1.483,0,0,17645568,754995200,12648812544,1218568192,1622396928,0,0,
09-10 02:39:55,8.305,3.220,87.288,1.186,0,0,17571840,754696192,12630786048,1218580480,1640103936,0,0,
09-10 02:39:56,10.184,3.172,83.472,3.172,0,0,37330944,754954240,12613033984,1218609152,1657004032,0,0,
09-10 02:39:57,11.716,4.455,81.023,2.805,0,0,52293632,755077120,12592844800,1218641920,1676533760,0,0,
09-10 02:39:58,10.231,4.455,82.838,2.475,0,0,43327488,752984064,12577030144,1218662400,1693777920,0,0,
09-10 02:39:59,11.755,4.636,80.298,3.311,0,0,58560512,752971776,12550602752,1218695168,1719541760,0,0,
09-10 02:40:00,12.191,4.448,80.560,2.801,0,0,55783424,754339840,12535222272,1218707456,1733111808,0,0,
09-10 02:40:01,11.037,3.679,83.110,2.174,0,0,47210496,752721920,12516462592,1218719744,1752862720,0,0,
09-10 02:40:02,9.883,3.015,85.427,1.675,0,0,42786816,752447488,12499136512,1218760704,1769975808,0,0,
09-10 02:40:03,12.914,4.470,80.960,1.656,0,0,55611392,753442816,12475617280,1218781184,1791774720,0,0,
09-10 02:40:04,6.187,2.341,89.799,1.672,0,0,27508736,754266112,12468248576,1218793472,1797894144,0,0,
09-10 02:40:05,7.641,2.990,87.375,1.993,0,0,31711232,754364416,12455272448,1218801664,1810464768,0,0,
09-10 02:40:06,10.265,3.974,82.450,3.311,0,0,48771072,753709056,12437872640,1218822144,1827930112,0,0,
09-10 02:40:07,5.705,2.181,90.604,1.510,0,0,21098496,754143232,12427976704,1218822144,1837387776,0,0,
09-10 02:40:08,7.215,3.356,86.577,2.852,0,0,42020864,753995776,12413718528,1218859008,1851269120,0,0,
09-10 02:40:09,4.508,1.836,93.322,0.334,0,0,45056,754032640,12407881728,1218863104,1856966656,0,0,
09-10 02:40:10,6.678,3.005,87.145,3.172,0,0,48955392,753483776,12390223872,1218887680,1874554880,0,0,
09-10 02:40:11,12.215,4.886,80.293,2.606,0,0,43585536,753377280,12376883200,1218908160,1887698944,0,0,
09-10 02:40:12,12.662,5.195,79.545,2.597,0,4096,48103424,754053120,12355891200,1218945024,1907265536,0,0,
09-10 02:40:13,7.538,3.518,86.600,2.345,0,0,43585536,755253248,12342296576,1218961408,1919254528,0,0,
09-10 02:40:14,6.540,2.410,89.329,1.721,0,0,20717568,754225152,12329226240,1218973696,1933148160,0,0,
09-10 02:40:15,11.448,3.367,81.145,4.040,0,0,71168000,755036160,12307808256,1219010560,1952948224,0,0,
09-10 02:40:16,7.285,2.649,89.238,0.828,0,0,20557824,754921472,12297109504,1219018752,1963524096,0,0,
09-10 02:40:17,8.403,2.857,87.227,1.513,0,0,43864064,753324032,12278693888,1219035136,1983139840,0,0,
09-10 02:40:18,10.455,4.216,83.305,2.024,0,0,47484928,754876416,12261208064,1219063808,1998401536,0,0,
09-10 02:40:19,7.426,2.475,88.944,1.155,0,0,22515712,754958336,12251684864,1219080192,2007576576,0,0,
09-10 02:40:20,4.216,1.012,93.423,1.349,0,0,21106688,754016256,12246351872,1219084288,2013679616,0,0,
09-10 02:40:21,3.571,1.020,93.878,1.531,0,0,16855040,754638848,12235059200,1219096576,2024095744,0,0,
09-10 02:40:22,6.689,2.174,89.130,2.007,0,0,30425088,755286016,12227813376,1219104768,2030354432,0,0,
09-10 02:40:23,7,2.833,88.667,1.500,0,0,20230144,753856512,12218232832,1219108864,2041126912,0,0,
09-10 02:40:24,7.578,2.965,88.138,1.318,0,0,22487040,752881664,12208615424,1219121152,2051424256,0,0,
09-10 02:40:25,8.122,3.384,85.956,2.538,0,0,45490176,754053120,12191555584,1219137536,2066886656,0,0,
09-10 02:40:26,10.252,3.866,83.361,2.521,0,0,44433408,753831936,12171796480,1219153920,2086178816,0,0,
09-10 02:40:27,5.882,2.353,89.748,2.017,0,0,33128448,754585600,12160970752,1219166208,2095796224,0,0,
09-10 02:40:28,8.955,3.648,85.406,1.990,0,0,33099776,754176000,12145135616,1219166208,2111737856,0,0,
09-10 02:40:29,10.631,3.156,83.555,2.658,0,0,44142592,754298880,12128956416,1219190784,2127294464,0,0,
09-10 02:40:30,9.866,2.843,84.448,2.843,0,0,46014464,754417664,12111794176,1219211264,2143842304,0,0,
09-10 02:40:31,11.296,4.319,82.558,1.827,0,0,50532352,754311168,12088090624,1219231744,2167115776,0,0,
09-10 02:40:32,12.211,4.785,81.023,1.980,0,0,60121088,754638848,12069588992,1219252224,2184482816,0,0,
09-10 02:40:33,7.781,2.649,88.742,0.828,0,0,21774336,755679232,12058775552,1219252224,2194128896,0,0,
09-10 02:40:34,5.316,2.658,90.199,1.827,0,0,21790720,756109312,12050690048,1219260416,2201583616,0,0,
09-10 02:40:35,6,2,90.667,1.333,0,0,22929408,755908608,12041678848,1219272704,2210504704,0,0,
09-10 02:40:36,11.755,3.974,81.954,2.318,0,0,43503616,754614272,12022243328,1219284992,2230784000,0,0,
09-10 02:40:37,10.218,4.020,82.747,3.015,0,0,56279040,755146752,11995418624,1219293184,2256572416,0,0,
09-10 02:40:38,9.444,2.867,84.992,2.698,0,0,45539328,756142080,11984289792,1219305472,2265935872,0,0,
09-10 02:40:39,4.849,1.839,92.475,0.836,0,0,9662464,755941376,11978190848,1219313664,2272055296,0,0,
09-10 02:40:40,9.437,3.311,84.437,2.815,0,0,44118016,755257344,11962966016,1219330048,2287648768,0,0,
09-10 02:40:41,10.403,4.027,83.054,2.517,0,0,44670976,753897472,11944476672,1219342336,2306871296,0,0,
09-10 02:40:42,8.292,3.483,85.738,2.488,0,0,43970560,755752960,11929403392,1219354624,2319634432,0,0,
09-10 02:40:43,5.843,1.836,91.653,0.668,0,0,11747328,756912128,11918180352,1219362816,2329477120,0,0,
09-10 02:40:44,7.797,3.898,85.763,2.542,0,0,37498880,754475008,11903070208,1219366912,2346639360,0,0,
09-10 02:40:45,11.111,4.643,80.597,3.648,0,0,60067840,755777536,11879944192,1219403776,2367827968,0,0,
09-10 02:40:46,4.195,1.846,93.456,0.503,0,0,11620352,756097024,11878858752,1219411968,2368339968,0,0,
09-10 02:40:47,4.370,1.849,93.277,0.504,0,0,17473536,755314688,11869515776,1219416064,2378313728,0,0,
09-10 02:40:48,10.328,4.262,83.770,1.639,0,0,46170112,754458624,11851108352,1219432448,2397085696,0,0,
09-10 02:40:49,11.409,4.195,82.215,2.181,0,0,54685696,757039104,11832320000,1219457024,2412638208,0,0,
09-10 02:40:50,8.319,2.995,87.687,0.998,0,0,24621056,755519488,11817394176,1219469312,2428710912,0,0,
09-10 02:40:51,11.538,4.348,81.940,2.174,0,0,61353984,756350976,11796910080,1219497984,2447478784,0,0,
09-10 02:40:52,9,2.667,86.833,1.500,0,0,33275904,756293632,11782275072,1219514368,2461798400,0,0,
09-10 02:40:53,8.347,2.504,86.978,2.170,0,0,33787904,756535296,11770527744,1219518464,2473005056,0,0,
09-10 02:40:54,7.383,2.517,88.255,1.846,0,0,22306816,755343360,11759521792,1219543040,2484903936,0,0,
09-10 02:40:55,8.581,2.970,86.469,1.980,0,0,41361408,755085312,11742924800,1219559424,2501431296,0,0,
09-10 02:40:56,11.386,4.290,81.353,2.970,0,0,47128576,756002816,11725979648,1219588096,2516717568,0,0,
09-10 02:40:57,5.882,2.185,90.588,1.345,0,0,22278144,756150272,11716128768,1219604480,2526134272,0,0,
09-10 02:40:58,5.455,1.818,91.405,1.322,0,0,22241280,756580352,11709403136,1219608576,2532253696,0,0,
09-10 02:40:59,12.644,4.105,80.788,2.463,0,0,43872256,755666944,11689725952,1219624960,2552381440,0,0,
09-10 02:41:00,8.388,3.125,86.349,2.138,0,0,45727744,756875264,11676241920,1219633152,2564177920,0,0,
09-10 02:41:01,6.511,3.005,88.982,1.503,0,0,24113152,756264960,11665108992,1219649536,2575601664,0,0,
09-10 02:41:02,3.697,2.017,92.773,1.513,0,0,21663744,757170176,11657859072,1219665920,2581716992,0,0,
09-10 02:41:03,9.045,3.183,86.432,1.340,0,0,21549056,756920320,11643056128,1219670016,2596495360,0,0,
09-10 02:41:04,7.966,2.542,86.271,3.220,0,0,46239744,756465664,11629666304,1219678208,2609868800,0,0,
09-10 02:41:05,4.040,1.515,92.761,1.684,0,0,24207360,756297728,11623411712,1219682304,2616041472,0,0,
09-10 02:41:06,10.837,4.269,81.938,2.956,0,0,43675648,756912128,11604013056,1219710976,2634174464,0,0,
09-10 02:41:07,11.352,3.840,81.970,2.838,0,0,46067712,755875840,11584344064,1219715072,2654429184,0,0,
09-10 02:41:08,7.035,2.345,88.610,2.010,0,0,32747520,755752960,11572400128,1219747840,2666082304,0,0,
09-10 02:41:09,8.615,2.703,86.655,2.027,0,0,34664448,755372032,11558170624,1219764224,2680221696,0,0,
09-10 02:41:10,6.302,3.151,89.386,1.161,0,0,21708800,755949568,11547332608,1219776512,2690322432,0,0,
09-10 02:41:11,11.258,3.808,81.788,3.146,0,0,54407168,755277824,11520430080,1219784704,2717417472,0,0,
09-10 02:41:12,8.557,2.685,86.577,2.181,0,0,37138432,756015104,11513376768,1219805184,2723164160,0,0,
09-10 02:41:13,7.797,3.220,87.458,1.525,0,0,45502464,757854208,11497795584,1219842048,2736357376,0,0,
09-10 02:41:14,8.896,3.789,85.832,1.483,0,0,26001408,755712000,11481714688,1219854336,2754355200,0,0,
09-10 02:41:15,11.921,4.636,80.298,3.146,0,0,66871296,757813248,11463393280,1219878912,2769948672,0,0,
09-10 02:41:16,4.643,1.990,92.703,0.663,0,0,10756096,756457472,11457818624,1219878912,2776535040,0,0,
09-10 02:41:17,8.221,3.356,86.745,1.678,0,0,32231424,755879936,11443003392,1219883008,2791514112,0,0,
09-10 02:41:18,11.755,3.974,80.960,3.311,0,0,60944384,755339264,11414343680,1219891200,2820272128,0,0,
09-10 02:41:19,8.624,2.488,87.065,1.824,0,0,28954624,755228672,11410927616,1219915776,2823393280,0,0,
09-10 02:41:20,8.388,3.289,86.349,1.974,0,0,34131968,756400128,11396751360,1219936256,2835791872,0,0,
09-10 02:41:21,3.710,1.518,94.266,0.506,0,0,12787712,756092928,11391475712,1219940352,2841296896,0,0,
09-10 02:41:22,9.752,4.463,83.636,2.149,0,0,46813184,756858880,11373355008,1219956736,2858151936,0,0,
09-10 02:41:23,11.601,4.412,81.863,2.124,0,0,44302336,757641216,11355500544,1219977216,2874695680,0,0,
09-10 02:41:24,8.581,4.125,84.653,2.640,0,0,48324608,758620160,11340578816,1219993600,2888134656,0,0,
09-10 02:41:25,9.060,2.393,85.641,2.906,0,0,44068864,758284288,11323412480,1220018176,2905108480,0,0,
09-10 02:41:26,7.616,2.483,88.742,1.159,0,0,22966272,758210560,11312799744,1220030464,2915688448,0,0,
09-10 02:41:27,9.548,2.513,84.925,3.015,0,0,46067712,757125120,11297456128,1220046848,2931613696,0,0,
09-10 02:41:28,8.059,3.289,87.829,0.822,0,0,20791296,756772864,11285385216,1220059136,2943774720,0,0,
09-10 02:41:29,8.333,3.667,85.333,2.667,0,0,45846528,758132736,11269681152,1220096000,2957500416,0,0,
09-10 02:41:30,8.754,3.199,85.690,2.357,0,0,45404160,756711424,11241639936,1220120576,2986770432,0,0,
09-10 02:41:31,4.809,2.156,92.869,0.166,0,0,1425408,756412416,11243704320,1220120576,2984673280,0,0,
09-10 02:41:32,11.973,3.204,81.282,3.541,0,0,67579904,757518336,11225976832,1220141056,3000578048,0,0,
09-10 02:41:33,12.993,4.112,80.592,2.303,0,0,43237376,755986432,11207647232,1220182016,3019845632,0,0,
09-10 02:41:34,10.068,4.096,83.276,2.560,0,0,52477952,756195328,11185065984,1220214784,3041632256,0,0,
09-10 02:41:35,5.657,2.163,91.348,0.832,0,0,16728064,755994624,11178872832,1220214784,3047784448,0,0,
09-10 02:41:36,8.681,2.170,86.477,2.671,0,0,42872832,756850688,11163815936,1220239360,3061497856,0,0,
