"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-60000-lsfs-peer1.dstat.csv",,,,"Date:","09 Oct 2022 20:10:44 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 20:10:44,0.886,0.289,98.416,0.409,0,97897.705,555676.137,725204992,13362782208,1313083392,869421056,0,0,
09-10 20:10:45,0.334,0,99.331,0.334,0,0,81920,725475328,13362507776,1313087488,869416960,0,0,
09-10 20:10:46,1.498,0.666,97.837,0,0,0,0,732119040,13355552768,1313087488,869416960,0,0,
09-10 20:10:47,0.664,0,99.336,0,0,0,0,732409856,13355261952,1313087488,869416960,0,0,
09-10 20:10:48,2.838,0.501,96.661,0,0,0,0,733421568,13354229760,1313087488,869429248,0,0,
09-10 20:10:49,7.107,1.653,91.240,0,0,0,0,736280576,13350260736,1313087488,870412288,0,0,
09-10 20:10:50,5.124,1.157,93.388,0.331,0,0,118784,735989760,13349736448,1313095680,871198720,0,0,
09-10 20:10:51,2.862,0.842,96.296,0,0,0,0,735707136,13348921344,1313095680,872235008,0,0,
09-10 20:10:52,3.685,0.838,95.477,0,0,0,0,737390592,13346324480,1313095680,873091072,0,0,
09-10 20:10:53,3.673,0.501,95.826,0,0,0,0,737472512,13345275904,1313095680,874012672,0,0,
09-10 20:10:54,4.698,1.510,93.792,0,0,0,0,741781504,13339734016,1313095680,875200512,0,0,
09-10 20:10:55,3.188,0.839,94.295,1.678,0,0,139264,741969920,13338525696,1313103872,876167168,0,0,
09-10 20:10:56,3.188,1.007,95.638,0.168,0,0,4186112,743481344,13335896064,1313107968,877129728,0,0,
09-10 20:10:57,2.689,1.008,96.303,0,0,0,0,743383040,13335138304,1313107968,877965312,0,0,
09-10 20:10:58,4.007,0.835,94.992,0.167,0,0,4161536,743063552,13334364160,1313107968,878927872,0,0,
09-10 20:10:59,3.506,1.336,95.159,0,0,0,0,743317504,13333180416,1313107968,879849472,0,0,
09-10 20:11:00,3.035,0.506,96.459,0,0,0,0,742232064,13333331968,1313107968,880771072,0,0,
09-10 20:11:01,3.814,1.161,94.693,0.332,0,0,32768,742092800,13332557824,1313116160,881651712,0,0,
09-10 20:11:02,3.679,1.003,95.318,0,0,0,0,741552128,13332041728,1313116160,882688000,0,0,
09-10 20:11:03,2.530,1.012,96.290,0.169,0,0,36864,740806656,13331783680,1313116160,883666944,0,0,
09-10 20:11:04,5.333,1.833,92.667,0.167,0,0,4194304,744255488,13327093760,1313116160,884891648,0,0,
09-10 20:11:05,4,1,95,0,0,0,0,743497728,13326831616,1313116160,885846016,0,0,
09-10 20:11:06,3.518,0.838,95.477,0.168,0,0,4169728,743849984,13325541376,1313116160,886747136,0,0,
09-10 20:11:07,3.679,0.836,95.151,0.334,0,0,36864,743047168,13325283328,1313124352,887783424,0,0,
09-10 20:11:08,3.654,1.329,95.017,0,0,0,0,742866944,13324509184,1313124352,888725504,0,0,
09-10 20:11:09,4.636,1.490,93.874,0,0,0,0,743837696,13322702848,1313124352,889544704,0,0,
09-10 20:11:10,3.648,1.327,95.025,0,0,0,0,742944768,13322444800,1313124352,890658816,0,0,
09-10 20:11:11,2.867,1.012,95.784,0.337,0,0,36864,742797312,13321662464,1313124352,891576320,0,0,
09-10 20:11:12,3.673,1.002,95.326,0,0,0,0,742371328,13321154560,1313124352,892485632,0,0,
09-10 20:11:13,4.153,0.997,94.684,0.166,0,0,4165632,742039552,13320314880,1313124352,893546496,0,0,
09-10 20:11:14,4.866,1.678,92.953,0.503,0,0,4218880,744566784,13316444160,1313132544,894865408,0,0,
09-10 20:11:15,4.478,0.995,94.527,0,0,0,0,743665664,13316411392,1313132544,895754240,0,0,
09-10 20:11:16,3.529,0.672,95.798,0,0,0,0,743751680,13315379200,1313132544,896684032,0,0,
09-10 20:11:17,4.167,0.833,95,0,0,0,0,743075840,13315121152,1313132544,897597440,0,0,
09-10 20:11:18,3.987,0.997,95.017,0,0,0,0,742580224,13314605056,1313132544,898596864,0,0,
09-10 20:11:19,3.523,1.174,94.799,0.503,0,0,90112,743116800,13313003520,1313140736,899629056,0,0,
09-10 20:11:20,4.659,0.666,94.676,0,0,0,0,743403520,13311766528,1313140736,900550656,0,0,
09-10 20:11:21,3.193,1.176,95.462,0.168,0,0,4161536,743182336,13310992384,1313144832,901500928,0,0,
09-10 20:11:22,3.541,0.843,95.616,0,0,0,0,743047168,13310160896,1313144832,902447104,0,0,
