"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-1000-lsfs-peer1.dstat.csv",,,,"Date:","09 Oct 2022 13:45:32 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 13:45:32,0.872,0.286,98.432,0.410,0,98243.144,552816.129,722137088,13429899264,1274011648,854519808,0,0,
09-10 13:45:33,1.165,0.166,98.669,0,0,0,4096,720719872,13431230464,1274011648,854515712,0,0,
09-10 13:45:34,2.322,1.161,96.517,0,0,0,0,729444352,13422297088,1274011648,854519808,0,0,
09-10 13:45:35,0.168,0,99.330,0.503,0,0,98304,729587712,13422133248,1274019840,854511616,0,0,
09-10 13:45:36,1.005,1.005,97.990,0,0,0,0,730042368,13421600768,1274019840,854573056,0,0,
09-10 13:45:37,6.645,0.831,92.525,0,0,0,798720,729870336,13421019136,1274019840,855240704,0,0,
09-10 13:45:38,4.485,0.997,94.518,0,0,0,16384,729882624,13420494848,1274019840,855715840,0,0,
09-10 13:45:39,2.990,1.495,95.515,0,0,0,114688,731848704,13418422272,1274019840,855822336,0,0,
09-10 13:45:40,0.334,0.167,99.499,0,0,0,0,731590656,13418680320,1274019840,855822336,0,0,
09-10 13:45:41,2.174,0.167,95.318,2.341,0,0,53248,731557888,13418696704,1274028032,855830528,0,0,
09-10 13:45:42,4.849,1.171,93.980,0,0,0,0,731275264,13418147840,1274028032,856616960,0,0,
09-10 13:45:43,6.511,1.836,91.486,0.167,0,0,24576,731545600,13416308736,1274028032,858116096,0,0,
09-10 13:45:44,7.370,1.843,90.787,0,0,0,4096,734916608,13411115008,1274028032,859860992,0,0,
09-10 13:45:45,10.744,2.314,86.777,0.165,0,0,4218880,737677312,13404971008,1274028032,862998528,0,0,
09-10 13:45:46,10,1.500,88.167,0.333,0,0,4272128,738238464,13400727552,1274032128,866512896,0,0,
09-10 13:45:47,11.330,2.135,86.371,0.164,0,0,4096,737497088,13397889024,1274032128,870019072,0,0,
09-10 13:45:48,7.463,1.327,90.879,0.332,0,0,8486912,738480128,13394984960,1274032128,871710720,0,0,
09-10 13:45:49,6.833,1.333,91.833,0,0,0,0,739926016,13392302080,1274032128,872927232,0,0,
09-10 13:45:50,4.698,1.174,94.128,0,0,0,0,739753984,13391114240,1274032128,874258432,0,0,
09-10 13:45:51,6.478,1.661,91.860,0,0,0,0,738607104,13390598144,1274032128,875896832,0,0,
09-10 13:45:52,6.667,1.500,90.833,1,0,0,40960,737882112,13389824000,1274040320,877355008,0,0,
09-10 13:45:53,7.987,1.664,90.017,0.333,0,0,4255744,738672640,13387538432,1274040320,878710784,0,0,
09-10 13:45:54,6.136,0.995,92.869,0,0,0,0,741384192,13383581696,1274040320,880005120,0,0,
09-10 13:45:55,6.522,1.505,91.806,0.167,0,0,4243456,740478976,13382807552,1274040320,881643520,0,0,
09-10 13:45:56,6.845,1.503,91.653,0,0,0,0,739569664,13382291456,1274040320,883036160,0,0,
09-10 13:45:57,5.882,1.176,92.605,0.336,0,0,36864,738721792,13381775360,1274048512,884379648,0,0,
09-10 13:45:58,5.333,0.667,94,0,0,0,0,738324480,13381001216,1274048512,885522432,0,0,
09-10 13:45:59,6.988,1.997,91.015,0,0,0,0,739618816,13378162688,1274048512,887021568,0,0,
09-10 13:46:00,7.426,1.320,90.759,0.495,0,0,8507392,740548608,13375840256,1274048512,888311808,0,0,
09-10 13:46:01,6.106,1.485,92.409,0,0,0,0,740732928,13374550016,1274048512,889401344,0,0,
09-10 13:46:02,7.321,1.165,91.514,0,0,0,0,739151872,13374291968,1274048512,891215872,0,0,
09-10 13:46:03,7.215,2.013,90.436,0.336,0,0,36864,739241984,13372485632,1274056704,892887040,0,0,
09-10 13:46:04,5.863,2.010,92.127,0,0,0,0,741224448,13369131008,1274056704,894230528,0,0,
09-10 13:46:05,6.942,0.992,91.736,0.331,0,0,40960,740466688,13368356864,1274056704,895737856,0,0,
09-10 13:46:06,7.261,1.650,90.594,0.495,0,0,8474624,739868672,13367308288,1274060800,897216512,0,0,
09-10 13:46:07,7.167,1.333,91.500,0,0,0,0,739962880,13365760000,1274060800,898658304,0,0,
09-10 13:46:08,5.872,1.174,92.617,0.336,0,0,86016,739459072,13364985856,1274068992,899895296,0,0,
09-10 13:46:09,5.824,0.832,93.344,0,0,0,520192,740433920,13362663424,1274068992,901222400,0,0,
09-10 13:46:10,6.689,1.003,92.308,0,0,0,0,739586048,13362147328,1274068992,902569984,0,0,
09-10 13:46:11,6.711,1.007,92.114,0.168,0,0,40960,738779136,13361373184,1274073088,904118272,0,0,
09-10 13:46:12,7.553,1.478,90.805,0.164,0,0,4218880,739418112,13359292416,1274077184,905502720,0,0,
09-10 13:46:13,7.321,1.997,89.185,1.498,0,0,31596544,738889728,13368774656,1274097664,896610304,0,0,
09-10 13:46:14,7.833,1.500,90.667,0,0,0,45056,740409344,13365678080,1274097664,898179072,0,0,
09-10 13:46:15,9.833,1.667,88.500,0,0,0,0,739557376,13363613696,1274097664,901062656,0,0,
09-10 13:46:16,11.149,1.689,86.149,1.014,0,0,32555008,739012608,13371805696,1274105856,893411328,0,0,
09-10 13:46:17,10.518,1.836,87.646,0,0,0,0,739328000,13368193024,1274105856,896688128,0,0,
09-10 13:46:18,4.174,1.169,94.157,0.501,0,0,49152,738820096,13367160832,1274114048,898207744,0,0,
09-10 13:46:19,7.641,1.993,90.033,0.332,0,0,4235264,739753984,13364580352,1274118144,899735552,0,0,
09-10 13:46:20,6.071,1.518,92.074,0.337,0,0,4235264,740958208,13361741824,1274118144,901369856,0,0,
09-10 13:46:21,6.711,1.342,91.946,0,0,0,0,740618240,13360701440,1274118144,902742016,0,0,
09-10 13:46:22,7.249,0.988,91.763,0,0,0,0,739500032,13359935488,1274118144,904622080,0,0,
09-10 13:46:23,6.868,1.340,91.792,0,0,0,0,740126720,13357871104,1274118144,906035200,0,0,
09-10 13:46:24,6.811,1.661,91.030,0.498,0,0,40960,741273600,13355290624,1274126336,907431936,0,0,
09-10 13:46:25,5.351,0.836,93.478,0.334,0,0,4243456,741539840,13353484288,1274126336,908922880,0,0,
09-10 13:46:26,8.567,1.812,89.292,0.329,0,0,4231168,740831232,13352452096,1274126336,910610432,0,0,
09-10 13:46:27,6.468,1.658,91.874,0,0,0,0,740327424,13351677952,1274126336,911876096,0,0,
09-10 13:46:28,6.623,0.993,92.384,0,0,0,0,739561472,13351161856,1274126336,913149952,0,0,
09-10 13:46:29,7.131,1.161,91.376,0.332,0,0,36864,741031936,13348167680,1274134528,914649088,0,0,
09-10 13:46:30,5.396,1.518,93.086,0,0,0,0,740442112,13347291136,1274134528,916086784,0,0,
09-10 13:46:31,6.633,1.327,91.542,0.498,0,0,4243456,740270080,13346258944,1274134528,917352448,0,0,
09-10 13:46:32,6.954,0.993,92.053,0,0,0,0,740085760,13344968704,1274134528,918806528,0,0,
09-10 13:46:33,8.194,1.505,89.967,0.334,0,0,4255744,739901440,13343420416,1274134528,920465408,0,0,
09-10 13:46:34,10.403,3.356,83.893,2.349,0,0,27860992,738344960,13351645184,1274146816,913862656,0,0,
09-10 13:46:35,7.705,1.508,90.787,0,0,0,4096,737607680,13349838848,1274146816,916406272,0,0,
09-10 13:46:36,4.209,1.515,94.276,0,0,0,0,738091008,13348032512,1274146816,917700608,0,0,
09-10 13:46:37,6.656,1.664,91.681,0,0,0,0,739078144,13345452032,1274146816,919261184,0,0,
09-10 13:46:38,5.612,1.190,91.497,1.701,0,0,17727488,741138432,13346435072,1274146816,916176896,0,0,
09-10 13:46:39,5.528,0.838,93.467,0.168,0,0,36864,739454976,13346951168,1274150912,917336064,0,0,
09-10 13:46:40,6.344,1.169,92.487,0,0,0,561152,738865152,13346160640,1274150912,918683648,0,0,
09-10 13:46:41,9.226,1.812,88.962,0,0,0,0,737751040,13345128448,1274150912,920805376,0,0,
09-10 13:46:42,6.845,0.668,91.987,0.501,0,0,4235264,738312192,13342797824,1274150912,922591232,0,0,
09-10 13:46:43,6.845,1.169,91.987,0,0,0,0,738062336,13341515776,1274150912,924098560,0,0,
09-10 13:46:44,7.023,2.174,90.635,0.167,0,0,4259840,738693120,13339176960,1274150912,925716480,0,0,
09-10 13:46:45,8.624,2.322,88.723,0.332,0,0,53248,738856960,13336854528,1274150912,927842304,0,0,
09-10 13:46:46,6.811,1.993,91.196,0,0,0,0,737828864,13336080384,1274150912,929628160,0,0,
