"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-4k-dynamic-4k-lsfs-client1.dstat.csv",,,,"Date:","09 Oct 2022 06:16:19 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 06:16:19,3.327,1.171,94.014,1.488,0,15421.401,176542.042,1484079104,13915652096,29745152,907829248,0,0,
09-10 06:16:20,8.264,4.628,76.364,10.744,0,49152,44224512,1510150144,13843423232,29761536,952455168,0,0,
09-10 06:16:21,18.241,1.954,55.537,24.267,0,905216,172032,1511661568,14090223616,1605632,741875712,0,0,
09-10 06:16:22,18.301,0.980,60.621,20.098,0,4980736,20480,1513066496,14084046848,3170304,745070592,0,0,
09-10 06:16:23,9.548,2.848,82.245,5.360,0,8192,131072,1512747008,14084005888,3186688,745381888,0,0,
09-10 06:16:24,7.973,2.159,83.389,6.478,0,9318400,20480,1515220992,14072602624,3964928,753532928,0,0,
09-10 06:16:25,14.667,6.500,64,14.833,0,1507328,126976,1512009728,14073597952,4841472,754552832,0,0,
09-10 06:16:26,12.825,2.922,80.032,4.221,0,1363968,57344,1511260160,14073057280,6205440,754352128,0,0,
09-10 06:16:27,8.130,2.114,87.805,1.951,0,0,77824,1510989824,14073024512,6213632,754569216,0,0,
09-10 06:16:28,8.117,2.110,88.636,1.136,0,0,40960,1510989824,14072999936,6213632,754569216,0,0,
09-10 06:16:29,8.306,1.466,88.436,1.792,0,12288,49152,1510977536,14072999936,6230016,754565120,0,0,
09-10 06:16:30,13.171,4.878,79.187,2.764,0,1380352,77824,1509806080,14072684544,6311936,755929088,0,0,
09-10 06:16:31,14.403,3.928,80.360,1.309,0,0,49152,1510027264,14072131584,6311936,755875840,0,0,
09-10 06:16:32,14.426,4.590,80.164,0.820,0,126976,28672,1511321600,14070792192,6311936,755875840,0,0,
09-10 06:16:33,8.157,1.631,86.297,3.915,0,151552,126976,1511387136,14070484992,6455296,755871744,0,0,
09-10 06:16:34,10.784,3.922,84.314,0.980,0,0,28672,1510481920,14071209984,6455296,756023296,0,0,
09-10 06:16:35,15.584,5.032,77.922,1.461,0,0,102400,1510981632,14070677504,6463488,756015104,0,0,
09-10 06:16:36,12.724,3.426,81.729,2.121,0,0,73728,1511227392,14070419456,6463488,756027392,0,0,
09-10 06:16:37,6.710,2.782,88.543,1.964,0,0,73728,1511215104,14070378496,6471680,756031488,0,0,
09-10 06:16:38,9.756,2.927,86.016,1.301,0,0,40960,1511206912,14070386688,6471680,756031488,0,0,
09-10 06:16:39,16.535,4.882,76.063,2.520,0,749568,53248,1510854656,14070087680,6942720,756170752,0,0,
09-10 06:16:40,15.824,5.710,75.041,3.426,0,2048000,73728,1512013824,14066724864,7090176,758222848,0,0,
09-10 06:16:41,15.661,3.263,79.608,1.468,0,0,49152,1512763392,14065950720,7090176,758222848,0,0,
09-10 06:16:42,13.189,4.007,81.302,1.503,0,8192,32768,1512755200,14065950720,7094272,758226944,0,0,
09-10 06:16:43,8.402,1.647,83.361,6.590,0,0,245760,1512742912,14065950720,7102464,758231040,0,0,
09-10 06:16:44,10.413,3.140,85.785,0.661,0,0,28672,1509896192,14068797440,7102464,758231040,0,0,
09-10 06:16:45,15.210,4.854,76.375,3.560,0,24576,98304,1509867520,14068789248,7127040,758243328,0,0,
09-10 06:16:46,12.459,3.607,81.148,2.787,0,0,81920,1509875712,14068781056,7127040,758243328,0,0,
09-10 06:16:47,8.293,1.789,86.992,2.927,0,147456,69632,1510436864,14068207616,7282688,758099968,0,0,
09-10 06:16:48,7.285,1.987,88.576,2.152,0,0,40960,1510219776,14068273152,7282688,758247424,0,0,
09-10 06:16:49,9.076,1.621,87.844,1.459,0,0,53248,1510219776,14068273152,7282688,758247424,0,0,
09-10 06:16:50,14.026,3.795,79.538,2.640,0,360448,94208,1511911424,14066192384,7290880,758611968,0,0,
09-10 06:16:51,14.003,3.460,81.219,1.318,0,0,53248,1511911424,14066192384,7290880,758611968,0,0,
09-10 06:16:52,13.279,5.082,80.328,1.311,0,0,212992,1511903232,14066200576,7290880,758611968,0,0,
09-10 06:16:53,10.131,2.288,85.294,2.288,0,0,98304,1511899136,14066192384,7299072,758616064,0,0,
09-10 06:16:54,10.311,2.782,85.434,1.473,0,65536,32768,1511591936,14066434048,7299072,758681600,0,0,
09-10 06:16:55,10.049,2.593,85.251,2.107,0,0,94208,1511804928,14066192384,7307264,758685696,0,0,
09-10 06:16:56,8.361,1.967,86.885,2.787,0,0,77824,1511796736,14066200576,7307264,758685696,0,0,
09-10 06:16:57,8.252,2.427,86.246,3.074,0,0,94208,1512050688,14065934336,7315456,758689792,0,0,
09-10 06:16:58,7.541,2.295,88.852,1.311,0,0,45056,1512058880,14065926144,7315456,758689792,0,0,
09-10 06:16:59,7.237,2.467,88.816,1.480,0,0,49152,1512050688,14065934336,7315456,758689792,0,0,
09-10 06:17:00,9.484,2.329,87.022,1.165,0,0,73728,1510776832,14067208192,7323648,758681600,0,0,
09-10 06:17:01,14.125,5.457,78.812,1.605,0,20480,53248,1510744064,14067224576,7344128,758677504,0,0,
09-10 06:17:02,14.425,4.862,78.930,1.783,0,139264,45056,1510850560,14066958336,7495680,758685696,0,0,
09-10 06:17:03,13.957,4.598,62.890,18.555,0,831488,86016,1511550976,14065410048,7958528,759066624,0,0,
09-10 06:17:04,17.496,4.815,77.528,0.161,0,0,8192,1509580800,14067318784,7958528,759128064,0,0,
09-10 06:17:05,13.269,2.589,81.553,2.589,0,0,126976,1509404672,14067482624,7966720,759132160,0,0,
09-10 06:17:06,14.239,3.883,80.259,1.618,0,12288,28672,1509388288,14067490816,7979008,759128064,0,0,
09-10 06:17:07,7.967,2.602,84.715,4.715,0,0,122880,1509638144,14067224576,7987200,759136256,0,0,
09-10 06:17:08,9.164,1.608,88.746,0.482,0,0,12288,1509912576,14066950144,7987200,759136256,0,0,
09-10 06:17:09,7.667,2.121,86.949,3.263,0,4096,102400,1509879808,14066966528,7999488,759140352,0,0,
09-10 06:17:10,13.387,4.355,81.774,0.484,0,28672,0,1509330944,14067490816,8019968,759144448,0,0,
09-10 06:17:11,15.049,4.693,76.861,3.398,0,20480,81920,1509314560,14067482624,8040448,759148544,0,0,
09-10 06:17:12,14.725,3.722,81.230,0.324,0,8192,4096,1509306368,14067482624,8044544,759152640,0,0,
09-10 06:17:13,11.765,4.739,78.595,4.902,0,12288,159744,1509281792,14067482624,8056832,759164928,0,0,
09-10 06:17:14,9.903,1.948,87.987,0.162,0,131072,0,1508888576,14067740672,8056832,759296000,0,0,
09-10 06:17:15,8.604,2.110,85.552,3.734,0,0,151552,1509392384,14067224576,8065024,759300096,0,0,
09-10 06:17:16,9.662,1.449,88.406,0.483,0,0,20480,1509392384,14067224576,8065024,759300096,0,0,
09-10 06:17:17,7.504,2.284,86.297,3.915,0,0,131072,1509380096,14067224576,8073216,759304192,0,0,
09-10 06:17:18,8.186,2.889,88.604,0.321,0,0,12288,1509380096,14067224576,8073216,759304192,0,0,
09-10 06:17:19,8.618,2.439,85.203,3.740,0,0,102400,1509367808,14067224576,8081408,759308288,0,0,
09-10 06:17:20,14.148,4.984,77.492,3.376,0,749568,0,1511489536,14064496640,8613888,759377920,0,0,
09-10 06:17:21,7.754,2.908,86.914,2.423,0,0,81920,1511133184,14064562176,8613888,759525376,0,0,
09-10 06:17:22,7.061,1.970,90.969,0,0,0,0,1511133184,14064562176,8613888,759525376,0,0,
09-10 06:17:23,10.492,2.459,83.934,3.115,0,0,225280,1511120896,14064562176,8622080,759529472,0,0,
09-10 06:17:24,15.815,4.613,79.572,0,0,0,0,1509064704,14066618368,8622080,759529472,0,0,
09-10 06:17:25,14.851,4.950,77.393,2.805,0,24576,122880,1509023744,14066626560,8658944,759508992,0,0,
09-10 06:17:26,7.541,1.967,90.328,0.164,0,12288,0,1508990976,14066626560,8667136,759533568,0,0,
09-10 06:17:27,8.660,1.797,85.458,4.085,0,0,139264,1508974592,14066626560,8675328,759541760,0,0,
09-10 06:17:28,8.562,2.100,88.853,0.485,0,4096,12288,1508966400,14066634752,8679424,759537664,0,0,
09-10 06:17:29,7.225,1.806,88.998,1.970,0,12288,77824,1509203968,14066368512,8699904,759545856,0,0,
09-10 06:17:30,7.980,1.954,90.065,0,0,0,0,1510252544,14065319936,8699904,759545856,0,0,
09-10 06:17:31,8.007,1.634,88.562,1.797,0,0,61440,1510494208,14065078272,8699904,759545856,0,0,
09-10 06:17:32,7.492,1.792,90.717,0,0,0,0,1510494208,14065078272,8699904,759545856,0,0,
09-10 06:17:33,7.450,1.656,86.921,3.974,0,0,135168,1510481920,14065078272,8708096,759549952,0,0,
09-10 06:17:34,10.586,3.909,85.342,0.163,0,143360,0,1509072896,14066343936,8708096,759693312,0,0,
09-10 06:17:35,14.309,4.553,79.024,2.114,0,0,102400,1509298176,14066102272,8716288,759697408,0,0,
09-10 06:17:36,14.614,3.284,81.445,0.657,0,851968,0,1510481920,14064021504,8720384,760590336,0,0,
09-10 06:17:37,11.349,3.289,81.086,4.276,0,0,135168,1510502400,14064037888,8728576,760545280,0,0,
09-10 06:17:38,13.889,3.922,81.699,0.490,0,0,204800,1510490112,14064037888,8728576,760557568,0,0,
09-10 06:17:39,13.889,3.268,81.046,1.797,0,0,81920,1510490112,14064037888,8736768,760549376,0,0,
09-10 06:17:40,15.359,4.575,79.902,0.163,0,0,0,1511243776,14063271936,8736768,760561664,0,0,
09-10 06:17:41,14.333,4.283,79.901,1.483,0,0,77824,1511251968,14063263744,8736768,760561664,0,0,
09-10 06:17:42,14.262,4.098,80.984,0.656,0,73728,4096,1511968768,14062473216,8736768,760635392,0,0,
09-10 06:17:43,14.286,3.987,77.907,3.821,0,4096,172032,1511927808,14062489600,8757248,760639488,0,0,
09-10 06:17:44,9.253,3.571,86.364,0.812,0,196608,24576,1511268352,14062948352,8757248,760836096,0,0,
09-10 06:17:45,10.912,2.769,84.691,1.629,0,0,94208,1511456768,14062747648,8765440,760827904,0,0,
09-10 06:17:46,14.894,3.928,80.360,0.818,0,0,32768,1511452672,14062739456,8765440,760840192,0,0,
09-10 06:17:47,8.442,2.110,87.013,2.435,0,0,77824,1511694336,14062489600,8773632,760840192,0,0,
09-10 06:17:48,7.955,2.110,87.987,1.948,0,0,77824,1511690240,14062489600,8773632,760844288,0,0,
09-10 06:17:49,8.857,2.254,87.601,1.288,0,0,49152,1511690240,14062489600,8773632,760844288,0,0,
09-10 06:17:50,9.299,2.284,85.644,2.773,0,0,69632,1512960000,14061207552,8781824,760848384,0,0,
09-10 06:17:51,14.122,3.284,81.117,1.478,0,0,53248,1512968192,14061199360,8781824,760848384,0,0,
09-10 06:17:52,12.871,5.281,81.188,0.660,0,0,28672,1513476096,14060691456,8781824,760848384,0,0,
09-10 06:17:53,14.029,4.894,77.162,3.915,0,4096,155648,1513467904,14060683264,8794112,760852480,0,0,
09-10 06:17:54,16.585,4.105,77.833,1.478,0,139264,53248,1512030208,14061981696,8794112,760991744,0,0,
09-10 06:17:55,15.721,4.538,78.930,0.810,0,0,90112,1512038400,14061973504,8802304,760983552,0,0,
09-10 06:17:56,14.404,3.808,79.967,1.821,0,0,57344,1512034304,14061965312,8802304,760995840,0,0,
09-10 06:17:57,9.772,1.954,87.134,1.140,0,0,32768,1512026112,14061973504,8802304,760995840,0,0,
09-10 06:17:58,8.252,2.265,85.599,3.883,0,0,110592,1512022016,14061965312,8810496,760999936,0,0,
09-10 06:17:59,7.856,1.637,89.689,0.818,0,0,28672,1512013824,14061973504,8810496,760999936,0,0,
09-10 06:18:00,13,4,80.167,2.833,0,0,114688,1513291776,14060683264,8818688,761004032,0,0,
