"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer2",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-4k-dynamic-4k-lsfs-peer2.dstat.csv",,,,"Date:","30 Oct 2022 00:07:29 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
30-10 00:07:29,0.925,0.296,98.388,0.391,0,79569.408,644382.063,738238464,12666908672,1950564352,864899072,0,0,
30-10 00:07:30,0.334,0.167,99.499,0,0,0,0,738201600,12666908672,1950564352,864899072,0,0,
30-10 00:07:31,0.334,0.167,99.499,0,0,0,0,738201600,12666908672,1950564352,864899072,0,0,
30-10 00:07:32,4.690,0.838,94.472,0,0,0,0,743776256,12654891008,1950564352,871051264,0,0,
30-10 00:07:33,8.784,1.689,79.899,9.628,0,0,17240064,749428736,12634406912,1950564352,885207040,0,0,
30-10 00:07:34,7.553,2.956,83.580,5.911,0,0,8699904,747646976,12627890176,1950564352,893165568,0,0,
30-10 00:07:35,9.683,3.005,79.633,7.679,0,0,51769344,746217472,12614029312,1950564352,908058624,0,0,
30-10 00:07:36,11.038,3.460,79.407,6.096,0,0,51920896,743809024,12571987968,1950568448,951848960,0,0,
30-10 00:07:37,12.808,3.120,76.847,7.225,0,0,51634176,746147840,12574900224,1950568448,946368512,0,0,
30-10 00:07:38,12.231,3.306,78.182,6.281,0,0,47636480,747229184,12559568896,1950572544,959954944,0,0,
30-10 00:07:39,11.639,4.918,80,3.443,0,0,40984576,747282432,12540940288,1950572544,977997824,0,0,
30-10 00:07:40,10.231,4.290,83.003,2.475,0,0,34476032,745893888,12524744704,1950572544,995172352,0,0,
30-10 00:07:41,8.667,2.333,88,1,0,0,25604096,746614784,12511035392,1950576640,1007841280,0,0,
30-10 00:07:42,10.930,4.241,83.361,1.468,0,0,53436416,746242048,12495761408,1950576640,1022918656,0,0,
30-10 00:07:43,5.324,2.829,91.015,0.832,0,0,8638464,746733568,12487761920,1950576640,1030250496,0,0,
30-10 00:07:44,10.691,4.441,81.743,3.125,0,0,29618176,746934272,12470448128,1950576640,1046970368,0,0,
30-10 00:07:45,9.492,3.729,81.695,5.085,0,0,57339904,745582592,12453625856,1950576640,1064656896,0,0,
30-10 00:07:46,10.420,3.193,83.361,3.025,0,0,27705344,745222144,12432932864,1950576640,1085198336,0,0,
30-10 00:07:47,8.725,3.356,83.221,4.698,0,0,47714304,746422272,12412338176,1950576640,1103978496,0,0,
30-10 00:07:48,10,3.167,83.500,3.333,0,0,34246656,746823680,12401078272,1950580736,1114423296,0,0,
30-10 00:07:49,11.092,3.866,79.664,5.378,0,0,50262016,747532288,12376465408,1950584832,1137807360,0,0,
30-10 00:07:50,11.093,4.139,81.623,3.146,0,0,34230272,747823104,12361535488,1950584832,1151877120,0,0,
30-10 00:07:51,10.815,3.827,82.030,3.328,0,0,40304640,748576768,12342693888,1950584832,1169608704,0,0,
30-10 00:07:52,9.661,3.220,84.068,3.051,0,0,50618368,748847104,12324290560,1950584832,1187164160,0,0,
30-10 00:07:53,8.180,2.838,88.314,0.668,0,0,17285120,748732416,12307292160,1950584832,1203974144,0,0,
30-10 00:07:54,9.801,4.319,81.728,4.153,0,0,51687424,748597248,12295979008,1950588928,1214992384,0,0,
30-10 00:07:55,10.963,2.658,84.718,1.661,0,0,25047040,748519424,12278472704,1950588928,1232052224,0,0,
30-10 00:07:56,10.420,3.361,82.521,3.697,0,0,60911616,748232704,12260966400,1950593024,1249218560,0,0,
30-10 00:07:57,9.949,2.361,86.678,1.012,0,0,17297408,747966464,12243058688,1950593024,1266999296,0,0,
