"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-4k-dynamic-4k-lsfs-client1.dstat.csv",,,,"Date:","09 Oct 2022 03:54:51 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 03:54:51,3.319,1.169,94.025,1.487,0,15265.003,176623.383,1454460928,14002667520,30732288,850673664,0,0,
09-10 03:54:52,10.966,5.237,78.560,5.237,0,147456,65536,1482653696,13928370176,30732288,895352832,0,0,
09-10 03:54:53,11.823,2.956,83.251,1.970,0,0,196608,1482649600,13928353792,30744576,895344640,0,0,
09-10 03:54:54,9.555,2.965,86.820,0.659,0,0,28672,1483411456,13927579648,30744576,895356928,0,0,
09-10 03:54:55,8.320,1.958,88.418,1.305,0,0,49152,1482887168,13928103936,30744576,895356928,0,0,
09-10 03:54:56,10.083,2.975,86.281,0.661,0,0,77824,1482870784,13928120320,30752768,895348736,0,0,
09-10 03:54:57,10.423,2.606,84.202,2.769,0,0,94208,1482858496,13928112128,30760960,895361024,0,0,
09-10 03:54:58,8.987,2.124,88.072,0.817,0,0,24576,1483132928,13927837696,30760960,895361024,0,0,
09-10 03:54:59,9.151,2.662,85.524,2.662,0,0,102400,1482608640,13928361984,30769152,895356928,0,0,
09-10 03:55:00,7.463,2.156,89.884,0.498,0,0,24576,1483112448,13927845888,30769152,895365120,0,0,
09-10 03:55:01,7.781,1.490,87.417,3.311,0,0,147456,1483091968,13927854080,30777344,895369216,0,0,
09-10 03:55:02,10.535,2.431,85.413,1.621,0,0,53248,1483341824,13927604224,30777344,895369216,0,0,
09-10 03:55:03,7.895,1.974,87.993,2.138,0,0,77824,1483341824,13927596032,30785536,895365120,0,0,
09-10 03:55:04,8.251,2.145,88.944,0.660,0,0,24576,1480761344,13930168320,30785536,895373312,0,0,
09-10 03:55:05,9.106,1.626,87.642,1.626,0,0,57344,1481269248,13929660416,30785536,895373312,0,0,
09-10 03:55:06,8.278,1.656,89.238,0.828,0,0,24576,1481261056,13929668608,30785536,895373312,0,0,
09-10 03:55:07,7.908,2.142,87.315,2.636,0,0,249856,1481510912,13929402368,30793728,895377408,0,0,
09-10 03:55:08,8.170,2.124,88.725,0.980,0,0,28672,1481502720,13929410560,30793728,895377408,0,0,
09-10 03:55:09,10.379,4.119,83.690,1.812,0,0,139264,1482436608,13928476672,30801920,895373312,0,0,
09-10 03:55:10,9.016,1.967,87.377,1.639,0,0,32768,1482539008,13928361984,30801920,895381504,0,0,
09-10 03:55:11,9.951,2.773,84.339,2.936,0,0,143360,1483317248,13927579648,30810112,895377408,0,0,
09-10 03:55:12,8.306,2.117,87.134,2.443,0,0,73728,1483567104,13927321600,30810112,895385600,0,0,
09-10 03:55:13,9.587,1.157,87.273,1.983,0,0,90112,1484849152,13926039552,30818304,895377408,0,0,
09-10 03:55:14,8.319,2.329,88.519,0.832,0,0,24576,1482522624,13928353792,30818304,895389696,0,0,
09-10 03:55:15,11.803,2.295,84.426,1.475,0,0,57344,1482514432,13928361984,30818304,895389696,0,0,
09-10 03:55:16,11.038,2.636,85.832,0.494,0,0,24576,1482780672,13928095744,30818304,895389696,0,0,
09-10 03:55:17,10.475,2.946,82.979,3.601,0,0,344064,1483276288,13927587840,30826496,895393792,0,0,
09-10 03:55:18,8.511,1.637,88.707,1.146,0,0,49152,1483276288,13927587840,30826496,895393792,0,0,
09-10 03:55:19,8.099,2.314,88.099,1.488,0,0,98304,1484582912,13926281216,30834688,895385600,0,0,
09-10 03:55:20,10.440,1.958,85.808,1.794,0,0,73728,1484804096,13926047744,30834688,895397888,0,0,
09-10 03:55:21,13.636,3.409,81.169,1.786,0,0,73728,1485070336,13925781504,30842880,895389696,0,0,
09-10 03:55:22,12.541,3.795,71.122,12.541,0,0,34127872,1485066240,13925773312,30842880,895401984,0,0,
09-10 03:55:23,8.224,1.480,83.553,6.743,0,0,9662464,1485299712,13925539840,30842880,895401984,0,0,
09-10 03:55:24,12.458,2.824,83.223,1.495,0,0,139264,1486569472,13924257792,30851072,895406080,0,0,
09-10 03:55:25,7.261,1.815,90.264,0.660,0,0,24576,1486569472,13924257792,30851072,895406080,0,0,
09-10 03:55:26,12.500,2.138,83.553,1.809,0,98304,102400,1486729216,13923999744,30859264,895496192,0,0,
09-10 03:55:27,7.730,1.974,88.980,1.316,0,0,36864,1486974976,13923741696,30859264,895508480,0,0,
09-10 03:55:28,6.833,2,89.667,1.500,0,0,77824,1486974976,13923741696,30859264,895508480,0,0,
09-10 03:55:29,9.724,2.593,87.034,0.648,0,0,24576,1488302080,13922414592,30859264,895508480,0,0,
09-10 03:55:30,10.164,2.623,84.426,2.787,0,0,135168,1487736832,13922967552,30867456,895512576,0,0,
09-10 03:55:31,9.968,2.251,85.691,2.090,0,0,69632,1487982592,13922709504,30875648,895516672,0,0,
09-10 03:55:32,7.882,1.970,87.685,2.463,0,0,86016,1487982592,13922709504,30875648,895516672,0,0,
09-10 03:55:33,8.143,2.280,88.925,0.651,0,0,24576,1487982592,13922709504,30875648,895516672,0,0,
09-10 03:55:34,8.955,2.322,85.904,2.819,0,0,126976,1486163968,13924515840,30883840,895520768,0,0,
09-10 03:55:35,8.033,1.639,89.344,0.984,0,0,24576,1486163968,13924515840,30883840,895520768,0,0,
09-10 03:55:36,11.803,1.803,83.770,2.623,0,0,98304,1486147584,13924524032,30892032,895520768,0,0,
09-10 03:55:37,8.824,1.797,88.399,0.980,0,0,36864,1487183872,13923483648,30892032,895524864,0,0,
09-10 03:55:38,8.943,2.439,86.667,1.951,0,0,57344,1487183872,13923483648,30892032,895524864,0,0,
09-10 03:55:39,9.901,1.980,86.799,1.320,0,0,45056,1487458304,13923201024,30900224,895524864,0,0,
09-10 03:55:40,10.841,2.913,84.628,1.618,0,0,61440,1488744448,13921910784,30900224,895528960,0,0,
09-10 03:55:41,7.438,1.818,89.421,1.322,0,0,49152,1488728064,13921927168,30900224,895528960,0,0,
09-10 03:55:42,11.803,2.459,82.459,3.279,0,0,155648,1488715776,13921927168,30908416,895533056,0,0,
09-10 03:55:43,11.002,2.627,85.714,0.657,0,0,28672,1488715776,13921927168,30908416,895533056,0,0,
09-10 03:55:44,14.380,3.636,80,1.983,0,0,98304,1487163392,13923467264,30916608,895537152,0,0,
09-10 03:55:45,8.140,1.661,89.037,1.163,0,0,49152,1487155200,13923475456,30916608,895537152,0,0,
09-10 03:55:46,9.016,1.803,87.213,1.967,0,0,73728,1487155200,13923475456,30924800,895528960,0,0,
09-10 03:55:47,9.406,3.465,85.479,1.650,0,0,45056,1487388672,13923225600,30924800,895541248,0,0,
09-10 03:55:48,8.972,2.121,87.439,1.468,0,0,53248,1487396864,13923217408,30924800,895541248,0,0,
09-10 03:55:49,13.984,3.415,81.301,1.301,0,0,45056,1489022976,13921583104,30932992,895541248,0,0,
09-10 03:55:50,16.343,4.693,77.832,1.133,0,0,57344,1488932864,13921669120,30932992,895545344,0,0,
09-10 03:55:51,10.475,1.964,85.925,1.637,0,0,49152,1488932864,13921669120,30932992,895545344,0,0,
09-10 03:55:52,10.649,2.829,83.527,2.995,0,0,135168,1488936960,13921660928,30941184,895541248,0,0,
09-10 03:55:53,8.113,2.152,88.742,0.993,0,0,28672,1488920576,13921669120,30941184,895549440,0,0,
09-10 03:55:54,11.349,2.961,83.882,1.809,0,65536,98304,1487544320,13922967552,30949376,895619072,0,0,
09-10 03:55:55,7.463,2.985,85.406,4.146,0,40960,176128,1487106048,13923393536,30957568,895619072,0,0,
09-10 03:55:56,35.071,0.948,37.757,26.224,0,2109440,81920,1490878464,14112653312,2629632,739692544,0,0,
09-10 03:55:57,27.317,0.488,39.187,33.008,0,2580480,90112,1493458944,14107029504,4329472,740704256,0,0,
09-10 03:55:58,8.099,2.149,88.099,1.653,0,8192,24576,1500340224,14100045824,4337664,740798464,0,0,
09-10 03:55:59,14.925,3.814,74.295,6.965,0,6987776,98304,1499811840,14093107200,5103616,747401216,0,0,
09-10 03:56:00,14.472,4.715,80,0.813,0,3362816,0,1498234880,14091821056,5316608,750051328,0,0,
09-10 03:56:01,14.735,3.974,75,6.291,0,593920,151552,1498116096,14091280384,5914624,750067712,0,0,
09-10 03:56:02,15.210,4.531,78.155,2.104,0,278528,53248,1498013696,14090997760,6180864,750161920,0,0,
09-10 03:56:03,14.426,4.262,78.033,3.279,0,0,106496,1497935872,14090907648,6189056,750211072,0,0,
09-10 03:56:04,16.941,5.099,73.026,4.934,0,1728512,0,1495203840,14091874304,6586368,751427584,0,0,
09-10 03:56:05,14.845,4.405,77.977,2.773,0,266240,81920,1495773184,14091051008,6598656,751648768,0,0,
09-10 03:56:06,14.052,4.575,80.719,0.654,0,28672,0,1495855104,14090563584,6619136,751808512,0,0,
09-10 03:56:07,14.590,4.754,76.066,4.590,0,147456,139264,1495875584,14090149888,6774784,751800320,0,0,
09-10 03:56:08,6.885,1.803,91.311,0,0,0,0,1496104960,14089883648,6774784,751812608,0,0,
09-10 03:56:09,11.987,5.911,76.683,5.419,0,2711552,77824,1498808320,14084894720,7385088,753487872,0,0,
09-10 03:56:10,12.623,4.918,82.459,0,0,135168,0,1498406912,14084706304,7524352,753934336,0,0,
09-10 03:56:11,16.077,4.823,77.331,1.768,0,24576,61440,1498161152,14084907008,7532544,753950720,0,0,
09-10 03:56:12,14.403,4.583,77.905,3.110,0,4096,131072,1498071040,14084980736,7540736,753958912,0,0,
09-10 03:56:13,14.918,3.607,79.672,1.803,0,0,81920,1498083328,14084915200,7548928,753950720,0,0,
09-10 03:56:14,15.559,5.024,79.417,0,0,0,0,1495490560,14087479296,7548928,753963008,0,0,
09-10 03:56:15,13.681,5.049,80.130,1.140,0,0,53248,1495732224,14087229440,7557120,753963008,0,0,
09-10 03:56:16,14.332,3.909,81.433,0.326,0,16384,0,1496276992,14086672384,7573504,753958912,0,0,
09-10 03:56:17,8.632,1.954,86.808,2.606,0,0,106496,1496236032,14086705152,7581696,753954816,0,0,
09-10 03:56:18,6.457,1.656,91.887,0,0,0,0,1496211456,14086705152,7581696,753967104,0,0,
09-10 03:56:19,15.534,4.531,77.346,2.589,0,0,81920,1498054656,14084857856,7589888,753967104,0,0,
09-10 03:56:20,10.561,3.300,82.178,3.960,0,1744896,0,1498267648,14083018752,8269824,754798592,0,0,
09-10 03:56:21,8.960,2.720,86.720,1.600,0,0,61440,1497985024,14083051520,8269824,755036160,0,0,
09-10 03:56:22,7.026,2.451,87.418,3.105,0,0,98304,1497972736,14083059712,8278016,755027968,0,0,
09-10 03:56:23,7.237,2.303,86.842,3.618,0,45056,106496,1497964544,14083051520,8318976,755003392,0,0,
09-10 03:56:24,13.079,3.477,83.113,0.331,0,184320,0,1495392256,14085382144,8323072,755236864,0,0,
09-10 03:56:25,14.587,4.700,79.417,1.297,0,0,57344,1495642112,14085132288,8323072,755236864,0,0,
09-10 03:56:26,8.455,2.114,88.780,0.650,0,32768,188416,1495916544,14084833280,8351744,755216384,0,0,
09-10 03:56:27,8.497,1.471,86.275,3.758,0,0,151552,1496137728,14084575232,8359936,755245056,0,0,
09-10 03:56:28,8.414,2.265,88.997,0.324,0,4096,0,1496068096,14084616192,8364032,755253248,0,0,
09-10 03:56:29,8.867,3.284,84.893,2.956,0,0,126976,1497767936,14082912256,8372224,755249152,0,0,
09-10 03:56:30,13.300,3.612,83.087,0,0,0,0,1497636864,14083035136,8372224,755257344,0,0,
09-10 03:56:31,14.894,3.928,78.723,2.455,0,0,102400,1497636864,14083035136,8372224,755257344,0,0,
09-10 03:56:32,13.839,4.448,79.901,1.812,0,4096,73728,1497890816,14082777088,8384512,755249152,0,0,
09-10 03:56:33,15.041,3.967,78.017,2.975,0,0,106496,1497870336,14082785280,8392704,755253248,0,0,
09-10 03:56:34,14.803,4.276,80.757,0.164,0,90112,0,1496219648,14084333568,8392704,755355648,0,0,
09-10 03:56:35,14.614,4.105,79.639,1.642,0,0,77824,1496211456,14084341760,8392704,755355648,0,0,
09-10 03:56:36,16.748,3.740,78.862,0.650,0,0,24576,1496211456,14084341760,8392704,755355648,0,0,
09-10 03:56:37,8.143,2.443,85.668,3.746,0,12288,110592,1496195072,14084333568,8404992,755355648,0,0,
09-10 03:56:38,7.792,1.948,89.286,0.974,0,0,32768,1496190976,14084325376,8404992,755367936,0,0,
09-10 03:56:39,7.578,2.142,88.962,1.318,0,0,49152,1496457216,14084059136,8404992,755367936,0,0,
09-10 03:56:40,11.507,2.917,80.389,5.186,0,4096,217088,1496428544,14084075520,8417280,755367936,0,0,
09-10 03:56:41,14.474,4.112,78.947,2.467,0,2347008,32768,1496498176,14081736704,8429568,757624832,0,0,
09-10 03:56:42,13.058,5.455,78.843,2.645,0,4096,106496,1496686592,14081454080,8441856,757706752,0,0,
09-10 03:56:43,12.375,4.348,81.271,2.007,0,0,57344,1496682496,14081454080,8441856,757710848,0,0,
09-10 03:56:44,10.248,3.471,83.967,2.314,0,106496,73728,1496043520,14081970176,8470528,757800960,0,0,
09-10 03:56:45,8.604,1.948,87.662,1.786,0,0,49152,1496043520,14081970176,8470528,757800960,0,0,
09-10 03:56:46,8.266,2.269,87.358,2.107,0,0,73728,1496047616,14081953792,8486912,757796864,0,0,
09-10 03:56:47,8.660,2.124,87.908,1.307,0,0,40960,1496018944,14081961984,8486912,757805056,0,0,
09-10 03:56:48,7.225,2.135,86.700,3.941,0,0,151552,1495990272,14081970176,8503296,757809152,0,0,
09-10 03:56:49,10.518,3.236,84.304,1.942,0,20480,40960,1497448448,14080491520,8523776,757809152,0,0,
09-10 03:56:50,7.107,1.653,89.752,1.488,0,0,49152,1497268224,14080663552,8523776,757817344,0,0,
09-10 03:56:51,8.576,2.104,86.408,2.913,0,12288,94208,1497231360,14080679936,8531968,757829632,0,0,
09-10 03:56:52,7.630,2.922,87.013,2.435,0,0,86016,1497260032,14080647168,8531968,757833728,0,0,
09-10 03:56:53,7.980,1.954,87.948,2.117,0,0,73728,1497260032,14080638976,8540160,757833728,0,0,
