"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-client1.dstat.csv",,,,"Date:","29 Oct 2022 11:09:17 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 11:09:17,3.499,1.255,93.702,1.544,0,16357.909,155952.957,1414893568,13958782976,28364800,934871040,0,0,
29-10 11:09:18,15.815,4.778,75.947,3.460,0,81920,139264,1438818304,13880393728,28364800,987738112,0,0,
29-10 11:09:19,13.570,3.231,81.906,1.292,0,0,188416,1438777344,13880393728,28377088,987742208,0,0,
29-10 11:09:20,15.447,5.528,76.911,2.114,0,0,81920,1442115584,13876957184,28377088,987742208,0,0,
29-10 11:09:21,11.475,3.115,84.590,0.820,0,0,28672,1441062912,13877956608,28377088,987742208,0,0,
29-10 11:09:22,14.035,3.668,79.904,2.392,0,0,122880,1441292288,13877690368,28385280,987746304,0,0,
29-10 11:09:23,11.928,2.941,84.967,0.163,0,0,24576,1441538048,13877374976,28393472,987742208,0,0,
29-10 11:09:24,14.023,4.674,78.965,2.337,0,0,126976,1439711232,13879083008,28401664,987750400,0,0,
29-10 11:09:25,11.475,2.951,85.574,0,0,0,0,1440186368,13878517760,28401664,987750400,0,0,
29-10 11:09:26,14.542,3.922,77.288,4.248,0,0,122880,1439928320,13878702080,28409856,987742208,0,0,
29-10 11:09:27,12.825,3.409,83.766,0,0,0,0,1439891456,13878620160,28409856,987754496,0,0,
29-10 11:09:28,13.443,4.098,79.508,2.951,0,0,106496,1439879168,13878538240,28409856,987754496,0,0,
29-10 11:09:29,11.582,3.752,83.197,1.468,0,0,65536,1439846400,13878489088,28418048,987758592,0,0,
29-10 11:09:30,13.267,4.312,80.265,2.156,0,0,81920,1440849920,13877391360,28418048,987758592,0,0,
29-10 11:09:31,11.862,3.624,83.690,0.824,0,0,28672,1441157120,13877018624,28418048,987758592,0,0,
29-10 11:09:32,12.040,3.177,82.441,2.341,0,0,114688,1441087488,13876961280,28426240,987762688,0,0,
29-10 11:09:33,11.948,3.764,84.288,0,0,0,0,1441058816,13876887552,28426240,987762688,0,0,
29-10 11:09:34,13.333,6.167,77.500,3,0,0,241664,1439752192,13878087680,28434432,987766784,0,0,
29-10 11:09:35,10.851,3.506,85.476,0.167,0,0,0,1438433280,13879320576,28434432,987766784,0,0,
29-10 11:09:36,13.344,4.613,79.407,2.636,0,0,110592,1438523392,13879148544,28442624,987758592,0,0,
29-10 11:09:37,10.492,3.934,84.918,0.656,0,0,20480,1438646272,13878915072,28442624,987770880,0,0,
29-10 11:09:38,13.742,2.980,82.119,1.159,0,0,57344,1438449664,13879033856,28442624,987770880,0,0,
29-10 11:09:39,12.812,3.494,81.198,2.496,0,0,81920,1438609408,13878775808,28450816,987774976,0,0,
29-10 11:09:40,13.629,4.762,79.475,2.135,0,0,73728,1438343168,13878960128,28450816,987774976,0,0,
29-10 11:09:41,12.887,4.078,81.077,1.958,0,0,114688,1438576640,13878620160,28459008,987779072,0,0,
29-10 11:09:42,11.658,3.777,83.251,1.314,0,0,53248,1438547968,13878554624,28459008,987779072,0,0,
29-10 11:09:43,12.376,3.465,83.663,0.495,0,0,28672,1438806016,13878206464,28459008,987779072,0,0,
29-10 11:09:44,14.760,4.312,78.939,1.990,0,0,348160,1437224960,13879672832,28467200,987783168,0,0,
29-10 11:09:45,13.201,2.970,83.168,0.660,0,0,32768,1437970432,13878841344,28467200,987783168,0,0,
29-10 11:09:46,12.007,4.441,82.072,1.480,0,0,53248,1438474240,13878226944,28467200,987783168,0,0,
29-10 11:09:47,13.247,3.554,81.583,1.616,0,0,49152,1438703616,13877936128,28475392,987787264,0,0,
29-10 11:09:48,12.987,4.221,81.494,1.299,0,0,53248,1438691328,13877846016,28475392,987787264,0,0,
29-10 11:09:49,12.235,4.568,71.778,11.419,0,0,51642368,1438396416,13878046720,28483584,987795456,0,0,
29-10 11:09:50,14.333,4.119,79.572,1.977,0,0,77824,1438908416,13877456896,28483584,987795456,0,0,
29-10 11:09:51,12.683,4.553,78.537,4.228,0,0,176128,1438601216,13877608448,28491776,987799552,0,0,
29-10 11:09:52,12.046,3.465,83.993,0.495,0,0,32768,1438593024,13877559296,28491776,987799552,0,0,
29-10 11:09:53,12.026,3.460,83.855,0.659,0,0,28672,1438572544,13877493760,28491776,987799552,0,0,
29-10 11:09:54,13.079,5.298,79.636,1.987,0,0,118784,1438539776,13877428224,28499968,987799552,0,0,
29-10 11:09:55,12.745,3.595,82.680,0.980,0,0,32768,1438797824,13877063680,28499968,987803648,0,0,
29-10 11:09:56,14.521,3.135,81.353,0.990,0,0,40960,1438744576,13877030912,28499968,987803648,0,0,
29-10 11:09:57,11.755,3.146,82.119,2.980,0,0,73728,1439010816,13876690944,28508160,987807744,0,0,
29-10 11:09:58,13.953,3.488,81.395,1.163,0,0,53248,1438986240,13876617216,28508160,987807744,0,0,
29-10 11:09:59,12.941,2.689,82.185,2.185,0,0,77824,1455734784,13859753984,28516352,987811840,0,0,
29-10 11:10:00,23.559,7.966,64.576,3.898,0,0,147456,1458278400,13857116160,28524544,987815936,0,0,
29-10 11:10:01,17.538,5.228,75.211,2.024,0,0,90112,1458249728,13857009664,28532736,987820032,0,0,
29-10 11:10:02,12.914,3.477,82.285,1.325,0,0,49152,1458237440,13856927744,28532736,987820032,0,0,
29-10 11:10:03,13.290,3.890,82.010,0.810,0,0,32768,1458741248,13856337920,28532736,987820032,0,0,
29-10 11:10:04,14.662,3.954,79.901,1.483,0,0,86016,1457676288,13857312768,28540928,987820032,0,0,
29-10 11:10:05,13.072,3.268,82.680,0.980,0,0,57344,1457922048,13856964608,28540928,987824128,0,0,
29-10 11:10:06,12.562,3.471,82.314,1.653,0,0,45056,1458679808,13856116736,28540928,987824128,0,0,
29-10 11:10:07,11.277,3.648,83.582,1.493,0,0,57344,1458655232,13856059392,28549120,987824128,0,0,
29-10 11:10:08,12.315,3.941,83.087,0.657,0,0,28672,1458892800,13855719424,28549120,987828224,0,0,
29-10 11:10:09,11.462,2.990,84.053,1.495,0,0,61440,1458925568,13855588352,28557312,987832320,0,0,
29-10 11:10:10,12.375,4.013,82.274,1.338,0,0,49152,1459621888,13854773248,28557312,987832320,0,0,
29-10 11:10:11,12.418,4.902,79.739,2.941,0,0,114688,1459597312,13854715904,28565504,987828224,0,0,
29-10 11:10:12,10.465,4.153,84.385,0.997,0,0,45056,1459576832,13854642176,28565504,987836416,0,0,
29-10 11:10:13,12.292,2.824,84.385,0.498,0,0,12288,1459560448,13854584832,28565504,987836416,0,0,
29-10 11:10:14,13.058,5.124,80.496,1.322,0,0,73728,1458483200,13855559680,28573696,987828224,0,0,
29-10 11:10:15,10.483,3.494,83.361,2.662,0,0,53248,1458708480,13855260672,28573696,987840512,0,0,
29-10 11:10:16,14.098,3.934,80.492,1.475,0,0,45056,1458688000,13855195136,28573696,987840512,0,0,
29-10 11:10:17,12.724,2.936,82.219,2.121,0,0,57344,1458663424,13855096832,28581888,987844608,0,0,
29-10 11:10:18,13.115,2.787,82.459,1.639,0,0,49152,1458655232,13855006720,28581888,987844608,0,0,
29-10 11:10:19,12.930,3.110,82.815,1.146,0,0,49152,1458622464,13854965760,28581888,987844608,0,0,
29-10 11:10:20,13.810,5.824,76.040,4.326,0,0,6901760,1460420608,13853061120,28590080,987848704,0,0,
29-10 11:10:21,12.850,3.789,80.890,2.471,0,0,81920,1460404224,13853003776,28590080,987848704,0,0,
29-10 11:10:22,11.697,3.295,83.526,1.483,0,0,69632,1460629504,13852655616,28598272,987852800,0,0,
29-10 11:10:23,12.231,3.967,82.314,1.488,0,0,49152,1460867072,13852323840,28598272,987852800,0,0,
29-10 11:10:24,12.437,4.034,82.857,0.672,0,0,32768,1459642368,13853491200,28598272,987852800,0,0,
29-10 11:10:25,14.378,3.231,80.452,1.939,0,0,184320,1459798016,13853233152,28606464,987856896,0,0,
29-10 11:10:26,12.685,3.789,82.537,0.988,0,0,40960,1459802112,13853134848,28606464,987856896,0,0,
29-10 11:10:27,10.963,3.156,83.721,2.159,0,0,77824,1459752960,13853069312,28614656,987860992,0,0,
29-10 11:10:28,12.930,3.437,82.979,0.655,0,0,28672,1459732480,13853028352,28614656,987860992,0,0,
29-10 11:10:29,12.500,4.441,81.579,1.480,0,0,53248,1459724288,13852921856,28614656,987860992,0,0,
29-10 11:10:30,13.388,5.289,78.678,2.645,0,0,126976,1461235712,13851316224,28622848,987865088,0,0,
29-10 11:10:31,13.300,3.284,80.131,3.284,0,0,90112,1460973568,13851500544,28622848,987865088,0,0,
29-10 11:10:32,14.493,4.670,79.549,1.288,0,0,53248,1460936704,13851443200,28631040,987869184,0,0,
