"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Oct 2022 10:48:45 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 10:48:45,3.498,1.255,93.703,1.544,0,16338.709,155945.426,1388429312,13980143616,30318592,938598400,0,0,
29-10 10:48:46,11.538,3.846,78.428,6.187,0,200704,106496,1413681152,13900251136,30318592,991469568,0,0,
29-10 10:48:47,10.328,3.279,86.393,0,0,0,0,1413881856,13899771904,30318592,991469568,0,0,
29-10 10:48:48,17.167,5.667,74.333,2.833,0,0,192512,1413853184,13899591680,30326784,991473664,0,0,
29-10 10:48:49,14.168,5.766,80.066,0,0,0,0,1414828032,13898395648,30326784,991473664,0,0,
29-10 10:48:50,5.622,2.215,89.438,2.726,0,0,135168,1414696960,13898084352,30334976,991465472,0,0,
29-10 10:48:51,15.116,5.150,78.738,0.997,0,0,61440,1414631424,13897846784,30343168,991477760,0,0,
29-10 10:48:52,17.167,6.333,74.333,2.167,0,0,81920,1414594560,13897666560,30343168,991477760,0,0,
29-10 10:48:53,12.439,5.728,81.833,0,0,0,0,1414561792,13897519104,30343168,991477760,0,0,
29-10 10:48:54,16.975,7.227,71.933,3.866,0,0,126976,1413472256,13898354688,30351360,991481856,0,0,
29-10 10:48:55,16.283,5.428,77.632,0.658,0,0,24576,1413435392,13898158080,30351360,991481856,0,0,
29-10 10:48:56,14.044,4.569,78.849,2.538,0,0,139264,1414361088,13897052160,30359552,991485952,0,0,
29-10 10:48:57,13.465,5.419,80.624,0.493,0,0,20480,1414369280,13896814592,30359552,991485952,0,0,
29-10 10:48:58,18.395,5.017,74.080,2.508,0,0,77824,1414336512,13896634368,30367744,991481856,0,0,
29-10 10:48:59,12.500,6.086,80.921,0.493,0,0,24576,1414557696,13896228864,30367744,991490048,0,0,
29-10 10:49:00,13.621,6.977,78.571,0.831,0,0,28672,1417854976,13892677632,30367744,991490048,0,0,
29-10 10:49:01,16.833,4.500,76.500,2.167,0,0,102400,1417535488,13892706304,30375936,991494144,0,0,
29-10 10:49:02,16.776,6.250,75.329,1.645,0,0,618496,1417502720,13892591616,30375936,991494144,0,0,
29-10 10:49:03,12.500,5.099,79.770,2.632,0,0,53248,1417465856,13892411392,30375936,991498240,0,0,
29-10 10:49:04,20.034,5.433,72.326,2.207,0,65536,106496,1416085504,13893513216,30384128,991567872,0,0,
29-10 10:49:05,16.086,5.473,75.954,2.488,0,0,139264,1416519680,13892792320,30392320,991559680,0,0,
29-10 10:49:06,14.667,5,79.333,1,0,0,36864,1416470528,13892628480,30392320,991571968,0,0,
29-10 10:49:07,13.496,5.528,79.675,1.301,0,0,65536,1416687616,13892190208,30392320,991571968,0,0,
29-10 10:49:08,16.134,5.882,77.143,0.840,0,0,24576,1416892416,13891792896,30392320,991571968,0,0,
29-10 10:49:09,14.691,6.344,76.628,2.337,0,0,94208,1417121792,13891338240,30400512,991576064,0,0,
29-10 10:49:10,13.810,5.990,79.534,0.666,0,0,24576,1418620928,13889626112,30400512,991576064,0,0,
29-10 10:49:11,15.271,5.747,76.847,2.135,0,0,126976,1418821632,13889146880,30408704,991580160,0,0,
29-10 10:49:12,5.528,1.675,92.127,0.670,0,0,28672,1418461184,13888962560,30408704,991580160,0,0,
29-10 10:49:13,5.378,1.681,90.420,2.521,0,0,81920,1418600448,13888212992,30416896,991584256,0,0,
29-10 10:49:14,8.418,4.209,85.859,1.515,0,0,49152,1418850304,13887496192,30416896,991584256,0,0,
29-10 10:49:15,16.476,6.199,76.183,1.142,0,0,57344,1418993664,13887131648,30416896,991584256,0,0,
29-10 10:49:16,17.774,5.814,73.920,2.492,0,0,106496,1419198464,13886717952,30425088,991588352,0,0,
29-10 10:49:17,13.500,5,80,1.500,0,0,57344,1419165696,13886578688,30425088,991588352,0,0,
29-10 10:49:18,16.092,6.568,68.473,8.867,0,0,51412992,1419132928,13886357504,30425088,991588352,0,0,
29-10 10:49:19,16.086,6.965,75.290,1.658,0,0,131072,1419079680,13886218240,30433280,991592448,0,0,
29-10 10:49:20,15.025,5.342,78.965,0.668,0,0,24576,1419059200,13886038016,30433280,991592448,0,0,
29-10 10:49:21,16.060,4.801,76.325,2.815,0,0,131072,1419239424,13885566976,30441472,991596544,0,0,
29-10 10:49:22,16.498,5.387,77.609,0.505,0,0,28672,1419190272,13885403136,30441472,991596544,0,0,
29-10 10:49:23,13.816,5.592,78.454,2.138,0,0,77824,1419157504,13885255680,30449664,991600640,0,0,
29-10 10:49:24,17.734,7.225,73.727,1.314,0,0,53248,1419116544,13885108224,30449664,991600640,0,0,
29-10 10:49:25,17.705,6.393,74.590,1.311,0,0,53248,1419083776,13884911616,30449664,991600640,0,0,
29-10 10:49:26,16.118,5.263,75.987,2.632,0,0,114688,1419042816,13884755968,30457856,991604736,0,0,
29-10 10:49:27,16.911,6.179,75.610,1.301,0,0,53248,1418993664,13884600320,30457856,991604736,0,0,
29-10 10:49:28,18.182,5.124,74.876,1.818,0,0,53248,1418948608,13884420096,30466048,991608832,0,0,
29-10 10:49:29,12.479,5.158,80.865,1.498,0,0,57344,1418911744,13884289024,30466048,991608832,0,0,
29-10 10:49:30,14.958,4.706,79.496,0.840,0,0,24576,1420247040,13882793984,30466048,991608832,0,0,
29-10 10:49:31,15.947,6.312,74.086,3.654,0,0,155648,1419919360,13882863616,30474240,991612928,0,0,
29-10 10:49:32,13.950,5.042,80.336,0.672,0,0,24576,1420660736,13881925632,30474240,991617024,0,0,
29-10 10:49:33,14.883,5.351,78.094,1.672,0,0,81920,1420619776,13881761792,30482432,991608832,0,0,
29-10 10:49:34,16.555,6.689,74.916,1.839,0,0,360448,1418776576,13883338752,30482432,991621120,0,0,
29-10 10:49:35,15,5.167,78.500,1.333,0,0,118784,1418731520,13883215872,30490624,991612928,0,0,
29-10 10:49:36,14.454,4.874,78.655,2.017,0,0,57344,1418694656,13883002880,30490624,991625216,0,0,
29-10 10:49:37,15.066,7.285,76.821,0.828,0,0,32768,1418899456,13882597376,30490624,991625216,0,0,
29-10 10:49:38,14.992,5.601,77.924,1.483,0,0,73728,1418887168,13882433536,30498816,991629312,0,0,
29-10 10:49:39,14.428,5.307,79.602,0.663,0,0,339968,1419366400,13881745408,30498816,991629312,0,0,
29-10 10:49:40,17.863,7.513,73.289,1.336,0,0,53248,1420611584,13880233984,30498816,991629312,0,0,
29-10 10:49:41,13.810,5.158,79.201,1.830,0,0,110592,1420558336,13880086528,30507008,991633408,0,0,
29-10 10:49:42,13.793,5.583,78.818,1.806,0,0,73728,1420759040,13879623680,30507008,991633408,0,0,
29-10 10:49:43,18.605,4.817,75.914,0.664,0,0,24576,1420476416,13879726080,30507008,991633408,0,0,
29-10 10:49:44,16.694,5.509,75.793,2.003,0,0,86016,1419145216,13880819712,30515200,991637504,0,0,
29-10 10:49:45,12.541,4.785,81.353,1.320,0,0,49152,1419091968,13880672256,30515200,991637504,0,0,
29-10 10:49:46,18.636,5.657,72.379,3.328,0,0,122880,1419042816,13880508416,30523392,991641600,0,0,
29-10 10:49:47,17.241,5.583,75.862,1.314,0,0,45056,1419001856,13880328192,30523392,991641600,0,0,
29-10 10:49:48,14.262,4.478,79.436,1.824,0,0,77824,1418956800,13880139776,30531584,991645696,0,0,
29-10 10:49:49,19.194,7.258,71.774,1.774,0,0,7278592,1421008896,13877870592,30531584,991645696,0,0,
