

"Host:","peer35",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer35.dstat.csv",,,,"Date:","17 Nov 2022 13:56:26 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:56:26,9.607,2.313,87.830,0.249,0,122510.008,7015939.873,712392704,13445201920,581357568,1481568256,0,0,
17-11 13:56:27,1.852,0.673,97.475,0,0,0,335872,711987200,13445369856,581357568,1481572352,0,0,
17-11 13:56:28,1.336,0.668,97.997,0,0,0,0,712245248,13445111808,581357568,1481572352,0,0,
17-11 13:56:29,1.008,0.504,98.319,0.168,0,0,163840,712237056,13445111808,581365760,1481572352,0,0,
17-11 13:56:30,1.173,0.838,97.990,0,0,0,73728,711704576,13445644288,581365760,1481572352,0,0,
17-11 13:56:31,0.850,0.340,98.810,0,0,0,0,712736768,13444612096,581365760,1481572352,0,0,
17-11 13:56:32,1.174,0.336,98.322,0.168,0,0,65536,712216576,13445128192,581365760,1481576448,0,0,
17-11 13:56:33,0.504,0.504,98.992,0,0,0,40960,712216576,13445128192,581365760,1481576448,0,0,
17-11 13:56:34,2.658,1.661,95.681,0,0,0,188416,719572992,13437505536,581369856,1481576448,0,0,
17-11 13:56:35,1.173,0.670,98.157,0,0,0,0,719831040,13437247488,581369856,1481576448,0,0,
17-11 13:56:36,1.008,0.336,98.655,0,0,0,0,720093184,13436981248,581369856,1481580544,0,0,
17-11 13:56:37,1.849,0.672,97.479,0,0,0,0,719548416,13437521920,581369856,1481580544,0,0,
17-11 13:56:38,0.842,1.010,98.148,0,0,0,73728,719814656,13437255680,581369856,1481580544,0,0,
17-11 13:56:39,1.858,0.507,97.297,0.338,0,0,294912,720584704,13436481536,581373952,1481580544,0,0,
17-11 13:56:40,2.685,2.181,95.134,0,0,0,0,728150016,13428596736,581373952,1481580544,0,0,
17-11 13:56:41,1.846,0.671,97.483,0,0,0,0,729190400,13427556352,581373952,1481580544,0,0,
17-11 13:56:42,0.673,0.337,98.990,0,0,0,0,729190400,13427556352,581373952,1481580544,0,0,
17-11 13:56:43,0.506,0.337,99.157,0,0,0,24576,729690112,13427056640,581373952,1481580544,0,0,
17-11 13:56:44,1.180,0,98.820,0,0,0,0,729686016,13427056640,581373952,1481584640,0,0,
17-11 13:56:45,1.505,0.669,97.492,0.334,0,0,311296,729677824,13427056640,581390336,1481576448,0,0,
17-11 13:56:46,31.973,9.184,58.844,0,0,0,0,747024384,13391806464,581390336,1498578944,0,0,
17-11 13:56:47,50.871,15.331,33.624,0.174,0,0,98304,765300736,13355200512,581394432,1516187648,0,0,
17-11 13:56:48,46.458,14.662,38.056,0.824,0,0,86425600,776585216,13322506240,581451776,1535967232,0,0,
17-11 13:56:49,49.410,14.165,36.425,0,0,0,0,776687616,13304700928,581451776,1553264640,0,0,
17-11 13:56:50,52.007,15.552,31.940,0.502,0,8192,86761472,780058624,13279506432,581562368,1574002688,0,0,
17-11 13:56:51,52.712,12.881,34.237,0.169,0,0,81920,779907072,13266321408,581562368,1586810880,0,0,
17-11 13:56:52,51.458,13.894,34.648,0,0,0,212992,779096064,13248266240,581566464,1605361664,0,0,
17-11 13:56:53,53.795,15.017,30.693,0.495,0,8192,86900736,779907072,13229555712,581672960,1622257664,0,0,
17-11 13:56:54,50.947,13.597,35.456,0,0,0,0,779993088,13211992064,581672960,1639452672,0,0,
17-11 13:56:55,49.073,16.358,28.836,5.734,0,8192,236617728,781557760,13156732928,581853184,1691721728,0,0,
17-11 13:56:56,52.517,14.933,29.362,3.188,0,0,125550592,780587008,13179858944,582012928,1669431296,0,0,
17-11 13:56:57,47.130,14.087,38.609,0.174,0,0,8757248,782610432,13159555072,582025216,1687502848,0,0,
17-11 13:56:58,42.123,15.411,40.240,2.226,0,8192,113360896,781795328,13143810048,582176768,1703391232,0,0,
17-11 13:56:59,48.980,12.415,38.605,0,0,0,0,782118912,13127553024,582176768,1719226368,0,0,
17-11 13:57:00,51.946,13.875,33.164,1.015,0,0,74080256,784596992,13096693760,582266880,1746841600,0,0,
17-11 13:57:01,50,13.140,35.154,1.706,0,0,47390720,783360000,13092536320,582311936,1751818240,0,0,
17-11 13:57:02,51.111,12.821,36.068,0,0,0,65536,782700544,13076619264,582311936,1768280064,0,0,
17-11 13:57:03,48.889,13.675,35.726,1.709,0,8192,87179264,784130048,13058187264,582418432,1784582144,0,0,
17-11 13:57:04,43.537,20.748,17.857,17.857,0,24576,378830848,783376384,12928880640,582602752,1911787520,0,0,
17-11 13:57:05,41.681,23.361,23.193,11.765,0,24576,497205248,782790656,13036179456,583012352,1805533184,0,0,
17-11 13:57:06,48.644,14.237,36.271,0.847,0,0,60874752,782229504,13015474176,583090176,1826398208,0,0,
17-11 13:57:07,45.904,13.652,40.102,0.341,0,8192,26263552,782561280,13003214848,583143424,1838129152,0,0,
17-11 13:57:08,51.783,13.752,34.465,0,0,0,131072,782839808,12985667584,583147520,1855201280,0,0,
17-11 13:57:09,50.687,13.918,33.677,1.718,0,0,87007232,783228928,12967895040,583249920,1871519744,0,0,
17-11 13:57:10,53.188,13.591,33.221,0,0,0,0,783704064,12949200896,583249920,1889722368,0,0,
17-11 13:57:11,45.997,15.503,32.198,6.303,0,8192,193748992,784400384,12861599744,583368704,1975083008,0,0,
17-11 13:57:12,48.748,15.025,33.222,3.005,0,16384,127025152,783130624,12915499008,583569408,1922215936,0,0,
17-11 13:57:13,52.445,12.648,34.907,0,0,0,163840,783736832,12897177600,583569408,1939894272,0,0,
17-11 13:57:14,46.193,16.582,35.025,2.200,0,8192,139206656,785604608,12878442496,583749632,1955868672,0,0,
