"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-64k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 02:33:39 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 02:33:39,3.844,1.230,94.829,0.097,0,139779.265,2905585.751,1523171328,13303963648,46272512,1474125824,0,0,
17-11 02:33:40,2.502,0.751,96.664,0.083,0,0,106496,1546399744,13280313344,46272512,1474035712,0,0,
17-11 02:33:41,17.079,5.038,77.882,0,0,163840,29941760,1571069952,13188292608,46280704,1539280896,0,0,
17-11 02:33:42,7.046,2.122,90.662,0.170,0,0,43507712,1582895104,13164867584,46362624,1549459456,0,0,
17-11 02:33:43,6.979,2.043,90.809,0.170,0,0,68468736,1583058944,13154578432,46395392,1558487040,0,0,
17-11 02:33:44,7.185,2.451,90.363,0,0,0,0,1581334528,13146791936,46395392,1567735808,0,0,
17-11 02:33:45,7.417,2.387,90.111,0.085,0,0,43474944,1584791552,13132328960,46460928,1578319872,0,0,
17-11 02:33:46,7.369,2.142,90.403,0.086,0,0,17195008,1584656384,13121445888,46477312,1588580352,0,0,
17-11 02:33:47,8.249,2.273,89.394,0.084,0,0,311296,1582776320,13113806848,46485504,1597886464,0,0,
17-11 02:33:48,7.860,2.508,89.465,0.167,0,8192,79216640,1585639424,13101203456,46551040,1607053312,0,0,
17-11 02:33:49,7.763,2.671,89.482,0.083,0,0,17383424,1582772224,13093019648,46575616,1617424384,0,0,
17-11 02:33:50,8.153,2.745,89.101,0,0,0,139264,1582239744,13084053504,46583808,1626767360,0,0,
17-11 02:33:51,6.706,2.037,90.832,0.424,0,0,86228992,1581375488,13075120128,46698496,1635672064,0,0,
17-11 02:33:52,4.448,1.540,93.328,0.684,0,16384,215285760,1583104000,13067108352,46993408,1640914944,0,0,
17-11 02:33:53,8.969,2.012,89.019,0,0,0,204800,1580707840,13059792896,47001600,1650851840,0,0,
17-11 02:33:54,8.772,2.005,89.223,0,0,0,0,1580871680,13049597952,47001600,1660780544,0,0,
17-11 02:33:55,8.605,2.506,88.471,0.418,0,0,60358656,1586077696,13034622976,47067136,1670344704,0,0,
17-11 02:33:56,10.101,2.525,87.374,0,0,0,0,1584463872,13026484224,47067136,1679511552,0,0,
17-11 02:33:57,7.886,2.685,89.346,0.084,0,0,221184,1582235648,13018800128,47075328,1689247744,0,0,
17-11 02:33:58,6.655,1.621,91.638,0.085,0,0,43073536,1587773440,13004431360,47124480,1697701888,0,0,
17-11 02:33:59,7.901,1.954,89.975,0.170,0,8192,17416192,1584783360,12996734976,47144960,1707855872,0,0,
17-11 02:34:00,7.614,1.861,90.525,0,0,0,1753088,1583054848,12988493824,47161344,1717641216,0,0,
17-11 02:34:01,7.930,2.671,89.149,0.250,0,0,43196416,1588797440,12973641728,47210496,1726332928,0,0,
17-11 02:34:02,6.443,3.093,88.574,1.890,0,24576,446652416,1589014528,12964855808,47673344,1733414912,0,0,
17-11 02:34:03,6.975,2.269,90.168,0.588,0,8192,172335104,1585741824,12960890880,47890432,1740226560,0,0,
17-11 02:34:04,6.961,2.292,90.747,0,0,0,0,1585537024,12951863296,47890432,1749192704,0,0,
17-11 02:34:05,7.192,2.226,90.240,0.342,0,221184,60571648,1589432320,12937482240,47972352,1759256576,0,0,
17-11 02:34:06,7.950,2.762,89.289,0,0,0,0,1587286016,12929404928,47972352,1769189376,0,0,
17-11 02:34:07,8.732,2.435,88.749,0.084,0,0,114688,1585213440,12920844288,47972352,1779625984,0,0,
17-11 02:34:08,8.555,2.575,88.704,0.166,0,8192,60407808,1589817344,12906569728,48058368,1788772352,0,0,
17-11 02:34:09,7.536,2.032,90.347,0.085,0,0,524288,1586823168,12900233216,48066560,1797873664,0,0,
17-11 02:34:10,7.251,2.614,90.135,0,0,0,172032,1586798592,12890628096,48074752,1807339520,0,0,
17-11 02:34:11,5.617,2.383,91.319,0.681,0,8192,194043904,1590939648,12878921728,48381952,1814216704,0,0,
17-11 02:34:12,7.686,2.449,89.780,0.084,0,0,43630592,1589157888,12869853184,48455680,1824518144,0,0,
17-11 02:34:13,8.263,2.277,89.376,0.084,0,0,262144,1586372608,12862054400,48463872,1835069440,0,0,
17-11 02:34:14,6.841,2.618,90.287,0.253,0,0,43122688,1590054912,12848406528,48513024,1844772864,0,0,
17-11 02:34:15,8.754,2.273,88.805,0.168,0,8192,43229184,1587810304,12841463808,48574464,1853526016,0,0,
17-11 02:34:16,7.426,2.700,89.873,0,0,0,0,1588224000,12830810112,48574464,1863565312,0,0,
17-11 02:34:17,6.712,2.294,90.824,0.170,0,0,26378240,1590124544,12819804160,48623616,1872490496,0,0,
17-11 02:34:18,6.932,2.282,88.673,2.113,0,8192,103432192,1589637120,12811653120,48742400,1880186880,0,0,
17-11 02:34:19,8.732,2.435,88.581,0.252,0,0,425984,1595039744,12797071360,48750592,1889419264,0,0,
17-11 02:34:20,6.785,2.036,91.094,0.085,0,0,122880,1593393152,12788887552,48758784,1899089920,0,0,
17-11 02:34:21,6.058,2.560,86.945,4.437,0,8192,167763968,1597538304,12775677952,49000448,1907228672,0,0,
17-11 02:34:22,7.426,2.025,90.549,0,0,0,0,1594699776,12768968704,49000448,1917112320,0,0,
17-11 02:34:23,6.661,2.306,90.777,0.256,0,0,253952,1593737216,12760260608,49000448,1926717440,0,0,
17-11 02:34:24,6.202,2.379,88.700,2.719,0,0,146382848,1595641856,12749500416,49213440,1934544896,0,0,
17-11 02:34:25,8.439,2.278,88.608,0.675,0,8192,17670144,1593729024,12741509120,49258496,1944535040,0,0,
17-11 02:34:26,9.083,2.250,88.667,0,0,0,0,1597566976,12729208832,49258496,1952997376,0,0,
17-11 02:34:27,6.644,1.959,90.375,1.022,0,0,26189824,1597403136,12719013888,49307648,1963208704,0,0,
17-11 02:34:28,8.110,2.676,87.207,2.007,0,0,59834368,1596358656,12710543360,49364992,1972125696,0,0,
17-11 02:34:29,7.125,2.205,90.500,0.170,0,0,212992,1596502016,12701134848,49364992,1981349888,0,0,
17-11 02:34:30,7.833,2.250,89.333,0.583,0,0,26222592,1597587456,12690706432,49405952,1990545408,0,0,
17-11 02:34:31,7.458,2.203,87.458,2.881,0,8192,128122880,1599594496,12680282112,49565696,1998655488,0,0,
17-11 02:34:32,7.647,2.521,89.832,0,0,0,0,1595645952,12673454080,49565696,2008764416,0,0,
17-11 02:34:33,4.348,2.472,92.583,0.597,0,4907008,46489600,1602568192,14302097408,1908736,465293312,0,0,
17-11 02:34:34,1.258,0.587,97.987,0.168,0,9797632,0,1601835008,14298451968,2211840,469368832,0,0,
17-11 02:34:35,1.833,1.167,96.333,0.667,0,29278208,221184,1603379200,14281433088,5611520,481140736,0,0,
17-11 02:34:36,6.349,1.921,90.727,1.003,0,128712704,40960,1600811008,14220709888,7909376,542130176,0,0,
17-11 02:34:37,30.696,6.793,59.931,2.580,0,459735040,106496,1595547648,13995286528,8065024,772644864,0,0,
17-11 02:34:38,8.007,1.751,89.992,0.250,0,43130880,491520,1597456384,13971255296,8081408,794460160,0,0,
17-11 02:34:39,1.501,0.751,97.498,0.250,0,0,294912,1597419520,13971255296,8089600,794488832,0,0,
17-11 02:34:40,26.446,6.364,66.364,0.826,0,134373376,122880,1597009920,13905080320,8097792,861065216,0,0,
17-11 02:34:41,34.326,5.790,59.222,0.662,0,77905920,303104,1598111744,13866082304,8261632,898641920,0,0,
17-11 02:34:42,6.862,2.008,91.130,0,0,6856704,0,1597427712,13861437440,8273920,903909376,0,0,
17-11 02:34:43,1.006,0.587,98.240,0.168,0,0,172032,1597407232,13861421056,8282112,903921664,0,0,
17-11 02:34:44,16.596,3.791,79.360,0.253,0,19947520,253952,1597726720,13851066368,8294400,913891328,0,0,
17-11 02:34:45,3.104,0.923,95.805,0.168,0,589824,139264,1598418944,13850075136,8294400,914186240,0,0,
17-11 02:34:46,9.220,2.179,88.433,0.168,0,12091392,40960,1599328256,13844213760,8761344,918671360,0,0,
17-11 02:34:47,1.423,0.251,98.159,0.167,0,0,229376,1599602688,13842833408,8769536,919769088,0,0,
17-11 02:34:48,1.684,0.421,97.896,0,0,385024,65536,1599602688,13842833408,8777728,919760896,0,0,
17-11 02:34:49,32.358,6.856,60.535,0.251,0,19668992,376832,1595383808,13837680640,8785920,929120256,0,0,
17-11 02:34:50,5.499,1.438,92.978,0.085,0,1605632,163840,1596993536,13834575872,8802304,930594816,0,0,
17-11 02:34:51,1.339,0.753,97.741,0.167,0,16384,163840,1597235200,13834317824,8806400,930603008,0,0,
17-11 02:34:52,26.965,5.495,67.371,0.169,0,6905856,106496,1597165568,13831995392,8830976,932966400,0,0,
17-11 02:34:53,12.248,3.523,84.144,0.084,0,1204224,114688,1598308352,13829156864,8830976,934662144,0,0,
17-11 02:34:54,1.255,0.669,97.992,0.084,0,40960,196608,1598279680,13829156864,8859648,934658048,0,0,
17-11 02:34:55,19.863,3.853,76.113,0.171,0,2670592,245760,1598840832,13828083712,8867840,935161856,0,0,
17-11 02:34:56,32.255,6.979,60.681,0.085,0,2531328,57344,1599488000,13826076672,8867840,936476672,0,0,
17-11 02:34:57,6.812,1.850,91.253,0.084,0,65536,98304,1599459328,13825261568,8867840,937312256,0,0,
17-11 02:34:58,1.255,0.669,97.992,0.084,0,57344,81920,1599422464,13825261568,8900608,937316352,0,0,
17-11 02:34:59,10.645,2.263,86.924,0.168,0,401408,114688,1599979520,13824487424,9060352,937369600,0,0,
17-11 02:35:00,0.921,0.670,98.157,0.251,0,0,417792,1599971328,13824487424,9068544,937369600,0,0,
17-11 02:35:01,13.678,2.919,83.236,0.167,0,3063808,180224,1599324160,13823160320,10080256,937897984,0,0,
17-11 02:35:02,0.925,0.336,98.654,0.084,0,32768,98304,1599299584,13823160320,10096640,937906176,0,0,
17-11 02:35:03,5.063,1.519,93.249,0.169,0,393216,196608,1599299584,13823160320,10104832,937897984,0,0,
17-11 02:35:04,31.963,7.047,60.906,0.084,0,745472,106496,1599434752,13822644224,10104832,938278912,0,0,
17-11 02:35:05,11.606,2.607,85.618,0.168,0,696320,163840,1597833216,13823676416,10108928,938827776,0,0,
17-11 02:35:06,2.174,0.920,96.823,0.084,0,0,180224,1599332352,13822160896,10117120,938840064,0,0,
17-11 02:35:07,21.961,4.778,73.093,0.168,0,327680,106496,1600139264,13821353984,10117120,938835968,0,0,
17-11 02:35:08,19.390,4.488,76.122,0,0,327680,49152,1600327680,13820837888,10117120,939163648,0,0,
17-11 02:35:09,1.174,0.503,98.238,0.084,0,0,114688,1600327680,13820837888,10117120,939163648,0,0,
17-11 02:35:10,12.977,2.884,83.969,0.170,0,516096,311296,1600102400,13820837888,10346496,939159552,0,0,
17-11 02:35:11,1.087,0.669,98.161,0.084,0,16384,237568,1600032768,13820837888,10358784,939216896,0,0,
17-11 02:35:12,1.007,0.671,97.987,0.336,0,1409024,614400,1600000000,13820063744,11071488,939311104,0,0,
17-11 02:35:13,23.455,4.064,72.312,0.169,0,278528,180224,1599848448,13820063744,11079680,939454464,0,0,
17-11 02:35:14,1.587,0.668,97.661,0.084,0,0,221184,1599840256,13820063744,11087872,939454464,0,0,
17-11 02:35:15,7.379,1.866,90.585,0.170,0,483328,81920,1598607360,13821038592,11087872,939696128,0,0,
17-11 02:35:16,1.351,0.507,98.057,0.084,0,0,704512,1601658880,13817991168,11087872,939696128,0,0,
17-11 02:35:17,2.355,1.093,96.468,0.084,0,0,180224,1600901120,13818732544,11096064,939700224,0,0,
17-11 02:35:18,31.485,6.229,62.201,0.085,0,393216,49152,1601601536,13817958400,11096064,939773952,0,0,
17-11 02:35:19,15.286,3.501,81.127,0.085,0,81920,57344,1602469888,13816926208,11112448,939921408,0,0,
17-11 02:35:20,1.089,0.419,98.241,0.251,0,0,360448,1602461696,13816909824,11132928,939925504,0,0,
17-11 02:35:21,16.105,3.794,80.101,0,0,0,163840,1602461696,13816909824,11132928,939925504,0,0,
17-11 02:35:22,13.779,3.135,82.921,0.165,0,16384,221184,1601921024,13817425920,11145216,939937792,0,0,
17-11 02:35:23,1.172,0.753,97.992,0.084,0,57344,106496,1601908736,13817425920,11161600,939933696,0,0,
17-11 02:35:24,18.228,4.770,76.831,0.170,0,16384,262144,1602150400,13817167872,11173888,939937792,0,0,
17-11 02:35:25,4.634,1.095,94.187,0.084,0,131072,81920,1599963136,13819265024,11173888,940027904,0,0,
17-11 02:35:26,2.265,0.587,97.064,0.084,0,442368,237568,1601691648,13817315328,11173888,940253184,0,0,
17-11 02:35:27,4.622,1.261,94.034,0.084,0,49152,65536,1601007616,13817974784,11173888,940273664,0,0,
17-11 02:35:28,1.255,0.335,98.326,0.084,0,16384,196608,1600983040,13817974784,11186176,940285952,0,0,
17-11 02:35:29,6.706,1.783,91.426,0.085,0,24576,114688,1601732608,13817200640,11202560,940290048,0,0,
17-11 02:35:30,1.426,0.503,97.903,0.168,0,32768,212992,1601728512,13817200640,11218944,940277760,0,0,
17-11 02:35:31,17.998,3.701,78.133,0.168,0,147456,450560,1601695744,13817200640,11235328,940294144,0,0,
17-11 02:35:32,14.202,3.866,81.765,0.168,0,0,155648,1601622016,13817200640,11235328,940367872,0,0,
17-11 02:35:33,0.922,0.587,98.407,0.084,0,0,155648,1601888256,13816934400,11243520,940359680,0,0,
17-11 02:35:34,17.077,3.993,78.760,0.170,0,16384,147456,1601867776,13816942592,11243520,940371968,0,0,
