"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer32",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-64k-lsfs-peer32.dstat.csv",,,,"Date:","17 Nov 2022 02:33:18 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 02:33:18,10.120,2.543,87.081,0.256,0,120929.079,6946623.711,712683520,14621003776,425254912,550707200,0,0,
17-11 02:33:19,1.003,1.003,97.993,0,0,0,0,712933376,14620729344,425254912,550707200,0,0,
17-11 02:33:20,1.171,0.334,98.495,0,0,0,32768,712916992,14620745728,425254912,550707200,0,0,
17-11 02:33:21,1.005,0.335,98.660,0,0,0,0,712937472,14620721152,425254912,550711296,0,0,
17-11 02:33:22,0.336,0.168,99.496,0,0,0,0,712335360,14621323264,425254912,550711296,0,0,
17-11 02:33:23,1.331,1.165,97.171,0.333,0,0,180224,712392704,14621261824,425259008,550711296,0,0,
17-11 02:33:24,3.477,1.325,95.033,0.166,0,0,204800,720297984,14613356544,425271296,550694912,0,0,
17-11 02:33:25,3.015,0.670,96.147,0.168,0,0,417792,720470016,14612905984,425271296,550711296,0,0,
17-11 02:33:26,1.827,2.159,96.013,0,0,0,0,720494592,14612881408,425271296,550711296,0,0,
17-11 02:33:27,1.340,1.005,97.655,0,0,0,0,721268736,14612107264,425271296,550711296,0,0,
17-11 02:33:28,3.523,1.846,94.463,0.168,0,0,245760,727990272,14605205504,425279488,550699008,0,0,
17-11 02:33:29,3.188,1.342,95.302,0.168,0,434176,0,729722880,14603169792,425279488,550932480,0,0,
17-11 02:33:30,1.347,0.337,98.148,0.168,0,24576,65536,729681920,14603194368,425283584,550944768,0,0,
17-11 02:33:31,1.007,0.839,97.987,0.168,0,0,212992,732004352,14600863744,425283584,550952960,0,0,
17-11 02:33:32,2.500,1.167,96.333,0,0,0,0,738279424,14594289664,425283584,550952960,0,0,
17-11 02:33:33,1.008,0.504,98.487,0,0,0,0,738521088,14594048000,425283584,550952960,0,0,
17-11 02:33:34,0.672,0.672,98.487,0.168,0,0,278528,738525184,14594031616,425295872,550952960,0,0,
17-11 02:33:35,1.505,0.334,98.161,0,0,0,0,739069952,14593482752,425295872,550957056,0,0,
17-11 02:33:36,1.345,0.504,97.815,0.336,0,0,327680,739012608,14593540096,425299968,550952960,0,0,
17-11 02:33:37,1.672,0.669,97.659,0,0,0,0,739012608,14593531904,425299968,550961152,0,0,
17-11 02:33:38,3.020,1.678,95.302,0,0,0,0,737464320,14595080192,425299968,550961152,0,0,
17-11 02:33:39,1.510,0.503,97.987,0,0,0,0,737464320,14595080192,425299968,550961152,0,0,
17-11 02:33:40,11.893,3.183,84.757,0.168,0,0,147456,744980480,14581026816,425299968,557314048,0,0,
17-11 02:33:41,39.527,9.628,50.845,0,0,0,0,775151616,14521151488,425299968,585461760,0,0,
17-11 02:33:42,40.455,14.886,42.732,1.926,0,0,86237184,788918272,14492082176,425369600,599121920,0,0,
17-11 02:33:43,45.574,12.131,42.295,0,0,0,0,788226048,14478389248,425369600,613179392,0,0,
17-11 02:33:44,43.576,10.590,45.660,0.174,0,0,65536,788545536,14464163840,425373696,626782208,0,0,
17-11 02:33:45,40.558,19.704,38.095,1.642,0,0,86867968,792248320,14445899776,425476096,640475136,0,0,
17-11 02:33:46,45.156,15.435,39.409,0,0,0,0,789606400,14432874496,425476096,655802368,0,0,
17-11 02:33:47,43.645,13.880,42.475,0,0,0,221184,789385216,14418681856,425476096,669929472,0,0,
17-11 02:33:48,42.152,12.346,44.974,0.529,0,0,86949888,791928832,14401953792,425582592,683098112,0,0,
17-11 02:33:49,44.500,13.500,42,0,0,0,0,790147072,14389940224,425582592,696639488,0,0,
17-11 02:33:50,44.741,11.185,44.073,0,0,0,0,790351872,14375489536,425582592,710631424,0,0,
17-11 02:33:51,36.429,17.143,43.571,2.857,0,0,302555136,792653824,14360805376,425955328,721633280,0,0,
17-11 02:33:52,30.411,9.660,58.140,1.789,0,0,130244608,791425024,14351917056,426127360,731672576,0,0,
17-11 02:33:53,45.050,13.036,41.914,0,0,0,106496,791158784,14337208320,426127360,746303488,0,0,
17-11 02:33:54,40.418,13.589,45.645,0.348,0,0,17547264,791314432,14320160768,426151936,762949632,0,0,
17-11 02:33:55,41.379,11.897,45,1.724,0,8192,69820416,791986176,14309564416,426270720,772308992,0,0,
17-11 02:33:56,42.061,11.486,46.453,0,0,0,49152,791134208,14297178112,426274816,785428480,0,0,
17-11 02:33:57,44.634,11.755,43.612,0,0,0,8642560,792145920,14276501504,426283008,804847616,0,0,
17-11 02:33:58,39.399,13.251,45.053,2.297,0,0,78364672,793571328,14266904576,426409984,812249088,0,0,
17-11 02:33:59,45.361,11.168,43.471,0,0,0,81920,792600576,14254002176,426409984,826011648,0,0,
17-11 02:34:00,45.183,11.462,43.355,0,0,0,0,792535040,14240051200,426409984,839839744,0,0,
17-11 02:34:01,43.719,14.238,41.541,0.503,0,0,87040000,793673728,14224519168,426549248,853258240,0,0,
17-11 02:34:02,31.786,20.536,39.464,8.214,0,0,690184192,795095040,14187151360,427270144,886792192,0,0,
17-11 02:34:03,32.675,10.592,54.399,2.334,0,0,172630016,792379392,14203604992,427466752,873414656,0,0,
17-11 02:34:04,44.482,13.073,41.935,0.509,0,0,26845184,793464832,14180638720,427507712,895021056,0,0,
17-11 02:34:05,41.293,12.747,44.883,1.077,0,0,60817408,793358336,14174171136,427589632,901079040,0,0,
17-11 02:34:06,42.179,10.545,47.276,0,0,0,81920,793837568,14159978496,427597824,914644992,0,0,
17-11 02:34:07,45.561,13.400,40.704,0.335,0,0,17367040,794996736,14143979520,427622400,929030144,0,0,
17-11 02:34:08,43.761,14.938,39.895,1.406,0,0,69664768,792580096,14132465664,427724800,942395392,0,0,
17-11 02:34:09,44.194,11.092,44.714,0,0,0,122880,792850432,14118273024,427724800,956133376,0,0,
17-11 02:34:10,39.261,11.444,49.296,0,0,0,0,792985600,14104854528,427724800,969191424,0,0,
17-11 02:34:11,37.633,18.728,36.396,7.244,0,0,296108032,794787840,14091423744,428130304,979308544,0,0,
17-11 02:34:12,44.291,12.976,42.561,0.173,0,0,13287424,792813568,14079610880,428163072,993218560,0,0,
17-11 02:34:13,44.330,11.168,44.330,0.172,0,0,73728,793223168,14065160192,428171264,1007054848,0,0,
17-11 02:34:14,37.838,15.676,44.505,1.982,0,0,109010944,794763264,14045741056,428314624,1024008192,0,0,
17-11 02:34:15,45.876,13.746,39.347,1.031,0,0,48283648,793034752,14036918272,428388352,1034346496,0,0,
17-11 02:34:16,43.140,12.727,44.132,0,0,0,0,794124288,14022209536,428388352,1047760896,0,0,
17-11 02:34:17,42.451,13.321,42.984,1.243,0,0,78340096,794361856,14002565120,428453888,1066225664,0,0,
17-11 02:34:18,43.847,15.945,38.475,1.733,0,0,113016832,793133056,13995290624,428613632,1074294784,0,0,
17-11 02:34:19,42.761,13.468,43.771,0,0,0,0,794177536,13980839936,428613632,1087565824,0,0,
17-11 02:34:20,40.901,14.905,41.941,2.253,0,0,117104640,794697728,13952131072,428756992,1114963968,0,0,
17-11 02:34:21,38.980,14.572,43.534,2.914,0,0,121356288,794464256,13954646016,428896256,1112195072,0,0,
17-11 02:34:22,44.850,10.631,44.518,0,0,0,0,794570752,13940678656,428896256,1125879808,0,0,
17-11 02:34:23,39.646,14.513,44.956,0.885,0,0,95756288,796340224,13923065856,429060096,1140989952,0,0,
17-11 02:34:24,40.248,14.184,44.681,0.887,0,0,96043008,794955776,13912678400,429191168,1152233472,0,0,
17-11 02:34:25,42.784,12.027,45.189,0,0,0,0,794468352,13899276288,429191168,1165942784,0,0,
17-11 02:34:26,43.029,11.360,45.095,0.516,0,0,17440768,796049408,13883793408,429219840,1179508736,0,0,
17-11 02:34:27,40.794,13.899,43.863,1.444,0,0,93110272,795586560,13866438656,429342720,1196732416,0,0,
17-11 02:34:28,44.912,13.158,41.404,0.526,0,0,15212544,795361280,13856841728,429379584,1206444032,0,0,
17-11 02:34:29,44.501,11.675,43.824,0,0,0,49152,794501120,13843681280,429387776,1220149248,0,0,
17-11 02:34:30,40.248,15.426,43.085,1.241,0,0,133046272,795136000,13829165056,429600768,1233068032,0,0,
17-11 02:34:31,41.681,13.135,44.658,0.525,0,0,64659456,794845184,13816438784,429707264,1245741056,0,0,
17-11 02:34:32,44.068,11.017,44.915,0,0,0,0,794054656,13803745280,429707264,1259003904,0,0,
17-11 02:34:33,14.359,4.103,80.855,0.684,0,0,21307392,793780224,13799100416,429740032,1263673344,0,0,
17-11 02:34:34,2.534,0.676,96.622,0.169,0,0,65536,793776128,13799100416,429744128,1263673344,0,0,
17-11 02:34:35,0.842,0.337,98.653,0.168,0,0,524288,793767936,13799100416,429752320,1263673344,0,0,
17-11 02:34:36,13.735,3.853,82.412,0,0,0,0,794021888,13798842368,429752320,1263677440,0,0,
17-11 02:34:37,24.873,6.430,68.697,0,0,0,0,794021888,13798842368,429752320,1263677440,0,0,
17-11 02:34:38,2.525,0.842,96.633,0,0,0,0,795054080,13797801984,429752320,1263685632,0,0,
17-11 02:34:39,3.723,1.354,94.755,0.169,0,0,98304,795049984,13797801984,429756416,1263685632,0,0,
17-11 02:34:40,28.279,7.496,64.055,0.170,0,0,81920,795025408,13797826560,429764608,1263677440,0,0,
17-11 02:34:41,28.268,6.373,65.359,0,0,0,24576,795041792,13797801984,429764608,1263685632,0,0,
17-11 02:34:42,1.180,0.506,98.314,0,0,0,0,795041792,13797801984,429764608,1263685632,0,0,
17-11 02:34:43,6.845,1.669,91.486,0,0,0,0,795033600,13797801984,429764608,1263693824,0,0,
17-11 02:34:44,13.894,3.087,83.019,0,0,0,114688,795803648,13797027840,429768704,1263693824,0,0,
17-11 02:34:45,2.337,0.668,96.828,0.167,0,0,106496,795832320,13796995072,429772800,1263693824,0,0,
17-11 02:34:46,9.677,2.037,88.115,0.170,0,0,270336,795803648,13797011456,429780992,1263697920,0,0,
17-11 02:34:47,1.340,0.670,97.990,0,0,0,0,796049408,13796753408,429780992,1263710208,0,0,
17-11 02:34:48,12.394,2.886,84.720,0,0,0,0,795283456,13797519360,429780992,1263710208,0,0,
17-11 02:34:49,25.212,4.738,70.051,0,0,0,0,795275264,13797527552,429780992,1263710208,0,0,
17-11 02:34:50,2.174,1.839,95.652,0.334,0,0,114688,795271168,13797527552,429785088,1263710208,0,0,
17-11 02:34:51,6,1.667,92.167,0.167,0,0,131072,795533312,13797244928,429793280,1263718400,0,0,
17-11 02:34:52,30.808,6.734,62.458,0,0,0,0,795500544,13797277696,429793280,1263718400,0,0,
17-11 02:34:53,3.367,1.010,95.623,0,0,0,0,795508736,13797269504,429793280,1263718400,0,0,
17-11 02:34:54,1.843,0.503,97.655,0,0,0,65536,795508736,13797269504,429797376,1263714304,0,0,
17-11 02:34:55,25.461,5.193,69.347,0,0,0,0,795504640,13797269504,429797376,1263718400,0,0,
17-11 02:34:56,22.934,6.071,70.658,0.337,0,0,172032,795480064,13797269504,429813760,1263726592,0,0,
17-11 02:34:57,2.181,0.336,97.483,0,0,0,0,795729920,13797019648,429813760,1263726592,0,0,
17-11 02:34:58,5.667,2,92.333,0,0,0,0,793415680,13799333888,429813760,1263726592,0,0,
17-11 02:34:59,6.177,1.669,92.154,0,0,0,0,793407488,13799342080,429813760,1263726592,0,0,
17-11 02:35:00,1.846,0.671,97.483,0,0,0,0,793399296,13799350272,429813760,1263726592,0,0,
17-11 02:35:01,13.629,3.066,82.283,1.022,0,0,64962560,793407488,13799333888,429821952,1263726592,0,0,
17-11 02:35:02,1.176,0.336,98.487,0,0,0,0,793407488,13799333888,429821952,1263726592,0,0,
17-11 02:35:03,12.876,2.676,84.448,0,0,0,0,793378816,13799358464,429821952,1263730688,0,0,
17-11 02:35:04,25.126,6.745,67.960,0.169,0,0,65536,793407488,13799325696,429826048,1263730688,0,0,
17-11 02:35:05,2.345,0.503,97.152,0,0,0,0,793415680,13799317504,429826048,1263730688,0,0,
17-11 02:35:06,1.005,1.340,97.487,0.168,0,0,466944,794161152,13798559744,429838336,1263730688,0,0,
17-11 02:35:07,34.435,7.130,58.435,0,0,0,0,794685440,13798035456,429838336,1263730688,0,0,
17-11 02:35:08,13.322,3.204,83.474,0,0,0,0,794144768,13798576128,429838336,1263730688,0,0,
17-11 02:35:09,1.178,0.505,98.316,0,0,0,0,794161152,13798559744,429838336,1263730688,0,0,
17-11 02:35:10,13.787,3.488,82.724,0,0,0,0,794157056,13798559744,429838336,1263734784,0,0,
17-11 02:35:11,1.830,0.998,97.171,0,0,0,196608,794673152,13798043648,429838336,1263734784,0,0,
17-11 02:35:12,9.322,2.542,88.136,0,0,0,0,794673152,13798043648,429838336,1263734784,0,0,
17-11 02:35:13,15.116,3.987,80.897,0,0,0,0,794664960,13798043648,429846528,1263734784,0,0,
17-11 02:35:14,1.015,0.338,98.308,0.338,0,0,114688,794664960,13798043648,429846528,1263734784,0,0,
17-11 02:35:15,9.380,2.010,88.610,0,0,0,0,794656768,13798051840,429846528,1263734784,0,0,
17-11 02:35:16,1.505,0.502,97.826,0.167,0,0,57344,794697728,13798010880,429854720,1263726592,0,0,
17-11 02:35:17,8.463,2.245,89.292,0,0,0,40960,794898432,13797801984,429854720,1263734784,0,0,
17-11 02:35:18,26.207,5.517,68.276,0,0,0,0,794591232,13798109184,429854720,1263734784,0,0,
17-11 02:35:19,5.802,0.683,93.515,0,0,0,0,794587136,13798109184,429854720,1263738880,0,0,
17-11 02:35:20,1.342,0.671,97.819,0.168,0,0,73728,794587136,13798109184,429858816,1263734784,0,0,
17-11 02:35:21,25.342,6.164,68.493,0,0,0,32768,794599424,13798092800,429858816,1263738880,0,0,
17-11 02:35:22,4.809,1.493,93.698,0,0,0,212992,794583040,13798109184,429858816,1263738880,0,0,
17-11 02:35:23,1.010,0.337,98.485,0.168,0,0,65536,794583040,13798109184,429862912,1263734784,0,0,
17-11 02:35:24,24.788,5.772,69.440,0,0,0,49152,794583040,13798100992,429862912,1263742976,0,0,
17-11 02:35:25,1.007,0.839,97.987,0.168,0,0,98304,794583040,13798100992,429871104,1263734784,0,0,
17-11 02:35:26,4.414,1.019,94.567,0,0,0,0,794574848,13798100992,429871104,1263742976,0,0,
17-11 02:35:27,1.843,0.670,97.487,0,0,0,65536,794562560,13798100992,429879296,1263747072,0,0,
17-11 02:35:28,3.892,1.354,94.755,0,0,0,0,794062848,13798608896,429879296,1263738880,0,0,
17-11 02:35:29,7.309,1.827,90.864,0,0,0,0,794046464,13798617088,429879296,1263747072,0,0,
17-11 02:35:30,1.836,1.169,96.995,0,0,0,0,794312704,13798350848,429879296,1263747072,0,0,
17-11 02:35:31,27.609,6.397,65.657,0.337,0,0,114688,794308608,13798350848,429883392,1263747072,0,0,
17-11 02:35:32,5.442,0.680,93.878,0,0,0,24576,794308608,13798350848,429883392,1263747072,0,0,
17-11 02:35:33,1.012,0.675,98.145,0.169,0,0,65536,794304512,13798350848,429887488,1263747072,0,0,
17-11 02:35:34,24.483,5.172,70.345,0,0,0,0,794296320,13798350848,429887488,1263755264,0,0,
17-11 02:35:35,29.716,7.012,63.272,0,0,0,0,794284032,13798350848,429887488,1263767552,0,0,
17-11 02:35:36,28.401,7.483,64.116,0,0,0,81920,794812416,13797818368,429891584,1263767552,0,0,
17-11 02:35:37,1.678,0.336,97.987,0,0,0,16384,794812416,13797818368,429891584,1263767552,0,0,
17-11 02:35:38,2.341,1.171,96.488,0,0,0,0,795709440,13796921344,429891584,1263767552,0,0,
17-11 02:35:39,6.599,2.030,91.032,0.338,0,0,90112,797126656,13795495936,429899776,1263767552,0,0,
17-11 02:35:40,1.351,0.338,98.311,0,0,0,0,797126656,13795495936,429899776,1263767552,0,0,
