"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer12",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-16k-lsfs-peer12.dstat.csv",,,,"Date:","19 Nov 2022 10:32:17 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
19-11 10:32:17,8.864,2.271,88.643,0.222,0,98054.600,5939163.802,691474432,14096121856,736657408,749797376,0,0,
19-11 10:32:18,1.173,0.670,98.157,0,0,0,0,690761728,14096527360,736657408,749813760,0,0,
19-11 10:32:19,0.504,0.168,98.992,0.336,0,0,237568,690761728,14096527360,736661504,749809664,0,0,
19-11 10:32:20,2.024,0.506,97.470,0,0,0,0,690765824,14096519168,736661504,749813760,0,0,
19-11 10:32:21,1.340,0.335,98.157,0.168,0,0,65536,690749440,14096535552,736661504,749813760,0,0,
19-11 10:32:22,0.503,0.336,99.161,0,0,0,0,691011584,14096269312,736661504,749817856,0,0,
19-11 10:32:23,0.843,0.337,98.651,0.169,0,0,57344,691269632,14096011264,736661504,749817856,0,0,
19-11 10:32:24,1.678,1.678,96.477,0.168,0,0,155648,699289600,14087630848,736665600,749821952,0,0,
19-11 10:32:25,1.508,0.335,98.157,0,0,0,0,699273216,14087626752,736665600,749826048,0,0,
19-11 10:32:26,0.673,0.337,98.990,0,0,0,0,699322368,14087577600,736665600,749826048,0,0,
19-11 10:32:27,1.340,0.335,98.325,0,0,0,0,699305984,14087593984,736665600,749826048,0,0,
19-11 10:32:28,2.353,1.681,95.966,0,0,0,0,706301952,14080286720,736665600,749834240,0,0,
19-11 10:32:29,0.672,0.336,98.992,0,0,0,221184,706334720,14080262144,736673792,749817856,0,0,
19-11 10:32:30,2.170,1.336,96.160,0.334,0,0,131072,711049216,14075531264,736677888,749830144,0,0,
19-11 10:32:31,1.672,0.334,97.993,0,0,0,0,715419648,14070865920,736677888,749826048,0,0,
19-11 10:32:32,1.495,1.495,97.010,0,0,0,40960,715423744,14070857728,736677888,749830144,0,0,
19-11 10:32:33,1.513,0.504,97.983,0,0,0,0,715223040,14071058432,736677888,749830144,0,0,
19-11 10:32:34,1.336,0.501,98.164,0,0,0,8192,714924032,14071357440,736677888,749830144,0,0,
19-11 10:32:35,2,1.167,96.667,0.167,0,0,147456,720138240,14065913856,736681984,749834240,0,0,
19-11 10:32:36,0.839,0.168,98.658,0.336,0,0,122880,720326656,14065668096,736686080,749834240,0,0,
19-11 10:32:37,1.669,0.501,97.830,0,0,0,0,720330752,14065659904,736686080,749838336,0,0,
19-11 10:32:38,2.345,0.838,96.817,0,0,0,0,721309696,14064680960,736686080,749834240,0,0,
19-11 10:32:39,0.838,0.670,98.325,0.168,0,0,327680,721342464,14064644096,736686080,749842432,0,0,
