

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-32k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 15:53:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 15:53:50,3.800,1.219,94.886,0.095,0,145835.955,2829545.300,1516457984,13558718464,45592576,1231945728,0,0,
17-11 15:53:51,3.654,0.748,95.515,0.083,0,0,393216,1538138112,13536448512,45613056,1232011264,0,0,
17-11 15:53:52,6.560,2.271,91.169,0,0,163840,9109504,1549455360,13471162368,45633536,1284304896,0,0,
17-11 15:53:53,7.029,1.506,91.381,0.084,0,0,59760640,1557688320,13455142912,45649920,1291366400,0,0,
17-11 15:53:54,7.143,2.159,90.698,0,0,0,57344,1566683136,13438431232,45649920,1298706432,0,0,
17-11 15:53:55,6.897,1.766,91.169,0.168,0,0,52224000,1576677376,13418885120,45740032,1307369472,0,0,
17-11 15:53:56,8.354,2.447,89.114,0.084,0,0,8749056,1585295360,13402152960,45756416,1314607104,0,0,
17-11 15:53:57,6.351,1.439,92.125,0.085,0,0,131072,1584963584,13395132416,45764608,1321828352,0,0,
17-11 15:53:58,6.454,2.096,91.366,0.084,0,0,27983872,1585192960,13386289152,45785088,1330155520,0,0,
17-11 15:53:59,5.808,1.936,92.088,0.168,0,8192,51912704,1591259136,13372088320,45871104,1337856000,0,0,
17-11 15:54:00,6.885,1.679,91.352,0.084,0,0,10379264,1589518336,13366091776,45895680,1344954368,0,0,
17-11 15:54:01,7.513,1.753,90.651,0.083,0,0,49152,1586753536,13359792128,45895680,1353859072,0,0,
17-11 15:54:02,6.566,1.684,91.751,0,0,0,139264,1586929664,13351751680,45903872,1361510400,0,0,
17-11 15:54:03,5.946,2.094,91.625,0.335,0,0,60637184,1591484416,13339385856,46002176,1369051136,0,0,
17-11 15:54:04,7.280,1.757,90.962,0,0,0,57344,1587425280,13334523904,46002176,1377394688,0,0,
17-11 15:54:05,7.370,1.843,90.704,0.084,0,0,163840,1587847168,13326413824,46010368,1384939520,0,0,
17-11 15:54:06,6.487,1.853,91.323,0.337,0,0,85966848,1591762944,13313994752,46116864,1392578560,0,0,
17-11 15:54:07,5.602,2.174,91.639,0.585,0,16384,216391680,1594228736,13304569856,46518272,1398194176,0,0,
17-11 15:54:08,7.232,1.829,90.856,0.083,0,0,229376,1591304192,13301272576,46526464,1404710912,0,0,
17-11 15:54:09,7.083,2.083,90.833,0,0,0,49152,1588871168,13295259648,46526464,1413136384,0,0,
17-11 15:54:10,7.321,1.913,90.682,0.083,0,0,237568,1591283712,13285048320,46542848,1420836864,0,0,
17-11 15:54:11,6.856,1.923,91.054,0.167,0,0,60506112,1594867712,13273649152,46649344,1428307968,0,0,
17-11 15:54:12,6.571,1.938,91.491,0,0,0,57344,1592442880,13267124224,46649344,1436803072,0,0,
17-11 15:54:13,6.555,2.017,91.345,0.084,0,0,180224,1591083008,13260337152,46657536,1444798464,0,0,
17-11 15:54:14,5.912,2.111,91.807,0.169,0,0,34504704,1592557568,13250043904,46714880,1453375488,0,0,
17-11 15:54:15,6.684,1.607,91.709,0,0,8192,26009600,1593237504,13240942592,46768128,1461112832,0,0,
17-11 15:54:16,5.942,1.868,92.105,0.085,0,0,131072,1593884672,13233037312,46776320,1468227584,0,0,
17-11 15:54:17,7.370,2.010,90.620,0,0,0,49152,1592389632,13226115072,46776320,1476517888,0,0,
17-11 15:54:18,6.899,2.411,90.441,0.249,0,0,43319296,1595838464,13214846976,46850048,1484066816,0,0,
17-11 15:54:19,6.611,2.343,90.042,1.004,0,16384,281583616,1590906880,13130752000,47144960,1571270656,0,0,
17-11 15:54:20,5.700,2.096,91.366,0.838,0,24576,282681344,1595047936,13199822848,47648768,1497554944,0,0,
17-11 15:54:21,6.449,2.094,91.206,0.251,0,0,56377344,1594773504,13197004800,47771648,1500905472,0,0,
17-11 15:54:22,5.847,1.949,92.203,0,0,0,114688,1592524800,13189431296,47779840,1510629376,0,0,
17-11 15:54:23,6.894,2.243,90.532,0.332,0,0,60719104,1596841984,13177004032,47878144,1518202880,0,0,
17-11 15:54:24,6.007,1.777,92.217,0,0,0,139264,1595969536,13170601984,47886336,1525215232,0,0,
17-11 15:54:25,7.769,2.423,89.724,0.084,0,0,253952,1595228160,13162532864,47886336,1533902848,0,0,
17-11 15:54:26,7.533,2.732,89.652,0.083,0,8192,34611200,1598652416,13150638080,47939584,1541881856,0,0,
17-11 15:54:27,6.593,1.691,91.547,0.169,0,0,26140672,1596497920,13144903680,47988736,1549557760,0,0,
17-11 15:54:28,6.828,2.581,90.591,0,0,0,548864,1592872960,13140295680,47996928,1557553152,0,0,
