

"Host:","peer17",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-64k-lsfs-peer17.dstat.csv",,,,"Date:","17 Nov 2022 16:30:38 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 16:30:38,9.622,2.320,87.811,0.247,0,120949.538,6947536.865,689012736,13399937024,616398848,1507868672,0,0,
17-11 16:30:39,0.838,0.335,98.827,0,0,0,8192,688893952,13399752704,616398848,1507868672,0,0,
17-11 16:30:40,1.008,0.504,98.319,0.168,0,0,155648,690737152,13397897216,616407040,1507872768,0,0,
17-11 16:30:41,1.010,0.673,98.316,0,0,0,0,689184768,13399453696,616407040,1507868672,0,0,
17-11 16:30:42,1.174,0.336,98.322,0.168,0,0,65536,688381952,13400256512,616411136,1507864576,0,0,
17-11 16:30:43,1.340,1.005,97.655,0,0,0,0,686837760,13401792512,616411136,1507872768,0,0,
17-11 16:30:44,1.510,1.174,97.148,0.168,0,0,270336,693268480,13395361792,616411136,1507872768,0,0,
17-11 16:30:45,2.662,1.498,95.840,0,0,0,0,696553472,13391773696,616411136,1507876864,0,0,
17-11 16:30:46,2.027,0.676,97.297,0,0,0,229376,700006400,13388099584,616415232,1507876864,0,0,
17-11 16:30:47,1.684,0.337,97.980,0,0,0,0,700039168,13388066816,616415232,1507876864,0,0,
17-11 16:30:48,1.005,0.168,98.827,0,0,0,0,700039168,13388066816,616415232,1507876864,0,0,
17-11 16:30:49,1.338,0.669,97.993,0,0,0,0,700329984,13387767808,616415232,1507885056,0,0,
17-11 16:30:50,1.508,0.503,97.655,0.335,0,0,147456,701575168,13386510336,616423424,1507889152,0,0,
17-11 16:30:51,1.675,0.503,97.822,0,0,0,0,701325312,13386760192,616423424,1507889152,0,0,
17-11 16:30:52,1.503,0.668,97.496,0.334,0,0,106496,701325312,13386760192,616431616,1507880960,0,0,
17-11 16:30:53,1.338,0.502,98.161,0,0,0,0,701317120,13386760192,616431616,1507889152,0,0,
17-11 16:30:54,0.845,0.169,98.986,0,0,0,0,701317120,13386760192,616431616,1507889152,0,0,
17-11 16:30:55,2.345,0.838,96.817,0,0,0,57344,701325312,13386752000,616431616,1507889152,0,0,
17-11 16:30:56,3.679,2.007,94.147,0.167,0,0,65536,709324800,13378551808,616435712,1507885056,0,0,
17-11 16:30:57,0.338,0,99.493,0.169,0,0,204800,709156864,13378584576,616439808,1507889152,0,0,
17-11 16:30:58,0.670,0.335,98.995,0,0,0,0,709156864,13378584576,616439808,1507889152,0,0,
17-11 16:30:59,0.505,0.337,99.158,0,0,0,32768,709173248,13378568192,616439808,1507889152,0,0,
17-11 16:31:00,1.510,0.671,97.819,0,0,0,24576,710193152,13377544192,616439808,1507893248,0,0,
17-11 16:31:01,2.689,1.849,95.126,0.336,0,0,131072,717680640,13369757696,616452096,1507893248,0,0,
17-11 16:31:02,0.839,0.671,98.490,0,0,0,0,717680640,13369757696,616452096,1507893248,0,0,
17-11 16:31:03,1.695,0.169,98.136,0,0,0,0,717676544,13369757696,616452096,1507897344,0,0,
17-11 16:31:04,0.503,0.503,98.993,0,0,0,0,717676544,13369757696,616452096,1507897344,0,0,
17-11 16:31:05,2.185,1.681,95.966,0.168,0,0,253952,725155840,13361995776,616460288,1507901440,0,0,
17-11 16:31:06,2.007,1.003,96.656,0.334,0,0,65536,725020672,13362102272,616464384,1507889152,0,0,
17-11 16:31:07,1.669,0.334,97.997,0,0,0,0,724856832,13362245632,616464384,1507901440,0,0,
17-11 16:31:08,0.839,0.336,98.826,0,0,0,0,724856832,13362245632,616464384,1507901440,0,0,
17-11 16:31:09,1.340,0.168,98.492,0,0,0,0,725061632,13362036736,616464384,1507905536,0,0,
17-11 16:31:10,2.003,1.503,96.494,0,0,0,212992,727265280,13359833088,616472576,1507897344,0,0,
17-11 16:31:11,0.673,0.337,98.822,0.168,0,0,57344,725602304,13361479680,616476672,1507909632,0,0,
17-11 16:31:12,3.005,1.336,95.492,0.167,0,0,65536,733376512,13353500672,616480768,1507909632,0,0,
17-11 16:31:13,1.681,0.672,97.647,0,0,0,0,733425664,13353279488,616480768,1507913728,0,0,
17-11 16:31:14,1.174,0.168,98.658,0,0,0,0,733425664,13353279488,616480768,1507913728,0,0,
17-11 16:31:15,1.345,0.672,97.983,0,0,0,16384,733417472,13353271296,616480768,1507913728,0,0,
17-11 16:31:16,2.020,0.505,97.475,0,0,0,0,731017216,13355671552,616480768,1507901440,0,0,
17-11 16:31:17,0.839,0.503,98.490,0.168,0,0,212992,731070464,13355601920,616488960,1507913728,0,0,
17-11 16:31:18,0.670,0.503,98.492,0.335,0,0,122880,731320320,13355352064,616501248,1507901440,0,0,
17-11 16:31:19,23.165,7.504,69.331,0,0,0,0,750415872,13319536640,616501248,1524019200,0,0,
17-11 16:31:20,37.884,12.116,50,0,0,0,507904,767442944,13287092224,616501248,1538695168,0,0,
17-11 16:31:21,46.454,13.652,39.362,0.532,0,0,86859776,781799424,13256622080,616587264,1552896000,0,0,
17-11 16:31:22,47.735,11.812,40.291,0.162,0,0,139264,780976128,13243187200,616591360,1566916608,0,0,
17-11 16:31:23,46.612,14.050,39.339,0,0,0,0,782028800,13227687936,616591360,1581121536,0,0,
17-11 16:31:24,43.268,12.567,42.729,1.436,0,8192,78249984,786784256,13208731648,616665088,1594736640,0,0,
17-11 16:31:25,51.195,9.727,38.908,0.171,0,0,8757248,782942208,13197664256,616677376,1609117696,0,0,
17-11 16:31:26,47.917,12.674,39.410,0,0,0,65536,784744448,13181657088,616677376,1623060480,0,0,
17-11 16:31:27,44.425,12.920,41.770,0.885,0,0,61038592,785924096,13164445696,616767488,1638502400,0,0,
17-11 16:31:28,42.246,11.586,45.811,0.357,0,8192,26132480,785498112,13152817152,616796160,1650216960,0,0,
17-11 16:31:29,45.955,10.499,43.546,0,0,0,0,785219584,13138366464,616796160,1664491520,0,0,
17-11 16:31:30,43.894,10.796,44.071,1.239,0,0,74080256,787283968,13115535360,616886272,1684578304,0,0,
17-11 16:31:31,39.201,18.693,36.116,5.989,0,16384,290062336,786694144,13110870016,617209856,1689194496,0,0,
17-11 16:31:32,51.347,11.448,37.205,0,0,0,204800,786448384,13095387136,617209856,1704521728,0,0,
