"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer16",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-smart-16k-lsfs-peer16.dstat.csv",,,,"Date:","19 Nov 2022 00:49:26 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
19-11 00:49:26,8.552,2.184,89.051,0.213,0,97192.245,5681013.438,702705664,13870358528,674705408,1001181184,0,0,
19-11 00:49:27,1.171,0.836,97.993,0,0,0,0,702500864,13870260224,674705408,1001185280,0,0,
19-11 00:49:28,1.846,0.839,97.315,0,0,0,8192,701452288,13871308800,674705408,1001185280,0,0,
19-11 00:49:29,0.839,0.503,98.490,0.168,0,0,196608,701468672,13871292416,674709504,1001181184,0,0,
19-11 00:49:30,0.504,0.504,98.655,0.336,0,0,139264,700706816,13872050176,674713600,1001181184,0,0,
19-11 00:49:31,1.347,0.337,98.316,0,0,0,0,700661760,13872091136,674713600,1001185280,0,0,
19-11 00:49:32,2.159,1.661,96.179,0,0,0,0,709472256,13862993920,674713600,1001189376,0,0,
19-11 00:49:33,1.008,0.168,98.824,0,0,0,0,709472256,13862993920,674713600,1001189376,0,0,
19-11 00:49:34,1.173,0.503,98.157,0.168,0,0,139264,709726208,13862735872,674713600,1001193472,0,0,
19-11 00:49:35,1.846,0.336,97.819,0,0,0,0,710017024,13862445056,674713600,1001193472,0,0,
19-11 00:49:36,0.838,0.335,98.827,0,0,0,0,709976064,13862486016,674713600,1001193472,0,0,
19-11 00:49:37,0.675,0.506,98.820,0,0,0,0,709959680,13862502400,674713600,1001193472,0,0,
19-11 00:49:38,3.697,2.521,93.445,0.336,0,0,475136,717262848,13854912512,674721792,1001197568,0,0,
19-11 00:49:39,3.172,1.002,95.659,0.167,0,0,188416,725561344,13846560768,674725888,1001181184,0,0,
19-11 00:49:40,1.338,0.334,98.328,0,0,0,0,725803008,13845991424,674725888,1001193472,0,0,
19-11 00:49:41,1.005,0.335,98.660,0,0,0,0,725790720,13845999616,674725888,1001197568,0,0,
19-11 00:49:42,0.504,0.168,99.328,0,0,0,0,725807104,13845983232,674725888,1001197568,0,0,
19-11 00:49:43,1.336,0.835,97.830,0,0,0,65536,725798912,13845991424,674725888,1001197568,0,0,
19-11 00:49:44,1.997,0.666,97.005,0.333,0,0,131072,725774336,13846007808,674734080,1001197568,0,0,
19-11 00:49:45,1.678,0.503,97.651,0.168,0,0,73728,726040576,13845741568,674734080,1001197568,0,0,
19-11 00:49:46,1.681,1.345,96.975,0,0,0,0,734904320,13836693504,674734080,1001193472,0,0,
19-11 00:49:47,1.174,0.503,98.322,0,0,0,0,734773248,13836820480,674734080,1001197568,0,0,
19-11 00:49:48,1.839,1.338,96.823,0,0,0,49152,733900800,13837697024,674734080,1001193472,0,0,
19-11 00:49:49,1.505,0.167,98.328,0,0,0,0,733724672,13837860864,674734080,1001205760,0,0,
19-11 00:49:50,1.174,0.503,98.322,0,0,0,0,733941760,13837643776,674734080,1001205760,0,0,
19-11 00:49:51,1.681,0.168,98.151,0,0,0,0,733999104,13837586432,674734080,1001205760,0,0,
19-11 00:49:52,2.174,1.338,96.321,0.167,0,0,344064,740397056,13830942720,674738176,1001205760,0,0,
19-11 00:49:53,1.007,0.336,98.658,0,0,0,98304,740388864,13830950912,674738176,1001205760,0,0,
19-11 00:49:54,0.840,0.672,98.487,0,0,0,0,740397056,13830942720,674738176,1001205760,0,0,
19-11 00:49:55,1.342,0.839,97.819,0,0,0,0,740413440,13830926336,674738176,1001205760,0,0,
19-11 00:49:56,1.340,0,98.660,0,0,0,0,740663296,13830676480,674738176,1001205760,0,0,
19-11 00:49:57,2.475,1.485,95.710,0.330,0,0,196608,740646912,13830684672,674738176,1001213952,0,0,
19-11 00:49:58,3.734,2.760,93.506,0,0,0,16384,739995648,13831331840,674742272,1001213952,0,0,
19-11 00:49:59,2.174,0.167,97.659,0,0,0,0,739844096,13831483392,674742272,1001213952,0,0,
19-11 00:50:00,1.675,0.503,97.822,0,0,0,0,739581952,13831741440,674742272,1001218048,0,0,
19-11 00:50:01,3.188,2.013,94.799,0,0,0,0,746770432,13824311296,674742272,1001218048,0,0,
19-11 00:50:02,0.839,0.336,98.658,0.168,0,0,188416,746762240,13824319488,674742272,1001218048,0,0,
19-11 00:50:03,1.173,0.503,98.325,0,0,0,16384,746762240,13824319488,674742272,1001218048,0,0,
19-11 00:50:04,0.840,0.840,98.319,0,0,0,65536,746774528,13824303104,674742272,1001222144,0,0,
19-11 00:50:05,2.163,1.165,96.672,0,0,0,0,747216896,13823844352,674742272,1001230336,0,0,
19-11 00:50:06,5.236,1.520,93.243,0,0,0,81920,753516544,13812162560,674742272,1006612480,0,0,
19-11 00:50:07,25,6.507,68.493,0,0,0,0,785022976,13750898688,674742272,1035444224,0,0,
19-11 00:50:08,26.109,7.679,64.676,1.536,0,0,86671360,797208576,13706702848,674820096,1065062400,0,0,
19-11 00:50:09,24.433,6.981,64.747,3.839,0,0,86228992,800456704,13672706048,674897920,1094754304,0,0,
19-11 00:50:10,28.114,8.081,63.805,0,0,0,0,799571968,13643759616,674897920,1123860480,0,0,
19-11 00:50:11,30.151,7.873,58.794,3.183,0,0,86351872,801001472,13611565056,674947072,1153368064,0,0,
19-11 00:50:12,33.672,12.521,42.132,11.675,0,0,223838208,801624064,13521502208,675082240,1240641536,0,0,
19-11 00:50:13,40.564,16.402,31.570,11.464,0,0,206495744,801218560,13574967296,675221504,1187196928,0,0,
19-11 00:50:14,43.952,11.925,44.123,0,0,0,540672,801665024,13559463936,675221504,1202507776,0,0,
19-11 00:50:15,42.687,12.245,42.517,2.551,0,0,86523904,803647488,13538283520,675282944,1221320704,0,0,
19-11 00:50:16,46.220,12.543,41.237,0,0,0,0,802197504,13517062144,675282944,1243877376,0,0,
19-11 00:50:17,53.010,14.047,31.605,1.338,0,0,86818816,803102720,13492772864,675373056,1266315264,0,0,
19-11 00:50:18,49.233,13.118,37.649,0,0,0,0,804175872,13469868032,675373056,1288073216,0,0,
19-11 00:50:19,50,15.690,30.517,3.793,0,0,212877312,803225600,13384855552,675540992,1371811840,0,0,
19-11 00:50:20,43.225,22.127,17.667,16.981,0,0,537419776,804564992,13287018496,675717120,1464897536,0,0,
19-11 00:50:21,45.626,16.295,35.849,2.230,0,0,225542144,804311040,13412380672,675934208,1341489152,0,0,
19-11 00:50:22,48.495,13.712,37.291,0.502,0,0,60907520,802865152,13401067520,676007936,1354321920,0,0,
19-11 00:50:23,43.074,11.993,44.932,0,0,0,0,803786752,13380669440,676007936,1373732864,0,0,
19-11 00:50:24,43.118,13.765,40.630,2.488,0,0,87547904,804925440,13359755264,676077568,1392852992,0,0,
19-11 00:50:25,43.029,11.532,45.439,0,0,0,0,803241984,13341671424,676077568,1412272128,0,0,
19-11 00:50:26,45.771,17.745,30.680,5.804,0,0,263602176,805933056,13265068032,676204544,1484247040,0,0,
19-11 00:50:27,44.463,13.758,40.772,1.007,0,0,40058880,803643392,13300789248,676261888,1450913792,0,0,
19-11 00:50:28,48.393,13.875,36.041,1.692,0,0,87269376,816279552,13255532544,676376576,1483177984,0,0,
19-11 00:50:29,37.049,11.803,48.689,2.459,0,0,65691648,804569088,13258280960,676446208,1491341312,0,0,
19-11 00:50:30,35.130,10.435,52.174,2.261,0,0,104529920,805044224,13213847552,676499456,1534316544,0,0,
19-11 00:50:31,42.881,13.729,41.525,1.864,0,0,156811264,803831808,13218668544,676610048,1530290176,0,0,
19-11 00:50:32,53.938,12.329,33.048,0.685,0,0,47448064,806510592,13184831488,676634624,1561387008,0,0,
19-11 00:50:33,48.217,16.978,30.730,4.075,0,0,191537152,804401152,13179224064,676810752,1567723520,0,0,
19-11 00:50:34,48.211,13.118,38.160,0.511,0,0,39731200,805302272,13132382208,676859904,1613119488,0,0,
19-11 00:50:35,40.440,10.660,46.531,2.369,0,0,82444288,804474880,13132623872,676909056,1613012992,0,0,
19-11 00:50:36,37,11.833,50,1.167,0,0,34906112,806588416,13106360320,676945920,1636716544,0,0,
19-11 00:50:37,40.589,12.766,44.354,2.291,0,0,116580352,804610048,13086027776,677048320,1658232832,0,0,
19-11 00:50:38,35.484,13.243,48.727,2.547,0,0,94683136,808050688,13061218304,677150720,1678766080,0,0,
19-11 00:50:39,38.732,13.732,41.901,5.634,0,0,193544192,804941824,13043011584,677294080,1699246080,0,0,
19-11 00:50:40,38.276,10.172,49.828,1.724,0,0,110460928,805543936,12993900544,677392384,1746751488,0,0,
19-11 00:50:41,42.088,11.616,42.761,3.535,0,0,140812288,804532224,12999487488,677482496,1741737984,0,0,
19-11 00:50:42,39.804,11.093,47.961,1.142,0,0,52199424,806453248,12967473152,677531648,1771167744,0,0,
19-11 00:50:43,51.007,14.765,33.054,1.174,0,0,103669760,805670912,12955586560,677605376,1783222272,0,0,
19-11 00:50:44,48.969,12.371,38.316,0.344,0,0,43646976,806780928,12927102976,677642240,1810227200,0,0,
19-11 00:50:45,50.172,15.292,34.021,0.515,0,0,94830592,805953536,12908531712,677732352,1828728832,0,0,
19-11 00:50:46,50.342,14.041,34.075,1.541,0,8192,120414208,807469056,12866920448,677834752,1868247040,0,0,
