"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-smart-32k-lsfs-client1.dstat.csv",,,,"Date:","15 Nov 2022 12:37:07 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
15-11 12:37:07,3.575,1.157,95.216,0.052,0,70834.610,1463327.900,1522728960,13866713088,78172160,892375040,0,0,
15-11 12:37:08,2.087,0.751,97.078,0.083,0,0,139264,1530585088,13858177024,78172160,892559360,0,0,
15-11 12:37:09,2.101,1.345,96.218,0.336,0,5128192,88219648,1551233024,14085001216,2056192,735576064,0,0,
15-11 12:37:10,15.660,4.681,79.574,0.085,0,3301376,172032,1570787328,14045356032,3686400,753459200,0,0,
15-11 12:37:11,20.274,5.988,73.567,0.171,0,6201344,52076544,1580216320,14008197120,4419584,778428416,0,0,
15-11 12:37:12,21.194,6.392,72.246,0.168,0,696320,52183040,1579708416,13983281152,4870144,802418688,0,0,
15-11 12:37:13,20.596,6.553,72.681,0.170,0,819200,51961856,1577525248,13960450048,5361664,826105856,0,0,
15-11 12:37:14,20.634,6.935,71.832,0.599,0,16384,260759552,1576235008,13936680960,5824512,848809984,0,0,
15-11 12:37:15,21.685,7.256,70.726,0.334,0,21495808,52191232,1577422848,13899919360,6930432,883322880,0,0,
15-11 12:37:16,21.562,6.961,70.968,0.509,0,15761408,52158464,1577725952,13866762240,9699328,912482304,0,0,
15-11 12:37:17,20.325,6.063,73.442,0.171,0,16384,52215808,1578430464,13841260544,9805824,936550400,0,0,
15-11 12:37:18,20.291,7.791,69.777,2.140,0,40960,562200576,1580957696,13815767040,10526720,957026304,0,0,
15-11 12:37:19,20.119,6.367,73.430,0.085,0,8192,26124288,1577680896,13794803712,10575872,980590592,0,0,
15-11 12:37:20,21.316,6.495,72.107,0.083,0,0,34963456,1576484864,13772226560,10657792,1003438080,0,0,
