"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer29",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer29.dstat.csv",,,,"Date:","17 Nov 2022 13:56:19 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:56:19,10.058,2.439,87.200,0.302,0,141195.668,7666017.276,679940096,13312528384,549793792,1672650752,0,0,
17-11 13:56:20,1.836,0.501,97.496,0.167,0,0,368640,679817216,13312282624,549793792,1672650752,0,0,
17-11 13:56:21,1.176,0.504,98.319,0,0,0,0,680075264,13312024576,549793792,1672650752,0,0,
17-11 13:56:22,1.675,0.670,97.320,0.335,0,0,131072,680071168,13312024576,549797888,1672650752,0,0,
17-11 13:56:23,1.505,0.669,97.826,0,0,0,0,680103936,13311991808,549797888,1672650752,0,0,
17-11 13:56:24,1.007,0.336,98.490,0.168,0,0,434176,680075264,13312016384,549797888,1672654848,0,0,
17-11 13:56:25,0.505,0.337,99.158,0,0,0,0,680054784,13312032768,549797888,1672658944,0,0,
17-11 13:56:26,2.170,1.002,96.661,0.167,0,0,114688,679104512,13312962560,549797888,1672658944,0,0,
17-11 13:56:27,0.506,0.169,99.325,0,0,0,0,679047168,13313019904,549797888,1672658944,0,0,
17-11 13:56:28,1.173,0.503,98.325,0,0,0,0,679051264,13313011712,549797888,1672663040,0,0,
17-11 13:56:29,2.181,1.510,96.309,0,0,0,0,687869952,13304029184,549797888,1672667136,0,0,
17-11 13:56:30,1.508,0.335,98.157,0,0,0,131072,688246784,13303521280,549797888,1672663040,0,0,
17-11 13:56:31,0.504,0.504,98.824,0.168,0,0,245760,688246784,13303521280,549801984,1672658944,0,0,
17-11 13:56:32,1.839,0.502,97.492,0.167,0,0,65536,689008640,13302751232,549801984,1672667136,0,0,
17-11 13:56:33,3.488,1.495,95.017,0,0,0,0,693125120,13298388992,549801984,1672671232,0,0,
17-11 13:56:34,1.010,0.168,98.822,0,0,0,0,693141504,13298372608,549801984,1672671232,0,0,
17-11 13:56:35,0.507,0.169,99.324,0,0,0,155648,693415936,13298098176,549801984,1672671232,0,0,
17-11 13:56:36,2.513,1.173,96.315,0,0,0,0,695074816,13296439296,549801984,1672667136,0,0,
17-11 13:56:37,0.670,0.503,98.660,0.168,0,0,180224,694915072,13296582656,549806080,1672675328,0,0,
17-11 13:56:38,2.163,0.666,96.839,0.333,0,0,122880,695218176,13296275456,549810176,1672675328,0,0,
17-11 13:56:39,1.667,0.667,97.667,0,0,0,0,695169024,13296316416,549810176,1672679424,0,0,
17-11 13:56:40,2.676,1.171,96.154,0,0,0,0,702287872,13288943616,549810176,1672675328,0,0,
17-11 13:56:41,1.176,0.168,98.487,0.168,0,0,188416,703004672,13288091648,549810176,1672679424,0,0,
17-11 13:56:42,1.508,0.335,97.990,0.168,0,0,188416,703000576,13288091648,549810176,1672683520,0,0,
17-11 13:56:43,1.855,1.686,96.459,0,0,0,0,710287360,13280673792,549810176,1672683520,0,0,
17-11 13:56:44,0.843,0.506,98.651,0,0,0,0,710361088,13280382976,549810176,1672683520,0,0,
17-11 13:56:45,18.531,5.676,75.292,0.501,0,0,172032,724291584,13254389760,549814272,1684340736,0,0,
17-11 13:56:46,52.189,14.141,33.670,0,0,0,245760,748371968,13205893120,549814272,1707872256,0,0,
17-11 13:56:47,44.811,12.026,42.175,0.988,0,0,104464384,775069696,13153439744,549933056,1731063808,0,0,
17-11 13:56:48,56.807,15.798,27.395,0,0,0,8732672,774221824,13129310208,549933056,1755439104,0,0,
17-11 13:56:49,45.819,12.040,41.806,0.334,0,0,8732672,776249344,13102837760,549937152,1779298304,0,0,
17-11 13:56:50,56.899,15.843,24.361,2.896,0,0,103481344,777768960,13079056384,550010880,1800290304,0,0,
17-11 13:56:51,56.449,13.233,30.318,0,0,0,0,778018816,13055315968,550010880,1823109120,0,0,
17-11 13:56:52,52.951,15.008,29.680,2.361,0,0,104701952,780214272,13027209216,550166528,1847640064,0,0,
17-11 13:56:53,58.232,12.132,29.463,0.173,0,0,8806400,778760192,13007880192,550182912,1867816960,0,0,
17-11 13:56:54,50.500,13.667,34,1.833,0,0,52076544,779145216,12964700160,550236160,1909968896,0,0,
17-11 13:56:55,43.531,20.629,16.958,18.881,0,0,386039808,779653120,12846944256,550404096,2024394752,0,0,
17-11 13:56:56,47.284,14.856,32.109,5.751,0,0,118546432,780374016,12942675968,550461440,1929113600,0,0,
17-11 13:56:57,50.332,12.957,35.050,1.661,0,0,95895552,782913536,12916805632,550547456,1952264192,0,0,
17-11 13:56:58,62.457,14.505,22.867,0.171,0,0,17588224,780300288,12898807808,550559744,1972580352,0,0,
17-11 13:56:59,59.536,15.423,25.041,0,0,0,0,781357056,12873744384,550559744,1996480512,0,0,
17-11 13:57:00,56.492,15.683,25.295,2.530,0,0,113172480,781164544,12854034432,550662144,2015363072,0,0,
17-11 13:57:01,63.378,13.880,22.742,0,0,0,0,781643776,12832301056,550662144,2036404224,0,0,
17-11 13:57:02,59.098,13.523,25.376,2.003,0,0,61308928,783241216,12800020480,550715392,2066370560,0,0,
17-11 13:57:03,50.253,19.393,22.597,7.757,0,0,280690688,781729792,12685889536,550981632,2179121152,0,0,
17-11 13:57:04,42.237,21.870,12.688,23.205,0,0,395239424,779845632,12644872192,551149568,2220212224,0,0,
17-11 13:57:05,49.749,18.928,25.126,6.198,0,0,498991104,780156928,12760424448,551395328,2104930304,0,0,
