

"Host:","peer32",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer32.dstat.csv",,,,"Date:","17 Nov 2022 13:56:22 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:56:22,9.832,2.500,87.429,0.239,0,109468.433,6519777.115,714133504,13234036736,595968000,1667166208,0,0,
17-11 13:56:23,1.169,0.835,97.830,0.167,0,0,294912,713846784,13234114560,595968000,1667166208,0,0,
17-11 13:56:24,1.830,0.666,97.504,0,0,0,0,714104832,13233856512,595968000,1667166208,0,0,
17-11 13:56:25,1.345,0.336,98.319,0,0,0,0,714104832,13233856512,595968000,1667166208,0,0,
17-11 13:56:26,1.338,0.669,97.993,0,0,0,0,713564160,13234397184,595968000,1667166208,0,0,
17-11 13:56:27,3.333,1.500,95.167,0,0,0,0,723701760,13223907328,595968000,1667166208,0,0,
17-11 13:56:28,2.361,0.843,96.627,0.169,0,0,253952,720060416,13227544576,595972096,1667166208,0,0,
17-11 13:56:29,0.675,0.337,98.988,0,0,0,0,720060416,13227544576,595972096,1667166208,0,0,
17-11 13:56:30,1.508,0.335,98.157,0,0,0,0,720044032,13227560960,595972096,1667166208,0,0,
17-11 13:56:31,1.661,0.664,97.674,0,0,0,0,720326656,13227270144,595972096,1667170304,0,0,
17-11 13:56:32,1.684,1.010,97.138,0.168,0,0,65536,720842752,13226754048,595972096,1667170304,0,0,
17-11 13:56:33,1.005,0.838,98.157,0,0,0,32768,721092608,13226496000,595972096,1667170304,0,0,
17-11 13:56:34,2.353,1.008,96.639,0,0,0,122880,728236032,13219074048,595972096,1667170304,0,0,
17-11 13:56:35,2.667,1.167,96.167,0,0,0,0,735539200,13211525120,595972096,1667170304,0,0,
17-11 13:56:36,1.839,0.167,97.993,0,0,0,0,735535104,13211525120,595972096,1667174400,0,0,
17-11 13:56:37,1.675,0.670,97.320,0.335,0,0,65536,736571392,13210484736,595972096,1667178496,0,0,
17-11 13:56:38,2.867,0.843,96.290,0,0,0,0,734613504,13212442624,595972096,1667178496,0,0,
17-11 13:56:39,1.336,0.501,98.164,0,0,0,32768,734740480,13212315648,595972096,1667178496,0,0,
17-11 13:56:40,0.673,0.505,98.653,0.168,0,0,303104,734736384,13212315648,595976192,1667178496,0,0,
17-11 13:56:41,1.329,0.831,97.841,0,0,0,0,734994432,13212057600,595976192,1667178496,0,0,
17-11 13:56:42,1.345,0.504,98.151,0,0,0,0,735510528,13211541504,595976192,1667178496,0,0,
17-11 13:56:43,1.672,1.003,97.157,0.167,0,0,65536,735768576,13211283456,595976192,1667178496,0,0,
17-11 13:56:44,1.342,0.336,98.322,0,0,0,24576,735768576,13211267072,595976192,1667178496,0,0,
17-11 13:56:45,25.841,6.018,68.142,0,0,0,0,753209344,13177323520,595976192,1682718720,0,0,
17-11 13:56:46,48.705,12.435,38.860,0,0,0,147456,771928064,13139951616,595980288,1700696064,0,0,
17-11 13:56:47,50.692,15.917,32.872,0.519,0,0,86695936,786059264,13104570368,596062208,1720201216,0,0,
17-11 13:56:48,51.424,12.730,35.846,0,0,0,0,784736256,13088272384,596062208,1737412608,0,0,
17-11 13:56:49,49.915,13.875,35.364,0.846,0,8192,87334912,790294528,13064867840,596156416,1754349568,0,0,
17-11 13:56:50,51.228,12.456,36.316,0,0,0,0,786386944,13051289600,596156416,1771249664,0,0,
17-11 13:56:51,52.496,14.458,33.046,0,0,0,8675328,787025920,13032333312,596160512,1789222912,0,0,
17-11 13:56:52,47.651,13.926,37.919,0.503,0,0,78381056,788414464,13012733952,596205568,1806299136,0,0,
17-11 13:56:53,53.231,13.095,33.673,0,0,0,65536,788185088,12995702784,596205568,1823256576,0,0,
17-11 13:56:54,48.805,18.259,30.546,2.389,0,0,233570304,790130688,12977315840,596422656,1839210496,0,0,
17-11 13:56:55,47.128,16.216,35.304,1.351,0,8192,164978688,788611072,12964728832,596611072,1852641280,0,0,
17-11 13:56:56,52.205,13.228,34.568,0,0,0,0,788946944,12945367040,596611072,1871441920,0,0,
17-11 13:56:57,47.863,16.923,32.137,3.077,0,8192,121659392,791764992,12925382656,596742144,1887936512,0,0,
17-11 13:56:58,48.007,15.282,36.711,0,0,0,106496,788393984,12912390144,596746240,1904185344,0,0,
17-11 13:56:59,51.351,13.514,34.628,0.507,0,0,34832384,788930560,12891115520,596791296,1924509696,0,0,
17-11 13:57:00,49.587,14.380,33.719,2.314,0,0,52174848,787832832,12880134144,596848640,1936101376,0,0,
17-11 13:57:01,52.429,12.563,35.008,0,0,0,0,788992000,12862328832,596848640,1952559104,0,0,
17-11 13:57:02,52.542,16.610,30.169,0.678,0,0,113098752,788299776,12843622400,596967424,1970946048,0,0,
17-11 13:57:03,37.793,22.910,30.435,8.863,0,24576,806739968,789307392,12815884288,597708800,1995382784,0,0,
17-11 13:57:04,31.472,8.799,59.560,0.169,0,0,30187520,788361216,12822626304,597766144,1989685248,0,0,
17-11 13:57:05,51.741,12.769,34.660,0.829,0,0,43745280,789659648,12804669440,597811200,2006061056,0,0,
17-11 13:57:06,51.433,14.165,33.727,0.675,0,0,43319296,789364736,12788031488,597848064,2022707200,0,0,
17-11 13:57:07,53.963,12.985,33.052,0,0,0,8650752,791007232,12764766208,597856256,2044022784,0,0,
17-11 13:57:08,52.721,15.476,30.952,0.850,0,0,91799552,789606400,12753129472,597995520,2055880704,0,0,
17-11 13:57:09,54.469,13.153,32.378,0,0,0,139264,788869120,12735340544,597995520,2074324992,0,0,
17-11 13:57:10,51.933,17.647,27.899,2.521,0,0,157483008,791212032,12702584832,598196224,2103726080,0,0,
17-11 13:57:11,47.009,15.214,35.385,2.393,0,16384,153509888,788979712,12701323264,598388736,2106482688,0,0,
17-11 13:57:12,52.522,15.130,32.174,0.174,0,0,8765440,790147072,12682362880,598401024,2124009472,0,0,
17-11 13:57:13,50.423,15.398,31.472,2.707,0,0,143523840,792330240,12663435264,598581248,2139779072,0,0,
17-11 13:57:14,52.080,14.476,33.444,0,0,0,114688,789430272,12648890368,598581248,2157223936,0,0,
17-11 13:57:15,51.979,14.802,32.358,0.861,0,0,43614208,792064000,12628475904,598630400,2174242816,0,0,
17-11 13:57:16,51.667,16.667,28.833,2.833,0,8192,182181888,789438464,12615245824,598880256,2189066240,0,0,
