"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-16k-lsfs-client1.dstat.csv",,,,"Date:","19 Nov 2022 02:04:03 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
19-11 02:04:03,3.582,1.170,95.155,0.093,0,138143.951,2665239.964,1525948416,14097694720,40550400,698617856,0,0,
19-11 02:04:04,1.847,0.840,97.229,0.084,0,0,245760,1548591104,14074486784,40558592,698777600,0,0,
19-11 02:04:05,6.700,2.647,90.571,0.083,0,163840,98304,1559756800,14011006976,40558592,749056000,0,0,
19-11 02:04:06,7.155,1.498,91.348,0,0,0,49152,1567608832,13996314624,40558592,755486720,0,0,
19-11 02:04:07,6.928,1.753,91.319,0,0,0,229376,1574572032,13981650944,40566784,762957824,0,0,
19-11 02:04:08,5.532,1.928,92.456,0.084,0,0,57344,1579872256,13969723392,40566784,769187840,0,0,
19-11 02:04:09,6.706,2.431,90.696,0.168,0,0,60825600,1589968896,13952323584,40689664,775749632,0,0,
19-11 02:04:10,5.272,1.956,92.687,0.085,0,0,51216384,1587712000,13947629568,40689664,781996032,0,0,
19-11 02:04:11,6.465,1.679,91.772,0.084,0,0,81920,1585360896,13942661120,40689664,789102592,0,0,
19-11 02:04:12,7.423,2.335,90.158,0.083,0,0,49152,1585414144,13935513600,40689664,795947008,0,0,
19-11 02:04:13,5.621,2.181,92.030,0.168,0,0,52224000,1590820864,13922066432,40763392,803426304,0,0,
19-11 02:04:14,5.764,2.256,91.896,0.084,0,8192,8847360,1589256192,13917360128,40792064,809259008,0,0,
19-11 02:04:15,7.143,1.910,90.864,0.083,0,0,36085760,1588187136,13911646208,40792064,815915008,0,0,
19-11 02:04:16,6.600,1.754,91.646,0,0,0,57344,1590898688,13902274560,40792064,822382592,0,0,
19-11 02:04:17,6.360,1.841,91.715,0.084,0,0,172032,1587826688,13897306112,40800256,830242816,0,0,
19-11 02:04:18,4.895,1.519,93.333,0.253,0,0,60399616,1592926208,13885718528,40882176,836259840,0,0,
19-11 02:04:19,6.172,2.168,91.576,0.083,0,0,73728,1590059008,13882114048,40882176,842420224,0,0,
19-11 02:04:20,6.040,2.097,91.862,0,0,0,180224,1587544064,13877346304,40898560,849526784,0,0,
19-11 02:04:21,5.481,1.518,92.833,0.169,0,0,106496,1587666944,13870219264,40898560,856358912,0,0,
19-11 02:04:22,6.063,2.326,91.030,0.581,0,8192,171876352,1590493184,13860184064,41099264,862715904,0,0,
19-11 02:04:23,4.634,1.516,93.513,0.337,0,8192,130072576,1591791616,13854162944,41381888,866246656,0,0,
19-11 02:04:24,6.218,1.849,91.933,0,0,0,368640,1589997568,13849116672,41381888,873639936,0,0,
19-11 02:04:25,7.190,2.149,90.579,0.083,0,0,131072,1588535296,13844029440,41390080,880160768,0,0,
19-11 02:04:26,5.523,1.444,92.948,0.085,0,0,114688,1591914496,13833723904,41398272,887005184,0,0,
19-11 02:04:27,5.808,1.347,92.677,0.168,0,0,60473344,1595449344,13823328256,41488384,893448192,0,0,
19-11 02:04:28,5.635,1.346,92.935,0.084,0,0,49152,1592315904,13820223488,41488384,899473408,0,0,
19-11 02:04:29,5.813,1.601,92.502,0.084,0,0,73728,1588338688,13816610816,41488384,906985472,0,0,
19-11 02:04:30,6.150,1.516,92.334,0,0,0,131072,1588342784,13810450432,41496576,912949248,0,0,
19-11 02:04:31,5.156,1.944,92.730,0.169,0,0,17457152,1590607872,13799268352,41537536,921669632,0,0,
19-11 02:04:32,6.457,1.904,91.474,0.166,0,8192,43089920,1592926208,13791657984,41590784,926306304,0,0,
19-11 02:04:33,6.722,2.075,91.120,0.083,0,0,131072,1589932032,13787561984,41598976,933314560,0,0,
19-11 02:04:34,6.833,1.750,91.333,0.083,0,0,98304,1590018048,13780393984,41598976,940261376,0,0,
19-11 02:04:35,6.229,1.684,92.088,0,0,0,106496,1591074816,13772947456,41598976,946511872,0,0,
19-11 02:04:36,6.444,1.590,91.799,0.167,0,0,60637184,1594269696,13762433024,41689088,953376768,0,0,
19-11 02:04:37,5.927,3.088,89.649,1.336,0,16384,370835456,1590198272,13669863424,42123264,1047478272,0,0,
19-11 02:04:38,5.779,2.261,90.871,1.089,0,16384,231129088,1569710080,13776949248,42385408,961884160,0,0,
19-11 02:04:39,6.323,1.664,92.013,0,0,0,434176,1566957568,13773148160,42393600,968429568,0,0,
19-11 02:04:40,6.271,2.090,91.555,0.084,0,0,57344,1565634560,13768327168,42393600,974544896,0,0,
19-11 02:04:41,6.360,1.674,91.799,0.167,0,0,60948480,1569984512,13755830272,42491904,981778432,0,0,
19-11 02:04:42,5.419,1.016,93.565,0,0,0,49152,1567916032,13751410688,42491904,988098560,0,0,
19-11 02:04:43,6.281,1.591,92.044,0.084,0,0,65536,1565622272,13747019776,42491904,994701312,0,0,
19-11 02:04:44,6.015,2.172,91.729,0.084,0,0,565248,1567576064,13738459136,42500096,1001152512,0,0,
19-11 02:04:45,5.738,1.688,92.405,0.169,0,0,17293312,1568219136,13729951744,42516480,1008844800,0,0,
19-11 02:04:46,5.130,2.019,92.767,0.084,0,8192,43204608,1569845248,13722198016,42586112,1014595584,0,0,
19-11 02:04:47,6.271,1.589,92.057,0.084,0,0,172032,1566908416,13718609920,42594304,1020788736,0,0,
19-11 02:04:48,5.616,1.928,92.456,0,0,0,49152,1565401088,13712633856,42594304,1028145152,0,0,
19-11 02:04:49,5.532,2.096,92.288,0.084,0,0,139264,1564839936,13706452992,42602496,1034747904,0,0,
19-11 02:04:50,5.681,2.924,90.393,1.003,0,8192,228827136,1568362496,13686538240,42926080,1050124288,0,0,
19-11 02:04:51,5.635,1.766,92.515,0.084,0,0,43065344,1568997376,13689802752,43008000,1046167552,0,0,
19-11 02:04:52,7.084,2.059,90.774,0.082,0,0,57344,1566248960,13686239232,43008000,1052463104,0,0,
19-11 02:04:53,6.700,1.424,91.792,0.084,0,0,131072,1566089216,13679706112,43016192,1059143680,0,0,
19-11 02:04:54,6.622,1.593,91.702,0.084,0,0,17334272,1570291712,13667696640,43032576,1066745856,0,0,
19-11 02:04:55,5.565,1.518,92.749,0.169,0,8192,43614208,1568935936,13662191616,43118592,1073037312,0,0,
19-11 02:04:56,5.135,1.852,93.013,0,0,0,0,1568481280,13655945216,43118592,1079578624,0,0,
19-11 02:04:57,6.678,1.522,91.716,0.085,0,0,163840,1574612992,13643128832,43118592,1086140416,0,0,
19-11 02:04:58,5.975,2.158,91.867,0,0,0,0,1573203968,13638164480,43118592,1092374528,0,0,
19-11 02:04:59,6.015,2.089,91.646,0.251,0,0,52076544,1578815488,13624754176,43192320,1099808768,0,0,
19-11 02:05:00,5.528,1.508,92.881,0.084,0,0,8724480,1577136128,13620953088,43208704,1104982016,0,0,
19-11 02:05:01,6.882,1.741,91.376,0,0,0,278528,1577775104,13614305280,43225088,1110913024,0,0,
19-11 02:05:02,5.877,1.847,92.275,0,0,0,0,1575239680,13609734144,43225088,1117888512,0,0,
19-11 02:05:03,6.071,1.602,92.243,0.084,0,0,196608,1576767488,13601107968,43233280,1124864000,0,0,
19-11 02:05:04,6.473,2.324,90.622,0.581,0,8192,193462272,1580621824,13590040576,43524096,1130942464,0,0,
19-11 02:05:05,6.454,1.676,91.702,0.168,0,0,43417600,1576570880,13586898944,43622400,1137991680,0,0,
19-11 02:05:06,5.197,2.515,92.288,0,0,0,16384,1577836544,13579259904,43622400,1144365056,0,0,
19-11 02:05:07,6.427,1.753,91.736,0.083,0,0,122880,1578098688,13572632576,43622400,1150693376,0,0,
19-11 02:05:08,6.025,2.008,90.460,1.506,0,8192,102981632,1580011520,13563981824,43757568,1156997120,0,0,
19-11 02:05:09,5.365,2.179,91.282,1.174,0,0,60973056,1579765760,13557288960,43888640,1163329536,0,0,
19-11 02:05:10,5.424,1.356,93.051,0.169,0,0,57344,1577525248,13552926720,43888640,1169936384,0,0,
19-11 02:05:11,4.911,1.693,93.311,0.085,0,0,229376,1575886848,13547745280,43905024,1176682496,0,0,
19-11 02:05:12,5.946,1.759,92.211,0.084,0,0,32768,1575739392,13541212160,43905024,1183272960,0,0,
19-11 02:05:13,5.017,1.531,92.007,1.446,0,8192,52043776,1579851776,13530075136,43974656,1189904384,0,0,
19-11 02:05:14,5.059,1.686,92.917,0.337,0,0,9199616,1581514752,13522788352,43999232,1195429888,0,0,
19-11 02:05:15,6.381,1.847,91.604,0.168,0,0,221184,1579409408,13517926400,43999232,1202327552,0,0,
19-11 02:05:16,6.994,1.499,91.424,0.083,0,0,16384,1578643456,13511446528,43999232,1209413632,0,0,
19-11 02:05:17,6.245,2.331,90.508,0.916,0,0,43286528,1578946560,13504036864,44064768,1216180224,0,0,
19-11 02:05:18,4.899,1.689,92.230,1.182,0,0,68820992,1580900352,13495910400,44195840,1222086656,0,0,
19-11 02:05:19,6.816,1.579,91.438,0.166,0,0,311296,1577873408,13492891648,44212224,1228001280,0,0,
