

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-96k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 13:19:48 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:19:48,3.801,1.220,94.884,0.096,0,142211.647,2839350.376,1524920320,14066196480,40783872,731906048,0,0,
17-11 13:19:49,3.188,1.007,95.721,0.084,0,0,1089536,1546346496,14044049408,40792064,732069888,0,0,
17-11 13:19:50,17.652,5.827,76.521,0,0,163840,57344,1576689664,13944463360,40792064,798986240,0,0,
17-11 13:19:51,10.310,3.269,86.253,0.168,0,0,60809216,1586970624,13919465472,40910848,811892736,0,0,
17-11 13:19:52,8.571,2.773,88.571,0.084,0,0,409600,1584730112,13910794240,40931328,822312960,0,0,
17-11 13:19:53,8.088,2.527,89.385,0,0,0,122880,1585016832,13899792384,40931328,832708608,0,0,
17-11 13:19:54,8.645,2.826,88.196,0.333,0,0,128589824,1586552832,13886672896,41037824,843333632,0,0,
17-11 13:19:55,7.547,1.973,90.395,0.086,0,0,270336,1585790976,13877096448,41046016,853426176,0,0,
17-11 13:19:56,8.787,2.259,88.870,0.084,0,0,26083328,1589710848,13862420480,41095168,863903744,0,0,
17-11 13:19:57,9.159,2.914,87.760,0.167,0,0,34734080,1588068352,13853147136,41152512,873746432,0,0,
17-11 13:19:58,7.810,2.377,89.813,0,0,0,81920,1586077696,13843464192,41152512,885243904,0,0,
17-11 13:19:59,7.204,1.544,90.823,0.429,0,8192,149651456,1587929088,13830914048,41435136,895012864,0,0,
17-11 13:20:00,6.977,2.575,89.867,0.581,0,8192,171655168,1590640640,13822545920,41635840,899887104,0,0,
17-11 13:20:01,9.279,3.148,87.572,0,0,0,57344,1587134464,13814423552,41635840,911515648,0,0,
17-11 13:20:02,7.946,2.874,89.011,0.169,0,0,17448960,1590624256,13800681472,41668608,921575424,0,0,
17-11 13:20:03,7.770,2.703,89.358,0.169,0,0,43581440,1589993472,13790130176,41742336,931897344,0,0,
17-11 13:20:04,6.816,2.071,91.113,0,0,0,49152,1589604352,13779804160,41742336,942485504,0,0,
17-11 13:20:05,7.686,2.391,89.838,0.085,0,0,26083328,1592549376,13765869568,41791488,953192448,0,0,
17-11 13:20:06,8.699,2.365,88.851,0.084,0,8192,34619392,1592762368,13754114048,41852928,964186112,0,0,
17-11 13:20:07,9.076,2.689,88.151,0.084,0,0,57344,1589342208,13746253824,41852928,975278080,0,0,
