

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-128k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 17:45:27 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 17:45:27,3.819,1.223,94.863,0.095,0,148794.829,2826495.451,1526161408,13373935616,46362624,1399439360,0,0,
17-11 17:45:28,2.924,0.919,96.157,0,0,0,90112,1546412032,13353271296,46374912,1399431168,0,0,
17-11 17:45:29,21.824,6.138,72.038,0,0,163840,401408,1583411200,13245009920,46383104,1468538880,0,0,
17-11 17:45:30,23.216,7.051,69.561,0.172,0,0,60579840,1590104064,13206519808,46481408,1498124288,0,0,
17-11 17:45:31,11.496,2.620,85.630,0.254,0,8192,120307712,1590616064,13190488064,46592000,1512169472,0,0,
17-11 17:45:32,11.561,3.303,85.136,0,0,0,221184,1587986432,13180628992,46612480,1524375552,0,0,
17-11 17:45:33,10.034,2.698,87.015,0.253,0,0,60866560,1591681024,13164023808,46727168,1536704512,0,0,
17-11 17:45:34,8.596,3.149,88.255,0,0,0,0,1590235136,13152702464,46727168,1548861440,0,0,
17-11 17:45:35,10.522,2.694,86.616,0.168,0,0,43597824,1587994624,13137838080,46817280,1565573120,0,0,
17-11 17:45:36,12.684,3.682,82.979,0.655,0,16384,287342592,1587466240,13129785344,47288320,1572671488,0,0,
17-11 17:45:37,9.237,2.288,88.390,0.085,0,0,147456,1588989952,13117853696,47288320,1583165440,0,0,
17-11 17:45:38,9.183,2.949,87.784,0.084,0,0,60571648,1592922112,13100683264,47386624,1595502592,0,0,
17-11 17:45:39,10.552,3.545,85.738,0.165,0,0,172032,1588760576,13092851712,47394816,1607208960,0,0,
17-11 17:45:40,10.676,2.502,86.656,0.167,0,0,17145856,1588871168,13072187392,47403008,1627545600,0,0,
17-11 17:45:41,9.404,2.939,87.406,0.252,0,8192,43745280,1590206464,13066960896,47513600,1630879744,0,0,
17-11 17:45:42,9.680,2.525,87.795,0,0,0,114688,1588658176,13056544768,47521792,1642483712,0,0,
17-11 17:45:43,9.296,3.015,87.521,0.168,0,0,52371456,1591406592,13042765824,47620096,1653243904,0,0,
17-11 17:45:44,10.345,3.953,83.852,1.850,0,24576,546430976,1591373824,13021560832,48295936,1672892416,0,0,
17-11 17:45:45,10.981,2.766,86.085,0.168,0,8192,65159168,1589514240,13022081024,48439296,1674067968,0,0,
17-11 17:45:46,9.653,2.964,87.214,0.169,0,0,60776448,1591681024,13007278080,48545792,1686061056,0,0,
17-11 17:45:47,9.137,3.185,87.594,0.084,0,0,114688,1587769344,12999053312,48545792,1697734656,0,0,
17-11 17:45:48,9.343,2.778,87.710,0.168,0,8192,25911296,1591685120,12983095296,48582656,1709432832,0,0,
17-11 17:45:49,10.175,3.003,86.656,0.167,0,0,34897920,1591291904,12971769856,48656384,1720733696,0,0,
17-11 17:45:50,9.924,2.375,87.701,0,0,0,49152,1588379648,12960653312,48656384,1734418432,0,0,
17-11 17:45:51,8.108,3.125,88.091,0.676,0,8192,238755840,1593868288,12945432576,49160192,1742999552,0,0,
17-11 17:45:52,10.126,2.678,87.113,0.084,0,0,106496,1588097024,12938018816,49168384,1755820032,0,0,
17-11 17:45:53,9.467,2.705,87.743,0.085,0,0,8839168,1590050816,12924186624,49184768,1767612416,0,0,
17-11 17:45:54,8.622,2.790,88.419,0.169,0,0,78012416,1594957824,12907376640,49324032,1778827264,0,0,
17-11 17:45:55,9.966,2.703,87.247,0.084,0,0,229376,1590960128,12899176448,49332224,1790726144,0,0,
17-11 17:45:56,11.707,2.968,85.078,0.247,0,8192,86900736,1593921536,12883795968,49491968,1802371072,0,0,
17-11 17:45:57,11.130,2.445,86.256,0.169,0,0,43540480,1592242176,12872204288,49590272,1815252992,0,0,
17-11 17:45:58,9.480,2.936,87.332,0.252,0,8192,65191936,1592823808,12859719680,49733632,1826484224,0,0,
17-11 17:45:59,9.076,3.109,87.479,0.336,0,0,124674048,1592832000,12848455680,49922048,1837096960,0,0,
17-11 17:46:00,9.783,3.344,86.789,0.084,0,0,106496,1591037952,12837675008,49930240,1849532416,0,0,
17-11 17:46:01,10.209,3.515,85.941,0.335,0,8192,129957888,1595023360,12820901888,50188288,1861439488,0,0,
17-11 17:46:02,9.601,2.634,87.766,0,0,0,335872,1592807424,12810072064,50196480,1874268160,0,0,
17-11 17:46:03,10.209,3.013,86.527,0.251,0,0,26697728,1594327040,12796026880,50262016,1886580736,0,0,
17-11 17:46:04,11.056,3.076,85.619,0.249,0,8192,68804608,1595711488,12782383104,50397184,1898217472,0,0,
17-11 17:46:05,8.469,3.080,88.452,0,0,0,196608,1592532992,12773040128,50405376,1910472704,0,0,
17-11 17:46:06,8,3.574,87.830,0.596,0,0,132931584,1596604416,12756533248,50659328,1921789952,0,0,
17-11 17:46:07,10.100,3.172,86.477,0.250,0,0,253952,1593344000,12748226560,50667520,1933336576,0,0,
17-11 17:46:08,6.414,2.869,89.451,1.266,0,7536640,61554688,1598758912,14204751872,2826240,558338048,0,0,
17-11 17:46:09,6.655,1.516,90.059,1.769,0,270409728,106496,1595547648,14073380864,2969600,692776960,0,0,
17-11 17:46:10,0.754,0.586,98.576,0.084,0,2211840,0,1596882944,14070218752,4071424,693403648,0,0,
17-11 17:46:11,2.089,1.003,96.408,0.501,0,9060352,262144,1596268544,14066847744,6348800,695111680,0,0,
17-11 17:46:12,34.561,7.448,55.481,2.510,0,516562944,172032,1593503744,13811421184,6369280,953266176,0,0,
17-11 17:46:13,32.992,7.502,59.079,0.426,0,81297408,786432,1593733120,13770358784,6537216,993898496,0,0,
17-11 17:46:14,32.637,6.353,60.923,0.087,0,24862720,0,1594638336,13756719104,8069120,1004855296,0,0,
17-11 17:46:15,2.003,0.835,96.912,0.250,0,4210688,106496,1595760640,13752877056,8777728,1006747648,0,0,
17-11 17:46:16,1.258,0.503,97.987,0.252,0,9781248,139264,1599787008,13744119808,9453568,1010802688,0,0,
17-11 17:46:17,8.278,2.174,89.381,0.167,0,1523712,270336,1598849024,13744070656,9461760,1011744768,0,0,
17-11 17:46:18,1.669,0.835,97.329,0.167,0,4644864,778240,1597763584,13743063040,9613312,1013686272,0,0,
17-11 17:46:19,18.151,4.156,77.608,0.085,0,2310144,114688,1597362176,13742055424,9617408,1015074816,0,0,
17-11 17:46:20,1.003,0.668,98.246,0.084,0,49152,65536,1597386752,13742030848,9633792,1015058432,0,0,
17-11 17:46:21,3.500,0.917,95.417,0.167,0,139264,229376,1597321216,13742039040,9650176,1015083008,0,0,
17-11 17:46:22,1.338,0.669,97.826,0.167,0,172032,49152,1597255680,13742014464,9736192,1015070720,0,0,
17-11 17:46:23,1.506,0.502,97.824,0.167,0,114688,286720,1597353984,13741764608,9752576,1015205888,0,0,
17-11 17:46:24,1.174,0.587,98.156,0.084,0,49152,122880,1599434752,13739651072,9773056,1015218176,0,0,
17-11 17:46:25,5.956,1.762,92.114,0.168,0,876544,139264,1595867136,13743005696,9785344,1015402496,0,0,
17-11 17:46:26,2.347,0.671,96.899,0.084,0,319488,49152,1596448768,13741998080,9789440,1015824384,0,0,
17-11 17:46:27,1.675,0.754,97.404,0.168,0,1736704,311296,1596862464,13740666880,9818112,1016680448,0,0,
17-11 17:46:28,30.059,7.137,62.720,0.084,0,3792896,24576,1595523072,13740109824,9850880,1018544128,0,0,
17-11 17:46:29,1.090,0.587,98.240,0.084,0,0,122880,1595514880,13740109824,9859072,1018544128,0,0,
17-11 17:46:30,4.034,1.345,94.454,0.168,0,622592,237568,1595318272,13740126208,9883648,1018699776,0,0,
17-11 17:46:31,34.564,6.711,58.641,0.084,0,5873664,172032,1593524224,13739577344,9887744,1021038592,0,0,
17-11 17:46:32,18.960,3.607,77.433,0,0,3473408,0,1593831424,13736763392,9887744,1023545344,0,0,
17-11 17:46:33,1.252,0.918,97.663,0.167,0,286720,319488,1593827328,13736763392,10039296,1023397888,0,0,
17-11 17:46:34,2.583,0.750,96.583,0.083,0,32768,0,1595453440,13734957056,10055680,1023545344,0,0,
17-11 17:46:35,1.090,0.671,98.072,0.168,0,131072,335872,1594363904,13735972864,10063872,1023610880,0,0,
17-11 17:46:36,15.567,4.061,80.372,0,0,1474560,81920,1597554688,13732667392,10072064,1023717376,0,0,
17-11 17:46:37,33.929,6.718,59.269,0.085,0,3203072,221184,1596317696,13732102144,10080256,1025511424,0,0,
17-11 17:46:38,33.646,7.173,59.095,0.085,0,4210688,65536,1595912192,13730553856,10080256,1027465216,0,0,
17-11 17:46:39,16.328,3.384,80.203,0.085,0,2908160,65536,1594327040,13730062336,10084352,1029525504,0,0,
17-11 17:46:40,1.254,0.920,97.742,0.084,0,32768,114688,1594556416,13729812480,10108928,1029521408,0,0,
17-11 17:46:41,3.759,1.337,94.737,0.167,0,524288,172032,1594691584,13729538048,10129408,1029640192,0,0,
17-11 17:46:42,1.255,0.669,98.075,0,0,0,0,1594556416,13729521664,10129408,1029791744,0,0,
17-11 17:46:43,8.088,1.685,90.059,0.168,0,401408,245760,1594507264,13729529856,10137600,1029824512,0,0,
17-11 17:46:44,2,0.833,97.083,0.083,0,0,32768,1597169664,13726658560,10145792,1030004736,0,0,
17-11 17:46:45,2.365,0.929,96.622,0.084,0,270336,73728,1596268544,13727424512,10149888,1030135808,0,0,
17-11 17:46:46,1.417,1.083,97.417,0.083,0,270336,122880,1599307776,13724377088,10289152,1030008832,0,0,
17-11 17:46:47,2.094,0.586,97.152,0.168,0,139264,122880,1598623744,13724884992,10289152,1030180864,0,0,
17-11 17:46:48,1.091,0.671,98.154,0.084,0,0,73728,1599098880,13724368896,10289152,1030217728,0,0,
17-11 17:46:49,5.401,1.603,92.911,0.084,0,704512,163840,1598853120,13724594176,10309632,1030217728,0,0,
17-11 17:46:50,14.478,3.030,82.492,0,0,1196032,106496,1598169088,13724319744,10317824,1031168000,0,0,
17-11 17:46:51,1.678,0.755,97.399,0.168,0,32768,393216,1598386176,13724094464,10338304,1031155712,0,0,
17-11 17:46:52,8.838,1.852,89.310,0,0,1523712,57344,1598132224,13724069888,10338304,1031434240,0,0,
17-11 17:46:53,1.257,0.587,97.904,0.251,0,0,172032,1597603840,13724086272,10338304,1031946240,0,0,
17-11 17:46:54,11.419,2.435,86.062,0.084,0,1875968,65536,1598857216,13722755072,10350592,1032011776,0,0,
17-11 17:46:55,1.839,0.334,97.742,0.084,0,24576,98304,1595858944,13724860416,10371072,1032884224,0,0,
17-11 17:46:56,2.517,0.923,96.477,0.084,0,245760,278528,1599221760,13721489408,10375168,1032884224,0,0,
17-11 17:46:57,11.519,2.254,86.144,0.083,0,1409024,163840,1598889984,13720989696,10387456,1033707520,0,0,
17-11 17:46:58,1.172,0.921,97.741,0.167,0,65536,122880,1599422464,13720457216,10412032,1033682944,0,0,
17-11 17:46:59,23.720,4.096,72.099,0.085,0,2752512,172032,1599041536,13720440832,10428416,1034047488,0,0,
17-11 17:47:00,11.686,2.504,85.726,0.083,0,2342912,106496,1598107648,13719142400,10989568,1035718656,0,0,
17-11 17:47:01,1.591,0.754,97.571,0.084,0,589824,163840,1597870080,13718900736,11284480,1035821056,0,0,
17-11 17:47:02,10.447,1.853,87.616,0.084,0,1024000,90112,1594937344,13721464832,11284480,1036189696,0,0,
17-11 17:47:03,1.262,0.589,97.897,0.252,0,0,221184,1594851328,13721505792,11292672,1036226560,0,0,
17-11 17:47:04,2.413,1.248,96.256,0.083,0,0,131072,1596919808,13719408640,11300864,1036247040,0,0,
17-11 17:47:05,1.751,0.834,97.331,0.083,0,262144,73728,1594486784,13721714688,11309056,1036365824,0,0,
17-11 17:47:06,16.264,2.836,80.817,0.083,0,1196032,57344,1595572224,13720522752,11309056,1036472320,0,0,
17-11 17:47:07,3.601,1.089,95.226,0.084,0,409600,229376,1595219968,13720166400,11317248,1037172736,0,0,
17-11 17:47:08,1.255,0.753,97.824,0.167,0,65536,229376,1595428864,13719908352,11350016,1037185024,0,0,
17-11 17:47:09,9.351,2.022,88.543,0.084,0,196608,8192,1595629568,13719650304,11350016,1037242368,0,0,
17-11 17:47:10,1.174,0.503,98.240,0.084,0,0,196608,1595576320,13719642112,11366400,1037287424,0,0,
17-11 17:47:11,20.524,4.139,75.253,0.084,0,909312,98304,1594236928,13720981504,11366400,1037287424,0,0,
17-11 17:47:12,1.254,0.753,97.910,0.084,0,0,196608,1593540608,13721206784,11374592,1037750272,0,0,
17-11 17:47:13,3.827,1.331,94.592,0.250,0,0,286720,1593552896,13721190400,11378688,1037750272,0,0,
17-11 17:47:14,10.962,2.762,86.276,0,0,0,196608,1595109376,13719609344,11386880,1037766656,0,0,
17-11 17:47:15,1.671,0.919,97.160,0.251,0,0,90112,1591463936,13723254784,11395072,1037758464,0,0,
17-11 17:47:16,1.763,0.672,97.565,0,0,0,57344,1593761792,13720956928,11395072,1037762560,0,0,
17-11 17:47:17,1.421,0.669,97.742,0.167,0,8192,122880,1593769984,13720932352,11407360,1037762560,0,0,
17-11 17:47:18,6.387,1.933,91.513,0.168,0,32768,335872,1593917440,13720748032,11423744,1037762560,0,0,
17-11 17:47:19,0.755,0.503,98.658,0.084,0,0,65536,1593655296,13720997888,11431936,1037766656,0,0,
17-11 17:47:20,16.946,3.523,79.446,0.084,0,0,180224,1593626624,13721014272,11440128,1037770752,0,0,
