"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-16k-lsfs-client1.dstat.csv",,,,"Date:","19 Nov 2022 03:20:10 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
19-11 03:20:10,3.590,1.171,95.145,0.093,0,140122.712,2663795.574,1538523136,12833583104,48369664,1912815616,0,0,
19-11 03:20:11,2.757,0.668,96.491,0.084,0,0,622592,1558966272,12812591104,48377856,1912832000,0,0,
19-11 03:20:12,5.542,1.679,92.695,0.084,0,163840,65536,1568333824,12751388672,48377856,1962803200,0,0,
19-11 03:20:13,5.312,1.686,93.002,0,0,0,0,1573703680,12739186688,48377856,1969229824,0,0,
19-11 03:20:14,6.124,1.510,92.282,0.084,0,0,647168,1580027904,12725735424,48398336,1976020992,0,0,
19-11 03:20:15,6.129,1.847,91.940,0.084,0,0,647168,1587494912,12712173568,48406528,1981763584,0,0,
19-11 03:20:16,5.537,2.181,92.114,0.168,0,0,60596224,1600114688,12692652032,48500736,1988075520,0,0,
19-11 03:20:17,6.355,2.174,91.472,0,0,0,0,1594847232,12689489920,48500736,1995698176,0,0,
19-11 03:20:18,5.374,1.763,92.779,0.084,0,0,147456,1593090048,12684750848,48508928,2002051072,0,0,
19-11 03:20:19,5.485,1.350,93.165,0,0,0,0,1592598528,12678479872,48508928,2008547328,0,0,
19-11 03:20:20,6.030,1.591,92.295,0.084,0,0,139264,1594400768,12670427136,48517120,2014556160,0,0,
19-11 03:20:21,4.992,1.607,93.232,0.169,0,8192,113041408,1599287296,12658716672,48640000,2020597760,0,0,
19-11 03:20:22,6.465,1.427,92.024,0.084,0,0,376832,1597206528,12653854720,48648192,2027315200,0,0,
19-11 03:20:23,5.611,1.591,92.714,0.084,0,0,57344,1595637760,12648628224,48648192,2033938432,0,0,
19-11 03:20:24,5.709,1.763,92.443,0.084,0,0,131072,1594490880,12642881536,48656384,2040664064,0,0,
19-11 03:20:25,5.640,2.104,92.088,0.168,0,0,51953664,1600413696,12629860352,48730112,2047451136,0,0,
19-11 03:20:26,5.654,1.519,92.743,0.084,0,0,44736512,1601212416,12622471168,48750592,2053591040,0,0,
19-11 03:20:27,7.291,1.823,90.886,0,0,0,0,1598418944,12619112448,48750592,2059665408,0,0,
19-11 03:20:28,5.008,1.358,93.548,0.085,0,0,180224,1596596224,12614475776,48758784,2065956864,0,0,
19-11 03:20:29,5.798,1.345,92.857,0,0,0,0,1596985344,12608008192,48758784,2071904256,0,0,
19-11 03:20:30,5.241,2.029,91.801,0.930,0,8192,258482176,1599528960,12598091776,49147904,2077843456,0,0,
19-11 03:20:31,4.818,1.099,93.914,0.169,0,8192,43483136,1600770048,12591902720,49250304,2082652160,0,0,
19-11 03:20:32,5.714,1.849,92.353,0.084,0,0,65536,1596104704,12588937216,49250304,2090283008,0,0,
19-11 03:20:33,4.572,1.609,93.819,0,0,0,0,1596940288,12582547456,49250304,2095820800,0,0,
19-11 03:20:34,5.312,1.939,92.749,0,0,0,122880,1598369792,12575019008,49258496,2101833728,0,0,
19-11 03:20:35,6.605,1.756,91.472,0.167,0,0,51847168,1602674688,12564254720,49324032,2107699200,0,0,
19-11 03:20:36,5.383,1.850,92.683,0.084,0,0,8806400,1603551232,12557078528,49348608,2113765376,0,0,
19-11 03:20:37,6.355,1.756,91.890,0,0,0,49152,1600573440,12552839168,49348608,2120851456,0,0,
19-11 03:20:38,5.654,1.266,92.996,0.084,0,0,24576,1598214144,12548628480,49348608,2127294464,0,0,
19-11 03:20:39,4.818,1.775,93.322,0.085,0,0,8724480,1599700992,12541464576,49364992,2132676608,0,0,
19-11 03:20:40,5.392,1.938,92.502,0.168,0,8192,51871744,1602846720,12531007488,49459200,2139525120,0,0,
19-11 03:20:41,6.068,2.328,91.521,0.083,0,0,155648,1600004096,12527312896,49459200,2145943552,0,0,
19-11 03:20:42,5.316,1.941,92.658,0.084,0,0,114688,1599590400,12520128512,49467392,2153398272,0,0,
19-11 03:20:43,5.093,1.528,93.379,0,0,0,40960,1599827968,12514127872,49467392,2159017984,0,0,
19-11 03:20:44,4.835,1.612,93.045,0.509,0,0,51511296,1603866624,12502921216,49500160,2166026240,0,0,
