

"Host:","peer39",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-64k-lsfs-peer39.dstat.csv",,,,"Date:","17 Nov 2022 16:31:04 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 16:31:04,3.815,1.222,94.868,0.095,0,146755.819,2828195.228,1482563584,13416620032,46477312,1401114624,0,0,
17-11 16:31:05,1.841,1.004,97.155,0,0,0,16384,1490243584,13408653312,46477312,1401126912,0,0,
17-11 16:31:06,2.254,1.169,96.578,0,0,0,90112,1483857920,13415006208,46477312,1401131008,0,0,
17-11 16:31:07,2.423,1.170,96.324,0.084,0,0,204800,1482436608,13416538112,46485504,1401008128,0,0,
17-11 16:31:08,2.500,1.167,96.333,0,0,0,147456,1481768960,13417205760,46485504,1401008128,0,0,
17-11 16:31:09,2.515,0.922,96.479,0.084,0,0,122880,1481408512,13417549824,46497792,1401012224,0,0,
17-11 16:31:10,3.239,1.163,95.598,0,0,163840,1204224,1481109504,13417615360,46522368,1401217024,0,0,
17-11 16:31:11,2.759,1.421,95.819,0,0,0,0,1489653760,13408944128,46530560,1401327616,0,0,
17-11 16:31:12,2.590,1.086,96.157,0.167,0,0,212992,1510526976,13387759616,46530560,1401237504,0,0,
17-11 16:31:13,1.506,1.004,97.490,0,0,0,376832,1491050496,13407322112,46538752,1401143296,0,0,
17-11 16:31:14,2.998,0.916,96.003,0.083,0,0,352256,1492615168,13405614080,46559232,1401249792,0,0,
17-11 16:31:15,2.510,1.004,96.485,0,0,0,729088,1490059264,13408268288,46563328,1401147392,0,0,
17-11 16:31:16,3.913,2.082,94.005,0,0,0,188416,1498038272,13399879680,46583808,1401114624,0,0,
17-11 16:31:17,2.508,1.338,96.154,0,0,0,0,1506971648,13390471168,46592000,1401114624,0,0,
17-11 16:31:18,2.759,1.254,95.903,0.084,0,0,442368,1515483136,13381492736,46608384,1401245696,0,0,
17-11 16:31:19,2.685,1.007,96.309,0,0,0,24576,1538646016,13329866752,46612480,1428766720,0,0,
17-11 16:31:20,15.474,4.659,79.784,0.083,0,163840,229376,1563205632,13268885504,46624768,1463570432,0,0,
17-11 16:31:21,8.495,2.691,88.814,0,0,0,59424768,1573146624,13246545920,46641152,1475272704,0,0,
17-11 16:31:22,9.083,2.500,88.167,0.250,0,0,69541888,1582731264,13224706048,46755840,1485893632,0,0,
17-11 16:31:23,7.946,2.705,89.349,0,0,0,311296,1580179456,13215350784,46755840,1497403392,0,0,
17-11 16:31:24,8.122,2.623,89.171,0.085,0,0,303104,1578401792,13205540864,46764032,1508614144,0,0,
17-11 16:31:25,8.376,2.792,88.663,0.169,0,8192,69025792,1581740032,13190279168,46866432,1519763456,0,0,
17-11 16:31:26,9.267,2.359,88.374,0,0,0,27852800,1583378432,13177278464,46878720,1530818560,0,0,
17-11 16:31:27,8.885,2.347,88.768,0,0,0,0,1580486656,13169479680,46878720,1541210112,0,0,
17-11 16:31:28,7.861,2.620,89.265,0.254,0,0,69271552,1585672192,13151989760,46985216,1552863232,0,0,
17-11 16:31:29,7.953,2.453,89.509,0.085,0,0,147456,1582333952,13143515136,46993408,1564200960,0,0,
17-11 16:31:30,7.647,2.294,90.059,0,0,0,360448,1581744128,13133451264,47001600,1574584320,0,0,
17-11 16:31:31,7.614,2.961,88.240,1.184,0,16384,336625664,1582964736,13091315712,47476736,1613545472,0,0,
17-11 16:31:32,7.942,2.477,89.496,0.085,0,0,8503296,1582247936,13110849536,47509504,1594814464,0,0,
17-11 16:31:33,9.175,2.273,88.552,0,0,0,106496,1582542848,13098967040,47509504,1606348800,0,0,
17-11 16:31:34,9.023,2.483,88.245,0.248,0,0,51961856,1585037312,13082492928,47591424,1619771392,0,0,
17-11 16:31:35,8.796,2.562,88.642,0,0,8192,17326080,1586114560,13072568320,47628288,1628262400,0,0,
