"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer12",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-8k-lsfs-peer12.dstat.csv",,,,"Date:","19 Nov 2022 02:40:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
19-11 02:40:50,8.623,2.205,88.956,0.216,0,98283.514,5769216.363,694636544,14118334464,672063488,790773760,0,0,
19-11 02:40:51,0.839,0.336,98.658,0.168,0,0,286720,694784000,14117941248,672067584,790777856,0,0,
19-11 02:40:52,1.342,0.336,98.322,0,0,0,409600,694779904,14117941248,672067584,790781952,0,0,
19-11 02:40:53,0.839,0.336,98.826,0,0,0,0,694779904,14117941248,672067584,790781952,0,0,
19-11 02:40:54,2.662,1.165,96.173,0,0,0,0,703520768,14108864512,672075776,790781952,0,0,
19-11 02:40:55,1.356,0.508,98.136,0,0,0,0,703524864,14108856320,672075776,790781952,0,0,
19-11 02:40:56,1.173,0.335,98.325,0.168,0,0,73728,703520768,14108856320,672079872,790781952,0,0,
19-11 02:40:57,1.005,0.168,98.660,0.168,0,0,196608,702726144,14109638656,672088064,790786048,0,0,
19-11 02:40:58,0.504,0.504,98.992,0,0,0,0,702980096,14109380608,672088064,790790144,0,0,
19-11 02:40:59,1.852,0.673,97.306,0.168,0,0,65536,701177856,14111178752,672088064,790794240,0,0,
19-11 02:41:00,1.349,0.506,98.145,0,0,0,0,701419520,14110937088,672088064,790794240,0,0,
19-11 02:41:01,2.159,1.661,96.179,0,0,0,24576,710750208,14101381120,672096256,790798336,0,0,
19-11 02:41:02,1.169,0.668,97.997,0.167,0,0,172032,710758400,14101372928,672096256,790798336,0,0,
19-11 02:41:03,1.839,1.338,96.823,0,0,0,0,719511552,14092402688,672104448,790790144,0,0,
19-11 02:41:04,1.180,0.169,98.651,0,0,0,65536,719699968,14092111872,672104448,790798336,0,0,
19-11 02:41:05,0.839,0.839,98.322,0,0,0,0,719699968,14092111872,672104448,790798336,0,0,
19-11 02:41:06,1.005,0.335,98.660,0,0,0,0,719708160,14092103680,672104448,790798336,0,0,
19-11 02:41:07,1.007,0.336,98.322,0.336,0,0,188416,719175680,14092636160,672104448,790798336,0,0,
19-11 02:41:08,1.008,0.504,98.487,0,0,0,0,719175680,14092636160,672104448,790798336,0,0,
19-11 02:41:09,2.189,0.673,97.138,0,0,0,0,718401536,14093402112,672104448,790806528,0,0,
19-11 02:41:10,3.833,1.833,94.333,0,0,0,0,727379968,14084108288,672112640,790806528,0,0,
19-11 02:41:11,0.670,0.838,98.492,0,0,0,0,727371776,14084116480,672112640,790806528,0,0,
19-11 02:41:12,1.669,0.835,97.329,0.167,0,0,155648,728141824,14083342336,672112640,790810624,0,0,
