"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer18",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-smart-128k-lsfs-peer18.dstat.csv",,,,"Date:","15 Nov 2022 14:24:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
15-11 14:24:50,10.191,2.347,87.281,0.182,0,67803.547,5640773.483,609157120,15129309184,243535872,377077760,0,0,
15-11 14:24:51,1.005,0.335,98.492,0.168,0,0,0,609107968,15129292800,243544064,377077760,0,0,
15-11 14:24:52,1.007,0.336,98.490,0.168,0,0,262144,609107968,15129292800,243552256,377069568,0,0,
15-11 14:24:53,2.337,2.003,95.659,0,0,0,32768,617492480,15120629760,243552256,377081856,0,0,
15-11 14:24:54,1.005,0.168,98.827,0,0,0,0,617422848,15120662528,243552256,377085952,0,0,
15-11 14:24:55,1.171,0.669,98.161,0,0,0,0,617422848,15120662528,243552256,377085952,0,0,
15-11 14:24:56,3.010,1.003,95.987,0,0,0,0,616038400,15122055168,243552256,377077760,0,0,
15-11 14:24:57,0.839,0.671,98.322,0.168,0,0,65536,615878656,15122194432,243560448,377090048,0,0,
15-11 14:24:58,1.003,0.669,98.161,0.167,0,0,745472,615890944,15122169856,243568640,377094144,0,0,
15-11 14:24:59,1.678,1.342,96.812,0.168,0,0,65536,615878656,15122169856,243576832,377098240,0,0,
15-11 14:25:00,1.171,0.669,98.161,0,0,0,0,615886848,15122161664,243576832,377098240,0,0,
15-11 14:25:01,1.174,0.336,98.490,0,0,0,0,615903232,15122145280,243576832,377098240,0,0,
15-11 14:25:02,0.673,0,99.327,0,0,0,0,615870464,15122178048,243576832,377098240,0,0,
15-11 14:25:03,1.171,0.502,98.161,0.167,0,0,311296,616108032,15121928192,243585024,377102336,0,0,
15-11 14:25:04,1.684,1.010,97.306,0,0,0,49152,624615424,15113109504,243585024,377106432,0,0,
15-11 14:25:05,1.508,0.168,98.325,0,0,0,0,624611328,15113109504,243585024,377110528,0,0,
15-11 14:25:06,2.345,1.005,96.650,0,0,0,0,624082944,15113625600,243585024,377126912,0,0,
15-11 14:25:07,1.003,0.669,98.328,0,0,0,0,625659904,15112052736,243585024,377118720,0,0,
