"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-smart-4k-lsfs-client1.dstat.csv",,,,"Date:","15 Nov 2022 11:25:32 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
15-11 11:25:32,3.583,1.158,95.207,0.052,0,70718.953,1453420.860,1515253760,13827047424,83824640,934187008,0,0,
15-11 11:25:33,1.090,0.922,97.988,0,0,0,368640,1516212224,13825654784,83845120,934113280,0,0,
15-11 11:25:34,2.924,1.754,94.904,0.418,0,27033600,88014848,1545146368,14081077248,3702784,743821312,0,0,
15-11 11:25:35,3.440,0.923,95.218,0.419,0,8142848,319488,1547886592,14072303616,7770112,745226240,0,0,
15-11 11:25:36,4.446,1.258,94.211,0.084,0,7192576,49152,1553956864,14058971136,8024064,752033792,0,0,
15-11 11:25:37,3.445,1.261,95.294,0,0,303104,212992,1554862080,14054694912,8171520,755064832,0,0,
15-11 11:25:38,3.272,1.594,95.050,0.084,0,16384,0,1554874368,14051332096,8171520,758222848,0,0,
15-11 11:25:39,3.120,1.265,95.616,0,0,573440,26247168,1554649088,14048210944,8196096,761368576,0,0,
15-11 11:25:40,3.431,1.506,95.063,0,0,57344,147456,1557766144,14042001408,8224768,764325888,0,0,
15-11 11:25:41,3.046,1.100,95.770,0.085,0,16384,196608,1561088000,14035304448,8237056,767336448,0,0,
15-11 11:25:42,4.020,1.256,94.724,0,0,32768,65536,1564184576,14028746752,8253440,770539520,0,0,
15-11 11:25:43,3.888,1.014,94.928,0.169,0,163840,51798016,1571643392,14015574016,8359936,775114752,0,0,
15-11 11:25:44,4.435,0.921,94.561,0.084,0,131072,49152,1568665600,14015688704,8359936,777900032,0,0,
15-11 11:25:45,4.663,1.332,94.005,0,0,0,122880,1569153024,14012207104,8359936,780779520,0,0,
15-11 11:25:46,3.804,1.014,95.013,0.169,0,5029888,98304,1573408768,14001938432,8704000,786264064,0,0,
15-11 11:25:47,3.448,1.262,95.290,0,0,8192,188416,1571012608,14001131520,8704000,789344256,0,0,
15-11 11:25:48,3.193,1.261,95.462,0.084,0,0,122880,1569828864,13999042560,8712192,792535040,0,0,
15-11 11:25:49,3.940,1.006,94.971,0.084,0,8192,237568,1568292864,13997387776,8732672,795533312,0,0,
15-11 11:25:50,2.959,1.014,96.027,0,0,0,0,1568714752,13993443328,8732672,798900224,0,0,
15-11 11:25:51,4.370,1.429,93.950,0.252,0,0,51732480,1572724736,13984481280,8806400,803303424,0,0,
15-11 11:25:52,4.337,1.001,94.579,0.083,0,294912,122880,1571921920,13982150656,8962048,806252544,0,0,
15-11 11:25:53,3.856,1.174,94.887,0.084,0,0,106496,1571803136,13979029504,8962048,809418752,0,0,
15-11 11:25:54,3.713,0.928,95.359,0,0,131072,57344,1570705408,13977100288,8962048,812363776,0,0,
15-11 11:25:55,3.311,1.019,95.586,0.085,0,0,172032,1570533376,13974044672,8970240,815484928,0,0,
15-11 11:25:56,4.698,1.091,94.128,0.084,0,0,98304,1574359040,13966536704,8978432,819073024,0,0,
15-11 11:25:57,3.853,1.173,94.891,0.084,0,0,245760,1572642816,13964722176,8986624,822509568,0,0,
15-11 11:25:58,5.509,1.419,92.988,0.083,0,8192,43048960,1574043648,13958123520,9039872,827158528,0,0,
15-11 11:25:59,4.286,1.261,94.370,0.084,0,0,8781824,1573392384,13953736704,9056256,832114688,0,0,
15-11 11:26:00,4.125,1.431,94.360,0.084,0,1835008,516096,1572020224,13949550592,9773056,836796416,0,0,
15-11 11:26:01,4.135,1.181,94.599,0.084,0,638976,262144,1570828288,13945405440,10096640,841654272,0,0,
15-11 11:26:02,5.542,1.985,92.390,0.083,0,0,106496,1570287616,13940752384,10096640,846725120,0,0,
15-11 11:26:03,5.838,2.876,90.609,0.677,0,40960,215867392,1571733504,13931020288,10420224,853798912,0,0,
15-11 11:26:04,4.874,1.429,93.529,0.168,0,393216,43597824,1570877440,13927493632,10510336,858128384,0,0,
15-11 11:26:05,4.275,1.257,94.468,0,0,16384,327680,1569087488,13926035456,10522624,861347840,0,0,
15-11 11:26:06,4.111,1.342,94.463,0.084,0,0,139264,1570648064,13921140736,10530816,864661504,0,0,
15-11 11:26:07,4.268,0.921,94.812,0,0,73728,172032,1570185216,13918810112,10559488,867393536,0,0,
15-11 11:26:08,3.277,1.261,95.378,0.084,0,294912,106496,1568837632,13917036544,10715136,870313984,0,0,
