"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_off-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 13:08:21 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 13:08:21,3.286,1.110,95.526,0.078,0,94400.748,1812919.111,1438552064,14169747456,30216192,731664384,0,0,
29-11 13:08:22,2.680,1.005,96.315,0,0,499712,98304,1461518336,14091620352,30384128,784711680,0,0,
29-11 13:08:23,2.662,0.749,96.506,0.083,0,0,278528,1461678080,14090678272,30392320,785006592,0,0,
29-11 13:08:24,1.844,0.335,97.821,0,0,0,229376,1461661696,14090547200,30404608,785006592,0,0,
29-11 13:08:25,2.163,1.165,96.589,0.083,0,0,102858752,1461559296,14090555392,30412800,785010688,0,0,
29-11 13:08:26,1.429,0.588,97.983,0,0,0,204800,1463316480,14088790016,30412800,785014784,0,0,
29-11 13:08:27,2.351,0.924,96.641,0.084,0,0,286720,1462829056,14089224192,30433280,785014784,0,0,
29-11 13:08:28,1.686,0.590,97.723,0,0,0,57344,1463341056,14088675328,30433280,785014784,0,0,
29-11 13:08:29,2.855,1.008,95.886,0.252,0,4866048,15515648,1464864768,14288842752,2060288,621289472,0,0,
29-11 13:08:30,0.840,0.672,98.489,0,0,851968,73728,1466060800,14287499264,2473984,621117440,0,0,
29-11 13:08:31,2.099,0.756,96.893,0.252,0,4718592,147456,1466281984,14284828672,4739072,621236224,0,0,
29-11 13:08:32,2.822,0.913,96.266,0,0,0,49152,1466265600,14284836864,4739072,621244416,0,0,
29-11 13:08:33,3.728,0.911,95.195,0.166,0,65536,106496,1466179584,14284853248,4767744,621248512,0,0,
29-11 13:08:34,3.169,1.001,95.830,0,0,0,163840,1466667008,14284353536,4775936,621252608,0,0,
29-11 13:08:35,2.500,0.750,96.500,0.250,0,21250048,114688,1465065472,14275272704,6180864,630472704,0,0,
29-11 13:08:36,2.345,0.838,96.734,0.084,0,5677056,180224,1466114048,14271537152,6414336,632692736,0,0,
29-11 13:08:37,2.010,0.838,97.069,0.084,0,0,106496,1465208832,14271946752,6414336,633090048,0,0,
29-11 13:08:38,2.178,0.503,97.320,0,0,278528,49152,1465163776,14271832064,6553600,632950784,0,0,
29-11 13:08:39,2.919,0.917,95.997,0.167,0,4317184,106496,1464774656,14269984768,6574080,635121664,0,0,
29-11 13:08:40,2.337,0.584,97.078,0,0,98304,139264,1464860672,14269685760,6598656,635248640,0,0,
29-11 13:08:41,2.513,0.670,96.734,0.084,0,0,57344,1464823808,14269644800,6598656,635273216,0,0,
29-11 13:08:42,2.588,0.584,96.745,0.083,0,0,49152,1464832000,14269603840,6598656,635273216,0,0,
29-11 13:08:43,2.757,0.919,96.241,0.084,0,557056,163840,1465065472,14269071360,6885376,635269120,0,0,
29-11 13:08:44,2.265,0.755,96.980,0,0,73728,49152,1465020416,14269071360,6914048,635285504,0,0,
29-11 13:08:45,3.175,0.919,95.823,0.084,0,0,212992,1463517184,14270431232,6922240,635289600,0,0,
29-11 13:08:46,2.007,0.836,97.074,0.084,0,4857856,147456,1464594432,14266834944,7249920,637476864,0,0,
29-11 13:08:47,2.090,0.502,97.324,0.084,0,0,163840,1464180736,14267293696,7258112,637386752,0,0,
29-11 13:08:48,2.905,0.830,96.266,0,0,0,49152,1464172544,14267260928,7258112,637394944,0,0,
29-11 13:08:49,2.922,0.835,96.244,0,0,0,57344,1464164352,14267244544,7258112,637394944,0,0,
29-11 13:08:50,3,1,95.917,0.083,0,24576,794624,1464152064,14267244544,7282688,637382656,0,0,
29-11 13:08:51,2.826,1.413,95.677,0.083,0,0,65536,1464377344,14266920960,7282688,637403136,0,0,
29-11 13:08:52,2.265,0.839,96.896,0,0,131072,49152,1464311808,14266920960,7282688,637468672,0,0,
29-11 13:08:53,1.688,0.759,97.468,0.084,0,0,155648,1464311808,14266920960,7290880,637460480,0,0,
