"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer30",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_off-lsfs-peer30.dstat.csv",,,,"Date:","29 Nov 2022 17:17:58 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 17:17:58,6.180,1.482,92.186,0.152,0,61513.746,3625642.601,732401664,13209960448,1010483200,1198690304,0,0,
29-11 17:17:59,0.836,0.669,98.495,0,0,0,0,732397568,13209927680,1010483200,1198682112,0,0,
29-11 17:18:00,0.503,0.336,98.993,0.168,0,0,221184,732397568,13209927680,1010483200,1198682112,0,0,
29-11 17:18:01,1.340,0,98.660,0,0,0,0,732397568,13209927680,1010483200,1198682112,0,0,
29-11 17:18:02,2.838,1.503,95.659,0,0,0,0,734269440,13208051712,1010483200,1198686208,0,0,
29-11 17:18:03,2,0.667,97.333,0,0,0,0,739655680,13202419712,1010483200,1198682112,0,0,
29-11 17:18:04,2.337,1.002,96.494,0.167,0,0,122880,748097536,13193650176,1010483200,1198686208,0,0,
29-11 17:18:05,1.340,0.503,98.157,0,0,0,57344,749129728,13192617984,1010483200,1198686208,0,0,
29-11 17:18:06,2.508,1.171,96.154,0.167,0,0,212992,747819008,13193924608,1010483200,1198686208,0,0,
29-11 17:18:07,1.342,0.336,98.322,0,0,0,0,747851776,13193891840,1010483200,1198686208,0,0,
29-11 17:18:08,0.672,0.336,98.992,0,0,0,0,748077056,13193666560,1010483200,1198686208,0,0,
29-11 17:18:09,0.675,0.506,98.820,0,0,0,0,748351488,13193392128,1010483200,1198686208,0,0,
29-11 17:18:10,1.515,1.010,97.306,0.168,0,0,155648,754438144,13187305472,1010483200,1198682112,0,0,
29-11 17:18:11,0.839,0.336,98.826,0,0,0,0,754647040,13186867200,1010483200,1198690304,0,0,
29-11 17:18:12,1.176,0.504,98.151,0.168,0,0,229376,757252096,13184262144,1010483200,1198690304,0,0,
29-11 17:18:13,1.340,1.173,97.487,0,0,0,0,763965440,13177192448,1010483200,1198690304,0,0,
29-11 17:18:14,0.838,0.335,98.827,0,0,0,0,763944960,13177208832,1010483200,1198694400,0,0,
29-11 17:18:15,0.840,0.504,98.487,0.168,0,0,540672,763936768,13177208832,1010483200,1198702592,0,0,
29-11 17:18:16,3.885,3.209,92.568,0.338,0,0,65536,763166720,13177966592,1010483200,1198702592,0,0,
29-11 17:18:17,1.675,0.503,97.822,0,0,0,0,763166720,13177966592,1010483200,1198702592,0,0,
29-11 17:18:18,2.337,1.336,96.160,0.167,0,0,188416,771747840,13169115136,1010483200,1198710784,0,0,
