"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 11:50:05 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 11:50:05,3.289,1.111,95.522,0.078,0,94275.203,1816089.821,1452290048,10334085120,158552064,4244242432,0,0,
29-11 11:50:06,3.078,1.414,95.424,0.083,0,0,835584,1477382144,10254426112,158556160,4296712192,0,0,
29-11 11:50:07,2.101,0.588,97.227,0.084,0,0,212992,1477029888,10254548992,158556160,4296773632,0,0,
29-11 11:50:08,2.605,0.924,96.471,0,0,0,253952,1477558272,10253811712,158568448,4296761344,0,0,
29-11 11:50:09,2.261,0.754,96.901,0.084,0,0,335872,1477496832,10253705216,158572544,4296769536,0,0,
29-11 11:50:10,2.168,0.751,96.997,0.083,0,0,98304,1476698112,10254454784,158572544,4296777728,0,0,
29-11 11:50:11,2.415,0.583,96.753,0.250,0,0,102588416,1476628480,10254471168,158576640,4296777728,0,0,
29-11 11:50:12,2.178,0.335,97.487,0,0,0,172032,1477140480,10253905920,158576640,4296781824,0,0,
29-11 11:50:13,2.168,0.584,97.248,0,0,0,0,1477386240,10253582336,158576640,4296781824,0,0,
29-11 11:50:14,1.838,0.835,97.243,0.084,0,0,147456,1477615616,10253201408,158576640,4296781824,0,0,
29-11 11:50:15,2.339,0.919,96.658,0.084,0,0,155648,1477287936,10253451264,158580736,4296785920,0,0,
29-11 11:50:16,1.849,0.756,97.311,0.084,0,0,65536,1479282688,10251403264,158580736,4296794112,0,0,
29-11 11:50:17,1.838,0.585,97.577,0,0,0,0,1479356416,10251255808,158580736,4296785920,0,0,
29-11 11:50:18,2.417,0.667,96.833,0.083,0,0,221184,1479315456,10251214848,158580736,4296790016,0,0,
29-11 11:50:19,2.008,0.418,97.573,0,0,0,57344,1479020544,10251456512,158580736,4296790016,0,0,
29-11 11:50:20,2.990,0.831,96.096,0.083,0,0,245760,1479000064,10251350016,158588928,4296794112,0,0,
29-11 11:50:21,2.092,0.586,97.322,0,0,0,155648,1478983680,10251284480,158588928,4296794112,0,0,
29-11 11:50:22,1.843,0.670,97.404,0.084,0,0,163840,1479237632,10250952704,158588928,4296798208,0,0,
29-11 11:50:23,1.923,0.585,97.492,0,0,0,0,1479217152,10250829824,158588928,4296798208,0,0,
29-11 11:50:24,1.760,0.587,97.569,0.084,0,0,65536,1479200768,10250731520,158588928,4296798208,0,0,
29-11 11:50:25,2.583,0.833,96.500,0.083,0,0,65536,1477160960,10252697600,158588928,4296798208,0,0,
29-11 11:50:26,2.504,0.835,96.661,0,0,0,163840,1479692288,10250117120,158588928,4296798208,0,0,
29-11 11:50:27,1.505,0.836,97.659,0,0,0,0,1480204288,10249592832,158588928,4296802304,0,0,
29-11 11:50:28,2.337,0.584,96.995,0.083,0,0,180224,1479905280,10249793536,158593024,4296802304,0,0,
29-11 11:50:29,2.083,0.667,97.167,0.083,0,0,49152,1480155136,10249428992,158593024,4296806400,0,0,
29-11 11:50:30,2.252,0.751,96.997,0,0,0,98304,1480151040,10249396224,158593024,4296806400,0,0,
29-11 11:50:31,1.678,0.671,97.651,0,0,0,212992,1480130560,10249289728,158601216,4296810496,0,0,
29-11 11:50:32,3.215,0.989,95.713,0.082,0,0,65536,1480105984,10249199616,158601216,4296810496,0,0,
29-11 11:50:33,1.847,0.588,97.565,0,0,0,0,1480105984,10249125888,158601216,4296810496,0,0,
29-11 11:50:34,1.833,0.917,97.167,0.083,0,0,122880,1480077312,10249068544,158601216,4296814592,0,0,
29-11 11:50:35,2.504,0.751,96.661,0.083,0,0,65536,1480314880,10248712192,158601216,4296814592,0,0,
29-11 11:50:36,2.012,0.754,97.234,0,0,0,155648,1479024640,10249953280,158601216,4296822784,0,0,
29-11 11:50:37,2.005,0.501,97.494,0,0,0,11149312,1479032832,10249904128,158601216,4296818688,0,0,
29-11 11:50:38,1.918,0.751,97.164,0.167,0,0,172032,1479294976,10249596928,158601216,4296818688,0,0,
29-11 11:50:39,2.085,0.584,97.331,0,0,0,0,1479000064,10249805824,158601216,4296818688,0,0,
29-11 11:50:40,1.926,0.503,97.487,0.084,0,0,303104,1478959104,10249715712,158613504,4296822784,0,0,
29-11 11:50:41,1.923,0.669,97.324,0.084,0,0,49152,1478946816,10249682944,158613504,4296822784,0,0,
29-11 11:50:42,1.757,0.669,97.490,0.084,0,0,163840,1478922240,10249617408,158621696,4296826880,0,0,
29-11 11:50:43,2.174,0.334,97.492,0,0,0,40960,1478914048,10249543680,158629888,4296818688,0,0,
29-11 11:50:44,1.672,0.753,97.492,0.084,0,0,106496,1479155712,10249244672,158629888,4296826880,0,0,
29-11 11:50:45,2.019,0.673,97.225,0.084,0,0,57344,1479380992,10248904704,158629888,4296826880,0,0,
29-11 11:50:46,2.258,0.753,96.906,0.084,0,0,212992,1479864320,10248314880,158629888,4296830976,0,0,
29-11 11:50:47,2.085,0.584,97.248,0.083,0,0,9838592,1479835648,10248224768,158629888,4296830976,0,0,
29-11 11:50:48,2.333,0.667,96.917,0.083,0,0,221184,1480069120,10247901184,158629888,4296835072,0,0,
29-11 11:50:49,1.756,0.836,97.408,0,0,0,0,1480056832,10247835648,158629888,4296835072,0,0,
29-11 11:50:50,2.743,0.582,96.509,0.166,0,0,221184,1480040448,10247729152,158638080,4296835072,0,0,
29-11 11:50:51,2.498,0.333,97.169,0,0,0,98304,1480269824,10247479296,158638080,4296839168,0,0,
29-11 11:50:52,2.329,0.749,96.839,0.083,0,0,65536,1480257536,10247454720,158638080,4296839168,0,0,
29-11 11:50:53,2.413,0.582,97.005,0,0,0,0,1480515584,10247049216,158638080,4296839168,0,0,
29-11 11:50:54,1.513,0.504,97.899,0.084,0,0,122880,1480495104,10247016448,158638080,4296843264,0,0,
29-11 11:50:55,3.068,1.161,95.688,0.083,0,0,57344,1477890048,10249539584,158638080,4296843264,0,0,
29-11 11:50:56,2.263,0.838,96.815,0.084,0,0,188416,1478602752,10248749056,158638080,4296839168,0,0,
29-11 11:50:57,2.333,0.417,97.250,0,0,0,0,1478668288,10248601600,158638080,4296847360,0,0,
29-11 11:50:58,2.741,0.664,96.512,0.083,0,0,114688,1478660096,10248568832,158638080,4296847360,0,0,
29-11 11:50:59,1.760,0.419,97.821,0,0,0,106496,1478643712,10248495104,158642176,4296851456,0,0,
29-11 11:51:00,2.413,0.666,96.839,0.083,0,0,180224,1478623232,10248437760,158642176,4296851456,0,0,
29-11 11:51:01,2.252,0.500,97.164,0.083,0,0,172032,1478897664,10248081408,158650368,4296843264,0,0,
29-11 11:51:02,2.333,0.583,97.083,0,0,0,106496,1479122944,10247757824,158650368,4296855552,0,0,
29-11 11:51:03,1.925,0.502,97.573,0,0,0,11403264,1479127040,10247667712,158650368,4296855552,0,0,
29-11 11:51:04,2.087,0.584,97.245,0.083,0,0,163840,1479372800,10247344128,158650368,4296859648,0,0,
29-11 11:51:05,2.750,0.833,96.333,0.083,0,0,57344,1477746688,10248884224,158650368,4296859648,0,0,
29-11 11:51:06,2.183,0.672,97.061,0.084,0,0,122880,1475489792,10251075584,158650368,4296847360,0,0,
29-11 11:51:07,2.083,0.667,97.250,0,0,0,0,1476206592,10250235904,158650368,4296859648,0,0,
29-11 11:51:08,1.926,0.503,97.487,0.084,0,0,155648,1476182016,10250211328,158650368,4296859648,0,0,
29-11 11:51:09,1.920,0.584,97.412,0.083,0,0,106496,1476165632,10250137600,158650368,4296863744,0,0,
29-11 11:51:10,2.831,0.416,96.669,0.083,0,0,253952,1476665344,10249588736,158658560,4296863744,0,0,
29-11 11:51:11,1.839,0.753,97.408,0,0,0,131072,1476648960,10249555968,158658560,4296867840,0,0,
29-11 11:51:12,2.003,0.751,97.245,0,0,0,122880,1476894720,10249224192,158658560,4296871936,0,0,
29-11 11:51:13,2.170,0.501,97.329,0,0,0,0,1476866048,10249142272,158658560,4296871936,0,0,
29-11 11:51:14,2.082,0.666,97.169,0.083,0,0,98304,1476861952,10249068544,158658560,4296871936,0,0,
29-11 11:51:15,2.423,0.752,96.742,0.084,0,0,57344,1474777088,10251067392,158658560,4296871936,0,0,
29-11 11:51:16,1.763,0.588,97.565,0.084,0,0,163840,1476583424,10249154560,158658560,4296876032,0,0,
