"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer23",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-peer23.dstat.csv",,,,"Date:","29 Nov 2022 20:38:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 20:38:50,6.350,1.680,91.846,0.124,0,46533.039,3048044.779,763162624,12997324800,1044414464,1313431552,0,0,
29-11 20:38:51,1.669,0.835,97.496,0,0,0,0,763105280,12997308416,1044414464,1313431552,0,0,
29-11 20:38:52,1.171,0.502,98.161,0.167,0,0,65536,763097088,12997316608,1044418560,1313427456,0,0,
29-11 20:38:53,1.830,0.998,97.171,0,0,0,0,763355136,12997050368,1044418560,1313435648,0,0,
29-11 20:38:54,0.838,0.335,98.492,0.335,0,0,851968,763203584,12997201920,1044418560,1313435648,0,0,
29-11 20:38:55,1.007,0.839,98.154,0,0,0,0,763097088,12997308416,1044418560,1313435648,0,0,
29-11 20:38:56,1.338,0.669,97.993,0,0,0,0,763068416,12997332992,1044418560,1313435648,0,0,
29-11 20:38:57,2.838,2.504,94.658,0,0,0,0,772186112,12987920384,1044418560,1313439744,0,0,
29-11 20:38:58,2.329,1.331,96.339,0,0,0,0,771928064,12988170240,1044418560,1313443840,0,0,
29-11 20:38:59,1.171,0.502,98.328,0,0,0,0,771596288,12988506112,1044418560,1313443840,0,0,
29-11 20:39:00,1.002,1.002,97.830,0.167,0,0,253952,771928064,12988174336,1044418560,1313443840,0,0,
29-11 20:39:01,2.676,1.505,95.819,0,0,0,0,780152832,12979597312,1044418560,1313447936,0,0,
29-11 20:39:02,0.838,0.503,98.660,0,0,0,0,780152832,12979597312,1044418560,1313447936,0,0,
29-11 20:39:03,1.010,0.842,97.980,0.168,0,0,122880,780156928,12979589120,1044422656,1313447936,0,0,
29-11 20:39:04,1.340,1.173,97.487,0,0,0,0,782467072,12977278976,1044422656,1313447936,0,0,
29-11 20:39:05,1.669,1.169,97.162,0,0,0,0,788844544,12970602496,1044422656,1313452032,0,0,
29-11 20:39:06,1.498,0.666,97.671,0.166,0,0,212992,788844544,12970602496,1044422656,1313452032,0,0,
29-11 20:39:07,2.007,1.672,96.321,0,0,0,0,796016640,12963139584,1044422656,1313452032,0,0,
29-11 20:39:08,1.513,1.008,97.311,0.168,0,0,65536,794624000,12964532224,1044422656,1313452032,0,0,
29-11 20:39:09,1.336,0.668,97.997,0,0,0,0,794464256,12964687872,1044422656,1313452032,0,0,
29-11 20:39:10,1.007,0.839,98.154,0,0,0,0,794738688,12964413440,1044422656,1313452032,0,0,
29-11 20:39:11,1.505,0.502,97.993,0,0,0,0,794189824,12964962304,1044422656,1313452032,0,0,
29-11 20:39:12,2.671,1.836,95.326,0.167,0,0,204800,802406400,12956745728,1044422656,1313452032,0,0,
29-11 20:39:13,2.990,1.827,95.183,0,0,0,0,811565056,12947021824,1044422656,1313456128,0,0,
29-11 20:39:14,1.171,0.836,97.826,0.167,0,0,65536,812339200,12946247680,1044422656,1313456128,0,0,
29-11 20:39:15,1.513,0.672,97.815,0,0,0,0,812597248,12945989632,1044422656,1313456128,0,0,
29-11 20:39:16,1.176,0.504,98.319,0,0,0,32768,812576768,12945997824,1044422656,1313456128,0,0,
29-11 20:39:17,1.523,0.677,97.800,0,0,0,196608,812187648,12946382848,1044422656,1313460224,0,0,
29-11 20:39:18,8.571,2.857,88.403,0.168,0,0,139264,810344448,12948230144,1044426752,1313452032,0,0,
29-11 20:39:19,7.886,1.846,90.268,0,0,0,0,810098688,12948131840,1044426752,1313554432,0,0,
29-11 20:39:20,8.067,2.185,89.748,0,0,0,0,811274240,12946817024,1044426752,1313648640,0,0,
29-11 20:39:21,10.321,1.523,88.156,0,0,0,0,811913216,12945776640,1044426752,1313992704,0,0,
29-11 20:39:22,9.683,3.005,87.312,0,0,0,0,812122112,12945244160,1044426752,1314299904,0,0,
29-11 20:39:23,11.500,4,84.167,0.333,0,0,2342912,814010368,12942913536,1044426752,1314717696,0,0,
29-11 20:39:24,12.086,1.987,85.762,0.166,0,0,65536,813658112,12942921728,1044426752,1315061760,0,0,
29-11 20:39:25,12.727,3.967,83.306,0,0,0,0,814125056,12942139392,1044426752,1315377152,0,0,
29-11 20:39:26,13.072,2.941,83.987,0,0,0,16384,814006272,12941897728,1044426752,1315737600,0,0,
29-11 20:39:27,12.046,2.805,85.149,0,0,0,0,814661632,12940849152,1044426752,1316130816,0,0,
29-11 20:39:28,11.506,3.723,84.602,0.169,0,0,204800,815235072,12939866112,1044426752,1316491264,0,0,
29-11 20:39:29,10.570,1.846,87.584,0,0,0,0,816238592,12938395648,1044426752,1316876288,0,0,
29-11 20:39:30,9.983,2.329,87.687,0,0,0,0,816689152,12937613312,1044426752,1317191680,0,0,
29-11 20:39:31,10.684,3.005,86.144,0.167,0,0,483328,816836608,12937072640,1044426752,1317568512,0,0,
29-11 20:39:32,10.294,2.941,86.765,0,0,0,0,817577984,12936048640,1044426752,1317851136,0,0,
29-11 20:39:33,11.597,3.025,85.210,0.168,0,0,270336,819253248,12933976064,1044430848,1318244352,0,0,
29-11 20:39:34,12.272,2.985,84.577,0.166,0,0,65536,819605504,12933210112,1044430848,1318658048,0,0,
29-11 20:39:35,10.945,3.317,85.738,0,0,0,0,819277824,12933193728,1044430848,1319002112,0,0,
29-11 20:39:36,10.235,2.013,87.752,0,0,0,16384,819802112,12932435968,1044430848,1319235584,0,0,
29-11 20:39:37,9.983,2.163,87.854,0,0,0,0,819851264,12931895296,1044430848,1319706624,0,0,
29-11 20:39:38,12.187,3.339,84.307,0.167,0,0,11329536,820641792,12930723840,1044430848,1320013824,0,0,
29-11 20:39:39,10.797,2.658,86.545,0,0,0,0,821039104,12929941504,1044430848,1320366080,0,0,
29-11 20:39:40,10.762,2.815,86.424,0,0,0,0,821448704,12929150976,1044430848,1320742912,0,0,
29-11 20:39:41,9.883,2.513,87.605,0,0,0,16384,821874688,12928376832,1044430848,1321082880,0,0,
29-11 20:39:42,9.801,2.326,87.874,0,0,0,0,822386688,12927586304,1044430848,1321353216,0,0,
29-11 20:39:43,9.524,3.777,86.371,0.328,0,0,212992,824401920,12925280256,1044430848,1321635840,0,0,
29-11 20:39:44,11.774,2.653,85.406,0.166,0,0,73728,824844288,12924538880,1044430848,1321934848,0,0,
29-11 20:39:45,13.192,2.606,84.202,0,0,0,0,824434688,12924473344,1044430848,1322369024,0,0,
29-11 20:39:46,12.479,4.326,83.195,0,0,0,16384,826527744,12922101760,1044430848,1322610688,0,0,
29-11 20:39:47,10.909,2.314,86.777,0,0,0,0,826028032,12922085376,1044430848,1323081728,0,0,
29-11 20:39:48,10.420,3.361,86.050,0.168,0,0,303104,826228736,12921569280,1044430848,1323364352,0,0,
29-11 20:39:49,10.235,2.517,87.248,0,0,0,0,826626048,12920729600,1044430848,1323737088,0,0,
29-11 20:39:50,9.833,2.833,87.333,0,0,0,0,826621952,12920463360,1044430848,1323995136,0,0,
29-11 20:39:51,11.055,2.848,86.097,0,0,0,0,827043840,12919681024,1044430848,1324331008,0,0,
29-11 20:39:52,10.483,2.496,87.022,0,0,0,40960,827232256,12919181312,1044430848,1324621824,0,0,
29-11 20:39:53,12.336,3.289,84.211,0.164,0,0,286720,828649472,12917350400,1044434944,1325006848,0,0,
29-11 20:39:54,10.702,2.174,86.957,0.167,0,0,65536,828776448,12916850688,1044434944,1325363200,0,0,
29-11 20:39:55,10.050,2.345,87.605,0,0,0,0,829190144,12916027392,1044434944,1325723648,0,0,
