

"Host:","peer7",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-peer7.dstat.csv",,,,"Date:","29 Nov 2022 11:49:23 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 11:49:23,6.092,1.475,92.280,0.153,0,62189.069,3647019.488,685211648,13366034432,984805376,1142976512,0,0,
29-11 11:49:24,0.335,0.670,98.995,0,0,0,90112,685178880,13365936128,984805376,1142976512,0,0,
29-11 11:49:25,0.336,0.336,99.328,0,0,0,0,685445120,13365661696,984805376,1142980608,0,0,
29-11 11:49:26,1.846,0.839,97.315,0,0,0,0,683896832,13367218176,984805376,1142972416,0,0,
29-11 11:49:27,1.672,1.505,96.823,0,0,0,0,692117504,13358731264,984805376,1142984704,0,0,
29-11 11:49:28,1.003,0.669,97.993,0.334,0,0,385024,692056064,13358690304,984809472,1142988800,0,0,
29-11 11:49:29,1.681,0.336,97.815,0.168,0,0,393216,692056064,13358690304,984809472,1142988800,0,0,
29-11 11:49:30,1.184,0.338,98.477,0,0,0,0,691265536,13359480832,984809472,1142988800,0,0,
29-11 11:49:31,0.670,0.168,99.162,0,0,0,0,691261440,13359480832,984809472,1142992896,0,0,
29-11 11:49:32,0.839,0.503,98.658,0,0,0,0,691515392,13359222784,984809472,1142996992,0,0,
29-11 11:49:33,0.673,0.168,99.158,0,0,0,180224,692031488,13358706688,984809472,1142996992,0,0,
29-11 11:49:34,4.007,2.337,93.656,0,0,0,16384,700215296,13350203392,984809472,1142996992,0,0,
29-11 11:49:35,2.353,1.849,95.798,0,0,0,0,709451776,13340725248,984809472,1142996992,0,0,
29-11 11:49:36,1.846,0.671,97.483,0,0,0,0,708911104,13341192192,984809472,1143005184,0,0,
29-11 11:49:37,1.007,0.336,98.658,0,0,0,0,709128192,13340975104,984809472,1143001088,0,0,
29-11 11:49:38,1.827,0.997,97.010,0.166,0,0,196608,709369856,13340733440,984809472,1143001088,0,0,
29-11 11:49:39,0.673,0.337,98.822,0.168,0,0,65536,709349376,13340749824,984809472,1143005184,0,0,
29-11 11:49:40,1.672,1.171,96.990,0.167,0,0,98304,717606912,13332492288,984809472,1143005184,0,0,
29-11 11:49:41,0.838,0.503,98.660,0,0,0,0,716120064,13333684224,984809472,1143005184,0,0,
29-11 11:49:42,0.506,0.169,99.325,0,0,0,0,716120064,13333684224,984809472,1143005184,0,0,
29-11 11:49:43,1.852,1.178,96.801,0.168,0,0,180224,723505152,13326229504,984809472,1143001088,0,0,
29-11 11:49:44,0.671,0.671,98.658,0,0,0,0,723329024,13326131200,984809472,1143005184,0,0,
29-11 11:49:45,1.678,0,98.322,0,0,0,24576,723324928,13326131200,984809472,1143009280,0,0,
29-11 11:49:46,1.513,1.008,97.143,0.336,0,0,131072,725118976,13324333056,984813568,1143013376,0,0,
29-11 11:49:47,1.513,1.345,97.143,0,0,0,0,731926528,13317427200,984813568,1143017472,0,0,
29-11 11:49:48,0.677,0.846,98.477,0,0,0,0,731688960,13317476352,984813568,1143017472,0,0,
29-11 11:49:49,0.843,0.506,98.482,0.169,0,0,204800,731676672,13317484544,984813568,1143017472,0,0,
29-11 11:49:50,0.676,0.169,99.155,0,0,0,49152,731660288,13317500928,984813568,1143017472,0,0,
29-11 11:49:51,0.504,0.504,98.992,0,0,0,24576,731656192,13317500928,984813568,1143021568,0,0,
29-11 11:49:52,0.838,0.335,98.660,0.168,0,0,65536,731652096,13317500928,984813568,1143025664,0,0,
29-11 11:49:53,2.345,1.675,95.980,0,0,0,57344,740818944,13308006400,984813568,1143029760,0,0,
29-11 11:49:54,1.176,0.168,98.487,0.168,0,0,204800,740818944,13308006400,984813568,1143029760,0,0,
29-11 11:49:55,2.189,2.357,95.455,0,0,0,57344,748273664,13300236288,984813568,1143033856,0,0,
29-11 11:49:56,2.848,1.005,96.147,0,0,0,0,746389504,13302120448,984813568,1143033856,0,0,
29-11 11:49:57,0.505,0.337,99.158,0,0,0,0,746242048,13302267904,984813568,1143033856,0,0,
29-11 11:49:58,1.010,0.673,98.316,0,0,0,8192,747008000,13301501952,984813568,1143033856,0,0,
29-11 11:49:59,2.504,1.669,95.326,0.501,0,0,376832,755392512,13292781568,984817664,1143033856,0,0,
29-11 11:50:00,1.846,0.503,97.651,0,0,0,57344,755392512,13292781568,984817664,1143033856,0,0,
29-11 11:50:01,0.337,0.337,99.325,0,0,0,0,755388416,13292781568,984817664,1143037952,0,0,
29-11 11:50:02,0.505,0.337,99.158,0,0,0,0,755445760,13292724224,984817664,1143037952,0,0,
29-11 11:50:03,0.672,0.336,98.992,0,0,0,0,755372032,13292797952,984817664,1143037952,0,0,
