

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 15:25:47 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 15:25:47,3.282,1.108,95.531,0.078,0,94594.514,1807352.179,1468444672,14128848896,34967552,738054144,0,0,
29-11 15:25:48,2.745,1.248,96.007,0,0,425984,147456,1494269952,14048616448,35110912,790560768,0,0,
29-11 15:25:49,4.406,1.081,94.431,0.083,0,0,101703680,1473503232,14068318208,35131392,790863872,0,0,
29-11 15:25:50,2.435,0.588,96.977,0,0,0,0,1473220608,14068355072,35131392,790863872,0,0,
29-11 15:25:51,3.046,1.015,95.939,0,0,0,319488,1473941504,14067318784,35131392,790863872,0,0,
29-11 15:25:52,4.738,1.330,93.932,0,0,0,24576,1472876544,14068097024,35131392,790863872,0,0,
29-11 15:25:53,2.840,1.086,95.990,0.084,0,0,253952,1472798720,14067793920,35147776,790867968,0,0,
29-11 15:25:54,3.521,1.174,95.222,0.084,0,0,10215424,1472966656,14067232768,35155968,790863872,0,0,
29-11 15:25:55,4.337,1.501,94.162,0,0,0,196608,1473392640,14066380800,35164160,790876160,0,0,
29-11 15:25:56,3.356,1.426,95.134,0.084,0,0,131072,1473323008,14066044928,35172352,790876160,0,0,
29-11 15:25:57,3.866,1.092,95.042,0,0,0,114688,1474793472,14064193536,35180544,790880256,0,0,
29-11 15:25:58,2.949,1.095,95.956,0,0,0,0,1474740224,14063964160,35180544,790880256,0,0,
29-11 15:25:59,2.277,0.759,96.880,0.084,0,0,122880,1474928640,14063443968,35180544,790880256,0,0,
29-11 15:26:00,3.283,1.010,95.623,0.084,0,0,106496,1474584576,14063407104,35188736,790884352,0,0,
29-11 15:26:01,2.605,0.840,96.555,0,0,0,73728,1474596864,14063079424,35188736,790884352,0,0,
29-11 15:26:02,2.671,1.336,95.910,0.083,0,0,90112,1474711552,14062829568,35196928,790876160,0,0,
29-11 15:26:03,2.286,0.508,97.206,0,0,0,212992,1474629632,14062600192,35205120,790888448,0,0,
29-11 15:26:04,1.173,0.754,98.074,0,0,0,65536,1474592768,14062436352,35205120,790888448,0,0,
29-11 15:26:05,1.343,0.672,97.901,0.084,0,0,172032,1471991808,14064951296,35213312,790892544,0,0,
29-11 15:26:06,0.755,0.336,98.826,0.084,0,0,57344,1471991808,14064951296,35213312,790892544,0,0,
29-11 15:26:07,3.785,0.757,95.458,0,0,0,73728,1473478656,14063230976,35213312,790892544,0,0,
29-11 15:26:08,3.275,1.259,95.466,0,0,0,0,1473396736,14062968832,35213312,790892544,0,0,
29-11 15:26:09,3.288,0.843,95.784,0.084,0,0,180224,1473585152,14062407680,35221504,790896640,0,0,
29-11 15:26:10,3.344,1.003,95.569,0.084,0,0,114688,1474068480,14061596672,35229696,790896640,0,0,
29-11 15:26:11,3.269,0.922,95.809,0,0,0,155648,1474232320,14061035520,35237888,790900736,0,0,
29-11 15:26:12,3.840,1.586,94.491,0.083,0,0,24576,1474379776,14060523520,35237888,790900736,0,0,
29-11 15:26:13,3.710,0.759,95.447,0.084,0,0,73728,1473785856,14060744704,35237888,790904832,0,0,
29-11 15:26:14,2.435,1.092,96.390,0.084,0,0,163840,1473724416,14060548096,35246080,790904832,0,0,
29-11 15:26:15,1.923,0.669,97.408,0,0,0,14565376,1473433600,14060675072,35246080,790908928,0,0,
29-11 15:26:16,1.424,0.586,97.906,0.084,0,0,57344,1473941504,14060085248,35246080,790908928,0,0,
29-11 15:26:17,1.423,0.502,98.075,0,0,0,155648,1473146880,14060867584,35254272,790913024,0,0,
29-11 15:26:18,0.753,0.585,98.662,0,0,0,0,1473146880,14060867584,35254272,790913024,0,0,
29-11 15:26:19,1.421,0.585,97.993,0,0,0,442368,1473134592,14060867584,35262464,790917120,0,0,
29-11 15:26:20,1.169,0.751,97.997,0.083,0,0,114688,1473130496,14060867584,35270656,790908928,0,0,
29-11 15:26:21,0.755,0.419,98.826,0,0,0,98304,1473122304,14060867584,35270656,790917120,0,0,
29-11 15:26:22,2.423,1.170,96.408,0,0,0,49152,1473404928,14060584960,35270656,790917120,0,0,
29-11 15:26:23,3.843,1.086,94.987,0.084,0,0,122880,1474650112,14058967040,35278848,790921216,0,0,
29-11 15:26:24,2.519,0.756,96.641,0.084,0,0,106496,1475051520,14058123264,35287040,790921216,0,0,
29-11 15:26:25,4.778,0.838,94.384,0,0,0,10665984,1473421312,14059409408,35295232,790925312,0,0,
29-11 15:26:26,4.100,1.088,94.728,0.084,0,0,57344,1472876544,14059663360,35295232,790925312,0,0,
29-11 15:26:27,4.100,1.172,94.728,0,0,0,122880,1475596288,14056497152,35303424,790929408,0,0,
29-11 15:26:28,3.620,0.758,95.623,0,0,0,0,1475801088,14055976960,35303424,790929408,0,0,
29-11 15:26:29,2.445,0.675,96.796,0.084,0,0,122880,1476300800,14055190528,35303424,790929408,0,0,
29-11 15:26:30,3.188,1.174,95.638,0,0,0,114688,1476448256,14054670336,35311616,790929408,0,0,
29-11 15:26:31,3.269,1.425,95.222,0.084,0,0,139264,1476112384,14054666240,35319808,790933504,0,0,
29-11 15:26:32,3.535,0.926,95.539,0,0,0,0,1476059136,14054387712,35319808,790933504,0,0,
29-11 15:26:33,3.288,0.759,95.953,0,0,0,163840,1475981312,14054027264,35328000,790937600,0,0,
29-11 15:26:34,3.030,0.926,95.960,0.084,0,0,0,1476231168,14053605376,35328000,790937600,0,0,
