"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer10",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-peer10.dstat.csv",,,,"Date:","29 Nov 2022 10:09:44 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 10:09:44,6.107,1.478,92.261,0.153,0,62391.968,3658942.855,662642688,13427191808,980721664,1120006144,0,0,
29-11 10:09:45,0.840,0.168,98.992,0,0,0,0,662491136,13427159040,980721664,1120006144,0,0,
29-11 10:09:46,3.333,2.500,94,0.167,0,0,319488,671043584,13418307584,980721664,1120006144,0,0,
29-11 10:09:47,0.838,0.503,98.660,0,0,0,0,671043584,13418307584,980721664,1120006144,0,0,
29-11 10:09:48,1.174,0.503,98.322,0,0,0,0,671043584,13418299392,980721664,1120014336,0,0,
29-11 10:09:49,3.691,2.852,93.456,0,0,0,0,677679104,13411368960,980721664,1120014336,0,0,
29-11 10:09:50,1.333,0.333,98.167,0.167,0,0,65536,677687296,13411360768,980721664,1120014336,0,0,
29-11 10:09:51,1.005,0.838,98.157,0,0,0,0,677695488,13411352576,980721664,1120014336,0,0,
29-11 10:09:52,1.333,0.500,98,0.167,0,0,245760,677695488,13411352576,980721664,1120014336,0,0,
29-11 10:09:53,0.506,0.506,98.988,0,0,0,0,677421056,13411627008,980721664,1120014336,0,0,
29-11 10:09:54,0.670,0.335,98.827,0.168,0,0,57344,677412864,13411627008,980725760,1120018432,0,0,
29-11 10:09:55,2.819,1.493,95.688,0,0,0,0,684199936,13404504064,980725760,1120022528,0,0,
29-11 10:09:56,2.833,1.167,96,0,0,0,0,687161344,13401526272,980725760,1120026624,0,0,
29-11 10:09:57,0.843,0.675,98.314,0.169,0,0,253952,692625408,13395701760,980725760,1120022528,0,0,
29-11 10:09:58,1.012,0.506,98.482,0,0,0,0,692883456,13395427328,980725760,1120022528,0,0,
29-11 10:09:59,1.675,0.503,97.822,0,0,0,0,692899840,13395410944,980725760,1120022528,0,0,
29-11 10:10:00,0.840,0.336,98.824,0,0,0,0,692883456,13395427328,980725760,1120022528,0,0,
29-11 10:10:01,1.178,0.168,98.485,0.168,0,0,131072,692879360,13395427328,980729856,1120022528,0,0,
29-11 10:10:02,0.839,0.503,98.490,0.168,0,0,598016,692875264,13395427328,980729856,1120026624,0,0,
29-11 10:10:03,0.839,0.336,98.826,0,0,0,0,692871168,13395427328,980729856,1120030720,0,0,
