

"Host:","peer41",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-peer41.dstat.csv",,,,"Date:","29 Nov 2022 20:03:46 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 20:03:46,6.357,1.511,91.980,0.152,0,61174.713,3609634.555,760811520,13141561344,1017663488,1222651904,0,0,
29-11 20:03:47,1.508,0.670,97.655,0.168,0,0,638976,760659968,13141549056,1017663488,1222647808,0,0,
29-11 20:03:48,2.508,1.003,96.488,0,0,0,327680,768778240,13133344768,1017663488,1222643712,0,0,
29-11 20:03:49,0.506,0.337,99.157,0,0,0,0,768503808,13133352960,1017663488,1222647808,0,0,
29-11 20:03:50,1.007,0.503,98.490,0,0,0,0,768503808,13133352960,1017663488,1222647808,0,0,
29-11 20:03:51,0.845,0.507,98.649,0,0,0,0,768503808,13133352960,1017663488,1222647808,0,0,
29-11 20:03:52,1.843,0.670,97.320,0.168,0,0,114688,768499712,13133352960,1017663488,1222651904,0,0,
29-11 20:03:53,1.174,0.503,98.322,0,0,0,0,768491520,13133352960,1017663488,1222660096,0,0,
29-11 20:03:54,2.345,1.340,96.147,0.168,0,0,155648,775884800,13125955584,1017663488,1222664192,0,0,
29-11 20:03:55,1.349,0.506,98.145,0,0,0,0,776257536,13125308416,1017663488,1222664192,0,0,
29-11 20:03:56,2.671,1.503,95.826,0,0,0,0,775778304,13125791744,1017663488,1222660096,0,0,
29-11 20:03:57,1.342,0.671,97.987,0,0,0,0,776019968,13125541888,1017663488,1222668288,0,0,
29-11 20:03:58,35.441,4.992,59.567,0,0,0,0,778780672,13120950272,1017663488,1224261632,0,0,
29-11 20:03:59,34.975,5.090,59.934,0,0,0,32768,783130624,13113860096,1017663488,1226768384,0,0,
29-11 20:04:00,28.209,7.939,63.514,0.338,0,0,376832,784797696,13110472704,1017663488,1228402688,0,0,
29-11 20:04:01,22.373,6.102,71.525,0,0,0,0,786235392,13107585024,1017663488,1229799424,0,0,
29-11 20:04:02,25.691,8.293,66.016,0,0,0,0,787902464,13104099328,1017663488,1231462400,0,0,
29-11 20:04:03,28.499,7.420,64.081,0,0,0,0,789975040,13100204032,1017663488,1233260544,0,0,
29-11 20:04:04,29.022,8.624,62.355,0,0,0,0,792186880,13096267776,1017663488,1234939904,0,0,
29-11 20:04:05,29.916,7.227,62.521,0.336,0,0,221184,794935296,13092089856,1017663488,1236250624,0,0,
29-11 20:04:06,21.144,5.026,73.830,0,0,0,0,797900800,13087715328,1017663488,1237544960,0,0,
29-11 20:04:07,6.040,2.685,91.275,0,0,0,0,797474816,13087072256,1017663488,1238523904,0,0,
29-11 20:04:08,0.673,0.168,99.158,0,0,0,0,797487104,13087055872,1017663488,1238523904,0,0,
29-11 20:04:09,1.165,0.998,97.837,0,0,0,0,797503488,13087039488,1017663488,1238523904,0,0,
29-11 20:04:10,6.229,1.347,92.256,0.168,0,0,188416,798867456,13085540352,1017663488,1238654976,0,0,
29-11 20:04:11,20.569,5.686,73.746,0,0,0,0,798453760,13084475392,1017663488,1240047616,0,0,
29-11 20:04:12,16.189,4.216,79.427,0.169,0,0,65536,799789056,13081853952,1017663488,1241260032,0,0,
29-11 20:04:13,1.176,0.168,98.655,0,0,0,0,799805440,13081837568,1017663488,1241260032,0,0,
29-11 20:04:14,6.156,2.329,91.514,0,0,0,0,801038336,13080506368,1017663488,1241341952,0,0,
29-11 20:04:15,6.187,1.672,91.973,0.167,0,0,98304,801390592,13079490560,1017663488,1241956352,0,0,
29-11 20:04:16,6.050,2.521,91.429,0,0,0,131072,802725888,13078069248,1017663488,1242021888,0,0,
29-11 20:04:17,21.331,5.119,73.549,0,0,0,0,804519936,13075005440,1017663488,1243250688,0,0,
29-11 20:04:18,18.525,5.146,76.158,0.172,0,0,458752,805920768,13072683008,1017663488,1244119040,0,0,
29-11 20:04:19,21.562,4.244,74.194,0,0,0,0,806854656,13070053376,1017663488,1245749248,0,0,
29-11 20:04:20,21.380,5.556,73.064,0,0,0,0,808792064,13066924032,1017663488,1246900224,0,0,
29-11 20:04:21,17.827,4.584,77.419,0.170,0,0,196608,809947136,13064060928,1017663488,1248546816,0,0,
29-11 20:04:22,1.669,0.668,97.496,0.167,0,0,65536,810205184,13063802880,1017663488,1248546816,0,0,
29-11 20:04:23,0.671,0.671,98.658,0,0,0,139264,810205184,13063802880,1017663488,1248546816,0,0,
29-11 20:04:24,4.174,0.835,94.992,0,0,0,0,810188800,13063819264,1017663488,1248546816,0,0,
29-11 20:04:25,21.026,5.960,73.013,0,0,0,0,811937792,13060964352,1017663488,1249640448,0,0,
29-11 20:04:26,19.658,5.641,74.530,0.171,0,0,278528,814116864,13057294336,1017663488,1251057664,0,0,
29-11 20:04:27,1.338,0.502,98.161,0,0,0,0,814891008,13056520192,1017663488,1251057664,0,0,
29-11 20:04:28,3.010,1.171,95.819,0,0,0,24576,815116288,13056262144,1017663488,1251078144,0,0,
29-11 20:04:29,10.606,2.862,86.364,0.168,0,0,58138624,815153152,13055488000,1017663488,1251782656,0,0,
29-11 20:04:30,2.694,0.842,96.465,0,0,0,0,815390720,13055229952,1017663488,1251799040,0,0,
29-11 20:04:31,20.603,5.863,73.367,0.168,0,0,147456,816164864,13053382656,1017663488,1252818944,0,0,
29-11 20:04:32,11.715,2.716,85.399,0.170,0,0,147456,816508928,13052092416,1017663488,1253748736,0,0,
29-11 20:04:33,19.832,6.387,73.782,0,0,0,0,817934336,13049454592,1017663488,1254875136,0,0,
29-11 20:04:34,7.744,1.684,90.572,0,0,0,16384,818290688,13048422400,1017663488,1255518208,0,0,
29-11 20:04:35,1.176,0.168,98.655,0,0,0,57344,818290688,13048422400,1017663488,1255518208,0,0,
29-11 20:04:36,1.855,0.843,97.302,0,0,0,0,820084736,13046616064,1017663488,1255526400,0,0,
29-11 20:04:37,0.671,0.336,98.658,0.336,0,0,245760,820084736,13046616064,1017663488,1255526400,0,0,
29-11 20:04:38,2.676,1.672,95.652,0,0,0,0,820080640,13046616064,1017663488,1255530496,0,0,
29-11 20:04:39,24.422,5.941,69.637,0,0,0,16384,821460992,13043978240,1017663488,1256718336,0,0,
29-11 20:04:40,28.718,7.350,63.932,0,0,0,0,822509568,13040865280,1017663488,1258733568,0,0,
29-11 20:04:41,10.118,2.698,87.184,0,0,0,0,822927360,13039591424,1017663488,1259573248,0,0,
29-11 20:04:42,1.008,0.336,98.487,0.168,0,0,65536,822927360,13039591424,1017663488,1259573248,0,0,
29-11 20:04:43,1.012,0.169,98.651,0.169,0,0,106496,822919168,13039591424,1017663488,1259581440,0,0,
29-11 20:04:44,1.678,0.336,97.819,0.168,0,0,155648,822919168,13039591424,1017667584,1259577344,0,0,
29-11 20:04:45,20.736,5.853,73.411,0,0,0,0,824832000,13036494848,1017667584,1260736512,0,0,
29-11 20:04:46,30.795,8.113,61.093,0,0,0,0,828391424,13031301120,1017667584,1262333952,0,0,
29-11 20:04:47,28.741,7.313,63.946,0,0,0,0,829403136,13028737024,1017667584,1263828992,0,0,
29-11 20:04:48,21.151,5.584,73.266,0,0,0,0,830394368,13026140160,1017667584,1265369088,0,0,
29-11 20:04:49,12.709,2.341,84.950,0,0,0,188416,830873600,13024849920,1017667584,1266163712,0,0,
29-11 20:04:50,1.008,0.504,98.487,0,0,0,0,830885888,13024833536,1017667584,1266167808,0,0,
29-11 20:04:51,16.244,4.569,79.019,0.169,0,0,139264,831762432,13023010816,1017671680,1267052544,0,0,
29-11 20:04:52,21.572,5.351,72.910,0.167,0,0,65536,833499136,13018865664,1017671680,1269420032,0,0,
29-11 20:04:53,8.067,1.849,89.748,0.336,0,0,25370624,837005312,13015429120,1017675776,1268916224,0,0,
29-11 20:04:54,0.842,0.168,98.822,0.168,0,0,352256,837062656,13015371776,1017675776,1268916224,0,0,
29-11 20:04:55,0.673,0.673,98.653,0,0,0,0,837005312,13015429120,1017675776,1268916224,0,0,
29-11 20:04:56,8,2.667,89.333,0,0,0,0,836231168,13015945216,1017675776,1269174272,0,0,
29-11 20:04:57,0.671,0.168,99.161,0,0,0,0,836231168,13015945216,1017675776,1269174272,0,0,
29-11 20:04:58,1.005,1.005,97.990,0,0,0,0,836505600,13015670784,1017675776,1269174272,0,0,
29-11 20:04:59,0.839,0.503,98.322,0.336,0,0,376832,836481024,13015687168,1017675776,1269182464,0,0,
29-11 20:05:00,22.074,6.020,71.906,0,0,0,49152,838049792,13013090304,1017675776,1270177792,0,0,
29-11 20:05:01,19.864,5.433,74.703,0,0,0,0,837988352,13011816448,1017675776,1271488512,0,0,
29-11 20:05:02,8.007,1.533,90.460,0,0,0,65536,838164480,13011042304,1017675776,1272078336,0,0,
29-11 20:05:03,10.225,2.946,86.828,0,0,0,49152,839925760,13008977920,1017675776,1272381440,0,0,
29-11 20:05:04,5.093,1.528,93.209,0.170,0,0,122880,839290880,13008719872,1017675776,1273249792,0,0,
29-11 20:05:05,1.007,0.671,98.154,0.168,0,0,34693120,839274496,13008736256,1017679872,1273245696,0,0,
29-11 20:05:06,2.020,0.673,97.306,0,0,0,0,841289728,13006716928,1017679872,1273249792,0,0,
29-11 20:05:07,5.546,1.849,92.605,0,0,0,0,841216000,13006581760,1017679872,1273438208,0,0,
29-11 20:05:08,1.182,0.507,98.311,0,0,0,0,841216000,13006348288,1017679872,1273663488,0,0,
29-11 20:05:09,16.723,4.223,78.885,0.169,0,0,122880,841953280,13005324288,1017679872,1273937920,0,0,
29-11 20:05:10,21.464,6.822,71.547,0.166,0,0,344064,843063296,13002727424,1017683968,1275383808,0,0,
29-11 20:05:11,21.227,5.638,73.134,0,0,0,0,843255808,13001179136,1017683968,1276702720,0,0,
29-11 20:05:12,29.352,6.143,64.334,0.171,0,0,65536,844107776,12998840320,1017683968,1278148608,0,0,
29-11 20:05:13,24.623,5.360,69.849,0.168,0,0,16883712,846585856,12994355200,1017683968,1279864832,0,0,
29-11 20:05:14,27.169,6.710,66.121,0,0,0,0,846979072,12992032768,1017683968,1281765376,0,0,
29-11 20:05:15,26.904,7.953,64.467,0.677,0,0,50634752,852250624,12984250368,1017708544,1283698688,0,0,
29-11 20:05:16,23.272,6.577,69.646,0.506,0,0,8609792,851578880,12983468032,1017708544,1284771840,0,0,
29-11 20:05:17,21.017,4.068,74.576,0.339,0,0,8511488,851509248,12981723136,1017712640,1286430720,0,0,
29-11 20:05:18,6.229,1.684,92.088,0,0,0,0,850878464,12981837824,1017712640,1286946816,0,0,
29-11 20:05:19,1.008,0.336,98.655,0,0,0,0,851140608,12981571584,1017712640,1286950912,0,0,
29-11 20:05:20,12.812,3.328,83.860,0,0,0,147456,851755008,12980805632,1017712640,1287102464,0,0,
29-11 20:05:21,22.222,4.975,72.471,0.332,0,0,8601600,851865600,12979097600,1017720832,1288577024,0,0,
29-11 20:05:22,28,8.667,63.167,0.167,0,0,65536,850866176,12978499584,1017720832,1290166272,0,0,
29-11 20:05:23,30.795,6.768,62.437,0,0,0,0,850382848,12976918528,1017720832,1292210176,0,0,
29-11 20:05:24,25.421,5.219,69.360,0,0,0,0,850378752,12975902720,1017720832,1293172736,0,0,
29-11 20:05:25,25.753,6.187,68.060,0,0,0,204800,849436672,12974837760,1017720832,1295138816,0,0,
29-11 20:05:26,27.474,7.338,64.846,0.341,0,0,12001280,849969152,12972187648,1017720832,1297223680,0,0,
29-11 20:05:27,29.210,6.014,64.777,0,0,0,0,850284544,12970209280,1017720832,1298812928,0,0,
29-11 20:05:28,28.862,7.131,64.007,0,0,0,0,849698816,12968677376,1017720832,1300918272,0,0,
29-11 20:05:29,27.013,6.711,66.275,0,0,0,0,849825792,12967612416,1017720832,1301823488,0,0,
29-11 20:05:30,22.500,7,70.500,0,0,0,278528,849870848,12966064128,1017720832,1303277568,0,0,
29-11 20:05:31,29.441,7.895,62.500,0.164,0,0,311296,849203200,12964515840,1017720832,1305452544,0,0,
29-11 20:05:32,21.141,3.691,75,0.168,0,0,65536,848433152,12963999744,1017720832,1306705920,0,0,
29-11 20:05:33,20.736,4.682,74.582,0,0,0,0,848642048,12962467840,1017720832,1307996160,0,0,
29-11 20:05:34,28.401,6.122,65.476,0,0,0,0,848318464,12960645120,1017720832,1310105600,0,0,
29-11 20:05:35,28.067,6.555,65.378,0,0,0,221184,847925248,12959338496,1017720832,1311784960,0,0,
29-11 20:05:36,27.580,6.937,65.313,0.169,0,0,286720,850964480,12955516928,1017720832,1312542720,0,0,
29-11 20:05:37,21.870,4.174,73.957,0,0,0,0,849932288,12954685440,1017720832,1314365440,0,0,
29-11 20:05:38,24.463,5.620,69.917,0,0,0,0,849428480,12953669632,1017720832,1315848192,0,0,
29-11 20:05:39,19.898,5.102,75,0,0,0,0,848908288,12952895488,1017720832,1317113856,0,0,
29-11 20:05:40,21.833,4.500,73.667,0,0,0,0,847634432,12952653824,1017720832,1318604800,0,0,
29-11 20:05:41,19.088,4.054,76.858,0,0,0,188416,847908864,12951347200,1017724928,1319604224,0,0,
29-11 20:05:42,26.723,5.042,68.067,0.168,0,0,131072,847642624,12949782528,1017724928,1321381888,0,0,
29-11 20:05:43,29.215,6.845,63.940,0,0,0,49152,848498688,12947218432,1017724928,1323073536,0,0,
29-11 20:05:44,2.010,0.838,97.152,0,0,0,0,848068608,12947218432,1017724928,1323491328,0,0,
29-11 20:05:45,1.678,0.839,97.483,0,0,0,0,848842752,12946444288,1017724928,1323491328,0,0,
29-11 20:05:46,3.015,1.173,95.310,0.503,0,0,48431104,849031168,12946251776,1017724928,1323491328,0,0,
29-11 20:05:47,9.060,3.020,87.584,0.336,0,0,221184,849780736,12945121280,1017724928,1323868160,0,0,
29-11 20:05:48,14.548,3.846,81.605,0,0,0,0,849121280,12944637952,1017724928,1324986368,0,0,
29-11 20:05:49,11.948,3.764,84.288,0,0,0,0,849395712,12944363520,1017724928,1324986368,0,0,
29-11 20:05:50,29.530,7.383,62.752,0.336,0,0,8544256,850026496,12941197312,1017733120,1327480832,0,0,
29-11 20:05:51,25.926,6.397,67.003,0.673,0,0,28999680,850624512,12939427840,1017741312,1328422912,0,0,
29-11 20:05:52,23.295,5.657,71.048,0,0,0,65536,850477056,12937637888,1017741312,1330331648,0,0,
29-11 20:05:53,29.272,7.107,62.944,0.677,0,0,17219584,850108416,12936089600,1017741312,1332117504,0,0,
29-11 20:05:54,26.109,6.826,67.065,0,0,0,0,850104320,12934283264,1017741312,1333886976,0,0,
29-11 20:05:55,28.645,6.518,63.979,0.858,0,0,36143104,851542016,12938047488,1017757696,1328541696,0,0,
29-11 20:05:56,25.806,5.603,68.591,0,0,0,6119424,851079168,12937814016,1017757696,1329270784,0,0,
29-11 20:05:57,20.990,5.631,72.014,1.365,0,0,38133760,851501056,12937199616,1017765888,1328988160,0,0,
29-11 20:05:58,21.453,5.236,72.297,1.014,0,0,21192704,852230144,12937158656,1017790464,1328197632,0,0,
29-11 20:05:59,17.893,4.348,77.592,0.167,0,0,73728,851759104,12936134656,1017790464,1329680384,0,0,
