"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_off-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 14:26:59 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 14:26:59,3.284,1.109,95.529,0.078,0,94582.629,1809683.736,1465917440,14131474432,35045376,737734656,0,0,
29-11 14:27:00,3.488,1.246,95.266,0,0,425984,147456,1492934656,14050013184,35188736,790323200,0,0,
29-11 14:27:01,3.342,1.086,95.489,0.084,0,0,524288,1493311488,14048608256,35209216,790704128,0,0,
29-11 14:27:02,2.439,0.925,96.384,0.252,0,8192,102785024,1493233664,14048526336,35217408,790712320,0,0,
29-11 14:27:03,1.346,1.093,97.477,0.084,0,0,270336,1493954560,14047670272,35225600,790716416,0,0,
29-11 14:27:04,2.085,0.667,97.248,0,0,0,0,1494200320,14047371264,35225600,790716416,0,0,
29-11 14:27:05,2.502,0.667,96.831,0,0,0,303104,1492185088,14049345536,35225600,790716416,0,0,
29-11 14:27:06,1.597,0.756,97.563,0.084,0,0,212992,1491865600,14049611776,35233792,790716416,0,0,
29-11 14:27:07,2.265,0.503,97.232,0,0,0,155648,1492094976,14049222656,35241984,790720512,0,0,
29-11 14:27:08,2.007,0.585,97.408,0,0,0,0,1492086784,14049116160,35241984,790720512,0,0,
29-11 14:27:09,1.844,0.503,97.569,0.084,0,0,106496,1492070400,14048985088,35241984,790720512,0,0,
29-11 14:27:10,2.331,0.500,97.086,0.083,0,0,147456,1492029440,14048927744,35250176,790724608,0,0,
29-11 14:27:11,2.421,0.668,96.912,0,0,0,212992,1492008960,14048927744,35250176,790724608,0,0,
29-11 14:27:12,1.846,0.839,97.315,0,0,0,188416,1491943424,14048862208,35266560,790728704,0,0,
29-11 14:27:13,2.252,0.584,97.081,0.083,0,0,106496,1491968000,14048722944,35266560,790728704,0,0,
29-11 14:27:14,2.248,0.916,96.836,0,0,0,0,1492205568,14048366592,35266560,790728704,0,0,
29-11 14:27:15,2.423,0.835,96.658,0.084,0,0,163840,1492185088,14048292864,35274752,790732800,0,0,
29-11 14:27:16,1.839,0.753,97.324,0.084,0,0,57344,1492172800,14048219136,35274752,790732800,0,0,
29-11 14:27:17,1.601,0.758,97.641,0,0,0,163840,1492410368,14047903744,35274752,790732800,0,0,
29-11 14:27:18,2.170,0.751,97.078,0,0,0,0,1492586496,14047604736,35274752,790732800,0,0,
29-11 14:27:19,1.930,0.587,97.399,0.084,0,0,155648,1492819968,14047207424,35282944,790736896,0,0,
29-11 14:27:20,1.431,0.505,97.980,0.084,0,0,114688,1493053440,14046892032,35291136,790728704,0,0,
29-11 14:27:21,2.174,0.669,97.157,0,0,0,180224,1493270528,14046568448,35299328,790740992,0,0,
29-11 14:27:22,1.511,0.588,97.901,0,0,0,122880,1493262336,14046494720,35299328,790740992,0,0,
29-11 14:27:23,2,0.917,97,0.083,0,0,229376,1492959232,14046662656,35315712,790745088,0,0,
29-11 14:27:24,2.178,0.586,97.236,0,0,0,0,1492934656,14046670848,35315712,790745088,0,0,
29-11 14:27:25,2.425,0.502,96.990,0.084,0,0,114688,1489571840,14049886208,35315712,790745088,0,0,
29-11 14:27:26,1.760,0.754,97.402,0.084,0,0,57344,1490321408,14049013760,35315712,790745088,0,0,
29-11 14:27:27,2.594,0.669,96.736,0,0,0,11231232,1493643264,14045560832,35323904,790749184,0,0,
29-11 14:27:28,1.757,0.669,97.573,0,0,0,0,1493561344,14045601792,35323904,790749184,0,0,
29-11 14:27:29,2.176,0.669,97.071,0.084,0,0,163840,1493803008,14045229056,35332096,790753280,0,0,
29-11 14:27:30,1.754,0.835,97.327,0.084,0,0,114688,1493520384,14045462528,35340288,790745088,0,0,
29-11 14:27:31,1.931,0.588,97.481,0,0,0,114688,1493499904,14045356032,35340288,790753280,0,0,
29-11 14:27:32,2.500,0.667,96.833,0,0,0,524288,1493487616,14045339648,35348480,790757376,0,0,
29-11 14:27:33,1.754,0.835,97.327,0.084,0,0,114688,1493446656,14045265920,35348480,790757376,0,0,
29-11 14:27:34,1.599,0.589,97.811,0,0,0,0,1493430272,14045167616,35348480,790757376,0,0,
29-11 14:27:35,1.926,0.921,97.069,0.084,0,0,155648,1492889600,14045609984,35356672,790761472,0,0,
29-11 14:27:36,2.089,0.668,97.243,0,0,0,57344,1493426176,14044995584,35356672,790761472,0,0,
29-11 14:27:37,2.594,0.753,96.569,0.084,0,0,10723328,1493958656,14044303360,35373056,790765568,0,0,
29-11 14:27:38,1.841,0.418,97.741,0,0,0,0,1494237184,14043918336,35373056,790765568,0,0,
29-11 14:27:39,2.329,0.915,96.672,0.083,0,0,106496,1493954560,14044143616,35373056,790765568,0,0,
29-11 14:27:40,2.172,0.418,97.327,0.084,0,0,65536,1493934080,14044037120,35381248,790765568,0,0,
29-11 14:27:41,2.168,0.834,96.997,0,0,0,212992,1493901312,14044012544,35389440,790769664,0,0,
29-11 14:27:42,2.256,0.418,97.327,0,0,0,131072,1493880832,14043979776,35389440,790769664,0,0,
29-11 14:27:43,2.013,0.671,97.232,0.084,0,0,204800,1493848064,14043848704,35397632,790773760,0,0,
29-11 14:27:44,2.328,0.748,96.841,0.083,0,0,0,1493831680,14043717632,35397632,790773760,0,0,
29-11 14:27:45,3.250,1,95.750,0,0,0,163840,1493860352,14043635712,35405824,790777856,0,0,
29-11 14:27:46,1.921,0.585,97.410,0.084,0,0,57344,1493835776,14043570176,35405824,790777856,0,0,
29-11 14:27:47,2.427,0.837,96.653,0.084,0,0,163840,1495400448,14041923584,35405824,790777856,0,0,
29-11 14:27:48,2.172,0.501,97.327,0,0,0,0,1495613440,14041624576,35405824,790777856,0,0,
29-11 14:27:49,2.176,0.586,97.155,0.084,0,0,155648,1496342528,14040793088,35414016,790781952,0,0,
29-11 14:27:50,1.843,0.503,97.571,0.084,0,0,65536,1496338432,14040686592,35422208,790773760,0,0,
29-11 14:27:51,2.337,0.668,96.995,0,0,0,221184,1496297472,14040621056,35430400,790786048,0,0,
29-11 14:27:52,1.518,0.506,97.976,0,0,0,114688,1496289280,14040449024,35430400,790786048,0,0,
29-11 14:27:53,2.256,0.501,97.160,0.084,0,0,204800,1496252416,14040424448,35438592,790790144,0,0,
