"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer6",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_off-lsfs-peer6.dstat.csv",,,,"Date:","29 Nov 2022 22:51:28 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 22:51:28,6.228,1.537,92.110,0.125,0,47967.826,3059070.821,726962176,13163974656,1017970688,1233977344,0,0,
29-11 22:51:29,0.501,0.501,98.998,0,0,0,0,726880256,13164036096,1017970688,1233969152,0,0,
29-11 22:51:30,1.167,0.667,98.167,0,0,0,0,726888448,13164027904,1017970688,1233969152,0,0,
29-11 22:51:31,0.839,0.671,98.490,0,0,0,106496,727154688,13163761664,1017970688,1233969152,0,0,
29-11 22:51:32,1.675,1.508,96.650,0.168,0,0,139264,736681984,13153853440,1017970688,1233969152,0,0,
29-11 22:51:33,0.836,0.167,98.997,0,0,0,0,736681984,13153853440,1017970688,1233969152,0,0,
29-11 22:51:34,0.503,0.335,98.827,0.335,0,0,139264,737193984,13153337344,1017974784,1233969152,0,0,
29-11 22:51:35,2.345,1.675,95.980,0,0,0,0,745181184,13145055232,1017974784,1233977344,0,0,
29-11 22:51:36,1.336,0.668,97.997,0,0,0,24576,745127936,13145018368,1017974784,1233977344,0,0,
29-11 22:51:37,0.337,0.337,99.327,0,0,0,0,745127936,13145018368,1017974784,1233977344,0,0,
29-11 22:51:38,1.513,0.672,97.647,0.168,0,0,196608,745934848,13144211456,1017974784,1233977344,0,0,
29-11 22:51:39,2.479,1.818,95.702,0,0,0,0,744849408,13145292800,1017974784,1233981440,0,0,
29-11 22:51:40,1.675,1.340,96.985,0,0,0,0,752693248,13137117184,1017974784,1233981440,0,0,
29-11 22:51:41,0.671,0.503,98.490,0.336,0,0,155648,752693248,13137117184,1017974784,1233981440,0,0,
29-11 22:51:42,0.839,0.671,98.490,0,0,0,0,752693248,13137117184,1017974784,1233981440,0,0,
29-11 22:51:43,1.513,1.008,97.311,0.168,0,0,163840,759930880,13129838592,1017974784,1233977344,0,0,
29-11 22:51:44,1.007,0.503,98.490,0,0,0,0,760020992,13129441280,1017974784,1233985536,0,0,
29-11 22:51:45,1.672,0.502,97.826,0,0,0,0,760037376,13129424896,1017974784,1233985536,0,0,
29-11 22:51:46,0.836,0.334,98.829,0,0,0,57344,760020992,13129441280,1017974784,1233985536,0,0,
29-11 22:51:47,3.679,2.174,94.147,0,0,0,0,767721472,13121298432,1017974784,1233997824,0,0,
29-11 22:51:48,1.012,0.675,98.145,0.169,0,0,65536,771244032,13117775872,1017974784,1233993728,0,0,
29-11 22:51:49,2.174,1.338,96.154,0.334,0,0,286720,768286720,13120733184,1017974784,1233993728,0,0,
29-11 22:51:50,1.513,1.008,97.479,0,0,0,0,776204288,13112786944,1017974784,1233989632,0,0,
29-11 22:51:51,0.840,0.168,98.992,0,0,0,32768,775958528,13112819712,1017974784,1233997824,0,0,
29-11 22:51:52,2.333,1.333,96.333,0,0,0,0,783593472,13104889856,1017974784,1233997824,0,0,
29-11 22:51:53,1.178,0,98.822,0,0,0,0,783581184,13104898048,1017974784,1234001920,0,0,
29-11 22:51:54,0.503,0.671,98.658,0.168,0,0,270336,783847424,13104631808,1017974784,1234001920,0,0,
29-11 22:51:55,1.336,0.835,97.830,0,0,0,0,783855616,13104623616,1017974784,1234001920,0,0,
29-11 22:51:56,0.337,0.505,99.158,0,0,0,40960,783831040,13104648192,1017974784,1234001920,0,0,
29-11 22:51:57,1.174,1.007,97.819,0,0,0,0,785760256,13102714880,1017974784,1234006016,0,0,
29-11 22:51:58,2.017,1.176,96.639,0.168,0,0,57344,794931200,13093289984,1017982976,1234001920,0,0,
29-11 22:51:59,2.341,1.505,96.154,0,0,0,0,799625216,13088587776,1017982976,1234006016,0,0,
29-11 22:52:00,0.839,0.336,98.658,0.168,0,0,221184,799297536,13088604160,1017982976,1234010112,0,0,
29-11 22:52:01,0.672,0.336,98.992,0,0,0,0,799293440,13088604160,1017982976,1234014208,0,0,
29-11 22:52:02,1.008,0.336,98.655,0,0,0,24576,799289344,13088604160,1017982976,1234018304,0,0,
29-11 22:52:03,0.840,0.336,98.655,0.168,0,0,65536,799531008,13088362496,1017982976,1234018304,0,0,
29-11 22:52:04,0.836,0.334,98.829,0,0,0,0,799531008,13088346112,1017982976,1234018304,0,0,
29-11 22:52:05,2.852,1.342,95.638,0.168,0,0,196608,806739968,13080870912,1017991168,1234026496,0,0,
29-11 22:52:06,0.336,0.336,99.328,0,0,0,0,806723584,13080887296,1017991168,1234022400,0,0,
29-11 22:52:07,3.477,1.325,95.033,0.166,0,0,557056,813793280,13073580032,1017991168,1234026496,0,0,
29-11 22:52:08,1.173,1.005,97.822,0,0,0,0,815063040,13072289792,1017991168,1234026496,0,0,
29-11 22:52:09,1.178,0.505,98.316,0,0,0,0,813006848,13074345984,1017991168,1234026496,0,0,
29-11 22:52:10,0.505,0.168,99.158,0.168,0,0,237568,813006848,13074345984,1017991168,1234026496,0,0,
29-11 22:52:11,1.008,0.672,97.983,0.336,0,0,122880,812707840,13074644992,1017995264,1234022400,0,0,
29-11 22:52:12,9.967,2.990,87.043,0,0,0,409600,813944832,13073338368,1017995264,1234067456,0,0,
29-11 22:52:13,13.582,2.886,83.531,0,0,0,0,814682112,13072416768,1017995264,1234108416,0,0,
29-11 22:52:14,12.542,2.542,84.915,0,0,0,49152,815149056,13071818752,1017995264,1234173952,0,0,
29-11 22:52:15,12.187,3.673,83.973,0.167,0,0,237568,815972352,13070544896,1017995264,1234558976,0,0,
29-11 22:52:16,12.101,2.857,85.042,0,0,0,0,816087040,13070036992,1017995264,1234935808,0,0,
29-11 22:52:17,11.074,2.852,85.738,0.336,0,0,368640,816226304,13069512704,1017995264,1235308544,0,0,
29-11 22:52:18,15.075,2.345,82.580,0,0,0,0,820584448,13064884224,1017995264,1235578880,0,0,
29-11 22:52:19,11.814,2.995,85.191,0,0,0,0,817881088,13067198464,1017995264,1235963904,0,0,
29-11 22:52:20,10.720,2.848,86.432,0,0,0,0,818323456,13066424320,1017995264,1236295680,0,0,
29-11 22:52:21,10.133,2.824,86.877,0.166,0,0,114688,818565120,13065900032,1017995264,1236578304,0,0,
29-11 22:52:22,10.133,2.824,86.877,0.166,0,0,114688,818483200,13065633792,1017999360,1236905984,0,0,
29-11 22:52:23,9.966,2.703,87.331,0,0,0,139264,818946048,13064769536,1017999360,1237225472,0,0,
29-11 22:52:24,11.184,2.138,86.513,0.164,0,0,65536,818900992,13064486912,1017999360,1237536768,0,0,
29-11 22:52:25,11.130,3.488,85.382,0,0,0,0,818806784,13064220672,1017999360,1237864448,0,0,
29-11 22:52:26,12.224,3.735,84.041,0,0,0,106496,821256192,13061357568,1017999360,1238261760,0,0,
29-11 22:52:27,11.706,2.508,85.619,0.167,0,0,114688,820908032,13061349376,1018003456,1238614016,0,0,
29-11 22:52:28,10.455,2.867,86.678,0,0,0,0,825970688,13055963136,1018003456,1238937600,0,0,
29-11 22:52:29,11.092,2.521,86.387,0,0,0,0,822321152,13059301376,1018003456,1239248896,0,0,
29-11 22:52:30,13.816,3.125,83.059,0,0,0,0,821481472,13059809280,1018003456,1239580672,0,0,
29-11 22:52:31,9.667,3.333,87,0,0,0,0,821596160,13059276800,1018003456,1239973888,0,0,
29-11 22:52:32,10.851,2.838,85.977,0.334,0,0,180224,821583872,13059018752,1018003456,1240227840,0,0,
29-11 22:52:33,10.333,2.667,87,0,0,0,0,821993472,13058203648,1018003456,1240600576,0,0,
29-11 22:52:34,11.314,1.830,86.689,0.166,0,0,65536,822218752,13057662976,1018003456,1240899584,0,0,
29-11 22:52:35,12.054,3.905,84.041,0,0,0,0,823951360,13055574016,1018003456,1241255936,0,0,
29-11 22:52:36,12.935,2.322,84.743,0,0,0,49152,823783424,13055340544,1018003456,1241649152,0,0,
29-11 22:52:37,11.111,3.648,85.075,0.166,0,0,114688,824438784,13054316544,1018003456,1242005504,0,0,
29-11 22:52:38,12.272,2.819,84.743,0.166,0,0,57344,826540032,13051850752,1018003456,1242365952,0,0,
29-11 22:52:39,11.873,2.843,85.284,0,0,0,0,825327616,13052768256,1018003456,1242648576,0,0,
29-11 22:52:40,10.465,2.824,86.711,0,0,0,0,825921536,13051695104,1018003456,1243074560,0,0,
29-11 22:52:41,13.366,2.145,84.488,0,0,0,0,826380288,13050912768,1018003456,1243373568,0,0,
