"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 13:44:10 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 13:44:10,3.285,1.109,95.528,0.078,0,94528.743,1811341.493,1440845824,14097391616,35143680,795901952,0,0,
29-11 13:44:11,2.768,0.923,96.309,0,0,344064,352256,1465040896,14018342912,35241984,848850944,0,0,
29-11 13:44:12,2.013,0.587,97.399,0,0,0,0,1465417728,14017028096,35241984,849203200,0,0,
29-11 13:44:13,2.513,0.838,96.566,0.084,0,0,360448,1466265600,14016016384,35262464,849195008,0,0,
29-11 13:44:14,3.529,1.261,95.042,0.168,0,0,103038976,1466712064,14015082496,35274752,849199104,0,0,
29-11 13:44:15,3.275,0.840,95.886,0,0,0,114688,1465368576,14016094208,35274752,849207296,0,0,
29-11 13:44:16,2.513,0.838,96.650,0,0,0,73728,1468325888,14012874752,35274752,849207296,0,0,
29-11 13:44:17,1.168,0.584,98.165,0.083,0,0,180224,1467572224,14013616128,35282944,849211392,0,0,
29-11 13:44:18,4.413,0.999,94.588,0,0,0,0,1468030976,14012870656,35282944,849211392,0,0,
29-11 13:44:19,3.286,1.011,95.619,0.084,0,0,65536,1468477440,14012051456,35282944,849211392,0,0,
29-11 13:44:20,3.759,1.253,94.987,0,0,0,253952,1468907520,14011240448,35299328,849215488,0,0,
29-11 13:44:21,4.493,1.331,94.093,0.083,0,0,245760,1469345792,14010470400,35307520,849219584,0,0,
29-11 13:44:22,2.101,1.092,96.723,0.084,0,0,1335296,1469296640,14010232832,35307520,849219584,0,0,
29-11 13:44:23,0.923,0.503,98.490,0.084,0,0,65536,1469796352,14009659392,35307520,849219584,0,0,
29-11 13:44:24,0.754,0.419,98.827,0,0,0,0,1470316544,14009126912,35307520,849219584,0,0,
29-11 13:44:25,1.089,0.754,98.157,0,0,0,188416,1471094784,14008336384,35315712,849223680,0,0,
29-11 13:44:26,2.005,1.086,96.825,0.084,0,0,57344,1472069632,14007361536,35315712,849223680,0,0,
29-11 13:44:27,3.592,0.835,95.572,0,0,0,229376,1473335296,14005694464,35323904,849227776,0,0,
29-11 13:44:28,3.856,0.838,95.306,0,0,0,0,1473282048,14005456896,35323904,849227776,0,0,
29-11 13:44:29,4.177,1.253,94.486,0.084,0,0,114688,1473495040,14004953088,35323904,849227776,0,0,
29-11 13:44:30,2.527,0.421,96.967,0.084,0,0,147456,1473417216,14004617216,35332096,849231872,0,0,
29-11 13:44:31,2.273,0.842,96.801,0.084,0,0,221184,1473396736,14004363264,35340288,849231872,0,0,
29-11 13:44:32,2.926,1.338,95.736,0,0,0,49152,1473585152,14003965952,35340288,849231872,0,0,
29-11 13:44:33,3.529,1.008,95.378,0.084,0,0,131072,1474347008,14002905088,35348480,849235968,0,0,
29-11 13:44:34,2.353,1.176,96.471,0,0,0,0,1474199552,14002634752,35348480,849235968,0,0,
29-11 13:44:35,4.409,1.498,94.010,0.083,0,0,65536,1474932736,14001549312,35348480,849235968,0,0,
29-11 13:44:36,1.585,1.168,97.248,0,0,0,155648,1477648384,13998620672,35356672,849240064,0,0,
