"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","peer11",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs-peer11.dstat.csv",,,,"Date:","29 Nov 2022 13:43:32 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 13:43:32,6.145,1.647,92.084,0.124,0,47170.606,3071361.573,731217920,13138255872,1019498496,1255497728,0,0,
29-11 13:43:33,1.510,0.503,97.483,0.503,0,0,393216,731193344,13138014208,1019498496,1255497728,0,0,
29-11 13:43:34,1.336,1.336,97.329,0,0,0,0,731967488,13137240064,1019498496,1255497728,0,0,
29-11 13:43:35,1.008,0.840,98.151,0,0,0,0,731967488,13137240064,1019498496,1255497728,0,0,
29-11 13:43:36,1.345,0.336,98.319,0,0,0,0,731951104,13137256448,1019498496,1255497728,0,0,
29-11 13:43:37,0.671,0.671,98.658,0,0,0,0,731951104,13137256448,1019498496,1255497728,0,0,
29-11 13:43:38,4.333,2.500,92.833,0.333,0,0,245760,738357248,13130526720,1019498496,1255505920,0,0,
29-11 13:43:39,1.338,0.167,98.495,0,0,0,0,738332672,13130551296,1019498496,1255501824,0,0,
29-11 13:43:40,1.849,1.345,96.807,0,0,0,0,746508288,13122129920,1019498496,1255501824,0,0,
29-11 13:43:41,1.169,0.835,97.997,0,0,0,0,746508288,13122129920,1019498496,1255501824,0,0,
29-11 13:43:42,1.012,0.337,98.651,0,0,0,0,746508288,13122129920,1019498496,1255501824,0,0,
29-11 13:43:43,1.345,1.008,97.311,0.336,0,0,294912,745717760,13122920448,1019498496,1255501824,0,0,
29-11 13:43:44,2.017,1.008,96.975,0,0,0,65536,753836032,13114482688,1019498496,1255501824,0,0,
29-11 13:43:45,1.508,1.005,97.487,0,0,0,0,753831936,13114482688,1019498496,1255505920,0,0,
29-11 13:43:46,0.836,0.836,98.328,0,0,0,0,754085888,13114224640,1019498496,1255510016,0,0,
29-11 13:43:47,0.671,1.007,98.322,0,0,0,0,753549312,13114757120,1019498496,1255514112,0,0,
29-11 13:43:48,1.855,1.180,96.627,0.337,0,0,491520,751648768,13116653568,1019498496,1255514112,0,0,
29-11 13:43:49,1.171,0.502,97.993,0.334,0,0,122880,751476736,13116821504,1019498496,1255514112,0,0,
29-11 13:43:50,3.339,2.170,94.491,0,0,0,0,759558144,13108523008,1019498496,1255514112,0,0,
29-11 13:43:51,0.672,0.672,98.655,0,0,0,0,759717888,13108236288,1019498496,1255514112,0,0,
29-11 13:43:52,0.506,0.506,98.988,0,0,0,0,759713792,13108236288,1019498496,1255518208,0,0,
29-11 13:43:53,2,1.167,96.833,0,0,0,0,761274368,13106671616,1019498496,1255522304,0,0,
29-11 13:43:54,3.866,2.353,93.782,0,0,0,180224,768520192,13099286528,1019498496,1255530496,0,0,
29-11 13:43:55,2.174,2.341,95.318,0.167,0,0,65536,776577024,13090754560,1019498496,1255526400,0,0,
29-11 13:43:56,1.174,0.671,97.987,0.168,0,0,73728,776589312,13090738176,1019498496,1255530496,0,0,
29-11 13:43:57,0.842,0.505,98.653,0,0,0,0,776597504,13090729984,1019498496,1255530496,0,0,
29-11 13:43:58,2.178,1.340,96.482,0,0,0,0,775761920,13091569664,1019498496,1255522304,0,0,
29-11 13:43:59,2.848,0.838,96.315,0,0,0,24576,784297984,13082718208,1019498496,1255534592,0,0,
29-11 13:44:00,1.505,0.502,97.659,0.334,0,0,245760,784297984,13082718208,1019498496,1255534592,0,0,
29-11 13:44:01,2.174,0.334,97.324,0.167,0,0,65536,784297984,13082718208,1019498496,1255534592,0,0,
29-11 13:44:02,1.843,1.005,97.152,0,0,0,0,783773696,13083242496,1019498496,1255534592,0,0,
29-11 13:44:03,1.839,1.003,97.157,0,0,0,0,784289792,13082726400,1019498496,1255534592,0,0,
29-11 13:44:04,2.010,0.670,97.152,0.168,0,0,81920,786669568,13080346624,1019498496,1255534592,0,0,
