"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ef84e6784040",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","08 Oct 2022 21:36:15 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 21:36:15,0.045,0.072,99.755,0.128,0,43085.950,626694.262,347213824,2062233600,19927040,13961502720,6.211,15.243,
08-10 21:36:16,17.471,1.830,71.880,8.819,0,291348480,44044288,406376448,1667182592,19951616,14297255936,0,0,
08-10 21:36:17,24.188,9.578,56.981,9.253,0,305037312,212992,423571456,13666975744,2097152,2339414016,0,0,
08-10 21:36:18,24.626,0.832,70.549,3.993,0,310394880,0,441073664,13338624000,3026944,2649260032,0,0,
08-10 21:36:19,15.449,0.664,82.724,1.163,0,306855936,0,458842112,13014056960,3076096,2955993088,0,0,
08-10 21:36:20,14.858,0.501,79.299,5.342,0,311152640,0,476299264,12685299712,4341760,3266007040,0,0,
08-10 21:36:21,15.025,0.501,83.472,1.002,0,277938176,0,497704960,12385710080,4472832,3543773184,0,0,
08-10 21:36:22,15.141,0.832,71.048,12.978,0,310181888,32768,476155904,12138262528,5156864,3811131392,0,0,
08-10 21:36:23,15.025,1.002,74.958,9.015,0,313036800,0,493576192,11806818304,6025216,4123172864,0,0,
08-10 21:36:24,15.025,1.169,71.953,11.853,0,310456320,16384,511631360,11476709376,7585792,4432654336,0,0,
08-10 21:36:25,17.053,1.325,66.391,15.232,0,333303808,0,564613120,11089375232,9871360,4763652096,0,0,


"Host:","733738c1d577",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","08 Oct 2022 21:38:02 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 21:38:02,0.045,0.072,99.755,0.128,0,48012.899,626692.734,263499776,2081812480,19714048,14025867264,6.210,15.243,
08-10 21:38:03,8.458,5.307,70.813,15.423,0,725401600,34680832,302960640,1270480896,19746816,14796173312,0,0,
08-10 21:38:04,4.620,12.541,66.502,16.337,0,736899072,10014720,303927296,13445701632,1712128,2668838912,0,0,
08-10 21:38:05,23.140,2.479,51.901,22.479,0,759844864,0,303656960,13112827904,4796416,3010924544,0,0,
08-10 21:38:06,3.892,4.907,84.264,6.937,0,650313728,0,304603136,12460519424,4927488,3660632064,0,0,
08-10 21:38:07,4.538,4.202,83.193,8.067,0,658001920,0,304254976,11800600576,5058560,4319113216,0,0,
08-10 21:38:08,4.195,4.195,83.389,8.221,0,672509952,0,303390720,11126890496,5058560,4991688704,0,0,
08-10 21:38:09,6.500,5,74.833,13.667,0,630214656,40960,265187328,10575486976,5574656,5578715136,0,0,
08-10 21:38:10,5.676,4.341,71.452,18.531,0,682651648,0,264671232,9890807808,6737920,6260449280,0,0,
08-10 21:38:11,4.746,3.051,77.966,14.237,0,685572096,0,264720384,9203077120,7716864,6944976896,0,0,
08-10 21:38:12,6.376,4.698,66.779,22.148,0,712417280,16384,274124800,8478437376,9854976,7655616512,0,0,
08-10 21:38:13,7.047,4.866,68.792,19.295,0,702136320,0,301686784,7745802240,11444224,8356687872,0,0,


"Host:","e84466b42a9a",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","08 Oct 2022 21:39:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 21:39:50,0.046,0.072,99.754,0.128,0,54443.934,626691.530,272044032,2072117248,19804160,14021591040,6.211,15.242,
08-10 21:39:51,7.589,4.722,74.874,12.816,0,872058880,25784320,310210560,1577578496,19824640,14483083264,0,0,
08-10 21:39:52,3.974,10.596,66.391,19.040,0,988413952,18440192,312463360,11713323008,1843200,4387418112,0,0,
08-10 21:39:53,19.669,3.967,55.537,20.826,0,764325888,0,312410112,12560945152,3465216,3554709504,0,0,
08-10 21:39:54,8.784,2.703,83.615,4.899,0,501563392,0,321396736,12049657856,3735552,4055773184,0,0,
08-10 21:39:55,14.357,1.002,80.968,3.673,0,310112256,0,339775488,11720175616,5124096,4364619776,0,0,
08-10 21:39:56,14.667,0.833,83.167,1.333,0,305995776,0,357634048,11395559424,5255168,4670328832,0,0,
08-10 21:39:57,14.405,1.173,73.367,11.055,0,308936704,32768,335847424,11149357056,5783552,4936953856,0,0,
08-10 21:39:58,14.524,1.503,72.955,11.018,0,311959552,0,353136640,10819559424,6811648,5247389696,0,0,
08-10 21:39:59,14.573,0.670,78.224,6.533,0,298885120,16384,372502528,10500247552,7802880,5545410560,0,0,
08-10 21:40:00,16.584,1.493,71.642,10.282,0,324485120,0,412319744,10134159360,9932800,5868544000,0,0,
08-10 21:40:01,15.500,1.333,70.167,13,0,325832704,0,408420352,9811767296,11575296,6192054272,0,0,
