"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","b02651b7e21e",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","08 Oct 2022 21:15:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 21:15:50,0.043,0.071,99.760,0.127,0,28602.504,614795.985,267763712,12542500864,338464768,3124965376,6.200,15.059,
08-10 21:15:51,3.488,1.993,94.352,0.166,0,0,2408448,306216960,12459360256,338472960,3169312768,0,0,
08-10 21:15:52,3.667,5.167,79.333,11.833,0,294912,41787392,303370240,15964635136,991232,168792064,0,0,
08-10 21:15:53,22.757,0.332,60.631,16.279,0,2662400,0,303595520,15961653248,2535424,169603072,0,0,
08-10 21:15:54,3.710,1.518,94.772,0,0,8192,0,304746496,15959470080,2539520,170614784,0,0,
08-10 21:15:55,11.036,6.791,79.457,2.716,0,1421312,4304896,307728384,15950041088,3973120,175587328,0,0,
08-10 21:15:56,12.919,5.705,81.208,0.168,0,0,4325376,307871744,15945146368,3989504,180322304,0,0,
08-10 21:15:57,11.953,6.229,81.481,0.337,0,0,4321280,307732480,15939993600,4005888,185589760,0,0,
08-10 21:15:58,16.212,6.655,74.232,2.901,0,4096,75698176,311599104,15904243712,4333568,216997888,0,0,
08-10 21:15:59,17.003,8.249,71.212,3.535,0,0,115146752,315424768,15858335744,4857856,258310144,0,0,
08-10 21:16:00,18.381,6.745,70.995,3.879,0,0,110931968,314384384,15804444672,5382144,312537088,0,0,
08-10 21:16:01,17.597,6.599,70.558,5.245,0,839680,90902528,314134528,15771475968,6807552,344248320,0,0,
08-10 21:16:02,18.887,6.408,70.320,4.384,0,0,109264896,313962496,15717429248,7450624,397742080,0,0,
08-10 21:16:03,17.003,7.912,70.707,4.377,0,0,96006144,313851904,15692283904,8089600,422244352,0,0,
08-10 21:16:04,17.376,6.644,71.550,4.429,0,0,95031296,316624896,15646945280,8671232,463945728,0,0,
08-10 21:16:05,18.833,6.500,71,3.667,0,0,89956352,314585088,15606411264,9232384,504971264,0,0,
08-10 21:16:06,18.655,6.387,70.924,4.034,0,0,99041280,315326464,15563083776,9854976,545632256,0,0,
08-10 21:16:07,16.582,6.430,72.927,4.061,0,0,90480640,316653568,15520219136,10440704,585515008,0,0,
08-10 21:16:08,16.949,5.424,73.729,3.898,0,4096,86867968,316403712,15474978816,11001856,629137408,0,0,
08-10 21:16:09,16.361,6.344,74.958,2.337,0,0,44011520,318308352,15435591680,11341824,665534464,0,0,
08-10 21:16:10,15.657,6.566,75.589,2.189,0,0,43900928,317906944,15389581312,11657216,710066176,0,0,
08-10 21:16:11,17.317,6.452,72.326,3.905,0,0,104267776,317665280,15350833152,12189696,747446272,0,0,
08-10 21:16:12,15.932,7.119,73.390,3.559,0,0,104734720,316227584,15307071488,12673024,790978560,0,0,
08-10 21:16:13,18.105,5.753,72.250,3.892,0,0,109625344,316203008,15269629952,13205504,826712064,0,0,
08-10 21:16:14,16.751,6.599,73.096,3.553,0,4096,101998592,318251008,15225638912,13713408,867045376,0,0,
08-10 21:16:15,17.647,6.723,71.597,4.034,0,0,111439872,316420096,15185195008,14258176,907567104,0,0,
08-10 21:16:16,17.815,6.218,72.437,3.529,0,0,99983360,318464000,15141462016,14757888,947662848,0,0,
08-10 21:16:17,17.905,6.250,71.959,3.885,0,0,113852416,317980672,15099691008,15314944,988082176,0,0,
08-10 21:16:18,17.369,6.745,72.175,3.710,0,0,103919616,317202432,15053459456,15818752,1033400320,0,0,
08-10 21:16:19,16.946,7.047,71.980,4.027,0,0,106639360,318119936,15014961152,16351232,1069318144,0,0,
08-10 21:16:20,17.259,6.430,72.420,3.892,0,0,100761600,319365120,14968360960,16850944,1112932352,0,0,
08-10 21:16:21,17.707,6.071,72.344,3.879,0,0,111013888,318078976,14924931072,17391616,1155928064,0,0,
08-10 21:16:22,16.639,7.227,72.605,3.529,0,0,101240832,318406656,14888960000,17883136,1189896192,0,0,
08-10 21:16:23,18.319,5.714,72.101,3.866,0,0,107585536,318918656,14845054976,18407424,1231613952,0,0,
08-10 21:16:24,18.136,7.155,71.048,3.661,0,0,104546304,318652416,14805147648,18915328,1270099968,0,0,
08-10 21:16:25,16.779,7.383,72.148,3.691,0,0,107552768,318562304,14761336832,19423232,1312280576,0,0,
08-10 21:16:26,17.550,7.781,70.530,4.139,0,0,108298240,319483904,14721404928,20013056,1349668864,0,0,
08-10 21:16:27,17.936,5.415,71.743,4.907,0,0,103239680,319143936,14679556096,20668416,1389940736,0,0,
08-10 21:16:28,17.736,5.743,70.946,5.574,0,0,107081728,319750144,14638329856,21340160,1428881408,0,0,
08-10 21:16:29,17.317,6.282,71.477,4.924,0,0,109178880,319344640,14596538368,22036480,1468956672,0,0,
08-10 21:16:30,17.785,6.208,71.309,4.698,0,0,100847616,319881216,14554406912,22700032,1508667392,0,0,
08-10 21:16:31,17.333,7.333,70.833,4.500,0,0,105111552,319954944,14509543424,23363584,1551626240,0,0,
08-10 21:16:32,16.751,6.937,71.574,4.738,0,4096,106475520,319971328,14470828032,24051712,1588350976,0,0,
08-10 21:16:33,16.920,6.261,72.081,4.738,0,0,100380672,319250432,14430261248,24719360,1627983872,0,0,
08-10 21:16:34,16.498,7.407,71.212,4.882,0,0,105443328,319430656,14386593792,25391104,1669586944,0,0,
08-10 21:16:35,17.568,6.250,71.284,4.899,0,0,109293568,320593920,14345175040,26091520,1707925504,0,0,
08-10 21:16:36,17.538,5.902,71.838,4.722,0,0,102092800,319709184,14305304576,26755072,1746829312,0,0,
08-10 21:16:37,16.581,6.325,72.308,4.786,0,0,105598976,319868928,14259572736,27406336,1790562304,0,0,
08-10 21:16:38,16.639,7.563,71.092,4.706,0,0,108859392,320245760,14216159232,28078080,1831858176,0,0,
08-10 21:16:39,17.508,6.397,71.380,4.714,0,0,103260160,320335872,14179696640,28729344,1866256384,0,0,
08-10 21:16:40,16.385,7.095,71.622,4.899,0,0,106180608,320036864,14137155584,29388800,1907392512,0,0,
08-10 21:16:41,17.090,6.261,71.743,4.907,0,0,108597248,320901120,14096748544,30076928,1944940544,0,0,
08-10 21:16:42,17.797,5.424,72.203,4.576,0,0,101842944,319864832,14057758720,30732288,1983291392,0,0,
08-10 21:16:43,17.785,6.376,71.141,4.698,0,4096,102752256,319995904,14016065536,31395840,2023026688,0,0,
08-10 21:16:44,16.920,6.261,72.250,4.569,0,0,101388288,320139264,13974753280,32047104,2062381056,0,0,
