"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c838c02b8b2d",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","08 Oct 2022 21:59:57 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 21:59:57,0.046,0.072,99.753,0.129,0,110326.027,626689.860,257003520,15883317248,27480064,272379904,6.234,15.240,
08-10 21:59:58,1.830,0.832,97.338,0,0,0,0,265515008,15874686976,27480064,272281600,0,0,
08-10 21:59:59,14.143,3.494,81.198,1.165,0,294912,49152,295276544,15791009792,27602944,325652480,0,0,
08-10 22:00:00,16.225,4.470,78.974,0.331,0,0,143360,296361984,15789117440,27615232,326316032,0,0,
08-10 22:00:01,20.559,6.579,72.862,0,0,0,0,297558016,15786762240,27615232,327241728,0,0,
08-10 22:00:02,20.331,6.942,72.727,0,0,0,0,299180032,15783755776,27615232,328380416,0,0,
08-10 22:00:03,16.612,6.086,76.974,0.329,0,0,4161536,300720128,15781163008,27631616,329256960,0,0,
08-10 22:00:04,16.584,6.136,77.280,0,0,0,13279232,300380160,15779917824,27631616,330522624,0,0,
08-10 22:00:05,19.371,6.788,73.841,0,0,0,0,300412928,15778275328,27631616,331833344,0,0,
08-10 22:00:06,18.562,6.187,75.251,0,0,0,0,300494848,15776952320,27631616,332869632,0,0,
08-10 22:00:07,14.943,5.255,79.639,0.164,0,0,4169728,300793856,15775232000,27648000,334020608,0,0,
08-10 22:00:08,18.303,5.491,76.206,0,0,0,0,300679168,15773876224,27648000,335224832,0,0,
08-10 22:00:09,19.934,7.143,68.272,4.651,0,0,38547456,300732416,15772585984,27656192,336248832,0,0,
08-10 22:00:10,18.076,5.804,75.954,0.166,0,0,4161536,301318144,15770562560,27672576,337379328,0,0,
08-10 22:00:11,13.201,5.446,81.353,0,0,0,0,301047808,15769223168,27672576,338722816,0,0,
08-10 22:00:12,19.669,5.785,74.545,0,0,0,0,300994560,15767740416,27672576,339992576,0,0,
08-10 22:00:13,19.935,7.516,72.549,0,0,0,0,301060096,15766401024,27672576,341049344,0,0,
08-10 22:00:14,17.362,5.676,76.461,0.501,0,0,4182016,301445120,15764553728,27697152,342224896,0,0,
08-10 22:00:15,15.755,4.643,79.602,0,0,0,0,301518848,15763087360,27697152,343375872,0,0,
08-10 22:00:16,19.634,5.990,74.376,0,0,0,0,301309952,15761858560,27697152,344555520,0,0,
08-10 22:00:17,19.833,5.667,74.333,0.167,0,0,4149248,301817856,15759884288,27713536,345763840,0,0,
08-10 22:00:18,15.207,4.959,79.835,0,0,0,0,301678592,15758655488,27713536,346873856,0,0,
08-10 22:00:19,17.940,6.478,75.249,0.332,0,0,12288,301699072,15757475840,27721728,347828224,0,0,
08-10 22:00:20,20.488,6.992,72.520,0,0,0,0,301961216,15756009472,27721728,348831744,0,0,
08-10 22:00:21,16.473,6.489,75.541,1.498,0,0,44810240,302428160,15753334784,27910144,349868032,0,0,
08-10 22:00:22,18.013,4.209,77.441,0.337,0,0,8216576,302477312,15744045056,27942912,357466112,0,0,
