"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","9cf1211a7535",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","08 Oct 2022 23:08:02 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
08-10 23:08:02,0.057,0.075,99.739,0.129,0,110402.059,628180.196,257593344,15896666112,21012480,266309632,6.232,15.230,
08-10 23:08:03,9.318,4.160,85.691,0.832,0,73728,135168,296468480,15804039168,21024768,319528960,0,0,
08-10 23:08:04,14.168,4.448,81.384,0,0,0,8982528,297484288,15802245120,21024768,320176128,0,0,
08-10 23:08:05,13.500,4.500,82,0,0,4096,0,298598400,15800066048,21028864,321077248,0,0,
08-10 23:08:06,13.366,5.281,81.353,0,0,0,0,299642880,15797583872,21028864,322244608,0,0,
08-10 23:08:07,13.051,6.199,80.587,0.163,0,0,0,300990464,15795118080,21032960,323186688,0,0,
08-10 23:08:08,12.439,6.874,80.524,0.164,0,0,4198400,301690880,15792873472,21053440,324476928,0,0,
08-10 23:08:09,12.376,6.271,80.858,0.495,0,0,42811392,301486080,15791755264,21061632,325545984,0,0,
08-10 23:08:10,12.521,5.931,81.549,0,0,0,0,301326336,15790669824,21061632,326529024,0,0,
08-10 23:08:11,13.748,5.565,80.524,0.164,0,0,4161536,301723648,15789268992,21078016,327360512,0,0,
08-10 23:08:12,12.993,5.263,81.743,0,0,0,0,301191168,15788277760,21078016,328605696,0,0,
08-10 23:08:13,12.951,5.738,81.311,0,0,0,0,301248512,15787048960,21078016,329519104,0,0,
08-10 23:08:14,13.201,5.116,81.353,0.330,0,0,32768,301203456,15785869312,21086208,330575872,0,0,
08-10 23:08:15,14.216,5.229,80.392,0.163,0,0,4161536,302022656,15783571456,21102592,331849728,0,0,
08-10 23:08:16,12.951,5.574,81.475,0,0,0,0,301817856,15782699008,21102592,332632064,0,0,
08-10 23:08:17,13.465,5.090,81.445,0,0,0,0,301637632,15781343232,21102592,333889536,0,0,
08-10 23:08:18,13.058,4.959,81.983,0,0,0,0,301522944,15780196352,21102592,335003648,0,0,
08-10 23:08:19,12.935,5.307,81.095,0.663,0,0,4231168,302211072,15778349056,21127168,335908864,0,0,
08-10 23:08:20,12.846,6.341,80.813,0,0,0,0,302157824,15777263616,21127168,336789504,0,0,
08-10 23:08:21,12.020,5.342,82.638,0,0,0,0,301789184,15776051200,21127168,338116608,0,0,
08-10 23:08:22,13.257,5.401,81.342,0,0,0,0,301891584,15774584832,21127168,339267584,0,0,
08-10 23:08:23,13.245,4.967,81.457,0.331,0,0,4149248,302596096,15772643328,21143552,340283392,0,0,
08-10 23:08:24,13.322,5.099,81.250,0.329,0,0,12288,302833664,15771303936,21151744,341184512,0,0,
