"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","75882247aab1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 00:19:25 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 00:19:25,0.067,0.077,99.727,0.130,0,110459.791,629561.588,257695744,15895535616,20824064,266907648,6.230,15.220,
09-10 00:19:26,11.987,4.433,83.251,0.328,0,77824,0,297443328,15802245120,20828160,320102400,0,0,
09-10 00:19:27,14.950,3.322,81.395,0.332,0,0,143360,298090496,15800750080,20840448,320802816,0,0,
09-10 00:19:28,13.455,5.150,81.395,0,0,0,0,299245568,15798427648,20840448,321769472,0,0,
09-10 00:19:29,13.839,5.437,80.725,0,0,0,0,300347392,15796105216,20840448,322785280,0,0,
09-10 00:19:30,14.168,4.613,81.054,0.165,0,0,40960,301522944,15793623040,20848640,323850240,0,0,
09-10 00:19:31,14.730,5.237,79.869,0.164,0,0,13701120,302120960,15791771648,20865024,324833280,0,0,
09-10 00:19:32,13.576,4.967,81.457,0,0,0,0,302026752,15790592000,20865024,325898240,0,0,
09-10 00:19:33,13.696,5.116,81.188,0,0,0,0,301944832,15789219840,20865024,327077888,0,0,
09-10 00:19:34,13.443,6.230,80.164,0.164,0,0,4169728,302256128,15787749376,20881408,328040448,0,0,
09-10 00:19:35,13.443,5.738,80.820,0,0,0,0,302247936,15786446848,20881408,329089024,0,0,
09-10 00:19:36,14.122,6.076,72.906,6.897,0,0,42766336,301998080,15785234432,20889600,330301440,0,0,
09-10 00:19:37,14.379,5.065,80.556,0,0,0,0,301776896,15784148992,20889600,331362304,0,0,
09-10 00:19:38,13.930,4.975,80.929,0.166,0,0,4161536,302346240,15782334464,20905984,332406784,0,0,
09-10 00:19:39,13.344,5.437,81.219,0,0,0,0,302399488,15780995072,20905984,333451264,0,0,
09-10 00:19:40,13.821,6.016,80.163,0,0,0,0,302321664,15779815424,20905984,334503936,0,0,
09-10 00:19:41,13.136,5.911,80.624,0.328,0,0,32768,302153728,15778746368,20914176,335515648,0,0,
09-10 00:19:42,14.192,5.710,79.772,0.326,0,0,4149248,302817280,15776755712,20930560,336580608,0,0,
09-10 00:19:43,13.651,5.428,80.921,0,0,0,0,302735360,15775559680,20930560,337641472,0,0,
09-10 00:19:44,14.426,4.754,80.820,0,0,0,0,302886912,15774109696,20930560,338718720,0,0,
09-10 00:19:45,13.681,5.863,80.456,0,0,0,0,302706688,15773040640,20930560,339750912,0,0,
09-10 00:19:46,13.289,5.482,80.731,0.498,0,0,4161536,303198208,15771209728,20955136,340840448,0,0,
09-10 00:19:47,14.216,5.065,80.719,0,0,0,0,303005696,15770140672,20955136,341876736,0,0,
09-10 00:19:48,13.180,5.601,81.219,0,0,0,0,302800896,15769088000,20955136,342929408,0,0,
09-10 00:19:49,13.912,5.237,80.851,0,0,0,0,302657536,15767875584,20955136,344047616,0,0,
09-10 00:19:50,16.092,6.240,76.355,1.314,0,0,44810240,303366144,15768117248,21143552,342474752,0,0,
09-10 00:19:51,13.793,5.255,80.624,0.328,0,0,12288,303239168,15766904832,21151744,343568384,0,0,
09-10 00:19:52,13.115,6.066,80.820,0,0,0,0,303042560,15765852160,21151744,344621056,0,0,
09-10 00:19:53,12.914,5.629,81.126,0.331,0,0,4124672,303808512,15763767296,21168128,345698304,0,0,
09-10 00:19:54,13.465,5.419,81.117,0,0,0,0,303517696,15762714624,21168128,346832896,0,0,
09-10 00:19:55,13.651,5.263,81.086,0,0,0,0,303194112,15761739776,21168128,347877376,0,0,
09-10 00:19:56,13.957,5.090,80.624,0.328,0,0,7090176,303210496,15760416768,21176320,348995584,0,0,
09-10 00:19:57,13.839,5.272,80.725,0.165,0,0,4108288,303833088,15758458880,21192704,350085120,0,0,
09-10 00:19:58,13.607,5.410,80.984,0,0,0,0,303865856,15757119488,21192704,351158272,0,0,
09-10 00:19:59,13.443,5.574,80.984,0,0,0,0,303214592,15756574720,21192704,352149504,0,0,
09-10 00:20:00,14.448,5.844,79.545,0.162,0,0,4116480,303878144,15754489856,21209088,353329152,0,0,
09-10 00:20:01,15.347,4.847,79.321,0.485,0,0,12288,304185344,15752912896,21217280,354377728,0,0,
09-10 00:20:02,14.378,5.816,79.806,0,0,0,49152,303935488,15751860224,21217280,355475456,0,0,
09-10 00:20:03,14.286,5.519,80.195,0,0,0,0,303538176,15751061504,21217280,356470784,0,0,
09-10 00:20:04,15.296,6.414,76.974,1.316,0,0,33681408,303775744,15742672896,21397504,364130304,0,0,
09-10 00:20:05,14.540,5.654,79.806,0,0,0,0,304013312,15740952576,21397504,365367296,0,0,
09-10 00:20:06,12.808,5.747,80.952,0.493,0,0,94208,304017408,15739645952,21405696,366460928,0,0,
09-10 00:20:07,13.487,4.934,81.579,0,0,0,0,304070656,15738322944,21405696,367509504,0,0,
09-10 00:20:08,13.554,5.620,80.661,0.165,0,0,4136960,304513024,15745015808,21422080,360153088,0,0,
09-10 00:20:09,13.674,4.448,81.878,0,0,0,0,304467968,15743692800,21422080,361299968,0,0,
09-10 00:20:10,13.681,5.537,80.782,0,0,0,0,304041984,15742877696,21422080,362328064,0,0,
09-10 00:20:11,13.984,5.854,79.675,0.488,0,0,4145152,304508928,15741046784,21446656,363446272,0,0,
09-10 00:20:12,12.850,5.272,81.878,0,0,0,0,304435200,15739867136,21446656,364494848,0,0,
09-10 00:20:13,12.356,5.766,81.878,0,0,0,0,304345088,15738527744,21446656,365686784,0,0,
09-10 00:20:14,12.315,6.076,81.609,0,0,0,0,304103424,15737491456,21446656,366780416,0,0,
09-10 00:20:15,13.015,5.766,81.054,0.165,0,0,4145152,304611328,15735627776,21463040,367861760,0,0,
09-10 00:20:16,12.748,4.967,82.285,0,0,0,0,304664576,15734161408,21463040,369045504,0,0,
09-10 00:20:17,12.866,6.352,80.456,0.326,0,0,12288,304275456,15733252096,21471232,370147328,0,0,
09-10 00:20:18,13.957,4.433,81.609,0,0,0,0,304349184,15731945472,21471232,371183616,0,0,
09-10 00:20:19,16.887,6.788,73.510,2.815,0,0,77393920,305844224,15727300608,21856256,373018624,0,0,
09-10 00:20:20,16.248,3.853,79.732,0.168,0,0,4177920,306618368,15717822464,21872640,380399616,0,0,
09-10 00:20:21,16.027,5.676,75.960,2.337,0,0,63307776,306315264,15712915456,22192128,383926272,0,0,
09-10 00:20:22,13.934,4.754,80.820,0.492,0,0,7249920,306225152,15711608832,22200320,385011712,0,0,
09-10 00:20:23,13.599,4.478,81.758,0.166,0,0,4190208,306573312,15709728768,22216704,386256896,0,0,
09-10 00:20:24,14.286,5.032,80.682,0,0,0,0,306671616,15708311552,22216704,387391488,0,0,
09-10 00:20:25,14.262,4.426,81.311,0,0,0,0,306376704,15707258880,22216704,388534272,0,0,
09-10 00:20:26,13.101,4.975,81.758,0.166,0,0,4177920,306663424,15705485312,22233088,389791744,0,0,
09-10 00:20:27,12.972,5.419,81.281,0.328,0,0,12288,306434048,15704518656,22241280,390795264,0,0,
