"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cce396350084",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_off-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 12:37:17 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 12:37:17,0.157,0.101,99.604,0.138,0,112391.731,700559.823,264118272,15879815168,23465984,272609280,6.537,15.118,
09-10 12:37:18,9.287,3.814,86.899,0,0,73728,0,301846528,15788609536,23465984,325640192,0,0,
09-10 12:37:19,15,2.500,82.500,0,0,0,0,302272512,15787749376,23465984,325963776,0,0,
09-10 12:37:20,15.397,2.815,81.291,0.497,0,0,143360,302383104,15787622400,23478272,325967872,0,0,
09-10 12:37:21,14.430,2.517,83.054,0,0,0,0,302665728,15786938368,23478272,326303744,0,0,
09-10 12:37:22,15.423,2.322,82.255,0,0,0,36864,302637056,15786795008,23486464,326447104,0,0,
09-10 12:37:23,15.141,2.329,82.363,0.166,0,0,1167360,303218688,15785889792,23486464,326750208,0,0,
09-10 12:37:24,7.513,1.169,90.317,1.002,0,40960,47439872,303538176,15785476096,23486464,326823936,0,0,
09-10 12:37:25,18.968,0.333,62.230,18.469,0,2924544,5197824,304717824,15947915264,2723840,186630144,0,0,
09-10 12:37:26,0.167,0.167,99.666,0,0,712704,0,304775168,15947280384,3301376,186630144,0,0,
09-10 12:37:27,15.141,2.662,82.196,0,0,4096,0,304799744,15947153408,3305472,186728448,0,0,
09-10 12:37:28,14.454,2.521,83.025,0,0,0,0,304963584,15946756096,3305472,186945536,0,0,
09-10 12:37:29,15.397,2.318,81.788,0.497,0,8192,0,305209344,15946248192,3313664,187199488,0,0,
09-10 12:37:30,14.691,2.337,82.972,0,0,0,0,305414144,15945691136,3313664,187502592,0,0,
09-10 12:37:31,14.933,1.846,82.047,1.174,0,4096,28672,305606656,15945277440,3325952,187678720,0,0,
09-10 12:37:32,15.075,1.675,83.082,0.168,0,4096,12288,306008064,15944499200,3338240,188026880,0,0,
09-10 12:37:33,14.740,2.010,83.250,0,0,0,0,306315264,15943847936,3338240,188354560,0,0,
09-10 12:37:34,14.190,2.838,82.972,0,0,0,0,306925568,15942926336,3338240,188633088,0,0,
09-10 12:37:35,14.094,2.517,83.054,0.336,0,135168,0,307077120,15942512640,3473408,188727296,0,0,
09-10 12:37:36,15.217,1.839,82.943,0,0,0,0,307359744,15941734400,3473408,189206528,0,0,
09-10 12:37:37,14.667,2.667,81.500,1.167,0,143360,4214784,308166656,15939194880,3641344,190738432,0,0,
09-10 12:37:38,14.524,2.504,82.972,0,0,0,0,308285440,15938732032,3641344,191033344,0,0,
09-10 12:37:39,16.060,1.656,82.285,0,0,0,0,308121600,15938732032,3641344,191197184,0,0,
09-10 12:37:40,14.524,2.337,83.139,0,0,0,0,308080640,15938318336,3641344,191619072,0,0,
09-10 12:37:41,14.908,1.843,83.250,0,0,0,0,307900416,15938285568,3641344,191799296,0,0,
09-10 12:37:42,14.908,1.843,83.082,0.168,0,0,40960,307806208,15938125824,3649536,192012288,0,0,
09-10 12:37:43,15.192,1.836,82.638,0.334,0,0,12288,307847168,15937839104,3657728,192217088,0,0,
