"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","1701528e185e",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 11:08:06 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 11:08:06,0.146,0.098,99.617,0.138,0,112264.939,699232.703,262578176,15802904576,25292800,348520448,6.540,15.130,
09-10 11:08:07,11.960,3.821,83.887,0.332,0,77824,630784,302419968,15708913664,25296896,402100224,0,0,
09-10 11:08:08,16.194,3.005,79.299,1.503,0,40960,8970240,303841280,15706783744,25309184,402677760,0,0,
09-10 11:08:09,5,2,80.833,12.167,0,249856,44638208,304058368,15953342464,966656,184193024,0,0,
09-10 11:08:10,27.032,0.166,53.731,19.071,0,3956736,0,304365568,15949021184,3776512,185466880,0,0,
09-10 11:08:11,9.883,2.680,87.437,0,0,0,0,304328704,15949021184,3776512,185503744,0,0,
09-10 11:08:12,20.466,5.324,73.877,0.333,0,4096,0,304816128,15947304960,3780608,186662912,0,0,
09-10 11:08:13,14.950,5.316,79.734,0,0,0,0,306110464,15944777728,3780608,187781120,0,0,
09-10 11:08:14,18.317,5.941,75.248,0.495,0,278528,4190208,307228672,15940853760,4067328,190226432,0,0,
09-10 11:08:15,19.835,5.620,74.215,0.331,0,4096,28672,306987008,15939723264,4079616,191471616,0,0,
09-10 11:08:16,20.099,4.942,74.959,0,0,0,0,306970624,15938625536,4079616,192503808,0,0,
09-10 11:08:17,13.912,5.074,80.687,0.327,0,0,4218880,307560448,15936430080,4096000,193941504,0,0,
09-10 11:08:18,19.118,6.699,74.183,0,0,0,0,307384320,15935442944,4096000,195006464,0,0,
09-10 11:08:19,19.901,5.428,74.671,0,0,0,0,307208192,15934074880,4096000,196444160,0,0,
09-10 11:08:20,16.252,6.468,77.280,0,0,0,0,307429376,15932530688,4096000,197591040,0,0,
09-10 11:08:21,15.397,4.305,79.801,0.497,0,0,4235264,307806208,15930925056,4120576,198692864,0,0,
09-10 11:08:22,20.695,4.305,75,0,0,0,0,307720192,15929634816,4120576,199897088,0,0,
09-10 11:08:23,20.165,5.124,74.711,0,0,0,0,307539968,15928201216,4120576,201310208,0,0,
09-10 11:08:24,17.025,4.628,78.182,0.165,0,0,4218880,308105216,15926308864,4136960,202481664,0,0,
09-10 11:08:25,17.247,3.980,78.773,0,0,0,0,308076544,15924891648,4136960,203751424,0,0,
09-10 11:08:26,18.937,6.146,74.419,0.498,0,0,12288,307777536,15923695616,4145152,205021184,0,0,
09-10 11:08:27,19.540,5.747,74.548,0.164,0,0,4214784,308633600,15921119232,4161536,206524416,0,0,
09-10 11:08:28,15.347,4.455,80.198,0,0,0,0,308490240,15920115712,4161536,207532032,0,0,
09-10 11:08:29,18.954,5.229,75.817,0,0,0,0,308494336,15918587904,4161536,208891904,0,0,
09-10 11:08:30,19.735,5.307,74.959,0,0,0,0,308240384,15917568000,4161536,210010112,0,0,
09-10 11:08:31,20.530,5.629,72.848,0.993,0,0,30568448,308678656,15926067200,4300800,200638464,0,0,
09-10 11:08:32,14.003,4.942,81.054,0,0,0,0,308404224,15924903936,4300800,201879552,0,0,
09-10 11:08:33,19.371,5.629,74.669,0.331,0,0,12288,308330496,15923646464,4308992,203059200,0,0,
09-10 11:08:34,20.525,5.911,73.235,0.328,0,0,4218880,308584448,15921991680,4325376,204279808,0,0,
09-10 11:08:35,16.198,5.289,78.512,0,0,0,0,308518912,15920717824,4325376,205455360,0,0,
09-10 11:08:36,16.750,4.478,78.773,0,0,0,0,308436992,15919300608,4325376,206778368,0,0,
09-10 11:08:37,20,4.500,75.167,0.333,0,0,4218880,308621312,15917342720,4341760,208314368,0,0,
09-10 11:08:38,20.067,4.849,75.084,0,0,0,8192,308654080,15915925504,4349952,209514496,0,0,
09-10 11:08:39,14.498,4.613,80.725,0.165,0,0,4096,308338688,15914938368,4349952,210690048,0,0,
09-10 11:08:40,19.900,4.643,75.124,0.332,0,0,4915200,308547584,15913107456,4366336,212082688,0,0,
09-10 11:08:41,19.835,5.950,74.215,0,0,0,0,308473856,15911690240,4366336,213393408,0,0,
09-10 11:08:42,19.339,4.628,76.033,0,0,0,0,308469760,15910432768,4366336,214507520,0,0,
09-10 11:08:43,14.238,5.132,80.629,0,0,0,0,308604928,15906873344,4366336,217772032,0,0,
09-10 11:08:44,20.530,5.464,73.344,0.662,0,0,4239360,308674560,15907344384,4390912,217006080,0,0,
09-10 11:08:45,22.114,4.715,73.171,0,0,0,8192,308649984,15905816576,4390912,218402816,0,0,
09-10 11:08:46,14.918,5.410,79.672,0,0,0,0,308805632,15904686080,4390912,219234304,0,0,
09-10 11:08:47,20.462,5.776,71.617,2.145,0,4096,29790208,308756480,15898361856,4538368,225185792,0,0,
09-10 11:08:48,21.569,5.065,73.366,0,0,0,0,308981760,15896723456,4538368,226455552,0,0,
09-10 11:08:49,18.301,6.209,75.490,0,0,0,0,309198848,15895195648,4538368,227598336,0,0,
09-10 11:08:50,16.310,4.119,78.913,0.659,0,0,4222976,309338112,15906603008,4562944,215846912,0,0,
09-10 11:08:51,21.018,5.419,73.563,0,0,0,0,309407744,15905202176,4562944,217022464,0,0,
09-10 11:08:52,19.569,6.136,74.295,0,0,0,0,309465088,15903514624,4562944,218451968,0,0,
09-10 11:08:53,15.738,4.590,79.344,0.328,0,0,4218880,309690368,15902019584,4579328,219602944,0,0,
09-10 11:08:54,18.937,4.983,76.080,0,0,0,0,309538816,15900585984,4579328,220966912,0,0,
09-10 11:08:55,22.241,5.601,72.158,0,0,0,0,309207040,15899533312,4579328,222150656,0,0,
09-10 11:08:56,17.599,5.428,76.974,0,0,0,0,309166080,15898165248,4579328,223432704,0,0,
09-10 11:08:57,16.333,4,79,0.667,0,0,4227072,309448704,15896367104,4603904,224743424,0,0,
09-10 11:08:58,19.735,6.302,73.964,0,0,0,0,309379072,15894900736,4603904,226041856,0,0,
09-10 11:08:59,20.066,5.970,73.964,0,0,0,0,309280768,15893643264,4603904,227262464,0,0,
09-10 11:09:00,15.321,3.624,80.725,0.329,0,0,4214784,309633024,15891845120,4620288,228515840,0,0,
09-10 11:09:01,20.033,5.629,72.682,1.656,0,835584,0,309313536,15890112512,5455872,229605376,0,0,
