"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c7b7a203e177",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 11:36:24 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 11:36:24,0.150,0.100,99.612,0.138,0,112305.065,699684.362,263237632,15880900608,23425024,272490496,6.540,15.126,
09-10 11:36:25,12.850,3.954,83.196,0,0,73728,0,302432256,15788052480,23425024,325763072,0,0,
09-10 11:36:26,14.943,3.941,80.788,0.328,0,0,872448,303714304,15786049536,23437312,326356992,0,0,
09-10 11:36:27,4.181,0.502,86.622,8.696,0,45056,52899840,304177152,15785492480,23457792,326393856,0,0,
09-10 11:36:28,20.569,0.334,69.231,9.866,0,2514944,217088,305229824,15949127680,2174976,185491456,0,0,
09-10 11:36:29,1.827,0.664,97.342,0.166,0,8192,0,305315840,15948976128,2179072,185741312,0,0,
09-10 11:36:30,14.145,4.770,78.783,2.303,0,1249280,0,305672192,15946371072,3428352,186675200,0,0,
09-10 11:36:31,14.073,3.974,81.954,0,0,0,0,307036160,15943716864,3428352,187850752,0,0,
09-10 11:36:32,13.079,4.636,81.788,0.497,0,143360,4190208,308322304,15939825664,3579904,190222336,0,0,
09-10 11:36:33,12.664,5.263,81.743,0.329,0,4096,28672,308240384,15938711552,3592192,191307776,0,0,
09-10 11:36:34,13.591,2.852,83.389,0.168,0,135168,0,307961856,15937597440,3727360,192466944,0,0,
09-10 11:36:35,12.417,4.967,82.616,0,0,0,0,307945472,15936323584,3727360,193626112,0,0,
09-10 11:36:36,13.180,4.942,81.549,0.329,0,0,4218880,308506624,15934447616,3743744,194830336,0,0,
09-10 11:36:37,13.487,4.441,82.072,0,0,0,0,308576256,15933063168,3743744,196009984,0,0,
09-10 11:36:38,12.893,4.628,82.479,0,0,0,0,308301824,15932026880,3743744,197144576,0,0,
09-10 11:36:39,14.050,3.802,81.653,0.496,0,0,4235264,308805632,15930134528,3768320,198377472,0,0,
