"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","e9ef798aedb7",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 12:06:49 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 12:06:49,0.154,0.101,99.608,0.138,0,112353.951,700122.423,263258112,15880400896,23482368,272551936,6.538,15.122,
09-10 12:06:50,9.484,4.659,85.691,0.166,0,73728,0,302968832,15787212800,23482368,325578752,0,0,
09-10 12:06:51,14.190,3.506,82.304,0,0,0,0,304164864,15785193472,23482368,326238208,0,0,
09-10 12:06:52,7.309,1.329,90.033,1.329,0,40960,53768192,304615424,15784206336,23511040,326660096,0,0,
09-10 12:06:53,19.167,0.500,69.167,11.167,0,2404352,229376,305672192,15948365824,2052096,185970688,0,0,
09-10 12:06:54,0.334,0.167,99.499,0,0,8192,0,305602560,15948111872,2056192,186290176,0,0,
09-10 12:06:55,13.333,4.667,79.667,2.333,0,1388544,0,305954816,15945379840,3444736,187232256,0,0,
09-10 12:06:56,13.907,3.974,82.119,0,0,0,0,307396608,15942868992,3444736,188203008,0,0,
09-10 12:06:57,13.079,4.967,81.788,0.166,0,143360,4190208,308850688,15938801664,3596288,190533632,0,0,
09-10 12:06:58,13.839,3.954,81.713,0.494,0,4096,28672,308494336,15937703936,3608576,191877120,0,0,
09-10 12:06:59,12.914,4.470,82.616,0,0,0,0,308568064,15936462848,3608576,192946176,0,0,
09-10 12:07:00,13.245,4.139,82.616,0,0,0,0,308391936,15935746048,3608576,193757184,0,0,
09-10 12:07:01,13.245,4.801,80.795,1.159,0,561152,4218880,308944896,15932821504,4321280,195264512,0,0,
09-10 12:07:02,13.388,4.463,81.488,0.661,0,409600,0,309055488,15931310080,4595712,196268032,0,0,
09-10 12:07:03,12.562,4.959,82.479,0,0,0,0,308813824,15929892864,4595712,197738496,0,0,
09-10 12:07:04,13.765,3.980,81.758,0.498,0,0,4235264,309346304,15927922688,4620288,199065600,0,0,
09-10 12:07:05,13.465,4.598,81.938,0,0,0,0,309346304,15926919168,4620288,199929856,0,0,
09-10 12:07:06,13.839,3.954,82.208,0,0,0,0,309092352,15925518336,4620288,201420800,0,0,
09-10 12:07:07,13.058,4.463,82.479,0,0,0,0,309067776,15924338688,4620288,202436608,0,0,
09-10 12:07:08,13.629,4.598,81.445,0.328,0,0,4218880,309493760,15922757632,4636672,203460608,0,0,
09-10 12:07:09,13.907,3.477,82.616,0,0,0,0,309272576,15921393664,4636672,204845056,0,0,
09-10 12:07:10,13.079,4.470,82.119,0.331,0,0,12288,309207040,15920390144,4644864,205762560,0,0,
09-10 12:07:11,13.787,3.987,82.060,0.166,0,0,4222976,309653504,15918358528,4661248,207187968,0,0,
09-10 12:07:12,13.861,3.795,82.343,0,0,0,0,309575680,15917031424,4661248,208355328,0,0,
09-10 12:07:13,12.438,4.809,82.753,0,0,0,0,309276672,15916011520,4661248,209514496,0,0,
09-10 12:07:14,13.839,3.954,82.208,0,0,0,0,309747712,15914516480,4661248,210452480,0,0,
09-10 12:07:15,14.333,5.437,78.748,1.483,0,0,30588928,309800960,15923159040,4808704,201277440,0,0,
09-10 12:07:16,13.443,4.754,81.803,0,0,0,0,310042624,15922044928,4808704,202043392,0,0,
09-10 12:07:17,13.223,4.298,82.479,0,0,0,0,309452800,15920898048,4808704,203603968,0,0,
09-10 12:07:18,13.058,4.959,81.818,0.165,0,0,4218880,309972992,15918940160,4825088,204812288,0,0,
09-10 12:07:19,14.168,3.624,82.208,0,0,0,0,309940224,15917969408,4825088,205705216,0,0,
09-10 12:07:20,13.816,4.112,82.072,0,0,0,0,309821440,15916552192,4825088,207060992,0,0,
09-10 12:07:21,12.791,4.319,82.558,0.332,0,0,12288,309379072,15915675648,4833280,208228352,0,0,
09-10 12:07:22,12.935,4.643,82.090,0.332,0,0,4218880,310071296,15913369600,4849664,209645568,0,0,
09-10 12:07:23,13.674,4.119,82.208,0,0,0,4096,310104064,15912222720,4849664,210604032,0,0,
09-10 12:07:24,12.978,4.160,82.862,0,0,0,675840,310104064,15911026688,4849664,211668992,0,0,
09-10 12:07:25,13.245,4.636,81.954,0.166,0,0,4218880,310464512,15908974592,4866048,213164032,0,0,
09-10 12:07:26,12.829,5.263,81.579,0.329,0,0,24576,310132736,15907938304,4874240,214331392,0,0,
09-10 12:07:27,13.584,4.583,81.833,0,0,0,0,310050816,15906807808,4874240,215396352,0,0,
09-10 12:07:28,14.403,4.255,81.342,0,0,0,8192,309956608,15902834688,4874240,219271168,0,0,
09-10 12:07:29,13.562,5.229,81.046,0.163,0,0,4218880,310550528,15903465472,4890624,217866240,0,0,
09-10 12:07:30,13.201,4.290,82.343,0.165,0,4096,0,310255616,15902334976,4890624,219152384,0,0,
09-10 12:07:31,13.167,3.833,83,0,0,0,0,310181888,15901331456,4890624,220082176,0,0,
09-10 12:07:32,15.271,4.762,78.654,1.314,0,0,29798400,310800384,15907393536,5046272,213000192,0,0,
09-10 12:07:33,13.621,3.322,83.056,0,0,0,0,310951936,15905873920,5046272,214147072,0,0,
09-10 12:07:34,13.279,5.082,81.639,0,0,0,0,310566912,15904964608,5046272,215248896,0,0,
09-10 12:07:35,14.992,3.624,81.054,0.329,0,0,4214784,311132160,15903039488,5062656,216436736,0,0,
09-10 12:07:36,14.073,3.311,82.616,0,0,0,0,310759424,15902003200,5062656,217645056,0,0,
09-10 12:07:37,12.644,5.583,81.445,0.328,0,0,12288,310620160,15900889088,5070848,218759168,0,0,
09-10 12:07:38,13.311,3.661,83.028,0,0,0,0,310661120,15899471872,5070848,219975680,0,0,
09-10 12:07:39,13.289,4.153,82.226,0.332,0,0,4222976,310935552,15897817088,5087232,221163520,0,0,
09-10 12:07:40,14.026,3.630,82.343,0,0,0,0,310751232,15896797184,5087232,222232576,0,0,
09-10 12:07:41,14.426,3.770,81.803,0,0,0,0,310435840,15895396352,5087232,223760384,0,0,
09-10 12:07:42,13.674,4.613,81.384,0.329,0,0,4218880,311074816,15893401600,5103616,224940032,0,0,
09-10 12:07:43,13.388,4.132,82.149,0.331,0,0,12288,310964224,15892340736,5111808,225955840,0,0,
09-10 12:07:44,13.300,4.762,81.938,0,0,0,0,310951936,15891513344,5111808,226701312,0,0,
09-10 12:07:45,13.861,3.795,82.343,0,0,0,0,310685696,15889920000,5111808,228323328,0,0,
09-10 12:07:46,13.765,3.980,81.924,0.332,0,0,4222976,311050240,15888138240,5128192,229560320,0,0,
09-10 12:07:47,13.562,4.902,81.536,0,0,0,0,310915072,15886831616,5128192,230809600,0,0,
09-10 12:07:48,13.793,4.105,81.773,0.328,0,0,12288,311083008,15885479936,5136384,231878656,0,0,
09-10 12:07:49,15.523,4.739,78.268,1.471,0,0,31211520,311468032,15891480576,5275648,225116160,0,0,
09-10 12:07:50,13.770,4.590,81.639,0,0,0,0,311394304,15890276352,5275648,226136064,0,0,
09-10 12:07:51,12.833,4,83.167,0,0,0,0,311226368,15889195008,5275648,227303424,0,0,
09-10 12:07:52,13.411,4.470,81.954,0.166,0,0,4231168,311742464,15887237120,5292032,228507648,0,0,
09-10 12:07:53,13.036,4.620,82.343,0,0,0,0,311619584,15886073856,5292032,229617664,0,0,
09-10 12:07:54,13.719,3.967,81.983,0.331,0,0,589824,311349248,15885119488,5300224,230715392,0,0,
09-10 12:07:55,13.036,4.620,82.343,0,0,0,0,311341056,15883829248,5300224,231829504,0,0,
09-10 12:07:56,13.816,4.441,81.414,0.329,0,0,4222976,311980032,15881809920,5316608,233095168,0,0,
