"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","fd7279afc4ba",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 09:14:44 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 09:14:44,0.132,0.096,99.634,0.138,0,112242.669,697965.282,262479872,15881699328,23240704,271843328,6.546,15.146,
09-10 09:14:45,11.296,4.153,83.887,0.664,0,77824,0,301867008,15789223936,23244800,324620288,0,0,
09-10 09:14:46,15.282,2.990,81.728,0,0,0,0,302104576,15788826624,23244800,324755456,0,0,
09-10 09:14:47,14,3.667,82,0.333,0,0,143360,302174208,15788490752,23257088,324915200,0,0,
09-10 09:14:48,14.716,2.341,82.943,0,0,0,0,302288896,15788220416,23257088,325054464,0,0,
09-10 09:14:49,14.357,3.005,82.638,0,0,0,0,302542848,15787696128,23261184,325292032,0,0,
09-10 09:14:50,14.809,2.496,82.529,0.166,0,0,40960,302829568,15787155456,23265280,325500928,0,0,
09-10 09:14:51,15.589,2.322,82.090,0,0,0,1040384,303222784,15786504192,23265280,325734400,0,0,
09-10 09:14:52,14.760,2.819,82.421,0,0,0,0,303390720,15785914368,23265280,326062080,0,0,
09-10 09:14:53,15.182,3.135,81.683,0,0,0,0,303988736,15784833024,23265280,326471680,0,0,
09-10 09:14:54,12.584,4.195,83.221,0,0,0,0,304197632,15784292352,23265280,326762496,0,0,
09-10 09:14:55,14.570,3.146,82.119,0.166,0,0,32768,304619520,15783464960,23273472,327073792,0,0,
09-10 09:14:56,14.500,2.833,82.667,0,0,0,0,305004544,15782637568,23273472,327434240,0,0,
09-10 09:14:57,14.618,2.990,82.392,0,0,0,0,305152000,15782080512,23273472,327786496,0,0,
09-10 09:14:58,13.523,3.840,82.638,0,0,0,0,305659904,15781109760,23273472,328146944,0,0,
09-10 09:14:59,13.758,3.020,83.221,0,0,0,0,305963008,15780425728,23273472,328462336,0,0,
09-10 09:15:00,14.452,3.654,81.561,0.332,0,0,7032832,306991104,15778877440,23298048,328880128,0,0,
09-10 09:15:01,14.381,2.843,82.776,0,0,0,6291456,306806784,15778738176,23298048,329113600,0,0,
09-10 09:15:02,13.833,3.667,82.500,0,0,0,0,306958336,15778181120,23298048,329453568,0,0,
09-10 09:15:03,14.667,2.667,82.667,0,0,0,0,306798592,15777988608,23298048,329728000,0,0,
