"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","7995ea2625b9",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 06:43:32 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 06:43:32,0.111,0.092,99.661,0.137,0,112005.163,692888.185,262225920,15891464192,16801792,269852672,6.545,15.167,
09-10 06:43:33,5.824,1.997,91.681,0.499,0,335872,0,300675072,15799668736,16801792,322973696,0,0,
09-10 06:43:34,14.876,5.455,79.339,0.331,0,0,585728,301903872,15797440512,16814080,323727360,0,0,
09-10 06:43:35,16.176,4.739,79.085,0,0,0,0,303292416,15795470336,16814080,324288512,0,0,
09-10 06:43:36,18.197,6.678,75.125,0,0,0,0,303972352,15793115136,16814080,325652480,0,0,
09-10 06:43:37,20.328,6.557,72.951,0.164,0,0,49152,305397760,15790235648,16822272,326868992,0,0,
09-10 06:43:38,15.954,7.566,75.987,0.493,0,0,4161536,306421760,15788134400,16838656,327671808,0,0,
09-10 06:43:39,15.764,6.240,77.997,0,0,0,0,306487296,15786844160,16838656,328712192,0,0,
09-10 06:43:40,19.243,7.237,73.520,0,0,0,0,306204672,15785439232,16838656,330080256,0,0,
09-10 06:43:41,20.896,5.638,73.134,0.332,0,0,4161536,306982912,15783161856,16855040,331268096,0,0,
09-10 06:43:42,14.215,5.950,79.504,0.331,0,4096,13746176,306651136,15782285312,16859136,332279808,0,0,
09-10 06:43:43,19.212,5.911,74.877,0,0,0,0,306782208,15780659200,16859136,333504512,0,0,
09-10 06:43:44,19.967,5.990,74.043,0,0,0,0,306769920,15779655680,16859136,334368768,0,0,
09-10 06:43:45,18.812,6.601,74.257,0.330,0,0,4161536,307605504,15777361920,16875520,335523840,0,0,
09-10 06:43:46,15.625,4.605,79.770,0,0,0,0,307290112,15776276480,16875520,336666624,0,0,
09-10 06:43:47,19.339,7.273,69.421,3.967,0,0,23158784,306941952,15775047680,16883712,337969152,0,0,
09-10 06:43:48,19.967,7.096,70.132,2.805,0,0,15417344,306806784,15773851648,16883712,339070976,0,0,
09-10 06:43:49,16.198,5.289,78.182,0.331,0,0,4149248,307937280,15771512832,16900096,340058112,0,0,
09-10 06:43:50,17.270,6.250,76.480,0,0,0,0,307449856,15770411008,16900096,341385216,0,0,
09-10 06:43:51,19.900,6.468,73.632,0,0,0,0,307564544,15769071616,16900096,342372352,0,0,
09-10 06:43:52,17.190,6.777,75.537,0.496,0,0,4182016,307757056,15766761472,16924672,344186880,0,0,
09-10 06:43:53,14.450,6.076,79.475,0,0,0,0,307937280,15765741568,16924672,344797184,0,0,
09-10 06:43:54,19.637,5.611,74.752,0,0,0,0,307707904,15764226048,16924672,346243072,0,0,
09-10 06:43:55,20.792,6.271,72.937,0,0,0,0,307597312,15763316736,16924672,347086848,0,0,
