"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","d6bb6280dbab",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 07:31:10 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 07:31:10,0.119,0.093,99.650,0.137,0,112088.544,694638.771,261750784,15883808768,23080960,270508032,6.547,15.160,
09-10 07:31:11,10.891,4.620,84.158,0.330,0,77824,0,300851200,15791038464,23085056,323821568,0,0,
09-10 07:31:12,14,3.500,82,0.500,0,0,143360,301432832,15789527040,23097344,324583424,0,0,
09-10 07:31:13,12.919,4.362,82.718,0,0,0,0,302374912,15787474944,23097344,325513216,0,0,
09-10 07:31:14,13.322,5.592,81.086,0,0,0,0,303661056,15784865792,23097344,326594560,0,0,
09-10 07:31:15,12.336,6.743,80.757,0.164,0,0,4173824,305192960,15781933056,23113728,327737344,0,0,
09-10 07:31:16,13.636,6.006,80.357,0,0,0,0,305553408,15780425728,23113728,328667136,0,0,
09-10 07:31:17,13.509,4.778,81.713,0,0,0,0,305397760,15779196928,23113728,329789440,0,0,
09-10 07:31:18,13.770,5.082,81.148,0,0,0,0,305201152,15778144256,23113728,330829824,0,0,
09-10 07:31:19,13.651,5.263,80.757,0.329,0,0,4161536,305311744,15776677888,23130112,331939840,0,0,
09-10 07:31:20,12.951,5.902,81.148,0,0,0,0,305094656,15775592448,23130112,333004800,0,0,
09-10 07:31:21,14.146,5.366,80.488,0,0,0,13774848,304889856,15774556160,23130112,334004224,0,0,
09-10 07:31:22,13.629,5.090,81.281,0,0,0,0,304922624,15773216768,23130112,335073280,0,0,
09-10 07:31:23,12.541,5.941,81.188,0.330,0,0,4161536,305676288,15771148288,23146496,336166912,0,0,
09-10 07:31:24,12.521,5.931,81.549,0,0,0,0,305565696,15769919488,23146496,337252352,0,0,
09-10 07:31:25,13.629,4.926,81.445,0,0,0,0,305614848,15768596480,23146496,338305024,0,0,
09-10 07:31:26,13.311,4.825,78.702,3.161,0,0,20283392,305385472,15767543808,23154688,339374080,0,0,
09-10 07:31:27,14.122,5.419,76.847,3.612,0,0,22474752,305913856,15765680128,23171072,340434944,0,0,
09-10 07:31:28,13.433,4.312,82.255,0,0,0,0,305545216,15764754432,23171072,341524480,0,0,
09-10 07:31:29,14.098,4.426,81.475,0,0,0,0,305528832,15763542016,23171072,342519808,0,0,
09-10 07:31:30,13.980,4.605,81.414,0,0,0,0,305463296,15762202624,23171072,343678976,0,0,
09-10 07:31:31,14.216,5.065,80.065,0.654,0,0,4182016,306208768,15760261120,23195648,344653824,0,0,
09-10 07:31:32,13.366,4.785,81.848,0,0,0,32768,306024448,15759032320,23195648,345804800,0,0,
09-10 07:31:33,12.871,5.281,81.848,0,0,0,0,305668096,15758233600,23195648,346763264,0,0,
09-10 07:31:34,14.007,5.212,80.782,0,0,0,0,305704960,15756767232,23195648,347942912,0,0,
09-10 07:31:35,14.521,7.426,75.908,2.145,0,0,44810240,306339840,15757488128,23384064,346046464,0,0,
09-10 07:31:36,12.397,5.455,81.653,0.496,0,0,12288,306356224,15756148736,23392256,347131904,0,0,
09-10 07:31:37,13.742,3.974,82.285,0,0,0,0,306044928,15755206656,23392256,348164096,0,0,
09-10 07:31:38,12.850,5.766,81.219,0.165,0,0,4124672,306724864,15753281536,23408640,349200384,0,0,
09-10 07:31:39,13.696,4.455,81.848,0,0,0,0,306491392,15752212480,23408640,350289920,0,0,
09-10 07:31:40,12.231,5.620,82.149,0,0,0,0,306356224,15751016448,23408640,351399936,0,0,
09-10 07:31:41,13.158,5.263,81.579,0,0,0,0,306356224,15749677056,23408640,352497664,0,0,
09-10 07:31:42,13.058,5.455,80.992,0.496,0,0,11104256,306946048,15747719168,23433216,353599488,0,0,
09-10 07:31:43,12.583,5.132,82.285,0,0,0,0,306593792,15746777088,23433216,354680832,0,0,
09-10 07:31:44,13.058,4.959,81.983,0,0,0,0,306458624,15745740800,23433216,355663872,0,0,
09-10 07:31:45,14.003,4.613,81.384,0,0,0,0,306253824,15744544768,23433216,356839424,0,0,
09-10 07:31:46,12.417,5.629,81.623,0.331,0,0,4104192,306831360,15742730240,23449600,357859328,0,0,
09-10 07:31:47,12.500,4.667,82.500,0.333,0,0,20480,306663424,15741661184,23457792,358875136,0,0,
09-10 07:31:48,12.583,5.132,82.285,0,0,0,0,306388992,15740608512,23457792,359993344,0,0,
09-10 07:31:49,13.839,6.096,79.242,0.824,0,0,22925312,307109888,15734247424,23580672,365293568,0,0,
09-10 07:31:50,16.194,4.508,78.464,0.835,0,0,14888960,308740096,15729885184,23654400,366542848,0,0,
09-10 07:31:51,15.905,4.230,79.526,0.338,0,0,8278016,308215808,15720943616,23687168,374325248,0,0,
09-10 07:31:52,17.500,5,74.333,3.167,0,0,77406208,309645312,15713742848,24080384,378343424,0,0,
09-10 07:31:53,15.959,3.396,80.136,0.509,0,0,8351744,311218176,15702994944,24113152,386043904,0,0,
09-10 07:31:54,16.582,4.569,76.650,2.200,0,4096,63311872,312729600,15695577088,24436736,390320128,0,0,
09-10 07:31:55,16.333,4.167,79.167,0.333,0,0,8368128,311648256,15687184384,24469504,398336000,0,0,
09-10 07:31:56,19.185,4.075,74.363,2.377,0,0,72769536,313262080,15680729088,24821760,401362944,0,0,
09-10 07:31:57,16.418,3.648,75.622,4.312,0,0,15753216,313556992,15671955456,24862720,408559616,0,0,
09-10 07:31:58,16.694,4.508,75.459,3.339,0,4096,48549888,313180160,15659356160,25071616,420036608,0,0,
09-10 07:31:59,15.683,4.216,77.403,2.698,0,0,35618816,314482688,15657775104,25260032,418885632,0,0,
09-10 07:32:00,14.958,3.697,80.840,0.504,0,0,8388608,317042688,15642570752,25284608,430223360,0,0,
09-10 07:32:01,16.194,5.175,72.788,5.843,0,4096,79818752,317689856,15644594176,25690112,426184704,0,0,
09-10 07:32:02,13.145,4.493,82.030,0.333,0,0,12288,317501440,15643574272,25698304,427225088,0,0,
09-10 07:32:03,13.322,4.934,81.743,0,0,0,0,317579264,15642013696,25698304,428503040,0,0,
09-10 07:32:04,14.332,5.049,80.293,0.326,0,0,4202496,317816832,15640436736,25714688,429613056,0,0,
09-10 07:32:05,13.861,4.125,82.013,0,0,0,0,317673472,15639179264,25714688,430866432,0,0,
09-10 07:32:06,12.871,4.950,82.178,0,0,0,0,317767680,15637745664,25714688,432005120,0,0,
09-10 07:32:07,12.479,4.825,82.696,0,0,0,0,317550592,15636549632,25714688,433197056,0,0,
09-10 07:32:08,13.289,4.485,81.561,0.664,0,0,4280320,318169088,15634513920,25739264,434429952,0,0,
09-10 07:32:09,14.145,4.112,81.743,0,0,0,0,317825024,15633461248,25739264,435625984,0,0,
09-10 07:32:10,13.816,4.276,81.908,0,0,0,0,317788160,15632027648,25739264,436895744,0,0,
09-10 07:32:11,15.041,5.124,78.182,1.653,0,4096,27623424,318177280,15634132992,25890816,434040832,0,0,
09-10 07:32:12,16.530,5.728,74.795,2.946,0,0,58482688,318377984,15632715776,26144768,434688000,0,0,
09-10 07:32:13,13.443,5.082,81.475,0,0,0,0,318156800,15631568896,26144768,435888128,0,0,
09-10 07:32:14,14.614,4.105,80.624,0.657,0,0,4239360,318488576,15629897728,26169344,437030912,0,0,
09-10 07:32:15,13.366,4.620,82.013,0,0,0,0,318164992,15628718080,26169344,438329344,0,0,
09-10 07:32:16,13.322,4.770,81.908,0,0,0,0,318111744,15627427840,26169344,439484416,0,0,
09-10 07:32:17,13.267,4.312,82.421,0,0,0,0,318050304,15626137600,26169344,440659968,0,0,
09-10 07:32:18,14.450,4.269,81.117,0.164,0,0,4206592,318586880,15624052736,26185728,441974784,0,0,
09-10 07:32:19,13.079,4.636,81.954,0.331,0,0,12288,318619648,15622635520,26193920,443166720,0,0,
09-10 07:32:20,12.272,5.307,82.421,0,0,0,0,318644224,15621218304,26193920,444383232,0,0,
09-10 07:32:21,13.189,4.174,82.471,0.167,0,0,4210688,318816256,15619657728,26210304,445554688,0,0,
09-10 07:32:22,12.898,3.853,83.250,0,0,0,0,318660608,15618510848,26210304,446689280,0,0,
09-10 07:32:23,13.629,4.598,81.773,0,0,0,53248,318472192,15617171456,26210304,447987712,0,0,
09-10 07:32:24,12.563,5.193,81.407,0.838,0,0,10129408,318611456,15607898112,26267648,456921088,0,0,
09-10 07:32:25,14.851,6.436,76.403,2.310,0,4096,66056192,319275008,15618080768,26624000,445411328,0,0,
09-10 07:32:26,22.549,5.229,72.222,0,0,0,0,319639552,15616090112,26624000,446783488,0,0,
09-10 07:32:27,16.060,4.305,79.470,0.166,0,0,4239360,320016384,15614308352,26648576,447995904,0,0,
09-10 07:32:28,13.576,3.974,82.450,0,0,0,0,319770624,15613145088,26648576,449224704,0,0,
09-10 07:32:29,14.333,3.789,81.549,0.329,0,0,12288,319582208,15611981824,26656768,450387968,0,0,
09-10 07:32:30,12.397,5.289,82.314,0,0,0,0,317816832,15612358656,26656768,451616768,0,0,
09-10 07:32:31,14.428,3.483,81.924,0.166,0,0,4210688,318124032,15610544128,26673152,452902912,0,0,
