"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","85f8dd91d963",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 08:23:27 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 08:23:27,0.125,0.095,99.642,0.138,0,112163.015,696301.729,262057984,15882412032,23023616,271454208,6.548,15.153,
09-10 08:23:28,11.853,3.339,84.307,0.501,0,77824,1142784,303828992,15784726528,23027712,326549504,0,0,
09-10 08:23:29,15.578,5.528,78.224,0.670,0,0,8339456,307720192,15771684864,23060480,334073856,0,0,
09-10 08:23:30,15.085,5.085,78.475,1.356,0,0,8454144,309309440,15760752640,23105536,341856256,0,0,
09-10 08:23:31,15.905,4.738,78.342,1.015,0,0,27295744,309235712,15733157888,23220224,367910912,0,0,
09-10 08:23:32,16.498,4.882,77.609,1.010,0,0,29880320,310136832,15744266240,23343104,353906688,0,0,
09-10 08:23:33,16.890,4.013,78.763,0.334,0,0,30191616,310751232,15731552256,23359488,364494848,0,0,
09-10 08:23:34,16.915,5.141,76.617,1.327,0,0,54829056,309964800,15728136192,23556096,366936064,0,0,
09-10 08:23:35,16.216,3.716,79.392,0.676,0,0,8278016,311156736,15718309888,23588864,374255616,0,0,
09-10 08:23:36,15.755,5.638,74.793,3.814,0,0,73236480,310128640,15715803136,23957504,376172544,0,0,
09-10 08:23:37,12.791,5.316,81.561,0.332,0,0,4169728,310534144,15714385920,23973888,377008128,0,0,
09-10 08:23:38,14.075,4.746,79.051,2.128,0,0,9207808,310312960,15713095680,23982080,378273792,0,0,
09-10 08:23:39,13.214,5.710,81.077,0,0,0,0,309899264,15711993856,23982080,379531264,0,0,
09-10 08:23:40,12.766,5.892,81.342,0,0,0,0,309833728,15710990336,23982080,380452864,0,0,
09-10 08:23:41,13.930,4.312,81.592,0.166,0,0,4177920,310476800,15708778496,23998464,381779968,0,0,
09-10 08:23:42,14.122,4.105,81.773,0,0,0,0,310333440,15707852800,23998464,382656512,0,0,
09-10 08:23:43,12.685,5.601,81.549,0.165,0,0,32768,310296576,15706402816,24006656,383909888,0,0,
09-10 08:23:44,12.664,5.921,81.086,0.329,0,0,4182016,310788096,15704588288,24023040,385019904,0,0,
09-10 08:23:45,13.079,4.801,82.119,0,0,0,0,310734848,15703248896,24023040,386166784,0,0,
09-10 08:23:46,14.450,3.941,81.609,0,0,0,0,310456320,15702179840,24023040,387305472,0,0,
09-10 08:23:47,14.309,3.947,81.743,0,0,0,0,310173696,15701016576,24023040,388554752,0,0,
09-10 08:23:48,17.320,5.065,75.327,2.288,0,0,59129856,310820864,15700000768,24334336,388145152,0,0,
